isin,issuer_name,position_holder,net_short_position,position_date,source
NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",0.99,2026-05-21,current
LU2290522684,InPost S.A.,"Two Sigma Investments, LP",1.29,2026-05-20,current
NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",1.0,2026-05-20,current
NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.6,2026-05-19,current
NL0011872650,Basic-Fit N.V.,Linden Advisors LP,0.9,2026-05-19,current
NL0011821392,Signify N.V.,"PDT Partners, LLC",1.0,2026-05-19,current
NL0010801007,IMCD N.V.,"Two Sigma Investments, LP",0.68,2026-05-19,current
NL0006237562,ARCADIS N.V.,"AQR Capital Management, LLC",0.99,2026-05-18,current
CH1216478797,DSM-Firmenich AG,Citadel Advisors LLC,0.62,2026-05-18,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.59,2026-05-18,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,0.73,2026-05-18,current
NL0010801007,IMCD N.V.,"BlackRock Financial Management, Inc.",0.79,2026-05-15,current
NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,0.82,2026-05-15,current
NL0000395903,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",0.68,2026-05-15,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,0.68,2026-05-15,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.71,2026-05-15,current
NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.78,2026-05-14,current
NL0011872650,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",0.89,2026-05-14,current
NL0010801007,IMCD N.V.,"PDT Partners, LLC",0.8,2026-05-14,current
NL0011872650,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.77,2026-05-14,current
NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.8,2026-05-13,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.61,2026-05-13,current
NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.53,2026-05-13,current
NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",0.91,2026-05-13,current
NL0010391025,Pharming Group N.V.,Walleye Capital LLC,0.74,2026-05-13,current
NL0010801007,IMCD N.V.,"BlackRock Advisors, LLC",0.59,2026-05-12,current
NL0011821392,Signify N.V.,"BlackRock Financial Management, Inc.",0.71,2026-05-12,current
NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.79,2026-05-12,current
NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.82,2026-05-12,current
NL0012365084,NSI N.V.,Numeric Investors LLC,0.8,2026-05-12,current
LU2290522684,InPost S.A.,"Two Sigma Investments, LP",1.36,2026-05-12,current
NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.8,2026-05-11,current
NL0000852523,TKH Group N.V.,Capital Fund Management S.A.,0.52,2026-05-11,current
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,1.02,2026-05-11,current
CH1216478797,DSM-Firmenich AG,Citadel Advisors LLC,0.5,2026-05-11,current
NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,0.7,2026-05-11,current
NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",0.86,2026-05-11,current
CY0200751713,Theon International Plc,"Two Sigma Investments, LP",0.8,2026-05-11,current
NL0010391025,Pharming Group N.V.,Walleye Capital LLC,0.63,2026-05-11,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.5,2026-05-08,current
NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.72,2026-05-08,current
NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",0.75,2026-05-08,current
NL0010391025,Pharming Group N.V.,Walleye Capital LLC,0.53,2026-05-08,current
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,0.97,2026-05-07,current
NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.76,2026-05-07,current
NL0011821392,Signify N.V.,Marshall Wace LLP,1.69,2026-05-07,current
NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.79,2026-05-06,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.41,2026-05-06,current
CH1216478797,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.4,2026-05-06,current
JE00BRX98089,CVC Capital Partners plc,Marshall Wace LLP,0.69,2026-05-06,current
NL0010801007,IMCD N.V.,"PDT Partners, LLC",0.77,2026-05-06,current
NL0011821392,Signify N.V.,"PDT Partners, LLC",0.9,2026-05-06,current
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,0.8,2026-05-05,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.36,2026-05-05,current
NL0011872650,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",0.98,2026-05-05,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.09,2026-05-05,current
NL0011821392,Signify N.V.,Marshall Wace LLP,1.76,2026-05-05,current
NL0011872650,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.65,2026-05-05,current
NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.81,2026-05-04,current
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,0.7,2026-05-04,current
NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.61,2026-05-04,current
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,0.55,2026-04-30,current
NL0006237562,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",0.57,2026-04-30,current
NL0010391025,Pharming Group N.V.,Jupiter Asset Management Ltd.,0.5,2026-04-30,current
NL0009739416,PostNL N.V.,Marshall Wace LLP,0.89,2026-04-30,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,0.86,2026-04-30,current
NL0011821392,Signify N.V.,"PDT Partners, LLC",0.89,2026-04-30,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.6,2026-04-30,current
NL0011872650,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.59,2026-04-30,current
NL0006237562,ARCADIS N.V.,White Creek Capital LLP,0.56,2026-04-30,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.29,2026-04-29,current
NL0000817179,Sligro Food Group N.V.,Citadel Advisors LLC,0.9,2026-04-29,current
NL0000395903,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",0.79,2026-04-29,current
JE00BRX98089,CVC Capital Partners plc,Marshall Wace LLP,0.71,2026-04-29,current
NL0009739416,PostNL N.V.,Marshall Wace LLP,0.9,2026-04-29,current
NL0011821392,Signify N.V.,"PDT Partners, LLC",0.9,2026-04-29,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.32,2026-04-28,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.17,2026-04-28,current
NL0011821392,Signify N.V.,Marshall Wace LLP,1.8,2026-04-28,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,0.98,2026-04-28,current
NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",1.27,2026-04-27,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.43,2026-04-27,current
CH1216478797,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.3,2026-04-27,current
NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2.15,2026-04-27,current
NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2.06,2026-04-24,current
NL0011872650,Basic-Fit N.V.,Linden Advisors LP,0.82,2026-04-24,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.04,2026-04-24,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.68,2026-04-23,current
NL0000817179,Sligro Food Group N.V.,Citadel Advisors LLC,0.8,2026-04-23,current
NL0011872650,Basic-Fit N.V.,Eleva Capital SAS,0.84,2026-04-23,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.11,2026-04-23,current
NL0010391025,Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,0.77,2026-04-22,current
