isin,position_date,position_holder,issuer_name,net_short_position,source
NL0010391025,2026-05-13,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,0.53,current
NL0010391025,2026-05-13,"Two Sigma Investments, LP",Pharming Group N.V.,0.91,current
NL0010391025,2026-05-13,Walleye Capital LLC,Pharming Group N.V.,0.74,current
NL0010801007,2026-05-12,"BlackRock Advisors, LLC",IMCD N.V.,0.59,current
NL0011821392,2026-05-12,"BlackRock Financial Management, Inc.",Signify N.V.,0.71,current
NL0010801007,2026-05-12,Capital Fund Management S.A.,IMCD N.V.,0.79,current
NL0010391025,2026-05-12,Lazard Asset Management LLC,Pharming Group N.V.,0.82,current
NL0012365084,2026-05-12,Numeric Investors LLC,NSI N.V.,0.8,current
LU2290522684,2026-05-12,"Two Sigma Investments, LP",InPost S.A.,1.36,current
NL0010801007,2026-05-11,Capital Fund Management S.A.,IMCD N.V.,0.8,current
NL0000852523,2026-05-11,Capital Fund Management S.A.,TKH Group N.V.,0.52,current
NL0011821392,2026-05-11,Citadel Advisors Europe Limited,Signify N.V.,1.02,current
CH1216478797,2026-05-11,Citadel Advisors LLC,DSM-Firmenich AG,0.5,current
NL0000289213,2026-05-11,Citadel Advisors LLC,Wereldhave N.V.,0.7,current
NL0010391025,2026-05-11,"Two Sigma Investments, LP",Pharming Group N.V.,0.86,current
CY0200751713,2026-05-11,"Two Sigma Investments, LP",Theon International Plc,0.8,current
NL0010391025,2026-05-11,Walleye Capital LLC,Pharming Group N.V.,0.63,current
NL0011821392,2026-05-08,Citadel Advisors LLC,Signify N.V.,1.5,current
NL0013267909,2026-05-08,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.72,current
NL0010391025,2026-05-08,"Two Sigma Investments, LP",Pharming Group N.V.,0.75,current
NL0010391025,2026-05-08,Walleye Capital LLC,Pharming Group N.V.,0.53,current
NL0011821392,2026-05-07,Citadel Advisors Europe Limited,Signify N.V.,0.97,current
NL0010391025,2026-05-07,Lazard Asset Management LLC,Pharming Group N.V.,0.76,current
NL0010801007,2026-05-07,Marshall Wace LLP,IMCD N.V.,0.79,current
NL0011821392,2026-05-07,Marshall Wace LLP,Signify N.V.,1.69,current
NL0010801007,2026-05-06,Capital Fund Management S.A.,IMCD N.V.,0.79,current
NL0011821392,2026-05-06,Citadel Advisors LLC,Signify N.V.,1.41,current
CH1216478797,2026-05-06,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,1.4,current
JE00BRX98089,2026-05-06,Marshall Wace LLP,CVC Capital Partners plc,0.69,current
NL0010801007,2026-05-06,Marshall Wace LLP,IMCD N.V.,0.83,current
NL0010801007,2026-05-06,"PDT Partners, LLC",IMCD N.V.,0.77,current
NL0011821392,2026-05-06,"PDT Partners, LLC",Signify N.V.,0.9,current
NL0011821392,2026-05-05,Citadel Advisors Europe Limited,Signify N.V.,0.8,current
NL0011821392,2026-05-05,Citadel Advisors LLC,Signify N.V.,1.36,current
NL0011872650,2026-05-05,"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.98,current
NL0013332471,2026-05-05,JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.09,current
NL0011821392,2026-05-05,Marshall Wace LLP,Signify N.V.,1.76,current
NL0011872650,2026-05-05,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.65,current
NL0010801007,2026-05-04,Capital Fund Management S.A.,IMCD N.V.,0.81,current
NL0011821392,2026-05-04,Citadel Advisors Europe Limited,Signify N.V.,0.7,current
NL0013267909,2026-05-04,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.61,current
NL0011821392,2026-04-30,Citadel Advisors Europe Limited,Signify N.V.,0.55,current
NL0006237562,2026-04-30,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,0.57,current
NL0010391025,2026-04-30,Jupiter Asset Management Ltd.,Pharming Group N.V.,0.5,current
NL0009739416,2026-04-30,Marshall Wace LLP,PostNL N.V.,0.89,current
NL0015002MS2,2026-04-30,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.86,current
NL0011821392,2026-04-30,"PDT Partners, LLC",Signify N.V.,0.89,current
NL0015002MS2,2026-04-30,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.6,current
NL0011872650,2026-04-30,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.59,current
NL0006237562,2026-04-30,White Creek Capital LLP,ARCADIS N.V.,0.56,current
NL0011821392,2026-04-29,Citadel Advisors LLC,Signify N.V.,1.29,current
NL0000817179,2026-04-29,Citadel Advisors LLC,Sligro Food Group N.V.,0.9,current
NL0000395903,2026-04-29,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,0.79,current
JE00BRX98089,2026-04-29,Marshall Wace LLP,CVC Capital Partners plc,0.71,current
NL0010801007,2026-04-29,Marshall Wace LLP,IMCD N.V.,0.74,current
NL0009739416,2026-04-29,Marshall Wace LLP,PostNL N.V.,0.9,current
NL0011821392,2026-04-29,"PDT Partners, LLC",Signify N.V.,0.9,current
NL0011821392,2026-04-28,Citadel Advisors LLC,Signify N.V.,1.32,current
NL0013332471,2026-04-28,JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.17,current
