issuer_name,position_date,net_short_position,position_holder,isin,source
Alfen N.V.,2026-04-08,0.95,"D. E. Shaw & Co., L.P.",NL0012817175,current
Signify N.V.,2026-04-08,0.79,Millennium Capital (DIFC) Limited,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-04-08,0.5,Qube Research & Technologies Ltd.,NL0015002MS2,current
IMCD N.V.,2026-04-08,0.79,"Two Sigma Investments, LP",NL0010801007,current
IMCD N.V.,2026-04-07,0.66,"BlackRock Advisors, LLC",NL0010801007,current
IMCD N.V.,2026-04-07,1.0,"BlackRock Financial Management, Inc.",NL0010801007,current
IMCD N.V.,2026-04-07,0.76,Capital Fund Management S.A.,NL0010801007,current
Signify N.V.,2026-04-07,1.21,Citadel Advisors Europe Limited,NL0011821392,current
PostNL N.V.,2026-04-07,0.58,Citadel Advisors LLC,NL0009739416,current
Signify N.V.,2026-04-07,2.41,Citadel Advisors LLC,NL0011821392,current
ARCADIS N.V.,2026-04-07,0.69,"D. E. Shaw & Co., L.P.",NL0006237562,current
The Magnum Ice Cream Company N.V.,2026-04-07,1.46,Marshall Wace LLP,NL0015002MS2,current
Alfen N.V.,2026-04-07,1.98,Voleon Capital Management LP,NL0012817175,current
Alfen N.V.,2026-04-07,2.77,"WorldQuant, LLC",NL0012817175,current
Adyen N.V.,2026-04-02,1.0,"AQR Capital Management, LLC",NL0012969182,current
CVC Capital Partners plc,2026-04-02,0.61,"AQR Capital Management, LLC",JE00BRX98089,current
IMCD N.V.,2026-04-02,0.99,"BlackRock Financial Management, Inc.",NL0010801007,current
Sligro Food Group N.V.,2026-04-02,0.5,Citadel Advisors LLC,NL0000817179,current
ARCADIS N.V.,2026-04-02,0.7,"D. E. Shaw & Co., L.P.",NL0006237562,current
Basic-Fit N.V.,2026-04-02,0.62,Eleva Capital SAS,NL0011872650,current
Randstad N.V.,2026-04-02,0.78,Marshall Wace LLP,NL0000379121,current
ArcelorMittal S.A.,2026-04-01,0.61,"AQR Capital Management, LLC",LU1598757687,current
Signify N.V.,2026-04-01,1.1,"AQR Capital Management, LLC",NL0011821392,current
IMCD N.V.,2026-04-01,1.21,"Arrowstreet Capital, Limited Partnership",NL0010801007,current
Signify N.V.,2026-04-01,0.74,Canada Pension Plan Investment Board,NL0011821392,current
Signify N.V.,2026-04-01,2.36,Citadel Advisors LLC,NL0011821392,current
ARCADIS N.V.,2026-04-01,0.69,"D. E. Shaw & Co., L.P.",NL0006237562,current
Basic-Fit N.V.,2026-04-01,0.5,Eleva Capital SAS,NL0011872650,current
Signify N.V.,2026-04-01,1.79,Marshall Wace LLP,NL0011821392,current
Alfen N.V.,2026-04-01,2.86,"WorldQuant, LLC",NL0012817175,current
IMCD N.V.,2026-03-31,0.62,Capital Fund Management S.A.,NL0010801007,current
Signify N.V.,2026-03-31,2.4,Citadel Advisors LLC,NL0011821392,current
Alfen N.V.,2026-03-31,1.09,"D. E. Shaw & Co., L.P.",NL0012817175,current
Signify N.V.,2026-03-31,1.21,Eleva Capital SAS,NL0011821392,current
CVC Capital Partners plc,2026-03-31,0.9,Qube Research & Technologies Ltd.,JE00BRX98089,current
Adyen N.V.,2026-03-30,0.9,"AQR Capital Management, LLC",NL0012969182,current
Signify N.V.,2026-03-30,1.05,Eleva Capital SAS,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-03-30,0.64,GLG Partners LP,NL0015002MS2,current
DSM-Firmenich AG,2026-03-30,0.91,Ilex Capital Partners (UK) LLP,CH1216478797,current
Signify N.V.,2026-03-30,1.87,Marshall Wace LLP,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-03-30,1.59,Marshall Wace LLP,NL0015002MS2,current
NSI N.V.,2026-03-30,0.61,Numeric Investors LLC,NL0012365084,current
ARCADIS N.V.,2026-03-30,0.99,Squarepoint Ops LLC,NL0006237562,current
Theon International Plc,2026-03-30,0.7,"Two Sigma Investments, LP",CY0200751713,current
ARCADIS N.V.,2026-03-27,0.9,"AQR Capital Management, LLC",NL0006237562,current
IMCD N.V.,2026-03-27,1.12,"Arrowstreet Capital, Limited Partnership",NL0010801007,current
IMCD N.V.,2026-03-27,1.09,"BlackRock Financial Management, Inc.",NL0010801007,current
IMCD N.V.,2026-03-27,0.51,Capital Fund Management S.A.,NL0010801007,current
ARCADIS N.V.,2026-03-27,0.7,"D. E. Shaw & Co., L.P.",NL0006237562,current
Pharming Group N.V.,2026-03-27,0.59,"D. E. Shaw & Co., L.P.",NL0010391025,current
The Magnum Ice Cream Company N.V.,2026-03-27,0.59,GLG Partners LP,NL0015002MS2,current
Randstad N.V.,2026-03-27,0.86,Marshall Wace LLP,NL0000379121,current
ARCADIS N.V.,2026-03-26,0.69,"D. E. Shaw & Co., L.P.",NL0006237562,current
Signify N.V.,2026-03-26,1.96,Marshall Wace LLP,NL0011821392,current
Theon International Plc,2026-03-26,1.14,Qube Research & Technologies Ltd.,CY0200751713,current
InPost S.A.,2026-03-26,1.5,"Two Sigma Investments, LP",LU2290522684,current
IMCD N.V.,2026-03-26,0.5,Voleon Capital Management LP,NL0010801007,current
Alfen N.V.,2026-03-26,2.92,"WorldQuant, LLC",NL0012817175,current
IMCD N.V.,2026-03-26,0.71,"WorldQuant, LLC",NL0010801007,current
Adyen N.V.,2026-03-25,0.8,"AQR Capital Management, LLC",NL0012969182,current
CVC Capital Partners plc,2026-03-25,0.5,"AQR Capital Management, LLC",JE00BRX98089,current
The Magnum Ice Cream Company N.V.,2026-03-25,0.6,GLG Partners LP,NL0015002MS2,current
DSM-Firmenich AG,2026-03-25,0.82,Ilex Capital Partners (UK) LLP,CH1216478797,current
Signify N.V.,2026-03-25,0.81,Millennium Capital (DIFC) Limited,NL0011821392,current
IMCD N.V.,2026-03-24,0.56,JPMorgan Asset Management (UK) Ltd.,NL0010801007,current
Pharming Group N.V.,2026-03-24,1.14,Lazard Asset Management LLC,NL0010391025,current
Randstad N.V.,2026-03-24,0.91,Marshall Wace LLP,NL0000379121,current
Signify N.V.,2026-03-24,2.0,Marshall Wace LLP,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-03-24,1.6,Marshall Wace LLP,NL0015002MS2,current
Signify N.V.,2026-03-24,0.79,Millennium Capital (DIFC) Limited,NL0011821392,current
IMCD N.V.,2026-03-24,0.9,"PDT Partners, LLC",NL0010801007,current
CVC Capital Partners plc,2026-03-24,0.81,Qube Research & Technologies Ltd.,JE00BRX98089,current
InPost S.A.,2026-03-24,1.44,"Two Sigma Investments, LP",LU2290522684,current
Theon International Plc,2026-03-24,0.6,"Two Sigma Investments, LP",CY0200751713,current
Alfen N.V.,2026-03-24,2.0,Voleon Capital Management LP,NL0012817175,current
Envipco Holding N.V.,2026-03-23,0.62,Actus Ray Partners Limited,NL0015000GX8,current
Adyen N.V.,2026-03-23,0.72,"AQR Capital Management, LLC",NL0012969182,current
IMCD N.V.,2026-03-23,1.01,"Arrowstreet Capital, Limited Partnership",NL0010801007,current
