issuer_name,position_date,isin,net_short_position,position_holder,source
Basic-Fit N.V.,2026-04-01,NL0011872650,0.5,Eleva Capital SAS,current
Signify N.V.,2026-04-01,NL0011821392,1.79,Marshall Wace LLP,current
Alfen N.V.,2026-04-01,NL0012817175,2.86,"WorldQuant, LLC",current
IMCD N.V.,2026-03-31,NL0010801007,0.62,Capital Fund Management S.A.,current
Signify N.V.,2026-03-31,NL0011821392,2.4,Citadel Advisors LLC,current
Alfen N.V.,2026-03-31,NL0012817175,1.09,"D. E. Shaw & Co., L.P.",current
Signify N.V.,2026-03-31,NL0011821392,1.21,Eleva Capital SAS,current
CVC Capital Partners plc,2026-03-31,JE00BRX98089,0.9,Qube Research & Technologies Ltd.,current
Adyen N.V.,2026-03-30,NL0012969182,0.9,"AQR Capital Management, LLC",current
Signify N.V.,2026-03-30,NL0011821392,1.05,Eleva Capital SAS,current
The Magnum Ice Cream Company N.V.,2026-03-30,NL0015002MS2,0.64,GLG Partners LP,current
DSM-Firmenich AG,2026-03-30,CH1216478797,0.91,Ilex Capital Partners (UK) LLP,current
Signify N.V.,2026-03-30,NL0011821392,1.87,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-03-30,NL0015002MS2,1.59,Marshall Wace LLP,current
NSI N.V.,2026-03-30,NL0012365084,0.61,Numeric Investors LLC,current
ARCADIS N.V.,2026-03-30,NL0006237562,0.99,Squarepoint Ops LLC,current
Theon International Plc,2026-03-30,CY0200751713,0.7,"Two Sigma Investments, LP",current
ARCADIS N.V.,2026-03-27,NL0006237562,0.9,"AQR Capital Management, LLC",current
IMCD N.V.,2026-03-27,NL0010801007,1.12,"Arrowstreet Capital, Limited Partnership",current
IMCD N.V.,2026-03-27,NL0010801007,1.09,"BlackRock Financial Management, Inc.",current
IMCD N.V.,2026-03-27,NL0010801007,0.51,Capital Fund Management S.A.,current
ARCADIS N.V.,2026-03-27,NL0006237562,0.7,"D. E. Shaw & Co., L.P.",current
Pharming Group N.V.,2026-03-27,NL0010391025,0.59,"D. E. Shaw & Co., L.P.",current
The Magnum Ice Cream Company N.V.,2026-03-27,NL0015002MS2,0.59,GLG Partners LP,current
Randstad N.V.,2026-03-27,NL0000379121,0.86,Marshall Wace LLP,current
ARCADIS N.V.,2026-03-26,NL0006237562,0.69,"D. E. Shaw & Co., L.P.",current
Signify N.V.,2026-03-26,NL0011821392,1.96,Marshall Wace LLP,current
Theon International Plc,2026-03-26,CY0200751713,1.14,Qube Research & Technologies Ltd.,current
InPost S.A.,2026-03-26,LU2290522684,1.5,"Two Sigma Investments, LP",current
IMCD N.V.,2026-03-26,NL0010801007,0.5,Voleon Capital Management LP,current
Alfen N.V.,2026-03-26,NL0012817175,2.92,"WorldQuant, LLC",current
IMCD N.V.,2026-03-26,NL0010801007,0.71,"WorldQuant, LLC",current
Adyen N.V.,2026-03-25,NL0012969182,0.8,"AQR Capital Management, LLC",current
CVC Capital Partners plc,2026-03-25,JE00BRX98089,0.5,"AQR Capital Management, LLC",current
The Magnum Ice Cream Company N.V.,2026-03-25,NL0015002MS2,0.6,GLG Partners LP,current
DSM-Firmenich AG,2026-03-25,CH1216478797,0.82,Ilex Capital Partners (UK) LLP,current
Signify N.V.,2026-03-25,NL0011821392,0.81,Millennium Capital (DIFC) Limited,current
IMCD N.V.,2026-03-24,NL0010801007,0.56,JPMorgan Asset Management (UK) Ltd.,current
Pharming Group N.V.,2026-03-24,NL0010391025,1.14,Lazard Asset Management LLC,current
Randstad N.V.,2026-03-24,NL0000379121,0.91,Marshall Wace LLP,current
Signify N.V.,2026-03-24,NL0011821392,2.0,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-03-24,NL0015002MS2,1.6,Marshall Wace LLP,current
Signify N.V.,2026-03-24,NL0011821392,0.79,Millennium Capital (DIFC) Limited,current
IMCD N.V.,2026-03-24,NL0010801007,0.9,"PDT Partners, LLC",current
CVC Capital Partners plc,2026-03-24,JE00BRX98089,0.81,Qube Research & Technologies Ltd.,current
InPost S.A.,2026-03-24,LU2290522684,1.44,"Two Sigma Investments, LP",current
Theon International Plc,2026-03-24,CY0200751713,0.6,"Two Sigma Investments, LP",current
Alfen N.V.,2026-03-24,NL0012817175,2.0,Voleon Capital Management LP,current
Envipco Holding N.V.,2026-03-23,NL0015000GX8,0.62,Actus Ray Partners Limited,current
Adyen N.V.,2026-03-23,NL0012969182,0.72,"AQR Capital Management, LLC",current
IMCD N.V.,2026-03-23,NL0010801007,1.01,"Arrowstreet Capital, Limited Partnership",current
Signify N.V.,2026-03-23,NL0011821392,0.6,"BlackRock Financial Management, Inc.",current
Signify N.V.,2026-03-23,NL0011821392,1.19,Citadel Advisors Europe Limited,current
Signify N.V.,2026-03-23,NL0011821392,2.3,Citadel Advisors LLC,current
Alfen N.V.,2026-03-23,NL0012817175,1.18,"D. E. Shaw & Co., L.P.",current
PostNL N.V.,2026-03-23,NL0009739416,0.69,"D. E. Shaw & Co., L.P.",current
The Magnum Ice Cream Company N.V.,2026-03-23,NL0015002MS2,0.51,GLG Partners LP,current
PostNL N.V.,2026-03-23,NL0009739416,0.7,Marshall Wace LLP,current
Theon International Plc,2026-03-23,CY0200751713,1.01,Qube Research & Technologies Ltd.,current
ARCADIS N.V.,2026-03-23,NL0006237562,1.05,Squarepoint Ops LLC,current
InPost S.A.,2026-03-23,LU2290522684,1.36,"Two Sigma Investments, LP",current
Signify N.V.,2026-03-20,NL0011821392,0.58,"BlackRock Financial Management, Inc.",current
Adyen N.V.,2026-03-20,NL0012969182,0.7,Capital Fund Management S.A.,current
DSM-Firmenich AG,2026-03-20,CH1216478797,0.75,Ilex Capital Partners (UK) LLP,current
Randstad N.V.,2026-03-20,NL0000379121,0.83,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-03-20,NL0015002MS2,1.52,Marshall Wace LLP,current
Signify N.V.,2026-03-20,NL0011821392,0.8,Millennium Capital (DIFC) Limited,current
Theon International Plc,2026-03-20,CY0200751713,0.99,Qube Research & Technologies Ltd.,current
IMCD N.V.,2026-03-20,NL0010801007,0.81,"Two Sigma Investments, LP",current
InPost S.A.,2026-03-20,LU2290522684,1.26,"Two Sigma Investments, LP",current
Akzo Nobel N.V.,2026-03-19,NL0013267909,1.31,AKO Capital LLP,current
ARCADIS N.V.,2026-03-19,NL0006237562,0.8,"AQR Capital Management, LLC",current
CVC Capital Partners plc,2026-03-19,JE00BRX98089,0.6,Marshall Wace LLP,current
Randstad N.V.,2026-03-19,NL0000379121,0.73,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-03-19,NL0015002MS2,1.43,Marshall Wace LLP,current
TomTom N.V.,2026-03-19,NL0013332471,0.61,Winton Capital Management Limited,current
Alfen N.V.,2026-03-19,NL0012817175,2.83,"WorldQuant, LLC",current
IMCD N.V.,2026-03-19,NL0010801007,0.6,"WorldQuant, LLC",current
