position_holder,issuer_name,position_date,net_short_position,isin,source
Numeric Investors LLC,NSI N.V.,2026-05-12,0.8,NL0012365084,current
"Two Sigma Investments, LP",InPost S.A.,2026-05-12,1.36,LU2290522684,current
Capital Fund Management S.A.,IMCD N.V.,2026-05-11,0.8,NL0010801007,current
Capital Fund Management S.A.,TKH Group N.V.,2026-05-11,0.52,NL0000852523,current
Citadel Advisors LLC,DSM-Firmenich AG,2026-05-11,0.5,CH1216478797,current
Citadel Advisors LLC,Wereldhave N.V.,2026-05-11,0.7,NL0000289213,current
"Two Sigma Investments, LP",Pharming Group N.V.,2026-05-11,0.86,NL0010391025,current
"Two Sigma Investments, LP",Theon International Plc,2026-05-11,0.8,CY0200751713,current
Walleye Capital LLC,Pharming Group N.V.,2026-05-11,0.63,NL0010391025,current
Citadel Advisors LLC,Signify N.V.,2026-05-08,1.5,NL0011821392,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-05-08,1.72,NL0013267909,current
"Two Sigma Investments, LP",Pharming Group N.V.,2026-05-08,0.75,NL0010391025,current
Walleye Capital LLC,Pharming Group N.V.,2026-05-08,0.53,NL0010391025,current
Lazard Asset Management LLC,Pharming Group N.V.,2026-05-07,0.76,NL0010391025,current
Marshall Wace LLP,Signify N.V.,2026-05-07,1.69,NL0011821392,current
Capital Fund Management S.A.,IMCD N.V.,2026-05-06,0.79,NL0010801007,current
Citadel Advisors LLC,Signify N.V.,2026-05-06,1.41,NL0011821392,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-05-06,1.4,CH1216478797,current
Marshall Wace LLP,CVC Capital Partners plc,2026-05-06,0.69,JE00BRX98089,current
"PDT Partners, LLC",IMCD N.V.,2026-05-06,0.77,NL0010801007,current
"PDT Partners, LLC",Signify N.V.,2026-05-06,0.9,NL0011821392,current
Citadel Advisors LLC,Signify N.V.,2026-05-05,1.36,NL0011821392,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,2026-05-05,0.98,NL0011872650,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2026-05-05,1.09,NL0013332471,current
Marshall Wace LLP,Signify N.V.,2026-05-05,1.76,NL0011821392,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,2026-05-05,0.65,NL0011872650,current
Capital Fund Management S.A.,IMCD N.V.,2026-05-04,0.81,NL0010801007,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-05-04,1.61,NL0013267909,current
"D. E. Shaw & Co., L.P.",ARCADIS N.V.,2026-04-30,0.57,NL0006237562,current
Jupiter Asset Management Ltd.,Pharming Group N.V.,2026-04-30,0.5,NL0010391025,current
Marshall Wace LLP,PostNL N.V.,2026-04-30,0.89,NL0009739416,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-30,0.86,NL0015002MS2,current
"PDT Partners, LLC",Signify N.V.,2026-04-30,0.89,NL0011821392,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-04-30,0.6,NL0015002MS2,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,2026-04-30,0.59,NL0011872650,current
White Creek Capital LLP,ARCADIS N.V.,2026-04-30,0.56,NL0006237562,current
Citadel Advisors LLC,Signify N.V.,2026-04-29,1.29,NL0011821392,current
Citadel Advisors LLC,Sligro Food Group N.V.,2026-04-29,0.9,NL0000817179,current
"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,2026-04-29,0.79,NL0000395903,current
Marshall Wace LLP,CVC Capital Partners plc,2026-04-29,0.71,JE00BRX98089,current
Marshall Wace LLP,PostNL N.V.,2026-04-29,0.9,NL0009739416,current
"PDT Partners, LLC",Signify N.V.,2026-04-29,0.9,NL0011821392,current
Citadel Advisors LLC,Signify N.V.,2026-04-28,1.32,NL0011821392,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2026-04-28,1.17,NL0013332471,current
Marshall Wace LLP,Signify N.V.,2026-04-28,1.8,NL0011821392,current
