position_holder,issuer_name,position_date,net_short_position,isin,source
"WorldQuant, LLC",Lakefront Biotherapeutics NV,2018-03-14,0.71,BE0003818359,archive
AHL Partners LLP,Fugro N.V.,2018-03-13,1.01,NL0000352565,archive
"AQR Capital Management, LLC",Koninklijke KPN N.V.,2018-03-13,0.91,NL0000009082,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,2018-03-13,2.3,BE0003818359,archive
"AQR Capital Management, LLC",OCI N.V.,2018-03-13,1.2,NL0010558797,archive
"BlueMountain Capital Management, LLC",SBM Offshore N.V.,2018-03-13,0.59,NL0000360618,archive
HBK Investments LP,Fugro N.V.,2018-03-13,1.01,NL0000352565,archive
Oxford Asset Management,Fugro N.V.,2018-03-13,0.5,NL0000352565,archive
Systematica Investments Limited,OCI N.V.,2018-03-13,0.49,NL0010558797,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2018-03-13,1.0,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,2018-03-13,1.71,NL0009739416,archive
"BlueMountain Capital Management, LLC",PostNL N.V.,2018-03-12,0.5,NL0009739416,archive
"Bridgewater Associates, LP",Koninklijke Ahold Delhaize N.V.,2018-03-12,0.6,NL0011794037,archive
Canada Pension Plan Investment Board,Fugro N.V.,2018-03-12,0.62,NL0000352565,archive
Canada Pension Plan Investment Board,PostNL N.V.,2018-03-12,0.8,NL0009739416,archive
"Connor, Clark & Lunn Investment Management Ltd.",Flow Traders Ltd.,2018-03-12,0.59,NL0011279492,archive
CQS (UK) LLP,Aperam S.A.,2018-03-12,0.72,LU0569974404,archive
Marshall Wace LLP,ARCADIS N.V.,2018-03-12,1.02,NL0006237562,archive
Marshall Wace LLP,Wereldhave N.V.,2018-03-12,1.31,NL0000289213,archive
"PDT Partners, LLC",Wereldhave N.V.,2018-03-12,0.69,NL0000289213,archive
Sculptor Capital Management Europe Limited,ARCADIS N.V.,2018-03-12,0.62,NL0006237562,archive
"WorldQuant, LLC",OCI N.V.,2018-03-12,0.59,NL0010558797,archive
"AQR Capital Management, LLC",Koninklijke KPN N.V.,2018-03-09,0.89,NL0000009082,archive
BNP Paribas S.A.,Koninklijke KPN N.V.,2018-03-09,0.5,NL0000009082,archive
"Bridgewater Associates, LP",ING Groep N.V.,2018-03-09,0.71,NL0011821202,archive
"Bridgewater Associates, LP",Koninklijke Philips N.V.,2018-03-09,0.71,NL0000009538,archive
Canada Pension Plan Investment Board,PostNL N.V.,2018-03-09,0.71,NL0009739416,archive
Capital Fund Management S.A.,Fugro N.V.,2018-03-09,1.16,NL0000352565,archive
CQS (UK) LLP,Aperam S.A.,2018-03-09,0.69,LU0569974404,archive
GSA Capital Partners LLP,Wereldhave N.V.,2018-03-09,0.5,NL0000289213,archive
HBK Investments LP,Fugro N.V.,2018-03-09,0.99,NL0000352565,archive
"PDT Partners, LLC",Pharming Group N.V.,2018-03-09,0.75,NL0010391025,archive
"PDT Partners, LLC",Wereldhave N.V.,2018-03-09,0.7,NL0000289213,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,2018-03-09,1.95,NL0000339760,archive
Sculptor Capital Management Europe Limited,ARCADIS N.V.,2018-03-09,0.54,NL0006237562,archive
"WorldQuant, LLC",PostNL N.V.,2018-03-09,1.61,NL0009739416,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,2018-03-08,2.29,BE0003818359,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2018-03-08,1.99,NL0000360618,archive
Balyasny Asset Management (UK) LLP,Koninklijke Vopak N.V.,2018-03-08,0.6,NL0009432491,archive
"BlackRock Institutional Trust Company, National Association",Fugro N.V.,2018-03-08,0.82,NL0000352565,archive
"BlackRock Institutional Trust Company, National Association",Wereldhave N.V.,2018-03-08,0.59,NL0000289213,archive
BlueCrest Capital Management Limited,Fugro N.V.,2018-03-08,0.53,NL0000352565,archive
"Bridgewater Associates, LP",ING Groep N.V.,2018-03-08,0.69,NL0011821202,archive
Canada Pension Plan Investment Board,PostNL N.V.,2018-03-08,0.63,NL0009739416,archive
CQS (UK) LLP,Aperam S.A.,2018-03-08,0.59,LU0569974404,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,2018-03-08,0.44,NL0000289213,archive
Marshall Wace LLP,Wereldhave N.V.,2018-03-08,1.21,NL0000289213,archive
"PDT Partners, LLC",Wereldhave N.V.,2018-03-08,0.69,NL0000289213,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,2018-03-08,1.84,NL0000339760,archive
"WorldQuant, LLC",Fugro N.V.,2018-03-08,0.8,NL0000352565,archive
"WorldQuant, LLC",PostNL N.V.,2018-03-08,1.56,NL0009739416,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,2018-03-07,2.19,BE0003818359,archive
Arrowgrass Capital Partners LLP,Fugro N.V.,2018-03-07,0.59,NL0000352565,archive
"BlueMountain Capital Management, LLC",SBM Offshore N.V.,2018-03-07,0.6,NL0000360618,archive
"Bridgewater Associates, LP",ING Groep N.V.,2018-03-07,0.7,NL0011821202,archive
CQS (UK) LLP,Aperam S.A.,2018-03-07,0.61,LU0569974404,archive
Marshall Wace LLP,ARCADIS N.V.,2018-03-07,0.91,NL0006237562,archive
"PDT Partners, LLC",Koninklijke BAM Groep N.V.,2018-03-07,0.48,NL0000337319,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,2018-03-07,1.28,NL0000339760,archive
"WorldQuant, LLC",Lakefront Biotherapeutics NV,2018-03-07,0.62,BE0003818359,archive
GSA Capital Partners LLP,Flow Traders Ltd.,2018-03-06,0.47,NL0011279492,archive
Highbridge Capital Management LLC,BE Semiconductor Industries N.V.,2018-03-06,0.49,NL0000339760,archive
Marshall Wace LLP,ABN AMRO Bank NV,2018-03-06,0.67,NL0011540547,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,2018-03-06,2.28,NL0000337319,archive
Marshall Wace LLP,Wereldhave N.V.,2018-03-06,1.13,NL0000289213,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,2018-03-06,0.59,NL0000339760,archive
Viking Global Investors LP,AEGON Ltd.,2018-03-06,0.52,NL0000303709,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2018-03-06,0.95,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,2018-03-06,1.44,NL0009739416,archive
AHL Partners LLP,Fugro N.V.,2018-03-05,0.99,NL0000352565,archive
AHL Partners LLP,Koninklijke BAM Groep N.V.,2018-03-05,0.59,NL0000337319,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2018-03-05,2.01,NL0000360618,archive
"Bridgewater Associates, LP",ING Groep N.V.,2018-03-05,0.68,NL0011821202,archive
Citadel Advisors II LLC,Koninklijke BAM Groep N.V.,2018-03-05,0.71,NL0000337319,archive
"Connor, Clark & Lunn Investment Management Ltd.",SBM Offshore N.V.,2018-03-05,0.5,NL0000360618,archive
Marshall Wace LLP,Pharming Group N.V.,2018-03-05,2.25,NL0010391025,archive
"PDT Partners, LLC",Koninklijke BAM Groep N.V.,2018-03-05,0.5,NL0000337319,archive
"PDT Partners, LLC",Wereldhave N.V.,2018-03-05,0.78,NL0000289213,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,2018-03-05,0.45,NL0011279492,archive
"WorldQuant, LLC",Fugro N.V.,2018-03-05,0.72,NL0000352565,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2018-03-05,1.07,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,2018-03-05,1.35,NL0009739416,archive
AHL Partners LLP,Fugro N.V.,2018-03-02,1.02,NL0000352565,archive
"Bridgewater Associates, LP",ASML Holding N.V.,2018-03-02,0.63,NL0010273215,archive
"Bridgewater Associates, LP",ING Groep N.V.,2018-03-02,0.7,NL0011821202,archive
Marshall Wace LLP,ARCADIS N.V.,2018-03-02,0.84,NL0006237562,archive
Marshall Wace LLP,PostNL N.V.,2018-03-02,0.47,NL0009739416,archive
Millennium International Management LP,Wereldhave N.V.,2018-03-02,0.81,NL0000289213,archive
"PDT Partners, LLC",Koninklijke BAM Groep N.V.,2018-03-02,0.49,NL0000337319,archive
"PDT Partners, LLC",Wereldhave N.V.,2018-03-02,0.8,NL0000289213,archive
Tower House Partners LLP,Signify N.V.,2018-03-02,0.49,NL0011821392,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2018-03-02,1.16,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,2018-03-02,1.23,NL0009739416,archive
"WorldQuant, LLC",Wereldhave N.V.,2018-03-02,2.02,NL0000289213,archive
"AQR Capital Management, LLC",Koninklijke KPN N.V.,2018-03-01,0.9,NL0000009082,archive
"AQR Capital Management, LLC",Koninklijke Vopak N.V.,2018-03-01,2.58,NL0009432491,archive
Balyasny Asset Management (UK) LLP,Koninklijke Vopak N.V.,2018-03-01,0.59,NL0009432491,archive
BlackRock Investment Management (UK) Limited,Koninklijke Vopak N.V.,2018-03-01,0.49,NL0009432491,archive
BlueCrest Capital Management Limited,Fugro N.V.,2018-03-01,0.47,NL0000352565,archive
"Connor, Clark & Lunn Investment Management Ltd.",Flow Traders Ltd.,2018-03-01,0.68,NL0011279492,archive
Highbridge Capital Management LLC,BE Semiconductor Industries N.V.,2018-03-01,0.5,NL0000339760,archive
Jupiter Investment Management Limited,Fugro N.V.,2018-03-01,0.64,NL0000352565,archive
Lansdowne Partners (UK) LLP,ARCADIS N.V.,2018-03-01,1.45,NL0006237562,archive
Marshall Wace LLP,Pharming Group N.V.,2018-03-01,2.15,NL0010391025,archive
Marshall Wace LLP,PostNL N.V.,2018-03-01,0.5,NL0009739416,archive
"WorldQuant, LLC",Fugro N.V.,2018-03-01,0.61,NL0000352565,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2018-03-01,1.28,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,2018-03-01,1.08,NL0009739416,archive
"BlueMountain Capital Management, LLC",OCI N.V.,2018-02-28,0.49,NL0010558797,archive
"Bridgewater Associates, LP",Koninklijke Ahold Delhaize N.V.,2018-02-28,0.51,NL0011794037,archive
Capital Fund Management S.A.,Flow Traders Ltd.,2018-02-28,0.49,NL0011279492,archive
Capital Fund Management S.A.,OCI N.V.,2018-02-28,0.6,NL0010558797,archive
Citadel Advisors II LLC,Koninklijke BAM Groep N.V.,2018-02-28,0.69,NL0000337319,archive
Citadel Advisors II LLC,Wereldhave N.V.,2018-02-28,0.62,NL0000289213,archive
Millennium International Management LP,Lakefront Biotherapeutics NV,2018-02-28,0.7,BE0003818359,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2018-02-28,1.42,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,2018-02-28,0.9,NL0009739416,archive
"WorldQuant, LLC",Wereldhave N.V.,2018-02-28,1.98,NL0000289213,archive
AHL Partners LLP,Fugro N.V.,2018-02-27,0.92,NL0000352565,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2018-02-27,1.94,NL0000360618,archive
BNP Paribas S.A.,Koninklijke KPN N.V.,2018-02-27,0.34,NL0000009082,archive
Capital Fund Management S.A.,Wereldhave N.V.,2018-02-27,0.91,NL0000289213,archive
GLG Partners LP,Signify N.V.,2018-02-27,0.06,NL0011821392,archive
Marshall Wace LLP,Pharming Group N.V.,2018-02-27,2.03,NL0010391025,archive
Marshall Wace LLP,Wereldhave N.V.,2018-02-27,1.03,NL0000289213,archive
Millennium International Management LP,Aperam S.A.,2018-02-27,0.59,LU0569974404,archive
Millennium International Management LP,Wereldhave N.V.,2018-02-27,0.77,NL0000289213,archive
"PDT Partners, LLC",PostNL N.V.,2018-02-27,0.45,NL0009739416,archive
TT International,Koninklijke BAM Groep N.V.,2018-02-27,0.51,NL0000337319,archive
"WorldQuant, LLC",Fugro N.V.,2018-02-27,0.52,NL0000352565,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2018-02-27,1.56,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,2018-02-27,0.72,NL0009739416,archive
"WorldQuant, LLC",Wereldhave N.V.,2018-02-27,1.88,NL0000289213,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2018-02-26,1.88,NL0000360618,archive
Capital Fund Management S.A.,Fugro N.V.,2018-02-26,1.21,NL0000352565,archive
Citadel Advisors II LLC,Koninklijke BAM Groep N.V.,2018-02-26,0.7,NL0000337319,archive
Citadel Securities (Europe) Limited,Koninklijke Heijmans N.V.,2018-02-26,0.01,NL0009269109,archive
Marshall Wace LLP,ARCADIS N.V.,2018-02-26,0.71,NL0006237562,archive
Millennium International Management LP,Lakefront Biotherapeutics NV,2018-02-26,0.61,BE0003818359,archive
Millennium International Management LP,Wereldhave N.V.,2018-02-26,0.8,NL0000289213,archive
Oxford Asset Management,Koninklijke Heijmans N.V.,2018-02-26,0.49,NL0009269109,archive
Oxford Asset Management,Lakefront Biotherapeutics NV,2018-02-26,0.49,BE0003818359,archive
"PDT Partners, LLC",PostNL N.V.,2018-02-26,0.51,NL0009739416,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2018-02-26,1.71,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,2018-02-26,0.6,NL0009739416,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,2018-02-23,2.01,BE0003818359,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2018-02-23,1.9,NL0000360618,archive
CQS (UK) LLP,Aperam S.A.,2018-02-23,0.58,LU0569974404,archive
GLG Partners LP,Signify N.V.,2018-02-23,0.5,NL0011821392,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,2018-02-23,2.35,NL0000337319,archive
Marshall Wace LLP,Pharming Group N.V.,2018-02-23,1.99,NL0010391025,archive
Oxford Asset Management,Lakefront Biotherapeutics NV,2018-02-23,0.5,BE0003818359,archive
"PDT Partners, LLC",Koninklijke BAM Groep N.V.,2018-02-23,0.52,NL0000337319,archive
"WorldQuant, LLC",Fugro N.V.,2018-02-23,0.46,NL0000352565,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2018-02-23,1.85,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,2018-02-23,0.58,NL0009739416,archive
"WorldQuant, LLC",Wereldhave N.V.,2018-02-23,1.73,NL0000289213,archive
AHL Partners LLP,Fugro N.V.,2018-02-22,0.84,NL0000352565,archive
AHL Partners LLP,Koninklijke BAM Groep N.V.,2018-02-22,0.63,NL0000337319,archive
BlueCrest Capital Management Limited,Fugro N.V.,2018-02-22,0.57,NL0000352565,archive
Citadel Advisors II LLC,Koninklijke BAM Groep N.V.,2018-02-22,0.63,NL0000337319,archive
Citadel Advisors II LLC,Wereldhave N.V.,2018-02-22,0.55,NL0000289213,archive
Citadel Securities (Europe) Limited,Koninklijke Heijmans N.V.,2018-02-22,0.75,NL0009269109,archive
"Davidson Kempner European Partners, LLP",Koninklijke BAM Groep N.V.,2018-02-22,0.58,NL0000337319,archive
Jupiter Investment Management Limited,Fugro N.V.,2018-02-22,0.5,NL0000352565,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,2018-02-22,2.26,NL0000337319,archive
Marshall Wace LLP,Wereldhave N.V.,2018-02-22,0.92,NL0000289213,archive
"PDT Partners, LLC",Koninklijke BAM Groep N.V.,2018-02-22,0.6,NL0000337319,archive
"WorldQuant, LLC",Fugro N.V.,2018-02-22,0.51,NL0000352565,archive
"WorldQuant, LLC",Wereldhave N.V.,2018-02-22,1.65,NL0000289213,archive
"Bridgewater Associates, LP",ING Groep N.V.,2018-02-21,0.6,NL0011821202,archive
Citadel Securities (Europe) Limited,Koninklijke Heijmans N.V.,2018-02-21,0.68,NL0009269109,archive
Highbridge Capital Management LLC,BE Semiconductor Industries N.V.,2018-02-21,0.49,NL0000339760,archive
JPMorgan Asset Management (UK) Ltd.,Koninklijke BAM Groep N.V.,2018-02-21,0.67,NL0000337319,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,2018-02-21,2.09,NL0000337319,archive
Millennium International Management LP,Aperam S.A.,2018-02-21,0.63,LU0569974404,archive
"PDT Partners, LLC",Koninklijke BAM Groep N.V.,2018-02-21,0.52,NL0000337319,archive
AKO Capital LLP,ARCADIS N.V.,2018-02-20,1.2,NL0006237562,archive
BlackRock Investment Management (UK) Limited,Koninklijke Vopak N.V.,2018-02-20,0.52,NL0009432491,archive
"Bridgewater Associates, LP",ING Groep N.V.,2018-02-20,0.59,NL0011821202,archive
"Bridgewater Associates, LP",Koninklijke Ahold Delhaize N.V.,2018-02-20,0.48,NL0011794037,archive
Capital Fund Management S.A.,Wereldhave N.V.,2018-02-20,0.82,NL0000289213,archive
Citadel Securities (Europe) Limited,Koninklijke Heijmans N.V.,2018-02-20,0.72,NL0009269109,archive
"Connor, Clark & Lunn Investment Management Ltd.",Flow Traders Ltd.,2018-02-20,0.79,NL0011279492,archive
GSA Capital Partners LLP,Flow Traders Ltd.,2018-02-20,0.59,NL0011279492,archive
GSA Capital Partners LLP,Pharming Group N.V.,2018-02-20,0.49,NL0010391025,archive
HBK Investments LP,Fugro N.V.,2018-02-20,1.09,NL0000352565,archive
Marshall Wace LLP,ARCADIS N.V.,2018-02-20,0.68,NL0006237562,archive
Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,2018-02-20,0.61,NL0011794037,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,2018-02-20,1.78,NL0000337319,archive
Oxford Asset Management,Koninklijke Heijmans N.V.,2018-02-20,0.52,NL0009269109,archive
"WorldQuant, LLC",Lakefront Biotherapeutics NV,2018-02-20,0.58,BE0003818359,archive
"WorldQuant, LLC",Wereldhave N.V.,2018-02-20,1.52,NL0000289213,archive
AHL Partners LLP,Fugro N.V.,2018-02-19,0.72,NL0000352565,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2018-02-19,1.89,NL0000360618,archive
"BlackRock Institutional Trust Company, National Association",Wereldhave N.V.,2018-02-19,0.67,NL0000289213,archive
Marshall Wace LLP,Pharming Group N.V.,2018-02-19,2.05,NL0010391025,archive
"PDT Partners, LLC",Wereldhave N.V.,2018-02-19,0.71,NL0000289213,archive
"WorldQuant, LLC",OCI N.V.,2018-02-19,0.6,NL0010558797,archive
Balyasny Asset Management (UK) LLP,Koninklijke Vopak N.V.,2018-02-16,0.64,NL0009432491,archive
"BlueMountain Capital Management, LLC",SBM Offshore N.V.,2018-02-16,0.51,NL0000360618,archive
Citadel Advisors II LLC,Wereldhave N.V.,2018-02-16,0.62,NL0000289213,archive
GSA Capital Partners LLP,Flow Traders Ltd.,2018-02-16,0.68,NL0011279492,archive
GSA Capital Partners LLP,Pharming Group N.V.,2018-02-16,0.51,NL0010391025,archive
Jupiter Investment Management Limited,Koninklijke Vopak N.V.,2018-02-16,0.6,NL0009432491,archive
Marshall Wace LLP,AEGON Ltd.,2018-02-16,0.44,NL0000303709,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,2018-02-16,1.64,NL0000337319,archive
Marshall Wace LLP,Koninklijke Vopak N.V.,2018-02-16,0.39,NL0009432491,archive
"WorldQuant, LLC",Fugro N.V.,2018-02-16,0.48,NL0000352565,archive
"WorldQuant, LLC",OCI N.V.,2018-02-16,0.59,NL0010558797,archive
"WorldQuant, LLC",PostNL N.V.,2018-02-16,0.68,NL0009739416,archive
"WorldQuant, LLC",Wereldhave N.V.,2018-02-16,1.44,NL0000289213,archive
AHL Partners LLP,Fugro N.V.,2018-02-15,0.66,NL0000352565,archive
AHL Partners LLP,Lakefront Biotherapeutics NV,2018-02-15,0.45,BE0003818359,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2018-02-15,1.9,NL0000360618,archive
BNP Paribas S.A.,BE Semiconductor Industries N.V.,2018-02-15,0.5,NL0000339760,archive
"Bridgewater Associates, LP",ASML Holding N.V.,2018-02-15,0.59,NL0010273215,archive
Citadel Advisors II LLC,Wereldhave N.V.,2018-02-15,0.71,NL0000289213,archive
Citadel Securities (Europe) Limited,Koninklijke Heijmans N.V.,2018-02-15,0.6,NL0009269109,archive
Marshall Wace LLP,Wereldhave N.V.,2018-02-15,0.87,NL0000289213,archive
Millennium International Management LP,Aperam S.A.,2018-02-15,0.5,LU0569974404,archive
Toscafund Asset Management LLP,Wereldhave N.V.,2018-02-15,0.62,NL0000289213,archive
"AQR Capital Management, LLC",Koninklijke Vopak N.V.,2018-02-14,2.69,NL0009432491,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,2018-02-14,1.92,BE0003818359,archive
"BlueMountain Capital Management, LLC",OCI N.V.,2018-02-14,0.51,NL0010558797,archive
"Bridgewater Associates, LP",ING Groep N.V.,2018-02-14,0.67,NL0011821202,archive
"Bridgewater Associates, LP",Koninklijke Philips N.V.,2018-02-14,0.67,NL0000009538,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,2018-02-14,1.54,NL0000337319,archive
Marshall Wace LLP,Koninklijke Vopak N.V.,2018-02-14,0.6,NL0009432491,archive
Marshall Wace LLP,Pharming Group N.V.,2018-02-14,1.95,NL0010391025,archive
Marshall Wace LLP,Wereldhave N.V.,2018-02-14,0.92,NL0000289213,archive
Millennium International Management LP,Lakefront Biotherapeutics NV,2018-02-14,0.59,BE0003818359,archive
"PDT Partners, LLC",Pharming Group N.V.,2018-02-14,0.61,NL0010391025,archive
"WorldQuant, LLC",Lakefront Biotherapeutics NV,2018-02-14,0.69,BE0003818359,archive
"WorldQuant, LLC",Wereldhave N.V.,2018-02-14,1.32,NL0000289213,archive
AHL Partners LLP,Fugro N.V.,2018-02-13,0.7,NL0000352565,archive
"AQR Capital Management, LLC",OCI N.V.,2018-02-13,1.1,NL0010558797,archive
Capital Fund Management S.A.,Fugro N.V.,2018-02-13,1.1,NL0000352565,archive
Capital Fund Management S.A.,Wereldhave N.V.,2018-02-13,0.72,NL0000289213,archive
Citadel Advisors II LLC,Wereldhave N.V.,2018-02-13,0.68,NL0000289213,archive
Citadel Securities (Europe) Limited,Koninklijke Heijmans N.V.,2018-02-13,0.48,NL0009269109,archive
Marshall Wace LLP,AEGON Ltd.,2018-02-13,0.5,NL0000303709,archive
Marshall Wace LLP,Wereldhave N.V.,2018-02-13,1.05,NL0000289213,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,2018-02-13,0.59,NL0011279492,archive
"WorldQuant, LLC",OCI N.V.,2018-02-13,0.6,NL0010558797,archive
"Bridgewater Associates, LP",ASML Holding N.V.,2018-02-12,0.65,NL0010273215,archive
"Bridgewater Associates, LP",ING Groep N.V.,2018-02-12,0.72,NL0011821202,archive
"Bridgewater Associates, LP",Koninklijke Ahold Delhaize N.V.,2018-02-12,0.58,NL0011794037,archive
"Bridgewater Associates, LP",Koninklijke Philips N.V.,2018-02-12,0.73,NL0000009538,archive
Capital Fund Management S.A.,OCI N.V.,2018-02-12,0.51,NL0010558797,archive
"Connor, Clark & Lunn Investment Management Ltd.",Flow Traders Ltd.,2018-02-12,0.83,NL0011279492,archive
GSA Capital Partners LLP,Flow Traders Ltd.,2018-02-12,0.73,NL0011279492,archive
Marshall Wace LLP,AEGON Ltd.,2018-02-12,0.49,NL0000303709,archive
Marshall Wace LLP,Wereldhave N.V.,2018-02-12,1.19,NL0000289213,archive
"PDT Partners, LLC",Wereldhave N.V.,2018-02-12,0.64,NL0000289213,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,2018-02-12,0.76,NL0011279492,archive
"WorldQuant, LLC",Wereldhave N.V.,2018-02-12,1.21,NL0000289213,archive
AHL Partners LLP,Lakefront Biotherapeutics NV,2018-02-09,0.59,BE0003818359,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,2018-02-09,1.84,BE0003818359,archive
Balyasny Asset Management LP,Flow Traders Ltd.,2018-02-09,0.0,NL0011279492,archive
"BlackRock Institutional Trust Company, National Association",Fugro N.V.,2018-02-09,0.71,NL0000352565,archive
"BlackRock Institutional Trust Company, National Association",Wereldhave N.V.,2018-02-09,0.5,NL0000289213,archive
BNP Paribas S.A.,Koninklijke KPN N.V.,2018-02-09,0.97,NL0000009082,archive
"Bridgewater Associates, LP",ASML Holding N.V.,2018-02-09,0.72,NL0010273215,archive
"Bridgewater Associates, LP",ING Groep N.V.,2018-02-09,0.81,NL0011821202,archive
"Bridgewater Associates, LP",Koninklijke Ahold Delhaize N.V.,2018-02-09,0.65,NL0011794037,archive
"Bridgewater Associates, LP",Koninklijke Philips N.V.,2018-02-09,0.81,NL0000009538,archive
Highbridge Capital Management LLC,BE Semiconductor Industries N.V.,2018-02-09,0.59,NL0000339760,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,2018-02-09,1.42,NL0000337319,archive
Marshall Wace LLP,Pharming Group N.V.,2018-02-09,1.6,NL0010391025,archive
Marshall Wace LLP,Wereldhave N.V.,2018-02-09,1.31,NL0000289213,archive
Millennium International Management LP,Lakefront Biotherapeutics NV,2018-02-09,0.64,BE0003818359,archive
Pelham Global Financials Master Fund Ltd.,Flow Traders Ltd.,2018-02-09,0.0,NL0011279492,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,2018-02-09,1.05,NL0011279492,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2018-02-09,1.93,NL0000337319,archive
"WorldQuant, LLC",Wereldhave N.V.,2018-02-09,1.13,NL0000289213,archive
AHL Partners LLP,Fugro N.V.,2018-02-08,0.69,NL0000352565,archive
AKO Capital LLP,ARCADIS N.V.,2018-02-08,1.12,NL0006237562,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,2018-02-08,1.74,BE0003818359,archive
"Bridgewater Associates, LP",ASML Holding N.V.,2018-02-08,0.65,NL0010273215,archive
"Bridgewater Associates, LP",ING Groep N.V.,2018-02-08,0.73,NL0011821202,archive
"Bridgewater Associates, LP",Koninklijke Philips N.V.,2018-02-08,0.73,NL0000009538,archive
GSA Capital Partners LLP,Flow Traders Ltd.,2018-02-08,0.68,NL0011279492,archive
HBK Investments LP,Fugro N.V.,2018-02-08,1.12,NL0000352565,archive
Marshall Wace LLP,Pharming Group N.V.,2018-02-08,1.23,NL0010391025,archive
Marshall Wace LLP,Wereldhave N.V.,2018-02-08,1.46,NL0000289213,archive
Oxford Asset Management,Lakefront Biotherapeutics NV,2018-02-08,0.48,BE0003818359,archive
Systematica Investments Limited,OCI N.V.,2018-02-08,0.5,NL0010558797,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2018-02-08,1.86,NL0000337319,archive
"WorldQuant, LLC",Wereldhave N.V.,2018-02-08,0.99,NL0000289213,archive
AHL Partners LLP,Koninklijke BAM Groep N.V.,2018-02-07,0.58,NL0000337319,archive
"AQR Capital Management, LLC",Koninklijke KPN N.V.,2018-02-07,0.89,NL0000009082,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,2018-02-07,1.68,BE0003818359,archive
Balyasny Asset Management LP,Flow Traders Ltd.,2018-02-07,1.01,NL0011279492,archive
"Bridgewater Associates, LP",ASML Holding N.V.,2018-02-07,0.58,NL0010273215,archive
Capital Fund Management S.A.,Fugro N.V.,2018-02-07,1.01,NL0000352565,archive
Citadel Advisors II LLC,Wereldhave N.V.,2018-02-07,0.5,NL0000289213,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,2018-02-07,0.5,NL0000289213,archive
GSA Capital Partners LLP,Flow Traders Ltd.,2018-02-07,0.7,NL0011279492,archive
Highbridge Capital Management LLC,BE Semiconductor Industries N.V.,2018-02-07,0.6,NL0000339760,archive
Marshall Wace LLP,ABN AMRO Bank NV,2018-02-07,0.74,NL0011540547,archive
