position_holder,issuer_name,position_date,isin,net_short_position,source
Marshall Wace LLP,IMCD N.V.,2026-05-06,NL0010801007,0.83,current
"PDT Partners, LLC",IMCD N.V.,2026-05-06,NL0010801007,0.77,current
"PDT Partners, LLC",Signify N.V.,2026-05-06,NL0011821392,0.9,current
Citadel Advisors Europe Limited,Signify N.V.,2026-05-05,NL0011821392,0.8,current
Citadel Advisors LLC,IMCD N.V.,2026-05-05,NL0010801007,0.9,current
Citadel Advisors LLC,Signify N.V.,2026-05-05,NL0011821392,1.36,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,2026-05-05,NL0011872650,0.98,current
"D. E. Shaw & Co., L.P.",PostNL N.V.,2026-05-05,NL0009739416,0.7,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2026-05-05,NL0013332471,1.09,current
Marshall Wace LLP,Signify N.V.,2026-05-05,NL0011821392,1.76,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,2026-05-05,NL0011872650,0.65,current
Capital Fund Management S.A.,IMCD N.V.,2026-05-04,NL0010801007,0.81,current
Citadel Advisors Europe Limited,Signify N.V.,2026-05-04,NL0011821392,0.7,current
"D. E. Shaw & Co., L.P.",PostNL N.V.,2026-05-04,NL0009739416,0.69,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-05-04,NL0013267909,1.61,current
Walleye Capital LLC,The Magnum Ice Cream Company N.V.,2026-05-04,NL0015002MS2,0.67,current
Citadel Advisors Europe Limited,Signify N.V.,2026-04-30,NL0011821392,0.55,current
"D. E. Shaw & Co., L.P.",ARCADIS N.V.,2026-04-30,NL0006237562,0.57,current
"D. E. Shaw & Co., L.P.",PostNL N.V.,2026-04-30,NL0009739416,0.7,current
Jupiter Asset Management Ltd.,Pharming Group N.V.,2026-04-30,NL0010391025,0.5,current
Marshall Wace LLP,PostNL N.V.,2026-04-30,NL0009739416,0.89,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-30,NL0015002MS2,0.86,current
"PDT Partners, LLC",Signify N.V.,2026-04-30,NL0011821392,0.89,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-04-30,NL0015002MS2,0.6,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,2026-04-30,NL0011872650,0.59,current
Squarepoint Ops LLC,Alfen N.V.,2026-04-30,NL0012817175,0.73,current
White Creek Capital LLP,ARCADIS N.V.,2026-04-30,NL0006237562,0.56,current
Citadel Advisors LLC,IMCD N.V.,2026-04-29,NL0010801007,0.83,current
Citadel Advisors LLC,Signify N.V.,2026-04-29,NL0011821392,1.29,current
Citadel Advisors LLC,Sligro Food Group N.V.,2026-04-29,NL0000817179,0.9,current
"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,2026-04-29,NL0000395903,0.79,current
Marshall Wace LLP,CVC Capital Partners plc,2026-04-29,JE00BRX98089,0.71,current
Marshall Wace LLP,IMCD N.V.,2026-04-29,NL0010801007,0.74,current
Marshall Wace LLP,PostNL N.V.,2026-04-29,NL0009739416,0.9,current
"PDT Partners, LLC",Signify N.V.,2026-04-29,NL0011821392,0.9,current
Walleye Capital LLC,The Magnum Ice Cream Company N.V.,2026-04-29,NL0015002MS2,0.7,current
Citadel Advisors LLC,IMCD N.V.,2026-04-28,NL0010801007,0.75,current
Citadel Advisors LLC,Signify N.V.,2026-04-28,NL0011821392,1.32,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2026-04-28,NL0013332471,1.17,current
Marshall Wace LLP,Signify N.V.,2026-04-28,NL0011821392,1.8,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-28,NL0015002MS2,0.98,current
Squarepoint Ops LLC,Alfen N.V.,2026-04-28,NL0012817175,0.62,current
"AQR Capital Management, LLC",Adyen N.V.,2026-04-27,NL0012969182,1.27,current
Citadel Advisors LLC,Signify N.V.,2026-04-27,NL0011821392,1.43,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-04-27,CH1216478797,1.3,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2026-04-27,NL00150003E1,2.15,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2026-04-24,NL00150003E1,2.06,current
Linden Advisors LP,Basic-Fit N.V.,2026-04-24,NL0011872650,0.82,current
Marshall Wace LLP,IMCD N.V.,2026-04-24,NL0010801007,0.61,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-24,NL0015002MS2,1.04,current
Citadel Advisors LLC,Signify N.V.,2026-04-23,NL0011821392,1.68,current
