issuer_name,position_holder,position_date,isin,net_short_position,source
IMCD N.V.,Capital Fund Management S.A.,2026-06-26,NL0010801007,0.99,current
Wereldhave N.V.,Citadel Advisors LLC,2026-06-26,NL0000289213,1.09,current
DSM-Firmenich AG,Marshall Wace LLP,2026-06-26,CH1216478797,0.99,current
Pharming Group N.V.,Walleye Capital LLC,2026-06-26,NL0010391025,1.09,current
Signify N.V.,Citadel Advisors LLC,2026-06-25,NL0011821392,1.33,current
Signify N.V.,"Farallon Capital Management, L.L.C.",2026-06-25,NL0011821392,1.2,current
DSM-Firmenich AG,Marshall Wace LLP,2026-06-25,CH1216478797,1.0,current
Signify N.V.,Marshall Wace LLP,2026-06-25,NL0011821392,1.65,current
Alfen N.V.,"WorldQuant, LLC",2026-06-25,NL0012817175,0.88,current
Sligro Food Group N.V.,Citadel Advisors LLC,2026-06-24,NL0000817179,0.79,current
Avantium N.V.,Citadel Securities (Europe) Limited,2026-06-24,NL0015002IE0,0.51,current
Signify N.V.,"Farallon Capital Management, L.L.C.",2026-06-24,NL0011821392,1.17,current
Akzo Nobel N.V.,Millennium International Management LP,2026-06-24,NL0013267909,0.6,current
Signify N.V.,Squarepoint Ops LLC,2026-06-24,NL0011821392,0.81,current
Basic-Fit N.V.,Eleva Capital SAS,2026-06-23,NL0011872650,0.93,current
Signify N.V.,"Farallon Capital Management, L.L.C.",2026-06-23,NL0011821392,1.04,current
Basic-Fit N.V.,Sculptor Capital Management Europe Limited,2026-06-23,NL0011872650,0.77,current
Signify N.V.,Squarepoint Ops LLC,2026-06-23,NL0011821392,0.79,current
Signify N.V.,Citadel Advisors LLC,2026-06-22,NL0011821392,1.27,current
Wereldhave N.V.,Citadel Advisors LLC,2026-06-22,NL0000289213,1.1,current
IMCD N.V.,"PDT Partners, LLC",2026-06-22,NL0010801007,0.8,current
PostNL N.V.,"PDT Partners, LLC",2026-06-22,NL0009739416,0.61,current
Signify N.V.,"PDT Partners, LLC",2026-06-22,NL0011821392,1.3,current
Pharming Group N.V.,"Two Sigma Investments, LP",2026-06-22,NL0010391025,1.1,current
Alfen N.V.,"WorldQuant, LLC",2026-06-22,NL0012817175,0.74,current
IMCD N.V.,Capital Fund Management S.A.,2026-06-19,NL0010801007,1.0,current
Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,2026-06-19,NL0010391025,0.83,current
Signify N.V.,Citadel Advisors LLC,2026-06-19,NL0011821392,1.3,current
DSM-Firmenich AG,Marshall Wace LLP,2026-06-19,CH1216478797,0.91,current
Pharming Group N.V.,Spark Investment Management LLC,2026-06-19,NL0010391025,0.52,current
Alfen N.V.,"WorldQuant, LLC",2026-06-19,NL0012817175,0.68,current
Signify N.V.,"Farallon Capital Management, L.L.C.",2026-06-18,NL0011821392,0.85,current
IMCD N.V.,"PDT Partners, LLC",2026-06-18,NL0010801007,0.79,current
Alfen N.V.,"WorldQuant, LLC",2026-06-18,NL0012817175,0.71,current
IMCD N.V.,"Arrowstreet Capital, Limited Partnership",2026-06-17,NL0010801007,1.29,current
Signify N.V.,"BlackRock Financial Management, Inc.",2026-06-17,NL0011821392,0.79,current
The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,2026-06-17,NL0015002MS2,0.51,current
Signify N.V.,Citadel Advisors LLC,2026-06-17,NL0011821392,1.46,current
Sligro Food Group N.V.,Citadel Advisors LLC,2026-06-17,NL0000817179,0.89,current
Signify N.V.,"Farallon Capital Management, L.L.C.",2026-06-17,NL0011821392,0.75,current
DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2026-06-17,CH1216478797,1.91,current
Signify N.V.,Marshall Wace LLP,2026-06-17,NL0011821392,1.51,current
Akzo Nobel N.V.,Davidson Kempner Capital Management LP,2026-06-16,NL0013267909,1.3,current
Signify N.V.,"Farallon Capital Management, L.L.C.",2026-06-16,NL0011821392,0.61,current
Alfen N.V.,"WorldQuant, LLC",2026-06-16,NL0012817175,0.63,current
Signify N.V.,"Farallon Capital Management, L.L.C.",2026-06-15,NL0011821392,0.56,current
Akzo Nobel N.V.,Millennium International Management LP,2026-06-15,NL0013267909,0.5,current
Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",2026-06-15,NL0013267909,1.09,current
Akzo Nobel N.V.,"BlackRock Advisors, LLC",2026-06-12,NL0013267909,0.7,current
Signify N.V.,Citadel Advisors LLC,2026-06-12,NL0011821392,1.56,current
DSM-Firmenich AG,Marshall Wace LLP,2026-06-12,CH1216478797,0.88,current
Signify N.V.,Marshall Wace LLP,2026-06-12,NL0011821392,1.48,current
Basic-Fit N.V.,Linden Advisors LP,2026-06-11,NL0011872650,0.75,current
Alfen N.V.,"WorldQuant, LLC",2026-06-11,NL0012817175,0.56,current
ARCADIS N.V.,"AQR Capital Management, LLC",2026-06-10,NL0006237562,0.89,current
Signify N.V.,Citadel Advisors LLC,2026-06-10,NL0011821392,1.6,current
