issuer_name,position_holder,position_date,isin,net_short_position,source
Flow Traders Ltd.,GSA Capital Partners LLP,2018-02-06,NL0011279492,0.65,archive
Fugro N.V.,HBK Investments LP,2018-02-06,NL0000352565,1.09,archive
Flow Traders Ltd.,Marshall Wace LLP,2018-02-06,NL0011279492,0.45,archive
Koninklijke Vopak N.V.,Marshall Wace LLP,2018-02-06,NL0009432491,0.59,archive
Pharming Group N.V.,Marshall Wace LLP,2018-02-06,NL0010391025,1.47,archive
Wereldhave N.V.,Millennium International Management LP,2018-02-06,NL0000289213,0.75,archive
Wereldhave N.V.,"PDT Partners, LLC",2018-02-06,NL0000289213,0.57,archive
Signify N.V.,Tybourne Capital Management (HK) Limited,2018-02-06,NL0011821392,2.2,archive
Fugro N.V.,"WorldQuant, LLC",2018-02-06,NL0000352565,0.59,archive
Wereldhave N.V.,"WorldQuant, LLC",2018-02-06,NL0000289213,0.72,archive
ASML Holding N.V.,"Bridgewater Associates, LP",2018-02-05,NL0010273215,0.51,archive
Wereldhave N.V.,"D. E. Shaw & Co., L.P.",2018-02-05,NL0000289213,0.48,archive
Fugro N.V.,HBK Investments LP,2018-02-05,NL0000352565,0.96,archive
BE Semiconductor Industries N.V.,Highbridge Capital Management LLC,2018-02-05,NL0000339760,0.59,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2018-02-05,NL0000337319,1.22,archive
OCI N.V.,Marshall Wace LLP,2018-02-05,NL0010558797,0.36,archive
Pharming Group N.V.,Marshall Wace LLP,2018-02-05,NL0010391025,1.34,archive
Wereldhave N.V.,"PDT Partners, LLC",2018-02-05,NL0000289213,0.6,archive
Fugro N.V.,"WorldQuant, LLC",2018-02-05,NL0000352565,0.61,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2018-02-05,NL0000337319,1.9,archive
Lakefront Biotherapeutics NV,"WorldQuant, LLC",2018-02-05,BE0003818359,0.81,archive
Wereldhave N.V.,"WorldQuant, LLC",2018-02-05,NL0000289213,0.56,archive
Koninklijke BAM Groep N.V.,AHL Partners LLP,2018-02-02,NL0000337319,0.68,archive
Koninklijke KPN N.V.,"AQR Capital Management, LLC",2018-02-02,NL0000009082,0.9,archive
Fugro N.V.,Capital Fund Management S.A.,2018-02-02,NL0000352565,0.91,archive
Wereldhave N.V.,"D. E. Shaw & Co., L.P.",2018-02-02,NL0000289213,0.52,archive
OCI N.V.,Marshall Wace LLP,2018-02-02,NL0010558797,0.52,archive
Pharming Group N.V.,Marshall Wace LLP,2018-02-02,NL0010391025,1.24,archive
Wereldhave N.V.,Marshall Wace LLP,2018-02-02,NL0000289213,1.46,archive
Wereldhave N.V.,Millennium International Management LP,2018-02-02,NL0000289213,0.63,archive
Koninklijke Vopak N.V.,"WorldQuant, LLC",2018-02-02,NL0009432491,0.49,archive
PostNL N.V.,"WorldQuant, LLC",2018-02-02,NL0009739416,0.7,archive
Koninklijke KPN N.V.,"AQR Capital Management, LLC",2018-02-01,NL0000009082,0.89,archive
Flow Traders Ltd.,"Connor, Clark & Lunn Investment Management Ltd.",2018-02-01,NL0011279492,1.0,archive
ABN AMRO Bank NV,Marshall Wace LLP,2018-02-01,NL0011540547,0.6,archive
Lakefront Biotherapeutics NV,AHL Partners LLP,2018-01-31,BE0003818359,0.79,archive
Lakefront Biotherapeutics NV,"AQR Capital Management, LLC",2018-01-31,BE0003818359,1.62,archive
Basic-Fit N.V.,BlackRock Investment Management (UK) Limited,2018-01-31,NL0011872650,0.79,archive
Koninklijke Vopak N.V.,BlackRock Investment Management (UK) Limited,2018-01-31,NL0009432491,0.49,archive
ING Groep N.V.,"Bridgewater Associates, LP",2018-01-31,NL0011821202,0.52,archive
Koninklijke Philips N.V.,"Bridgewater Associates, LP",2018-01-31,NL0000009538,0.52,archive
Aperam S.A.,CQS (UK) LLP,2018-01-31,LU0569974404,0.66,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2018-01-31,NL0000337319,1.11,archive
Pharming Group N.V.,Marshall Wace LLP,2018-01-31,NL0010391025,1.12,archive
Lakefront Biotherapeutics NV,Oxford Asset Management,2018-01-31,BE0003818359,0.58,archive
OCI N.V.,"WorldQuant, LLC",2018-01-31,NL0010558797,0.5,archive
Fugro N.V.,"BlackRock Institutional Trust Company, National Association",2018-01-30,NL0000352565,0.66,archive
OCI N.V.,Marshall Wace LLP,2018-01-30,NL0010558797,0.49,archive
Pharming Group N.V.,Marshall Wace LLP,2018-01-30,NL0010391025,1.03,archive
Wereldhave N.V.,Millennium International Management LP,2018-01-30,NL0000289213,0.71,archive
Wereldhave N.V.,"WorldQuant, LLC",2018-01-30,NL0000289213,0.49,archive
Fugro N.V.,AHL Partners LLP,2018-01-29,NL0000352565,0.79,archive
Koninklijke BAM Groep N.V.,AHL Partners LLP,2018-01-29,NL0000337319,0.77,archive
Fugro N.V.,AXA Investment Managers Chorus Limited,2018-01-29,NL0000352565,0.48,archive
Koninklijke Vopak N.V.,CapeView Capital LLP,2018-01-29,NL0009432491,0.46,archive
Fugro N.V.,HBK Investments LP,2018-01-29,NL0000352565,1.03,archive
Koninklijke Vopak N.V.,Jupiter Investment Management Limited,2018-01-29,NL0009432491,0.59,archive
Flow Traders Ltd.,Marshall Wace LLP,2018-01-29,NL0011279492,1.14,archive
Pharming Group N.V.,Marshall Wace LLP,2018-01-29,NL0010391025,0.96,archive
Flow Traders Ltd.,"Philadelphia Financial Management of San Francisco, LLC",2018-01-29,NL0011279492,1.93,archive
Koninklijke Heijmans N.V.,Susquehanna International Holdings LLC,2018-01-29,NL0009269109,0.44,archive
Lakefront Biotherapeutics NV,"WorldQuant, LLC",2018-01-29,BE0003818359,0.7,archive
PostNL N.V.,"WorldQuant, LLC",2018-01-29,NL0009739416,0.63,archive
BE Semiconductor Industries N.V.,BNP Paribas S.A.,2018-01-26,NL0000339760,0.42,archive
Koninklijke Vopak N.V.,CapeView Capital LLP,2018-01-26,NL0009432491,0.5,archive
Fugro N.V.,HBK Investments LP,2018-01-26,NL0000352565,1.19,archive
ARCADIS N.V.,Marshall Wace LLP,2018-01-26,NL0006237562,0.7,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2018-01-26,NL0000337319,1.08,archive
Fugro N.V.,"WorldQuant, LLC",2018-01-26,NL0000352565,0.55,archive
PostNL N.V.,"WorldQuant, LLC",2018-01-26,NL0009739416,0.57,archive
Lakefront Biotherapeutics NV,AHL Partners LLP,2018-01-25,BE0003818359,0.88,archive
Lakefront Biotherapeutics NV,"AQR Capital Management, LLC",2018-01-25,BE0003818359,1.5,archive
AEGON Ltd.,B&G Master Fund Plc,2018-01-25,NL0000303709,0.5,archive
Fugro N.V.,HBK Investments LP,2018-01-25,NL0000352565,1.2,archive
Koninklijke Vopak N.V.,Jupiter Investment Management Limited,2018-01-25,NL0009432491,0.6,archive
Flow Traders Ltd.,Marshall Wace LLP,2018-01-25,NL0011279492,1.28,archive
Sif Holding N.V.,Renaissance Technologies LLC,2018-01-25,NL0011660485,0.79,archive
Fugro N.V.,"WorldQuant, LLC",2018-01-25,NL0000352565,0.6,archive
Koninklijke BAM Groep N.V.,AHL Partners LLP,2018-01-24,NL0000337319,0.87,archive
Fugro N.V.,AXA Investment Managers Chorus Limited,2018-01-24,NL0000352565,0.59,archive
Koninklijke Vopak N.V.,BlackRock Investment Management (UK) Limited,2018-01-24,NL0009432491,0.5,archive
Fugro N.V.,HBK Investments LP,2018-01-24,NL0000352565,1.19,archive
ABN AMRO Bank NV,Marshall Wace LLP,2018-01-24,NL0011540547,0.51,archive
Pharming Group N.V.,Marshall Wace LLP,2018-01-24,NL0010391025,0.81,archive
Pharming Group N.V.,"PDT Partners, LLC",2018-01-24,NL0010391025,0.5,archive
Fugro N.V.,"WorldQuant, LLC",2018-01-24,NL0000352565,0.7,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2018-01-24,NL0000337319,1.88,archive
Fugro N.V.,AHL Partners LLP,2018-01-23,NL0000352565,0.89,archive
Lakefront Biotherapeutics NV,"AQR Capital Management, LLC",2018-01-23,BE0003818359,1.41,archive
Flow Traders Ltd.,"Connor, Clark & Lunn Investment Management Ltd.",2018-01-23,NL0011279492,0.99,archive
Fugro N.V.,HBK Investments LP,2018-01-23,NL0000352565,1.09,archive
Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2018-01-23,NL0000352565,1.39,archive
ARCADIS N.V.,Marshall Wace LLP,2018-01-23,NL0006237562,0.69,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2018-01-23,NL0000337319,1.13,archive
Pharming Group N.V.,Marshall Wace LLP,2018-01-23,NL0010391025,0.77,archive
Wereldhave N.V.,Marshall Wace LLP,2018-01-23,NL0000289213,0.87,archive
Fugro N.V.,"WorldQuant, LLC",2018-01-23,NL0000352565,0.83,archive
Lakefront Biotherapeutics NV,"AQR Capital Management, LLC",2018-01-22,BE0003818359,1.34,archive
Koninklijke Vopak N.V.,BlackRock Investment Management (UK) Limited,2018-01-22,NL0009432491,0.49,archive
Flow Traders Ltd.,GSA Capital Partners LLP,2018-01-22,NL0011279492,1.2,archive
Pharming Group N.V.,Marshall Wace LLP,2018-01-22,NL0010391025,0.62,archive
Fugro N.V.,"WorldQuant, LLC",2018-01-22,NL0000352565,0.92,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2018-01-22,NL0000337319,1.98,archive
Fugro N.V.,AHL Partners LLP,2018-01-19,NL0000352565,0.99,archive
ARCADIS N.V.,AKO Capital LLP,2018-01-19,NL0006237562,1.0,archive
Lakefront Biotherapeutics NV,"AQR Capital Management, LLC",2018-01-19,BE0003818359,1.26,archive
Fugro N.V.,AXA Investment Managers Chorus Limited,2018-01-19,NL0000352565,0.69,archive
Flow Traders Ltd.,Citadel Advisors II LLC,2018-01-19,NL0011279492,0.49,archive
BE Semiconductor Industries N.V.,Highbridge Capital Management LLC,2018-01-19,NL0000339760,0.61,archive
Flow Traders Ltd.,Citadel Advisors II LLC,2018-01-18,NL0011279492,0.5,archive
Fugro N.V.,HBK Investments LP,2018-01-18,NL0000352565,1.28,archive
Fugro N.V.,Oxford Asset Management,2018-01-18,NL0000352565,0.49,archive
Lakefront Biotherapeutics NV,AHL Partners LLP,2018-01-17,BE0003818359,0.99,archive
SBM Offshore N.V.,"AQR Capital Management, LLC",2018-01-17,NL0000360618,1.88,archive
Fugro N.V.,AXA Investment Managers Chorus Limited,2018-01-17,NL0000352565,0.78,archive
Koninklijke BAM Groep N.V.,Linden Advisors LP,2018-01-17,NL0000337319,0.63,archive
Koninklijke Vopak N.V.,Marshall Wace LLP,2018-01-17,NL0009432491,0.6,archive
Fugro N.V.,Oxford Asset Management,2018-01-17,NL0000352565,0.5,archive
Lakefront Biotherapeutics NV,AHL Partners LLP,2018-01-16,BE0003818359,1.01,archive
SBM Offshore N.V.,"AQR Capital Management, LLC",2018-01-16,NL0000360618,1.9,archive
Flow Traders Ltd.,Argonaut Capital Partners,2018-01-16,NL0011279492,0.48,archive
Fugro N.V.,BlueCrest Capital Management Limited,2018-01-16,NL0000352565,0.65,archive
BE Semiconductor Industries N.V.,BNP Paribas S.A.,2018-01-16,NL0000339760,0.56,archive
Flow Traders Ltd.,GSA Capital Partners LLP,2018-01-16,NL0011279492,1.0,archive
Fugro N.V.,HBK Investments LP,2018-01-16,NL0000352565,1.31,archive
ARCADIS N.V.,Marshall Wace LLP,2018-01-16,NL0006237562,0.78,archive
Wereldhave N.V.,Marshall Wace LLP,2018-01-16,NL0000289213,0.95,archive
Fugro N.V.,Myriad Opportunities Master Fund Limited,2018-01-16,NL0000352565,0.62,archive
Lakefront Biotherapeutics NV,"WorldQuant, LLC",2018-01-16,BE0003818359,0.62,archive
Flow Traders Ltd.,GSA Capital Partners LLP,2018-01-15,NL0011279492,0.99,archive
Wereldhave N.V.,Marshall Wace LLP,2018-01-15,NL0000289213,1.03,archive
Fugro N.V.,"WorldQuant, LLC",2018-01-15,NL0000352565,0.88,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2018-01-15,NL0000337319,2.07,archive
Fugro N.V.,AHL Partners LLP,2018-01-12,NL0000352565,1.01,archive
Lakefront Biotherapeutics NV,"AQR Capital Management, LLC",2018-01-12,BE0003818359,1.1,archive
SBM Offshore N.V.,"AQR Capital Management, LLC",2018-01-12,NL0000360618,1.89,archive
Fugro N.V.,AXA Investment Managers Chorus Limited,2018-01-12,NL0000352565,0.88,archive
Fugro N.V.,BlueCrest Capital Management Limited,2018-01-12,NL0000352565,0.59,archive
Flow Traders Ltd.,GSA Capital Partners LLP,2018-01-12,NL0011279492,1.0,archive
Fugro N.V.,HBK Investments LP,2018-01-12,NL0000352565,1.29,archive
Fugro N.V.,Marshall Wace LLP,2018-01-12,NL0000352565,0.45,archive
OCI N.V.,Marshall Wace LLP,2018-01-12,NL0010558797,0.51,archive
Lakefront Biotherapeutics NV,Oxford Asset Management,2018-01-12,BE0003818359,0.6,archive
Koninklijke BAM Groep N.V.,RAM Active Investments SA,2018-01-12,NL0000337319,0.78,archive
Wereldhave N.V.,Toscafund Asset Management LLP,2018-01-12,NL0000289213,0.57,archive
Koninklijke Vopak N.V.,"WorldQuant, LLC",2018-01-12,NL0009432491,0.5,archive
Lakefront Biotherapeutics NV,"WorldQuant, LLC",2018-01-12,BE0003818359,0.51,archive
Ease2pay N.V.,Accent Aigu B.V.,2018-01-11,NL0000345627,0.0,archive
Flow Traders Ltd.,Balyasny Asset Management LP,2018-01-11,NL0011279492,0.5,archive
Fugro N.V.,BlueCrest Capital Management Limited,2018-01-11,NL0000352565,0.6,archive
Aperam S.A.,CQS (UK) LLP,2018-01-11,LU0569974404,0.52,archive
Ease2pay N.V.,Market Wizards B.V.,2018-01-11,NL0000345627,0.0,archive
Fugro N.V.,Marshall Wace LLP,2018-01-11,NL0000352565,0.53,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2018-01-11,NL0000337319,2.16,archive
Ease2pay N.V.,Accent Aigu B.V.,2018-01-10,NL0000345627,0.95,archive
Ease2pay N.V.,All Options International B.V.,2018-01-10,NL0000345627,0.43,archive
Ease2pay N.V.,Market Wizards B.V.,2018-01-10,NL0000345627,1.04,archive
Flow Traders Ltd.,Marshall Wace LLP,2018-01-10,NL0011279492,1.3,archive
Flow Traders Ltd.,Pelham Global Financials Master Fund Ltd.,2018-01-10,NL0011279492,0.62,archive
Fugro N.V.,Sculptor Capital Management Europe Limited,2018-01-10,NL0000352565,1.44,archive
Signify N.V.,Tower House Partners LLP,2018-01-10,NL0011821392,0.51,archive
Koninklijke BAM Groep N.V.,AHL Partners LLP,2018-01-09,NL0000337319,0.91,archive
Ease2pay N.V.,All Options International B.V.,2018-01-09,NL0000345627,0.77,archive
Fugro N.V.,AXA Investment Managers Chorus Limited,2018-01-09,NL0000352565,0.98,archive
Fugro N.V.,BlueCrest Capital Management Limited,2018-01-09,NL0000352565,0.57,archive
BE Semiconductor Industries N.V.,BNP Paribas S.A.,2018-01-09,NL0000339760,0.48,archive
Flow Traders Ltd.,Citadel Advisors II LLC,2018-01-09,NL0011279492,0.46,archive
Fugro N.V.,HBK Investments LP,2018-01-09,NL0000352565,1.38,archive
ARCADIS N.V.,Marshall Wace LLP,2018-01-09,NL0006237562,0.82,archive
Flow Traders Ltd.,Marshall Wace LLP,2018-01-09,NL0011279492,1.28,archive
Fugro N.V.,AHL Partners LLP,2018-01-08,NL0000352565,0.9,archive
Lakefront Biotherapeutics NV,"AQR Capital Management, LLC",2018-01-08,BE0003818359,1.0,archive
Flow Traders Ltd.,Citadel Advisors II LLC,2018-01-08,NL0011279492,0.53,archive
BE Semiconductor Industries N.V.,CQS (UK) LLP,2018-01-08,NL0000339760,1.17,archive
OCI N.V.,Marshall Wace LLP,2018-01-08,NL0010558797,0.49,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2018-01-08,NL0000337319,2.27,archive
Fugro N.V.,AHL Partners LLP,2018-01-05,NL0000352565,0.89,archive
OCI N.V.,"AQR Capital Management, LLC",2018-01-05,NL0010558797,1.08,archive
BE Semiconductor Industries N.V.,CQS (UK) LLP,2018-01-05,NL0000339760,1.22,archive
Koninklijke BAM Groep N.V.,"Davidson Kempner European Partners, LLP",2018-01-05,NL0000337319,0.61,archive
Sif Holding N.V.,JPMorgan Asset Management (UK) Ltd.,2018-01-05,NL0011660485,0.49,archive
Fugro N.V.,Marshall Wace LLP,2018-01-05,NL0000352565,0.61,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2018-01-05,NL0000337319,1.26,archive
Koninklijke Vopak N.V.,Marshall Wace LLP,2018-01-05,NL0009432491,0.57,archive
Wereldhave N.V.,Marshall Wace LLP,2018-01-05,NL0000289213,1.19,archive
Koninklijke BAM Groep N.V.,"PDT Partners, LLC",2018-01-05,NL0000337319,0.47,archive
Lakefront Biotherapeutics NV,AHL Partners LLP,2018-01-04,BE0003818359,0.98,archive
Lakefront Biotherapeutics NV,"AQR Capital Management, LLC",2018-01-04,BE0003818359,0.93,archive
Signify N.V.,Aravt Global,2018-01-04,NL0011821392,0.47,archive
Flow Traders Ltd.,GSA Capital Partners LLP,2018-01-04,NL0011279492,0.98,archive
Koninklijke BAM Groep N.V.,RAM Active Investments SA,2018-01-04,NL0000337319,0.68,archive
Signify N.V.,TT International,2018-01-04,NL0011821392,0.5,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2018-01-04,NL0000337319,2.33,archive
Koninklijke Vopak N.V.,"WorldQuant, LLC",2018-01-04,NL0009432491,0.49,archive
Koninklijke BAM Groep N.V.,AHL Partners LLP,2018-01-03,NL0000337319,0.81,archive
Fugro N.V.,AXA Investment Managers Chorus Limited,2018-01-03,NL0000352565,1.08,archive
Koninklijke Vopak N.V.,BlackRock Investment Management (UK) Limited,2018-01-03,NL0009432491,0.59,archive
Lakefront Biotherapeutics NV,Jupiter Investment Management Limited,2018-01-03,BE0003818359,0.38,archive
Fugro N.V.,Marshall Wace LLP,2018-01-03,NL0000352565,0.57,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2018-01-03,NL0000337319,1.15,archive
Lakefront Biotherapeutics NV,Oxford Asset Management,2018-01-03,BE0003818359,0.5,archive
Wereldhave N.V.,"WorldQuant, LLC",2018-01-03,NL0000289213,0.5,archive
Fugro N.V.,Marshall Wace LLP,2018-01-02,NL0000352565,0.66,archive
Koninklijke Heijmans N.V.,Susquehanna International Holdings LLC,2018-01-02,NL0009269109,0.52,archive
Fugro N.V.,"WorldQuant, LLC",2018-01-02,NL0000352565,0.98,archive
Lakefront Biotherapeutics NV,"AQR Capital Management, LLC",2017-12-29,BE0003818359,0.8,archive
Flow Traders Ltd.,"Connor, Clark & Lunn Investment Management Ltd.",2017-12-29,NL0011279492,1.0,archive
ARCADIS N.V.,Marshall Wace LLP,2017-12-29,NL0006237562,0.79,archive
Fugro N.V.,Marshall Wace LLP,2017-12-29,NL0000352565,0.78,archive
Koninklijke Heijmans N.V.,Susquehanna International Holdings LLC,2017-12-29,NL0009269109,0.49,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2017-12-29,NL0000337319,2.2,archive
Koninklijke BAM Groep N.V.,BlackRock Investment Management (UK) Limited,2017-12-28,NL0000337319,0.48,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2017-12-28,NL0000337319,1.04,archive
OCI N.V.,Marshall Wace LLP,2017-12-28,NL0010558797,0.51,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2017-12-28,NL0000337319,2.15,archive
Fugro N.V.,AHL Partners LLP,2017-12-27,NL0000352565,0.99,archive
Fugro N.V.,Arrowgrass Capital Partners LLP,2017-12-27,NL0000352565,0.6,archive
Koninklijke BAM Groep N.V.,BlackRock Investment Management (UK) Limited,2017-12-27,NL0000337319,0.5,archive
Koninklijke BAM Groep N.V.,Canada Pension Plan Investment Board,2017-12-27,NL0000337319,1.0,archive
Koninklijke BAM Groep N.V.,Citadel Advisors II LLC,2017-12-27,NL0000337319,0.49,archive
Fugro N.V.,HBK Investments LP,2017-12-27,NL0000352565,1.59,archive
Koninklijke BAM Groep N.V.,"PDT Partners, LLC",2017-12-27,NL0000337319,0.52,archive
Koninklijke Vopak N.V.,"WorldQuant, LLC",2017-12-27,NL0009432491,0.5,archive
PostNL N.V.,"WorldQuant, LLC",2017-12-27,NL0009739416,0.48,archive
Koninklijke KPN N.V.,BNP Paribas S.A.,2017-12-25,NL0000009082,0.8,archive
Koninklijke BAM Groep N.V.,Citadel Advisors II LLC,2017-12-22,NL0000337319,0.58,archive
PostNL N.V.,"WorldQuant, LLC",2017-12-22,NL0009739416,0.5,archive
Lakefront Biotherapeutics NV,"AQR Capital Management, LLC",2017-12-21,BE0003818359,0.71,archive
Koninklijke BAM Groep N.V.,BlackRock Investment Management (UK) Limited,2017-12-21,NL0000337319,0.49,archive
Koninklijke BAM Groep N.V.,Canada Pension Plan Investment Board,2017-12-21,NL0000337319,0.91,archive
Fugro N.V.,Marshall Wace LLP,2017-12-21,NL0000352565,0.81,archive
Fugro N.V.,Oxford Asset Management,2017-12-21,NL0000352565,0.43,archive
Koninklijke BAM Groep N.V.,"PDT Partners, LLC",2017-12-21,NL0000337319,0.49,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2017-12-21,NL0000337319,2.02,archive
Lakefront Biotherapeutics NV,"AQR Capital Management, LLC",2017-12-20,BE0003818359,0.6,archive
Fugro N.V.,BNP Paribas S.A.,2017-12-20,NL0000352565,0.53,archive
Koninklijke BAM Groep N.V.,Canada Pension Plan Investment Board,2017-12-20,NL0000337319,0.84,archive
Wereldhave N.V.,Capital Fund Management S.A.,2017-12-20,NL0000289213,0.59,archive
BE Semiconductor Industries N.V.,Highbridge Capital Management LLC,2017-12-20,NL0000339760,0.57,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2017-12-20,NL0000337319,0.93,archive
ARCADIS N.V.,AKO Capital LLP,2017-12-19,NL0006237562,0.9,archive
Lakefront Biotherapeutics NV,"AQR Capital Management, LLC",2017-12-19,BE0003818359,0.52,archive
SBM Offshore N.V.,"BlackRock Institutional Trust Company, National Association",2017-12-19,NL0000360618,0.49,archive
BE Semiconductor Industries N.V.,BNP Paribas S.A.,2017-12-19,NL0000339760,0.52,archive
Koninklijke BAM Groep N.V.,Citadel Advisors II LLC,2017-12-19,NL0000337319,0.68,archive
Flow Traders Ltd.,GSA Capital Partners LLP,2017-12-19,NL0011279492,1.01,archive
Fugro N.V.,HBK Investments LP,2017-12-19,NL0000352565,1.69,archive
BE Semiconductor Industries N.V.,Highbridge Capital Management LLC,2017-12-19,NL0000339760,0.47,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2017-12-19,NL0000337319,0.87,archive
Fugro N.V.,Oxford Asset Management,2017-12-19,NL0000352565,0.59,archive
Basic-Fit N.V.,BlackRock Investment Management (UK) Limited,2017-12-18,NL0011872650,0.89,archive
Fugro N.V.,Marshall Wace LLP,2017-12-18,NL0000352565,0.76,archive
Koninklijke Vopak N.V.,Marshall Wace LLP,2017-12-18,NL0009432491,0.6,archive
OCI N.V.,Marshall Wace LLP,2017-12-18,NL0010558797,0.44,archive
Wereldhave N.V.,Marshall Wace LLP,2017-12-18,NL0000289213,1.29,archive
Fugro N.V.,Sculptor Capital Management Europe Limited,2017-12-18,NL0000352565,1.39,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2017-12-18,NL0000337319,1.9,archive
BE Semiconductor Industries N.V.,Highbridge Capital Management LLC,2017-12-15,NL0000339760,0.5,archive
Lakefront Biotherapeutics NV,Millennium International Management LP,2017-12-15,BE0003818359,0.55,archive
Signify N.V.,Scopia Capital Management LP,2017-12-15,NL0011821392,2.05,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2017-12-15,NL0000337319,1.83,archive
OCI N.V.,"AQR Capital Management, LLC",2017-12-14,NL0010558797,1.19,archive
BE Semiconductor Industries N.V.,CQS (UK) LLP,2017-12-14,NL0000339760,1.19,archive
ARCADIS N.V.,Marshall Wace LLP,2017-12-14,NL0006237562,0.82,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2017-12-14,NL0000337319,0.71,archive
Koninklijke BAM Groep N.V.,RAM Active Investments SA,2017-12-14,NL0000337319,0.56,archive
OCI N.V.,"AQR Capital Management, LLC",2017-12-13,NL0010558797,1.2,archive
SBM Offshore N.V.,"AQR Capital Management, LLC",2017-12-13,NL0000360618,1.99,archive
Fugro N.V.,"Arrowstreet Capital, Limited Partnership",2017-12-13,NL0000352565,0.46,archive
SBM Offshore N.V.,"BlackRock Institutional Trust Company, National Association",2017-12-13,NL0000360618,0.5,archive
Koninklijke KPN N.V.,BNP Paribas S.A.,2017-12-13,NL0000009082,0.79,archive
Aperam S.A.,CQS (UK) LLP,2017-12-13,LU0569974404,0.48,archive
BE Semiconductor Industries N.V.,CQS (UK) LLP,2017-12-13,NL0000339760,1.38,archive
Fugro N.V.,Marshall Wace LLP,2017-12-13,NL0000352565,0.61,archive
Wereldhave N.V.,Millennium International Management LP,2017-12-13,NL0000289213,0.6,archive
Koninklijke BAM Groep N.V.,"PDT Partners, LLC",2017-12-13,NL0000337319,0.58,archive
Flow Traders Ltd.,Pelham Global Financials Master Fund Ltd.,2017-12-13,NL0011279492,0.5,archive
Signify N.V.,Scopia Capital Management LP,2017-12-13,NL0011821392,1.91,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2017-12-13,NL0000337319,1.74,archive
PostNL N.V.,"WorldQuant, LLC",2017-12-13,NL0009739416,0.48,archive
Lakefront Biotherapeutics NV,AHL Partners LLP,2017-12-12,BE0003818359,1.01,archive
ARCADIS N.V.,AKO Capital LLP,2017-12-12,NL0006237562,0.8,archive
PostNL N.V.,AXA Investment Managers Chorus Limited,2017-12-12,NL0009739416,0.48,archive
Koninklijke BAM Groep N.V.,Citadel Advisors II LLC,2017-12-12,NL0000337319,0.78,archive
BE Semiconductor Industries N.V.,CQS (UK) LLP,2017-12-12,NL0000339760,1.45,archive
Koninklijke Vopak N.V.,Jupiter Investment Management Limited,2017-12-12,NL0009432491,0.51,archive
PostNL N.V.,"WorldQuant, LLC",2017-12-12,NL0009739416,0.55,archive
Koninklijke BAM Groep N.V.,AHL Partners LLP,2017-12-11,NL0000337319,0.7,archive
Fugro N.V.,Arrowgrass Capital Partners LLP,2017-12-11,NL0000352565,0.48,archive
Koninklijke BAM Groep N.V.,Citadel Advisors II LLC,2017-12-11,NL0000337319,0.8,archive
Fugro N.V.,HBK Investments LP,2017-12-11,NL0000352565,1.77,archive
OCI N.V.,Marshall Wace LLP,2017-12-11,NL0010558797,0.82,archive
Fugro N.V.,Myriad Opportunities Master Fund Limited,2017-12-11,NL0000352565,0.5,archive
Koninklijke BAM Groep N.V.,"WorldQuant, LLC",2017-12-11,NL0000337319,1.61,archive
NN Group N.V.,B&G Master Fund Plc,2017-12-08,NL0010773842,0.61,archive
SBM Offshore N.V.,"BlackRock Institutional Trust Company, National Association",2017-12-08,NL0000360618,0.49,archive
Koninklijke KPN N.V.,BNP Paribas S.A.,2017-12-08,NL0000009082,0.8,archive
Fugro N.V.,Capital Fund Management S.A.,2017-12-08,NL0000352565,0.8,archive
Koninklijke BAM Groep N.V.,Citadel Advisors II LLC,2017-12-08,NL0000337319,0.76,archive
BE Semiconductor Industries N.V.,"Davidson Kempner European Partners, LLP",2017-12-08,NL0000339760,0.61,archive
Flow Traders Ltd.,GSA Capital Partners LLP,2017-12-08,NL0011279492,0.92,archive
Flow Traders Ltd.,Marshall Wace LLP,2017-12-08,NL0011279492,1.39,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2017-12-08,NL0000337319,0.67,archive
