position_holder,net_short_position,position_date,isin,issuer_name,source
Balyasny Asset Management (UK) LLP,0.6,2018-03-08,NL0009432491,Koninklijke Vopak N.V.,archive
"BlackRock Institutional Trust Company, National Association",0.82,2018-03-08,NL0000352565,Fugro N.V.,archive
"BlackRock Institutional Trust Company, National Association",0.59,2018-03-08,NL0000289213,Wereldhave N.V.,archive
BlueCrest Capital Management Limited,0.53,2018-03-08,NL0000352565,Fugro N.V.,archive
"Bridgewater Associates, LP",0.69,2018-03-08,NL0011821202,ING Groep N.V.,archive
Canada Pension Plan Investment Board,0.63,2018-03-08,NL0009739416,PostNL N.V.,archive
CQS (UK) LLP,0.59,2018-03-08,LU0569974404,Aperam S.A.,archive
"D. E. Shaw & Co., L.P.",0.44,2018-03-08,NL0000289213,Wereldhave N.V.,archive
Marshall Wace LLP,1.21,2018-03-08,NL0000289213,Wereldhave N.V.,archive
"PDT Partners, LLC",0.69,2018-03-08,NL0000289213,Wereldhave N.V.,archive
Scopia Capital Management LP,1.84,2018-03-08,NL0000339760,BE Semiconductor Industries N.V.,archive
"WorldQuant, LLC",0.8,2018-03-08,NL0000352565,Fugro N.V.,archive
"WorldQuant, LLC",1.56,2018-03-08,NL0009739416,PostNL N.V.,archive
"AQR Capital Management, LLC",2.19,2018-03-07,BE0003818359,Galapagos NV,archive
Arrowgrass Capital Partners LLP,0.59,2018-03-07,NL0000352565,Fugro N.V.,archive
"BlueMountain Capital Management, LLC",0.6,2018-03-07,NL0000360618,SBM Offshore N.V.,archive
"Bridgewater Associates, LP",0.7,2018-03-07,NL0011821202,ING Groep N.V.,archive
CQS (UK) LLP,0.61,2018-03-07,LU0569974404,Aperam S.A.,archive
Marshall Wace LLP,0.91,2018-03-07,NL0006237562,ARCADIS N.V.,archive
"PDT Partners, LLC",0.48,2018-03-07,NL0000337319,Koninklijke BAM Groep N.V.,archive
Scopia Capital Management LP,1.28,2018-03-07,NL0000339760,BE Semiconductor Industries N.V.,archive
"WorldQuant, LLC",0.62,2018-03-07,BE0003818359,Galapagos NV,archive
GSA Capital Partners LLP,0.47,2018-03-06,NL0011279492,Flow Traders Ltd.,archive
Highbridge Capital Management LLC,0.49,2018-03-06,NL0000339760,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,0.67,2018-03-06,NL0011540547,ABN AMRO Bank NV,archive
Marshall Wace LLP,2.28,2018-03-06,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.13,2018-03-06,NL0000289213,Wereldhave N.V.,archive
Scopia Capital Management LP,0.59,2018-03-06,NL0000339760,BE Semiconductor Industries N.V.,archive
Viking Global Investors LP,0.52,2018-03-06,NL0000303709,AEGON Ltd.,archive
"WorldQuant, LLC",0.95,2018-03-06,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",1.44,2018-03-06,NL0009739416,PostNL N.V.,archive
AHL Partners LLP,0.99,2018-03-05,NL0000352565,Fugro N.V.,archive
AHL Partners LLP,0.59,2018-03-05,NL0000337319,Koninklijke BAM Groep N.V.,archive
"AQR Capital Management, LLC",2.01,2018-03-05,NL0000360618,SBM Offshore N.V.,archive
"Bridgewater Associates, LP",0.68,2018-03-05,NL0011821202,ING Groep N.V.,archive
Citadel Advisors II LLC,0.71,2018-03-05,NL0000337319,Koninklijke BAM Groep N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.5,2018-03-05,NL0000360618,SBM Offshore N.V.,archive
Marshall Wace LLP,2.25,2018-03-05,NL0010391025,Pharming Group N.V.,archive
"PDT Partners, LLC",0.5,2018-03-05,NL0000337319,Koninklijke BAM Groep N.V.,archive
"PDT Partners, LLC",0.78,2018-03-05,NL0000289213,Wereldhave N.V.,archive
"Philadelphia Financial Management of San Francisco, LLC",0.45,2018-03-05,NL0011279492,Flow Traders Ltd.,archive
"WorldQuant, LLC",0.72,2018-03-05,NL0000352565,Fugro N.V.,archive
"WorldQuant, LLC",1.07,2018-03-05,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",1.35,2018-03-05,NL0009739416,PostNL N.V.,archive
AHL Partners LLP,1.02,2018-03-02,NL0000352565,Fugro N.V.,archive
"Bridgewater Associates, LP",0.63,2018-03-02,NL0010273215,ASML Holding N.V.,archive
"Bridgewater Associates, LP",0.7,2018-03-02,NL0011821202,ING Groep N.V.,archive
Marshall Wace LLP,0.84,2018-03-02,NL0006237562,ARCADIS N.V.,archive
Marshall Wace LLP,0.47,2018-03-02,NL0009739416,PostNL N.V.,archive
Millennium International Management LP,0.81,2018-03-02,NL0000289213,Wereldhave N.V.,archive
"PDT Partners, LLC",0.49,2018-03-02,NL0000337319,Koninklijke BAM Groep N.V.,archive
"PDT Partners, LLC",0.8,2018-03-02,NL0000289213,Wereldhave N.V.,archive
Tower House Partners LLP,0.49,2018-03-02,NL0011821392,Signify N.V.,archive
"WorldQuant, LLC",1.16,2018-03-02,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",1.23,2018-03-02,NL0009739416,PostNL N.V.,archive
"WorldQuant, LLC",2.02,2018-03-02,NL0000289213,Wereldhave N.V.,archive
"AQR Capital Management, LLC",0.9,2018-03-01,NL0000009082,Koninklijke KPN N.V.,archive
"AQR Capital Management, LLC",2.58,2018-03-01,NL0009432491,Koninklijke Vopak N.V.,archive
Balyasny Asset Management (UK) LLP,0.59,2018-03-01,NL0009432491,Koninklijke Vopak N.V.,archive
BlackRock Investment Management (UK) Limited,0.49,2018-03-01,NL0009432491,Koninklijke Vopak N.V.,archive
BlueCrest Capital Management Limited,0.47,2018-03-01,NL0000352565,Fugro N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.68,2018-03-01,NL0011279492,Flow Traders Ltd.,archive
Highbridge Capital Management LLC,0.5,2018-03-01,NL0000339760,BE Semiconductor Industries N.V.,archive
Jupiter Investment Management Limited,0.64,2018-03-01,NL0000352565,Fugro N.V.,archive
Lansdowne Partners (UK) LLP,1.45,2018-03-01,NL0006237562,ARCADIS N.V.,archive
Marshall Wace LLP,2.15,2018-03-01,NL0010391025,Pharming Group N.V.,archive
Marshall Wace LLP,0.5,2018-03-01,NL0009739416,PostNL N.V.,archive
"WorldQuant, LLC",0.61,2018-03-01,NL0000352565,Fugro N.V.,archive
"WorldQuant, LLC",1.28,2018-03-01,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",1.08,2018-03-01,NL0009739416,PostNL N.V.,archive
"BlueMountain Capital Management, LLC",0.49,2018-02-28,NL0010558797,OCI N.V.,archive
"Bridgewater Associates, LP",0.51,2018-02-28,NL0011794037,Koninklijke Ahold Delhaize N.V.,archive
Capital Fund Management S.A.,0.49,2018-02-28,NL0011279492,Flow Traders Ltd.,archive
Capital Fund Management S.A.,0.6,2018-02-28,NL0010558797,OCI N.V.,archive
Citadel Advisors II LLC,0.69,2018-02-28,NL0000337319,Koninklijke BAM Groep N.V.,archive
Citadel Advisors II LLC,0.62,2018-02-28,NL0000289213,Wereldhave N.V.,archive
Millennium International Management LP,0.7,2018-02-28,BE0003818359,Galapagos NV,archive
"WorldQuant, LLC",1.42,2018-02-28,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",0.9,2018-02-28,NL0009739416,PostNL N.V.,archive
"WorldQuant, LLC",1.98,2018-02-28,NL0000289213,Wereldhave N.V.,archive
AHL Partners LLP,0.92,2018-02-27,NL0000352565,Fugro N.V.,archive
"AQR Capital Management, LLC",1.94,2018-02-27,NL0000360618,SBM Offshore N.V.,archive
BNP Paribas S.A.,0.34,2018-02-27,NL0000009082,Koninklijke KPN N.V.,archive
Capital Fund Management S.A.,0.91,2018-02-27,NL0000289213,Wereldhave N.V.,archive
GLG Partners LP,0.06,2018-02-27,NL0011821392,Signify N.V.,archive
Marshall Wace LLP,2.03,2018-02-27,NL0010391025,Pharming Group N.V.,archive
Marshall Wace LLP,1.03,2018-02-27,NL0000289213,Wereldhave N.V.,archive
Millennium International Management LP,0.59,2018-02-27,LU0569974404,Aperam S.A.,archive
Millennium International Management LP,0.77,2018-02-27,NL0000289213,Wereldhave N.V.,archive
"PDT Partners, LLC",0.45,2018-02-27,NL0009739416,PostNL N.V.,archive
TT International,0.51,2018-02-27,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",0.52,2018-02-27,NL0000352565,Fugro N.V.,archive
"WorldQuant, LLC",1.56,2018-02-27,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",0.72,2018-02-27,NL0009739416,PostNL N.V.,archive
"WorldQuant, LLC",1.88,2018-02-27,NL0000289213,Wereldhave N.V.,archive
"AQR Capital Management, LLC",1.88,2018-02-26,NL0000360618,SBM Offshore N.V.,archive
Capital Fund Management S.A.,1.21,2018-02-26,NL0000352565,Fugro N.V.,archive
Citadel Advisors II LLC,0.7,2018-02-26,NL0000337319,Koninklijke BAM Groep N.V.,archive
Citadel Securities (Europe) Limited,0.01,2018-02-26,NL0009269109,Koninklijke Heijmans N.V.,archive
Marshall Wace LLP,0.71,2018-02-26,NL0006237562,ARCADIS N.V.,archive
Millennium International Management LP,0.61,2018-02-26,BE0003818359,Galapagos NV,archive
Millennium International Management LP,0.8,2018-02-26,NL0000289213,Wereldhave N.V.,archive
Oxford Asset Management,0.49,2018-02-26,BE0003818359,Galapagos NV,archive
Oxford Asset Management,0.49,2018-02-26,NL0009269109,Koninklijke Heijmans N.V.,archive
"PDT Partners, LLC",0.51,2018-02-26,NL0009739416,PostNL N.V.,archive
"WorldQuant, LLC",1.71,2018-02-26,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",0.6,2018-02-26,NL0009739416,PostNL N.V.,archive
"AQR Capital Management, LLC",2.01,2018-02-23,BE0003818359,Galapagos NV,archive
"AQR Capital Management, LLC",1.9,2018-02-23,NL0000360618,SBM Offshore N.V.,archive
CQS (UK) LLP,0.58,2018-02-23,LU0569974404,Aperam S.A.,archive
GLG Partners LP,0.5,2018-02-23,NL0011821392,Signify N.V.,archive
Marshall Wace LLP,2.35,2018-02-23,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.99,2018-02-23,NL0010391025,Pharming Group N.V.,archive
Oxford Asset Management,0.5,2018-02-23,BE0003818359,Galapagos NV,archive
"PDT Partners, LLC",0.52,2018-02-23,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",0.46,2018-02-23,NL0000352565,Fugro N.V.,archive
"WorldQuant, LLC",1.85,2018-02-23,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",0.58,2018-02-23,NL0009739416,PostNL N.V.,archive
"WorldQuant, LLC",1.73,2018-02-23,NL0000289213,Wereldhave N.V.,archive
AHL Partners LLP,0.84,2018-02-22,NL0000352565,Fugro N.V.,archive
AHL Partners LLP,0.63,2018-02-22,NL0000337319,Koninklijke BAM Groep N.V.,archive
BlueCrest Capital Management Limited,0.57,2018-02-22,NL0000352565,Fugro N.V.,archive
Citadel Advisors II LLC,0.63,2018-02-22,NL0000337319,Koninklijke BAM Groep N.V.,archive
Citadel Advisors II LLC,0.55,2018-02-22,NL0000289213,Wereldhave N.V.,archive
Citadel Securities (Europe) Limited,0.75,2018-02-22,NL0009269109,Koninklijke Heijmans N.V.,archive
"Davidson Kempner European Partners, LLP",0.58,2018-02-22,NL0000337319,Koninklijke BAM Groep N.V.,archive
Jupiter Investment Management Limited,0.5,2018-02-22,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,2.26,2018-02-22,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.92,2018-02-22,NL0000289213,Wereldhave N.V.,archive
"PDT Partners, LLC",0.6,2018-02-22,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",0.51,2018-02-22,NL0000352565,Fugro N.V.,archive
"WorldQuant, LLC",1.65,2018-02-22,NL0000289213,Wereldhave N.V.,archive
"Bridgewater Associates, LP",0.6,2018-02-21,NL0011821202,ING Groep N.V.,archive
Citadel Securities (Europe) Limited,0.68,2018-02-21,NL0009269109,Koninklijke Heijmans N.V.,archive
Highbridge Capital Management LLC,0.49,2018-02-21,NL0000339760,BE Semiconductor Industries N.V.,archive
JPMorgan Asset Management (UK) Ltd.,0.67,2018-02-21,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2.09,2018-02-21,NL0000337319,Koninklijke BAM Groep N.V.,archive
Millennium International Management LP,0.63,2018-02-21,LU0569974404,Aperam S.A.,archive
"PDT Partners, LLC",0.52,2018-02-21,NL0000337319,Koninklijke BAM Groep N.V.,archive
AKO Capital LLP,1.2,2018-02-20,NL0006237562,ARCADIS N.V.,archive
BlackRock Investment Management (UK) Limited,0.52,2018-02-20,NL0009432491,Koninklijke Vopak N.V.,archive
"Bridgewater Associates, LP",0.59,2018-02-20,NL0011821202,ING Groep N.V.,archive
"Bridgewater Associates, LP",0.48,2018-02-20,NL0011794037,Koninklijke Ahold Delhaize N.V.,archive
Capital Fund Management S.A.,0.82,2018-02-20,NL0000289213,Wereldhave N.V.,archive
Citadel Securities (Europe) Limited,0.72,2018-02-20,NL0009269109,Koninklijke Heijmans N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.79,2018-02-20,NL0011279492,Flow Traders Ltd.,archive
GSA Capital Partners LLP,0.59,2018-02-20,NL0011279492,Flow Traders Ltd.,archive
GSA Capital Partners LLP,0.49,2018-02-20,NL0010391025,Pharming Group N.V.,archive
HBK Investments LP,1.09,2018-02-20,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,0.68,2018-02-20,NL0006237562,ARCADIS N.V.,archive
Marshall Wace LLP,0.61,2018-02-20,NL0011794037,Koninklijke Ahold Delhaize N.V.,archive
Marshall Wace LLP,1.78,2018-02-20,NL0000337319,Koninklijke BAM Groep N.V.,archive
Oxford Asset Management,0.52,2018-02-20,NL0009269109,Koninklijke Heijmans N.V.,archive
"WorldQuant, LLC",0.58,2018-02-20,BE0003818359,Galapagos NV,archive
"WorldQuant, LLC",1.52,2018-02-20,NL0000289213,Wereldhave N.V.,archive
AHL Partners LLP,0.72,2018-02-19,NL0000352565,Fugro N.V.,archive
"AQR Capital Management, LLC",1.89,2018-02-19,NL0000360618,SBM Offshore N.V.,archive
"BlackRock Institutional Trust Company, National Association",0.67,2018-02-19,NL0000289213,Wereldhave N.V.,archive
Marshall Wace LLP,2.05,2018-02-19,NL0010391025,Pharming Group N.V.,archive
"PDT Partners, LLC",0.71,2018-02-19,NL0000289213,Wereldhave N.V.,archive
"WorldQuant, LLC",0.6,2018-02-19,NL0010558797,OCI N.V.,archive
Balyasny Asset Management (UK) LLP,0.64,2018-02-16,NL0009432491,Koninklijke Vopak N.V.,archive
"BlueMountain Capital Management, LLC",0.51,2018-02-16,NL0000360618,SBM Offshore N.V.,archive
Citadel Advisors II LLC,0.62,2018-02-16,NL0000289213,Wereldhave N.V.,archive
GSA Capital Partners LLP,0.68,2018-02-16,NL0011279492,Flow Traders Ltd.,archive
GSA Capital Partners LLP,0.51,2018-02-16,NL0010391025,Pharming Group N.V.,archive
Jupiter Investment Management Limited,0.6,2018-02-16,NL0009432491,Koninklijke Vopak N.V.,archive
Marshall Wace LLP,0.44,2018-02-16,NL0000303709,AEGON Ltd.,archive
Marshall Wace LLP,1.64,2018-02-16,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.39,2018-02-16,NL0009432491,Koninklijke Vopak N.V.,archive
"WorldQuant, LLC",0.48,2018-02-16,NL0000352565,Fugro N.V.,archive
"WorldQuant, LLC",0.59,2018-02-16,NL0010558797,OCI N.V.,archive
"WorldQuant, LLC",0.68,2018-02-16,NL0009739416,PostNL N.V.,archive
"WorldQuant, LLC",1.44,2018-02-16,NL0000289213,Wereldhave N.V.,archive
AHL Partners LLP,0.66,2018-02-15,NL0000352565,Fugro N.V.,archive
AHL Partners LLP,0.45,2018-02-15,BE0003818359,Galapagos NV,archive
"AQR Capital Management, LLC",1.9,2018-02-15,NL0000360618,SBM Offshore N.V.,archive
BNP Paribas S.A.,0.5,2018-02-15,NL0000339760,BE Semiconductor Industries N.V.,archive
"Bridgewater Associates, LP",0.59,2018-02-15,NL0010273215,ASML Holding N.V.,archive
Citadel Advisors II LLC,0.71,2018-02-15,NL0000289213,Wereldhave N.V.,archive
Citadel Securities (Europe) Limited,0.6,2018-02-15,NL0009269109,Koninklijke Heijmans N.V.,archive
Marshall Wace LLP,0.87,2018-02-15,NL0000289213,Wereldhave N.V.,archive
Millennium International Management LP,0.5,2018-02-15,LU0569974404,Aperam S.A.,archive
Toscafund Asset Management LLP,0.62,2018-02-15,NL0000289213,Wereldhave N.V.,archive
"AQR Capital Management, LLC",1.92,2018-02-14,BE0003818359,Galapagos NV,archive
"AQR Capital Management, LLC",2.69,2018-02-14,NL0009432491,Koninklijke Vopak N.V.,archive
"BlueMountain Capital Management, LLC",0.51,2018-02-14,NL0010558797,OCI N.V.,archive
"Bridgewater Associates, LP",0.67,2018-02-14,NL0011821202,ING Groep N.V.,archive
"Bridgewater Associates, LP",0.67,2018-02-14,NL0000009538,Koninklijke Philips N.V.,archive
Marshall Wace LLP,1.54,2018-02-14,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.6,2018-02-14,NL0009432491,Koninklijke Vopak N.V.,archive
Marshall Wace LLP,1.95,2018-02-14,NL0010391025,Pharming Group N.V.,archive
Marshall Wace LLP,0.92,2018-02-14,NL0000289213,Wereldhave N.V.,archive
Millennium International Management LP,0.59,2018-02-14,BE0003818359,Galapagos NV,archive
"PDT Partners, LLC",0.61,2018-02-14,NL0010391025,Pharming Group N.V.,archive
"WorldQuant, LLC",0.69,2018-02-14,BE0003818359,Galapagos NV,archive
"WorldQuant, LLC",1.32,2018-02-14,NL0000289213,Wereldhave N.V.,archive
AHL Partners LLP,0.7,2018-02-13,NL0000352565,Fugro N.V.,archive
"AQR Capital Management, LLC",1.1,2018-02-13,NL0010558797,OCI N.V.,archive
Capital Fund Management S.A.,1.1,2018-02-13,NL0000352565,Fugro N.V.,archive
Capital Fund Management S.A.,0.72,2018-02-13,NL0000289213,Wereldhave N.V.,archive
Citadel Advisors II LLC,0.68,2018-02-13,NL0000289213,Wereldhave N.V.,archive
Citadel Securities (Europe) Limited,0.48,2018-02-13,NL0009269109,Koninklijke Heijmans N.V.,archive
Marshall Wace LLP,0.5,2018-02-13,NL0000303709,AEGON Ltd.,archive
Marshall Wace LLP,1.05,2018-02-13,NL0000289213,Wereldhave N.V.,archive
"Philadelphia Financial Management of San Francisco, LLC",0.59,2018-02-13,NL0011279492,Flow Traders Ltd.,archive
"WorldQuant, LLC",0.6,2018-02-13,NL0010558797,OCI N.V.,archive
"Bridgewater Associates, LP",0.65,2018-02-12,NL0010273215,ASML Holding N.V.,archive
"Bridgewater Associates, LP",0.72,2018-02-12,NL0011821202,ING Groep N.V.,archive
"Bridgewater Associates, LP",0.58,2018-02-12,NL0011794037,Koninklijke Ahold Delhaize N.V.,archive
"Bridgewater Associates, LP",0.73,2018-02-12,NL0000009538,Koninklijke Philips N.V.,archive
Capital Fund Management S.A.,0.51,2018-02-12,NL0010558797,OCI N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.83,2018-02-12,NL0011279492,Flow Traders Ltd.,archive
GSA Capital Partners LLP,0.73,2018-02-12,NL0011279492,Flow Traders Ltd.,archive
Marshall Wace LLP,0.49,2018-02-12,NL0000303709,AEGON Ltd.,archive
Marshall Wace LLP,1.19,2018-02-12,NL0000289213,Wereldhave N.V.,archive
"PDT Partners, LLC",0.64,2018-02-12,NL0000289213,Wereldhave N.V.,archive
"Philadelphia Financial Management of San Francisco, LLC",0.76,2018-02-12,NL0011279492,Flow Traders Ltd.,archive
"WorldQuant, LLC",1.21,2018-02-12,NL0000289213,Wereldhave N.V.,archive
AHL Partners LLP,0.59,2018-02-09,BE0003818359,Galapagos NV,archive
"AQR Capital Management, LLC",1.84,2018-02-09,BE0003818359,Galapagos NV,archive
Balyasny Asset Management LP,0.0,2018-02-09,NL0011279492,Flow Traders Ltd.,archive
"BlackRock Institutional Trust Company, National Association",0.71,2018-02-09,NL0000352565,Fugro N.V.,archive
"BlackRock Institutional Trust Company, National Association",0.5,2018-02-09,NL0000289213,Wereldhave N.V.,archive
BNP Paribas S.A.,0.97,2018-02-09,NL0000009082,Koninklijke KPN N.V.,archive
"Bridgewater Associates, LP",0.72,2018-02-09,NL0010273215,ASML Holding N.V.,archive
"Bridgewater Associates, LP",0.81,2018-02-09,NL0011821202,ING Groep N.V.,archive
"Bridgewater Associates, LP",0.65,2018-02-09,NL0011794037,Koninklijke Ahold Delhaize N.V.,archive
"Bridgewater Associates, LP",0.81,2018-02-09,NL0000009538,Koninklijke Philips N.V.,archive
Highbridge Capital Management LLC,0.59,2018-02-09,NL0000339760,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,1.42,2018-02-09,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.6,2018-02-09,NL0010391025,Pharming Group N.V.,archive
Marshall Wace LLP,1.31,2018-02-09,NL0000289213,Wereldhave N.V.,archive
Millennium International Management LP,0.64,2018-02-09,BE0003818359,Galapagos NV,archive
Pelham Global Financials Master Fund Ltd.,0.0,2018-02-09,NL0011279492,Flow Traders Ltd.,archive
"Philadelphia Financial Management of San Francisco, LLC",1.05,2018-02-09,NL0011279492,Flow Traders Ltd.,archive
"WorldQuant, LLC",1.93,2018-02-09,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",1.13,2018-02-09,NL0000289213,Wereldhave N.V.,archive
AHL Partners LLP,0.69,2018-02-08,NL0000352565,Fugro N.V.,archive
AKO Capital LLP,1.12,2018-02-08,NL0006237562,ARCADIS N.V.,archive
"AQR Capital Management, LLC",1.74,2018-02-08,BE0003818359,Galapagos NV,archive
"Bridgewater Associates, LP",0.65,2018-02-08,NL0010273215,ASML Holding N.V.,archive
"Bridgewater Associates, LP",0.73,2018-02-08,NL0011821202,ING Groep N.V.,archive
"Bridgewater Associates, LP",0.73,2018-02-08,NL0000009538,Koninklijke Philips N.V.,archive
GSA Capital Partners LLP,0.68,2018-02-08,NL0011279492,Flow Traders Ltd.,archive
HBK Investments LP,1.12,2018-02-08,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,1.23,2018-02-08,NL0010391025,Pharming Group N.V.,archive
Marshall Wace LLP,1.46,2018-02-08,NL0000289213,Wereldhave N.V.,archive
Oxford Asset Management,0.48,2018-02-08,BE0003818359,Galapagos NV,archive
Systematica Investments Limited,0.5,2018-02-08,NL0010558797,OCI N.V.,archive
"WorldQuant, LLC",1.86,2018-02-08,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",0.99,2018-02-08,NL0000289213,Wereldhave N.V.,archive
AHL Partners LLP,0.58,2018-02-07,NL0000337319,Koninklijke BAM Groep N.V.,archive
"AQR Capital Management, LLC",1.68,2018-02-07,BE0003818359,Galapagos NV,archive
"AQR Capital Management, LLC",0.89,2018-02-07,NL0000009082,Koninklijke KPN N.V.,archive
Balyasny Asset Management LP,1.01,2018-02-07,NL0011279492,Flow Traders Ltd.,archive
"Bridgewater Associates, LP",0.58,2018-02-07,NL0010273215,ASML Holding N.V.,archive
Capital Fund Management S.A.,1.01,2018-02-07,NL0000352565,Fugro N.V.,archive
Citadel Advisors II LLC,0.5,2018-02-07,NL0000289213,Wereldhave N.V.,archive
"D. E. Shaw & Co., L.P.",0.5,2018-02-07,NL0000289213,Wereldhave N.V.,archive
GSA Capital Partners LLP,0.7,2018-02-07,NL0011279492,Flow Traders Ltd.,archive
Highbridge Capital Management LLC,0.6,2018-02-07,NL0000339760,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,0.74,2018-02-07,NL0011540547,ABN AMRO Bank NV,archive
Marshall Wace LLP,0.51,2018-02-07,NL0000303709,AEGON Ltd.,archive
Marshall Wace LLP,0.5,2018-02-07,NL0011794037,Koninklijke Ahold Delhaize N.V.,archive
Marshall Wace LLP,1.3,2018-02-07,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.38,2018-02-07,NL0010391025,Pharming Group N.V.,archive
Marshall Wace LLP,1.5,2018-02-07,NL0000289213,Wereldhave N.V.,archive
"WorldQuant, LLC",0.78,2018-02-07,BE0003818359,Galapagos NV,archive
"WorldQuant, LLC",0.86,2018-02-07,NL0000289213,Wereldhave N.V.,archive
AHL Partners LLP,0.69,2018-02-06,BE0003818359,Galapagos NV,archive
"AQR Capital Management, LLC",1.7,2018-02-06,BE0003818359,Galapagos NV,archive
Balyasny Asset Management LP,0.99,2018-02-06,NL0011279492,Flow Traders Ltd.,archive
"Bridgewater Associates, LP",0.61,2018-02-06,NL0010273215,ASML Holding N.V.,archive
"Bridgewater Associates, LP",0.69,2018-02-06,NL0011821202,ING Groep N.V.,archive
"Bridgewater Associates, LP",0.55,2018-02-06,NL0011794037,Koninklijke Ahold Delhaize N.V.,archive
"Bridgewater Associates, LP",0.69,2018-02-06,NL0000009538,Koninklijke Philips N.V.,archive
Capital Fund Management S.A.,0.61,2018-02-06,NL0000289213,Wereldhave N.V.,archive
"Castle Creek Arbitrage, LLC",0.5,2018-02-06,NL0000009082,Koninklijke KPN N.V.,archive
Citadel Securities (Europe) Limited,0.5,2018-02-06,NL0009269109,Koninklijke Heijmans N.V.,archive
GSA Capital Partners LLP,0.65,2018-02-06,NL0011279492,Flow Traders Ltd.,archive
HBK Investments LP,1.09,2018-02-06,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,0.45,2018-02-06,NL0011279492,Flow Traders Ltd.,archive
Marshall Wace LLP,0.59,2018-02-06,NL0009432491,Koninklijke Vopak N.V.,archive
Marshall Wace LLP,1.47,2018-02-06,NL0010391025,Pharming Group N.V.,archive
Millennium International Management LP,0.75,2018-02-06,NL0000289213,Wereldhave N.V.,archive
"PDT Partners, LLC",0.57,2018-02-06,NL0000289213,Wereldhave N.V.,archive
Tybourne Capital Management (HK) Limited,2.2,2018-02-06,NL0011821392,Signify N.V.,archive
"WorldQuant, LLC",0.59,2018-02-06,NL0000352565,Fugro N.V.,archive
"WorldQuant, LLC",0.72,2018-02-06,NL0000289213,Wereldhave N.V.,archive
"Bridgewater Associates, LP",0.51,2018-02-05,NL0010273215,ASML Holding N.V.,archive
"D. E. Shaw & Co., L.P.",0.48,2018-02-05,NL0000289213,Wereldhave N.V.,archive
HBK Investments LP,0.96,2018-02-05,NL0000352565,Fugro N.V.,archive
Highbridge Capital Management LLC,0.59,2018-02-05,NL0000339760,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,1.22,2018-02-05,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.36,2018-02-05,NL0010558797,OCI N.V.,archive
Marshall Wace LLP,1.34,2018-02-05,NL0010391025,Pharming Group N.V.,archive
"PDT Partners, LLC",0.6,2018-02-05,NL0000289213,Wereldhave N.V.,archive
"WorldQuant, LLC",0.61,2018-02-05,NL0000352565,Fugro N.V.,archive
"WorldQuant, LLC",0.81,2018-02-05,BE0003818359,Galapagos NV,archive
"WorldQuant, LLC",1.9,2018-02-05,NL0000337319,Koninklijke BAM Groep N.V.,archive
"WorldQuant, LLC",0.56,2018-02-05,NL0000289213,Wereldhave N.V.,archive
AHL Partners LLP,0.68,2018-02-02,NL0000337319,Koninklijke BAM Groep N.V.,archive
"AQR Capital Management, LLC",0.9,2018-02-02,NL0000009082,Koninklijke KPN N.V.,archive
Capital Fund Management S.A.,0.91,2018-02-02,NL0000352565,Fugro N.V.,archive
