position_holder,issuer_name,net_short_position,position_date,isin,source
"WorldQuant, LLC",OCI N.V.,0.59,2018-03-21,NL0010558797,archive
AHL Partners LLP,Fugro N.V.,1.1,2018-03-20,NL0000352565,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,2.42,2018-03-20,BE0003818359,archive
BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,0.35,2018-03-20,NL0011872650,archive
"BlueMountain Capital Management, LLC",PostNL N.V.,0.71,2018-03-20,NL0009739416,archive
BNP Paribas S.A.,BE Semiconductor Industries N.V.,0.49,2018-03-20,NL0000339760,archive
Capital Fund Management S.A.,Fugro N.V.,1.34,2018-03-20,NL0000352565,archive
Marshall Wace LLP,Pharming Group N.V.,1.99,2018-03-20,NL0010391025,archive
Systematica Investments Limited,OCI N.V.,0.5,2018-03-20,NL0010558797,archive
"WorldQuant, LLC",Fugro N.V.,0.91,2018-03-20,NL0000352565,archive
"WorldQuant, LLC",OCI N.V.,0.6,2018-03-20,NL0010558797,archive
"Bridgewater Associates, LP",ASML Holding N.V.,0.71,2018-03-19,NL0010273215,archive
Capital Fund Management S.A.,Wereldhave N.V.,1.01,2018-03-19,NL0000289213,archive
Marshall Wace LLP,ARCADIS N.V.,1.2,2018-03-19,NL0006237562,archive
Marshall Wace LLP,Pharming Group N.V.,2.04,2018-03-19,NL0010391025,archive
Marshall Wace LLP,Wereldhave N.V.,1.55,2018-03-19,NL0000289213,archive
Millennium International Management LP,Lakefront Biotherapeutics NV,0.69,2018-03-19,BE0003818359,archive
Systematica Investments Limited,Fugro N.V.,0.5,2018-03-19,NL0000352565,archive
Viking Global Investors LP,AEGON Ltd.,0.62,2018-03-19,NL0000303709,archive
"WorldQuant, LLC",Fugro N.V.,0.89,2018-03-19,NL0000352565,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.87,2018-03-19,NL0000337319,archive
BNP Paribas S.A.,Koninklijke KPN N.V.,0.48,2018-03-16,NL0000009082,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,2.18,2018-03-16,NL0000337319,archive
Millennium International Management LP,AMG Critical Materials N.V.,0.58,2018-03-16,NL0000888691,archive
Millennium International Management LP,Aperam S.A.,0.45,2018-03-16,LU0569974404,archive
Millennium International Management LP,Lakefront Biotherapeutics NV,0.7,2018-03-16,BE0003818359,archive
Renaissance Technologies LLC,Sif Holding N.V.,0.68,2018-03-16,NL0011660485,archive
Sculptor Capital Management Europe Limited,ARCADIS N.V.,1.08,2018-03-16,NL0006237562,archive
Arrowgrass Capital Partners LLP,Fugro N.V.,0.6,2018-03-15,NL0000352565,archive
"BlackRock Institutional Trust Company, National Association",Wereldhave N.V.,0.6,2018-03-15,NL0000289213,archive
BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,0.54,2018-03-15,NL0011872650,archive
"BlueMountain Capital Management, LLC",PostNL N.V.,0.64,2018-03-15,NL0009739416,archive
"Clinton Group, Inc",Wereldhave N.V.,0.5,2018-03-15,NL0000289213,archive
CQS (UK) LLP,BE Semiconductor Industries N.V.,1.21,2018-03-15,NL0000339760,archive
Lazard Asset Management LLC,Fugro N.V.,0.51,2018-03-15,NL0000352565,archive
Marshall Wace LLP,ARCADIS N.V.,1.13,2018-03-15,NL0006237562,archive
Marshall Wace LLP,Pharming Group N.V.,2.17,2018-03-15,NL0010391025,archive
RAM Active Investments SA,Koninklijke BAM Groep N.V.,0.65,2018-03-15,NL0000337319,archive
Sculptor Capital Management Europe Limited,ARCADIS N.V.,0.98,2018-03-15,NL0006237562,archive
"WorldQuant, LLC",Fugro N.V.,0.9,2018-03-15,NL0000352565,archive
"WorldQuant, LLC",PostNL N.V.,1.84,2018-03-15,NL0009739416,archive
BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,0.68,2018-03-14,NL0011872650,archive
Capital Fund Management S.A.,Fugro N.V.,1.2,2018-03-14,NL0000352565,archive
Marshall Wace LLP,Wereldhave N.V.,1.4,2018-03-14,NL0000289213,archive
Millennium International Management LP,Lakefront Biotherapeutics NV,0.69,2018-03-14,BE0003818359,archive
Sculptor Capital Management Europe Limited,Fugro N.V.,1.3,2018-03-14,NL0000352565,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.99,2018-03-14,NL0000337319,archive
"WorldQuant, LLC",Lakefront Biotherapeutics NV,0.71,2018-03-14,BE0003818359,archive
AHL Partners LLP,Fugro N.V.,1.01,2018-03-13,NL0000352565,archive
"AQR Capital Management, LLC",Koninklijke KPN N.V.,0.91,2018-03-13,NL0000009082,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,2.3,2018-03-13,BE0003818359,archive
"AQR Capital Management, LLC",OCI N.V.,1.2,2018-03-13,NL0010558797,archive
"BlueMountain Capital Management, LLC",SBM Offshore N.V.,0.59,2018-03-13,NL0000360618,archive
HBK Investments LP,Fugro N.V.,1.01,2018-03-13,NL0000352565,archive
Oxford Asset Management,Fugro N.V.,0.5,2018-03-13,NL0000352565,archive
Systematica Investments Limited,OCI N.V.,0.49,2018-03-13,NL0010558797,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,1.0,2018-03-13,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,1.71,2018-03-13,NL0009739416,archive
"BlueMountain Capital Management, LLC",PostNL N.V.,0.5,2018-03-12,NL0009739416,archive
"Bridgewater Associates, LP",Koninklijke Ahold Delhaize N.V.,0.6,2018-03-12,NL0011794037,archive
Canada Pension Plan Investment Board,Fugro N.V.,0.62,2018-03-12,NL0000352565,archive
Canada Pension Plan Investment Board,PostNL N.V.,0.8,2018-03-12,NL0009739416,archive
"Connor, Clark & Lunn Investment Management Ltd.",Flow Traders Ltd.,0.59,2018-03-12,NL0011279492,archive
CQS (UK) LLP,Aperam S.A.,0.72,2018-03-12,LU0569974404,archive
Marshall Wace LLP,ARCADIS N.V.,1.02,2018-03-12,NL0006237562,archive
Marshall Wace LLP,Wereldhave N.V.,1.31,2018-03-12,NL0000289213,archive
"PDT Partners, LLC",Wereldhave N.V.,0.69,2018-03-12,NL0000289213,archive
Sculptor Capital Management Europe Limited,ARCADIS N.V.,0.62,2018-03-12,NL0006237562,archive
"WorldQuant, LLC",OCI N.V.,0.59,2018-03-12,NL0010558797,archive
"AQR Capital Management, LLC",Koninklijke KPN N.V.,0.89,2018-03-09,NL0000009082,archive
BNP Paribas S.A.,Koninklijke KPN N.V.,0.5,2018-03-09,NL0000009082,archive
"Bridgewater Associates, LP",ING Groep N.V.,0.71,2018-03-09,NL0011821202,archive
"Bridgewater Associates, LP",Koninklijke Philips N.V.,0.71,2018-03-09,NL0000009538,archive
Canada Pension Plan Investment Board,PostNL N.V.,0.71,2018-03-09,NL0009739416,archive
Capital Fund Management S.A.,Fugro N.V.,1.16,2018-03-09,NL0000352565,archive
CQS (UK) LLP,Aperam S.A.,0.69,2018-03-09,LU0569974404,archive
GSA Capital Partners LLP,Wereldhave N.V.,0.5,2018-03-09,NL0000289213,archive
HBK Investments LP,Fugro N.V.,0.99,2018-03-09,NL0000352565,archive
"PDT Partners, LLC",Pharming Group N.V.,0.75,2018-03-09,NL0010391025,archive
"PDT Partners, LLC",Wereldhave N.V.,0.7,2018-03-09,NL0000289213,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,1.95,2018-03-09,NL0000339760,archive
Sculptor Capital Management Europe Limited,ARCADIS N.V.,0.54,2018-03-09,NL0006237562,archive
"WorldQuant, LLC",PostNL N.V.,1.61,2018-03-09,NL0009739416,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,2.29,2018-03-08,BE0003818359,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,1.99,2018-03-08,NL0000360618,archive
Balyasny Asset Management (UK) LLP,Koninklijke Vopak N.V.,0.6,2018-03-08,NL0009432491,archive
"BlackRock Institutional Trust Company, National Association",Fugro N.V.,0.82,2018-03-08,NL0000352565,archive
"BlackRock Institutional Trust Company, National Association",Wereldhave N.V.,0.59,2018-03-08,NL0000289213,archive
BlueCrest Capital Management Limited,Fugro N.V.,0.53,2018-03-08,NL0000352565,archive
"Bridgewater Associates, LP",ING Groep N.V.,0.69,2018-03-08,NL0011821202,archive
Canada Pension Plan Investment Board,PostNL N.V.,0.63,2018-03-08,NL0009739416,archive
CQS (UK) LLP,Aperam S.A.,0.59,2018-03-08,LU0569974404,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.44,2018-03-08,NL0000289213,archive
Marshall Wace LLP,Wereldhave N.V.,1.21,2018-03-08,NL0000289213,archive
"PDT Partners, LLC",Wereldhave N.V.,0.69,2018-03-08,NL0000289213,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,1.84,2018-03-08,NL0000339760,archive
"WorldQuant, LLC",Fugro N.V.,0.8,2018-03-08,NL0000352565,archive
"WorldQuant, LLC",PostNL N.V.,1.56,2018-03-08,NL0009739416,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,2.19,2018-03-07,BE0003818359,archive
Arrowgrass Capital Partners LLP,Fugro N.V.,0.59,2018-03-07,NL0000352565,archive
"BlueMountain Capital Management, LLC",SBM Offshore N.V.,0.6,2018-03-07,NL0000360618,archive
"Bridgewater Associates, LP",ING Groep N.V.,0.7,2018-03-07,NL0011821202,archive
CQS (UK) LLP,Aperam S.A.,0.61,2018-03-07,LU0569974404,archive
Marshall Wace LLP,ARCADIS N.V.,0.91,2018-03-07,NL0006237562,archive
"PDT Partners, LLC",Koninklijke BAM Groep N.V.,0.48,2018-03-07,NL0000337319,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,1.28,2018-03-07,NL0000339760,archive
"WorldQuant, LLC",Lakefront Biotherapeutics NV,0.62,2018-03-07,BE0003818359,archive
GSA Capital Partners LLP,Flow Traders Ltd.,0.47,2018-03-06,NL0011279492,archive
Highbridge Capital Management LLC,BE Semiconductor Industries N.V.,0.49,2018-03-06,NL0000339760,archive
Marshall Wace LLP,ABN AMRO Bank NV,0.67,2018-03-06,NL0011540547,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,2.28,2018-03-06,NL0000337319,archive
Marshall Wace LLP,Wereldhave N.V.,1.13,2018-03-06,NL0000289213,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,0.59,2018-03-06,NL0000339760,archive
Viking Global Investors LP,AEGON Ltd.,0.52,2018-03-06,NL0000303709,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.95,2018-03-06,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,1.44,2018-03-06,NL0009739416,archive
AHL Partners LLP,Fugro N.V.,0.99,2018-03-05,NL0000352565,archive
AHL Partners LLP,Koninklijke BAM Groep N.V.,0.59,2018-03-05,NL0000337319,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2.01,2018-03-05,NL0000360618,archive
"Bridgewater Associates, LP",ING Groep N.V.,0.68,2018-03-05,NL0011821202,archive
Citadel Advisors II LLC,Koninklijke BAM Groep N.V.,0.71,2018-03-05,NL0000337319,archive
"Connor, Clark & Lunn Investment Management Ltd.",SBM Offshore N.V.,0.5,2018-03-05,NL0000360618,archive
Marshall Wace LLP,Pharming Group N.V.,2.25,2018-03-05,NL0010391025,archive
"PDT Partners, LLC",Koninklijke BAM Groep N.V.,0.5,2018-03-05,NL0000337319,archive
"PDT Partners, LLC",Wereldhave N.V.,0.78,2018-03-05,NL0000289213,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,0.45,2018-03-05,NL0011279492,archive
"WorldQuant, LLC",Fugro N.V.,0.72,2018-03-05,NL0000352565,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,1.07,2018-03-05,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,1.35,2018-03-05,NL0009739416,archive
AHL Partners LLP,Fugro N.V.,1.02,2018-03-02,NL0000352565,archive
"Bridgewater Associates, LP",ASML Holding N.V.,0.63,2018-03-02,NL0010273215,archive
"Bridgewater Associates, LP",ING Groep N.V.,0.7,2018-03-02,NL0011821202,archive
Marshall Wace LLP,ARCADIS N.V.,0.84,2018-03-02,NL0006237562,archive
Marshall Wace LLP,PostNL N.V.,0.47,2018-03-02,NL0009739416,archive
Millennium International Management LP,Wereldhave N.V.,0.81,2018-03-02,NL0000289213,archive
"PDT Partners, LLC",Koninklijke BAM Groep N.V.,0.49,2018-03-02,NL0000337319,archive
"PDT Partners, LLC",Wereldhave N.V.,0.8,2018-03-02,NL0000289213,archive
Tower House Partners LLP,Signify N.V.,0.49,2018-03-02,NL0011821392,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,1.16,2018-03-02,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,1.23,2018-03-02,NL0009739416,archive
"WorldQuant, LLC",Wereldhave N.V.,2.02,2018-03-02,NL0000289213,archive
"AQR Capital Management, LLC",Koninklijke KPN N.V.,0.9,2018-03-01,NL0000009082,archive
"AQR Capital Management, LLC",Koninklijke Vopak N.V.,2.58,2018-03-01,NL0009432491,archive
Balyasny Asset Management (UK) LLP,Koninklijke Vopak N.V.,0.59,2018-03-01,NL0009432491,archive
BlackRock Investment Management (UK) Limited,Koninklijke Vopak N.V.,0.49,2018-03-01,NL0009432491,archive
BlueCrest Capital Management Limited,Fugro N.V.,0.47,2018-03-01,NL0000352565,archive
"Connor, Clark & Lunn Investment Management Ltd.",Flow Traders Ltd.,0.68,2018-03-01,NL0011279492,archive
Highbridge Capital Management LLC,BE Semiconductor Industries N.V.,0.5,2018-03-01,NL0000339760,archive
Jupiter Investment Management Limited,Fugro N.V.,0.64,2018-03-01,NL0000352565,archive
Lansdowne Partners (UK) LLP,ARCADIS N.V.,1.45,2018-03-01,NL0006237562,archive
Marshall Wace LLP,Pharming Group N.V.,2.15,2018-03-01,NL0010391025,archive
Marshall Wace LLP,PostNL N.V.,0.5,2018-03-01,NL0009739416,archive
"WorldQuant, LLC",Fugro N.V.,0.61,2018-03-01,NL0000352565,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,1.28,2018-03-01,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,1.08,2018-03-01,NL0009739416,archive
"BlueMountain Capital Management, LLC",OCI N.V.,0.49,2018-02-28,NL0010558797,archive
"Bridgewater Associates, LP",Koninklijke Ahold Delhaize N.V.,0.51,2018-02-28,NL0011794037,archive
Capital Fund Management S.A.,Flow Traders Ltd.,0.49,2018-02-28,NL0011279492,archive
Capital Fund Management S.A.,OCI N.V.,0.6,2018-02-28,NL0010558797,archive
Citadel Advisors II LLC,Koninklijke BAM Groep N.V.,0.69,2018-02-28,NL0000337319,archive
Citadel Advisors II LLC,Wereldhave N.V.,0.62,2018-02-28,NL0000289213,archive
Millennium International Management LP,Lakefront Biotherapeutics NV,0.7,2018-02-28,BE0003818359,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,1.42,2018-02-28,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,0.9,2018-02-28,NL0009739416,archive
"WorldQuant, LLC",Wereldhave N.V.,1.98,2018-02-28,NL0000289213,archive
AHL Partners LLP,Fugro N.V.,0.92,2018-02-27,NL0000352565,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,1.94,2018-02-27,NL0000360618,archive
BNP Paribas S.A.,Koninklijke KPN N.V.,0.34,2018-02-27,NL0000009082,archive
Capital Fund Management S.A.,Wereldhave N.V.,0.91,2018-02-27,NL0000289213,archive
GLG Partners LP,Signify N.V.,0.06,2018-02-27,NL0011821392,archive
Marshall Wace LLP,Pharming Group N.V.,2.03,2018-02-27,NL0010391025,archive
Marshall Wace LLP,Wereldhave N.V.,1.03,2018-02-27,NL0000289213,archive
Millennium International Management LP,Aperam S.A.,0.59,2018-02-27,LU0569974404,archive
Millennium International Management LP,Wereldhave N.V.,0.77,2018-02-27,NL0000289213,archive
"PDT Partners, LLC",PostNL N.V.,0.45,2018-02-27,NL0009739416,archive
TT International,Koninklijke BAM Groep N.V.,0.51,2018-02-27,NL0000337319,archive
"WorldQuant, LLC",Fugro N.V.,0.52,2018-02-27,NL0000352565,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,1.56,2018-02-27,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,0.72,2018-02-27,NL0009739416,archive
"WorldQuant, LLC",Wereldhave N.V.,1.88,2018-02-27,NL0000289213,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,1.88,2018-02-26,NL0000360618,archive
Capital Fund Management S.A.,Fugro N.V.,1.21,2018-02-26,NL0000352565,archive
Citadel Advisors II LLC,Koninklijke BAM Groep N.V.,0.7,2018-02-26,NL0000337319,archive
Citadel Securities (Europe) Limited,Koninklijke Heijmans N.V.,0.01,2018-02-26,NL0009269109,archive
Marshall Wace LLP,ARCADIS N.V.,0.71,2018-02-26,NL0006237562,archive
Millennium International Management LP,Lakefront Biotherapeutics NV,0.61,2018-02-26,BE0003818359,archive
Millennium International Management LP,Wereldhave N.V.,0.8,2018-02-26,NL0000289213,archive
Oxford Asset Management,Koninklijke Heijmans N.V.,0.49,2018-02-26,NL0009269109,archive
Oxford Asset Management,Lakefront Biotherapeutics NV,0.49,2018-02-26,BE0003818359,archive
"PDT Partners, LLC",PostNL N.V.,0.51,2018-02-26,NL0009739416,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,1.71,2018-02-26,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,0.6,2018-02-26,NL0009739416,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,2.01,2018-02-23,BE0003818359,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,1.9,2018-02-23,NL0000360618,archive
CQS (UK) LLP,Aperam S.A.,0.58,2018-02-23,LU0569974404,archive
GLG Partners LP,Signify N.V.,0.5,2018-02-23,NL0011821392,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,2.35,2018-02-23,NL0000337319,archive
Marshall Wace LLP,Pharming Group N.V.,1.99,2018-02-23,NL0010391025,archive
Oxford Asset Management,Lakefront Biotherapeutics NV,0.5,2018-02-23,BE0003818359,archive
"PDT Partners, LLC",Koninklijke BAM Groep N.V.,0.52,2018-02-23,NL0000337319,archive
"WorldQuant, LLC",Fugro N.V.,0.46,2018-02-23,NL0000352565,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,1.85,2018-02-23,NL0000337319,archive
"WorldQuant, LLC",PostNL N.V.,0.58,2018-02-23,NL0009739416,archive
"WorldQuant, LLC",Wereldhave N.V.,1.73,2018-02-23,NL0000289213,archive
AHL Partners LLP,Fugro N.V.,0.84,2018-02-22,NL0000352565,archive
AHL Partners LLP,Koninklijke BAM Groep N.V.,0.63,2018-02-22,NL0000337319,archive
BlueCrest Capital Management Limited,Fugro N.V.,0.57,2018-02-22,NL0000352565,archive
Citadel Advisors II LLC,Koninklijke BAM Groep N.V.,0.63,2018-02-22,NL0000337319,archive
Citadel Advisors II LLC,Wereldhave N.V.,0.55,2018-02-22,NL0000289213,archive
Citadel Securities (Europe) Limited,Koninklijke Heijmans N.V.,0.75,2018-02-22,NL0009269109,archive
"Davidson Kempner European Partners, LLP",Koninklijke BAM Groep N.V.,0.58,2018-02-22,NL0000337319,archive
Jupiter Investment Management Limited,Fugro N.V.,0.5,2018-02-22,NL0000352565,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,2.26,2018-02-22,NL0000337319,archive
Marshall Wace LLP,Wereldhave N.V.,0.92,2018-02-22,NL0000289213,archive
"PDT Partners, LLC",Koninklijke BAM Groep N.V.,0.6,2018-02-22,NL0000337319,archive
"WorldQuant, LLC",Fugro N.V.,0.51,2018-02-22,NL0000352565,archive
"WorldQuant, LLC",Wereldhave N.V.,1.65,2018-02-22,NL0000289213,archive
"Bridgewater Associates, LP",ING Groep N.V.,0.6,2018-02-21,NL0011821202,archive
Citadel Securities (Europe) Limited,Koninklijke Heijmans N.V.,0.68,2018-02-21,NL0009269109,archive
Highbridge Capital Management LLC,BE Semiconductor Industries N.V.,0.49,2018-02-21,NL0000339760,archive
JPMorgan Asset Management (UK) Ltd.,Koninklijke BAM Groep N.V.,0.67,2018-02-21,NL0000337319,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,2.09,2018-02-21,NL0000337319,archive
Millennium International Management LP,Aperam S.A.,0.63,2018-02-21,LU0569974404,archive
"PDT Partners, LLC",Koninklijke BAM Groep N.V.,0.52,2018-02-21,NL0000337319,archive
AKO Capital LLP,ARCADIS N.V.,1.2,2018-02-20,NL0006237562,archive
BlackRock Investment Management (UK) Limited,Koninklijke Vopak N.V.,0.52,2018-02-20,NL0009432491,archive
"Bridgewater Associates, LP",ING Groep N.V.,0.59,2018-02-20,NL0011821202,archive
"Bridgewater Associates, LP",Koninklijke Ahold Delhaize N.V.,0.48,2018-02-20,NL0011794037,archive
Capital Fund Management S.A.,Wereldhave N.V.,0.82,2018-02-20,NL0000289213,archive
Citadel Securities (Europe) Limited,Koninklijke Heijmans N.V.,0.72,2018-02-20,NL0009269109,archive
"Connor, Clark & Lunn Investment Management Ltd.",Flow Traders Ltd.,0.79,2018-02-20,NL0011279492,archive
GSA Capital Partners LLP,Flow Traders Ltd.,0.59,2018-02-20,NL0011279492,archive
GSA Capital Partners LLP,Pharming Group N.V.,0.49,2018-02-20,NL0010391025,archive
HBK Investments LP,Fugro N.V.,1.09,2018-02-20,NL0000352565,archive
Marshall Wace LLP,ARCADIS N.V.,0.68,2018-02-20,NL0006237562,archive
Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,0.61,2018-02-20,NL0011794037,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.78,2018-02-20,NL0000337319,archive
Oxford Asset Management,Koninklijke Heijmans N.V.,0.52,2018-02-20,NL0009269109,archive
"WorldQuant, LLC",Lakefront Biotherapeutics NV,0.58,2018-02-20,BE0003818359,archive
"WorldQuant, LLC",Wereldhave N.V.,1.52,2018-02-20,NL0000289213,archive
AHL Partners LLP,Fugro N.V.,0.72,2018-02-19,NL0000352565,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,1.89,2018-02-19,NL0000360618,archive
"BlackRock Institutional Trust Company, National Association",Wereldhave N.V.,0.67,2018-02-19,NL0000289213,archive
Marshall Wace LLP,Pharming Group N.V.,2.05,2018-02-19,NL0010391025,archive
"PDT Partners, LLC",Wereldhave N.V.,0.71,2018-02-19,NL0000289213,archive
"WorldQuant, LLC",OCI N.V.,0.6,2018-02-19,NL0010558797,archive
Balyasny Asset Management (UK) LLP,Koninklijke Vopak N.V.,0.64,2018-02-16,NL0009432491,archive
"BlueMountain Capital Management, LLC",SBM Offshore N.V.,0.51,2018-02-16,NL0000360618,archive
Citadel Advisors II LLC,Wereldhave N.V.,0.62,2018-02-16,NL0000289213,archive
GSA Capital Partners LLP,Flow Traders Ltd.,0.68,2018-02-16,NL0011279492,archive
GSA Capital Partners LLP,Pharming Group N.V.,0.51,2018-02-16,NL0010391025,archive
Jupiter Investment Management Limited,Koninklijke Vopak N.V.,0.6,2018-02-16,NL0009432491,archive
Marshall Wace LLP,AEGON Ltd.,0.44,2018-02-16,NL0000303709,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.64,2018-02-16,NL0000337319,archive
Marshall Wace LLP,Koninklijke Vopak N.V.,0.39,2018-02-16,NL0009432491,archive
"WorldQuant, LLC",Fugro N.V.,0.48,2018-02-16,NL0000352565,archive
"WorldQuant, LLC",OCI N.V.,0.59,2018-02-16,NL0010558797,archive
"WorldQuant, LLC",PostNL N.V.,0.68,2018-02-16,NL0009739416,archive
"WorldQuant, LLC",Wereldhave N.V.,1.44,2018-02-16,NL0000289213,archive
AHL Partners LLP,Fugro N.V.,0.66,2018-02-15,NL0000352565,archive
AHL Partners LLP,Lakefront Biotherapeutics NV,0.45,2018-02-15,BE0003818359,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,1.9,2018-02-15,NL0000360618,archive
BNP Paribas S.A.,BE Semiconductor Industries N.V.,0.5,2018-02-15,NL0000339760,archive
"Bridgewater Associates, LP",ASML Holding N.V.,0.59,2018-02-15,NL0010273215,archive
Citadel Advisors II LLC,Wereldhave N.V.,0.71,2018-02-15,NL0000289213,archive
Citadel Securities (Europe) Limited,Koninklijke Heijmans N.V.,0.6,2018-02-15,NL0009269109,archive
Marshall Wace LLP,Wereldhave N.V.,0.87,2018-02-15,NL0000289213,archive
Millennium International Management LP,Aperam S.A.,0.5,2018-02-15,LU0569974404,archive
Toscafund Asset Management LLP,Wereldhave N.V.,0.62,2018-02-15,NL0000289213,archive
"AQR Capital Management, LLC",Koninklijke Vopak N.V.,2.69,2018-02-14,NL0009432491,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,1.92,2018-02-14,BE0003818359,archive
"BlueMountain Capital Management, LLC",OCI N.V.,0.51,2018-02-14,NL0010558797,archive
"Bridgewater Associates, LP",ING Groep N.V.,0.67,2018-02-14,NL0011821202,archive
"Bridgewater Associates, LP",Koninklijke Philips N.V.,0.67,2018-02-14,NL0000009538,archive
Marshall Wace LLP,Koninklijke BAM Groep N.V.,1.54,2018-02-14,NL0000337319,archive
Marshall Wace LLP,Koninklijke Vopak N.V.,0.6,2018-02-14,NL0009432491,archive
Marshall Wace LLP,Pharming Group N.V.,1.95,2018-02-14,NL0010391025,archive
Marshall Wace LLP,Wereldhave N.V.,0.92,2018-02-14,NL0000289213,archive
Millennium International Management LP,Lakefront Biotherapeutics NV,0.59,2018-02-14,BE0003818359,archive
"PDT Partners, LLC",Pharming Group N.V.,0.61,2018-02-14,NL0010391025,archive
"WorldQuant, LLC",Lakefront Biotherapeutics NV,0.69,2018-02-14,BE0003818359,archive
"WorldQuant, LLC",Wereldhave N.V.,1.32,2018-02-14,NL0000289213,archive
AHL Partners LLP,Fugro N.V.,0.7,2018-02-13,NL0000352565,archive
"AQR Capital Management, LLC",OCI N.V.,1.1,2018-02-13,NL0010558797,archive
Capital Fund Management S.A.,Fugro N.V.,1.1,2018-02-13,NL0000352565,archive
Capital Fund Management S.A.,Wereldhave N.V.,0.72,2018-02-13,NL0000289213,archive
Citadel Advisors II LLC,Wereldhave N.V.,0.68,2018-02-13,NL0000289213,archive
Citadel Securities (Europe) Limited,Koninklijke Heijmans N.V.,0.48,2018-02-13,NL0009269109,archive
Marshall Wace LLP,AEGON Ltd.,0.5,2018-02-13,NL0000303709,archive
Marshall Wace LLP,Wereldhave N.V.,1.05,2018-02-13,NL0000289213,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,0.59,2018-02-13,NL0011279492,archive
"WorldQuant, LLC",OCI N.V.,0.6,2018-02-13,NL0010558797,archive
"Bridgewater Associates, LP",ASML Holding N.V.,0.65,2018-02-12,NL0010273215,archive
"Bridgewater Associates, LP",ING Groep N.V.,0.72,2018-02-12,NL0011821202,archive
"Bridgewater Associates, LP",Koninklijke Ahold Delhaize N.V.,0.58,2018-02-12,NL0011794037,archive
"Bridgewater Associates, LP",Koninklijke Philips N.V.,0.73,2018-02-12,NL0000009538,archive
Capital Fund Management S.A.,OCI N.V.,0.51,2018-02-12,NL0010558797,archive
"Connor, Clark & Lunn Investment Management Ltd.",Flow Traders Ltd.,0.83,2018-02-12,NL0011279492,archive
GSA Capital Partners LLP,Flow Traders Ltd.,0.73,2018-02-12,NL0011279492,archive
Marshall Wace LLP,AEGON Ltd.,0.49,2018-02-12,NL0000303709,archive
Marshall Wace LLP,Wereldhave N.V.,1.19,2018-02-12,NL0000289213,archive
"PDT Partners, LLC",Wereldhave N.V.,0.64,2018-02-12,NL0000289213,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,0.76,2018-02-12,NL0011279492,archive
