position_holder,issuer_name,net_short_position,position_date,isin,source
"Two Sigma Investments, LP",Pharming Group N.V.,1.1,2026-06-22,NL0010391025,current
"WorldQuant, LLC",Alfen N.V.,0.74,2026-06-22,NL0012817175,current
Capital Fund Management S.A.,IMCD N.V.,1.0,2026-06-19,NL0010801007,current
Capstone Volatility Master (Cayman) Limited,Pharming Group N.V.,0.83,2026-06-19,NL0010391025,current
Citadel Advisors LLC,DSM-Firmenich AG,0.96,2026-06-19,CH1216478797,current
Citadel Advisors LLC,Signify N.V.,1.3,2026-06-19,NL0011821392,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.79,2026-06-19,NL0011872650,current
Marshall Wace LLP,DSM-Firmenich AG,0.91,2026-06-19,CH1216478797,current
"Point72 Asset Management, L.P.",Fugro N.V.,0.56,2026-06-19,NL00150003E1,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.79,2026-06-19,NL0015002MS2,current
Spark Investment Management LLC,Pharming Group N.V.,0.52,2026-06-19,NL0010391025,current
"WorldQuant, LLC",Alfen N.V.,0.68,2026-06-19,NL0012817175,current
"Farallon Capital Management, L.L.C.",Signify N.V.,0.85,2026-06-18,NL0011821392,current
Marshall Wace LLP,PostNL N.V.,0.8,2026-06-18,NL0009739416,current
"PDT Partners, LLC",IMCD N.V.,0.79,2026-06-18,NL0010801007,current
SQUARE CIRCLE IA LP,Basic-Fit N.V.,0.54,2026-06-18,NL0011872650,current
"WorldQuant, LLC",Alfen N.V.,0.71,2026-06-18,NL0012817175,current
"AQR Capital Management, LLC",Adyen N.V.,0.89,2026-06-17,NL0012969182,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,1.29,2026-06-17,NL0010801007,current
"BlackRock Financial Management, Inc.",Signify N.V.,0.79,2026-06-17,NL0011821392,current
Capital Fund Management S.A.,The Magnum Ice Cream Company N.V.,0.51,2026-06-17,NL0015002MS2,current
Citadel Advisors LLC,Signify N.V.,1.46,2026-06-17,NL0011821392,current
