net_short_position,issuer_name,position_holder,isin,position_date,source
1.44,InPost S.A.,"Two Sigma Investments, LP",LU2290522684,2026-03-24,current
0.6,Theon International Plc,"Two Sigma Investments, LP",CY0200751713,2026-03-24,current
2.0,Alfen N.V.,Voleon Capital Management LP,NL0012817175,2026-03-24,current
0.62,Envipco Holding N.V.,Actus Ray Partners Limited,NL0015000GX8,2026-03-23,current
0.72,Adyen N.V.,"AQR Capital Management, LLC",NL0012969182,2026-03-23,current
0.64,Alfen N.V.,"AQR Capital Management, LLC",NL0012817175,2026-03-23,current
1.01,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",NL0010801007,2026-03-23,current
0.6,Signify N.V.,"BlackRock Financial Management, Inc.",NL0011821392,2026-03-23,current
1.19,Signify N.V.,Citadel Advisors Europe Limited,NL0011821392,2026-03-23,current
2.3,Signify N.V.,Citadel Advisors LLC,NL0011821392,2026-03-23,current
1.18,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2026-03-23,current
0.69,PostNL N.V.,"D. E. Shaw & Co., L.P.",NL0009739416,2026-03-23,current
0.51,The Magnum Ice Cream Company N.V.,GLG Partners LP,NL0015002MS2,2026-03-23,current
0.78,Akzo Nobel N.V.,Kintbury Capital LLP,NL0013267909,2026-03-23,current
0.7,PostNL N.V.,Marshall Wace LLP,NL0009739416,2026-03-23,current
0.69,Akzo Nobel N.V.,Millennium International Management LP,NL0013267909,2026-03-23,current
1.01,Theon International Plc,Qube Research & Technologies Ltd.,CY0200751713,2026-03-23,current
1.05,ARCADIS N.V.,Squarepoint Ops LLC,NL0006237562,2026-03-23,current
0.6,IMCD N.V.,Squarepoint Ops LLC,NL0010801007,2026-03-23,current
1.36,InPost S.A.,"Two Sigma Investments, LP",LU2290522684,2026-03-23,current
0.58,Signify N.V.,"BlackRock Financial Management, Inc.",NL0011821392,2026-03-20,current
0.7,Adyen N.V.,Capital Fund Management S.A.,NL0012969182,2026-03-20,current
0.59,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2026-03-20,current
0.75,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,CH1216478797,2026-03-20,current
0.87,Akzo Nobel N.V.,Kintbury Capital LLP,NL0013267909,2026-03-20,current
0.83,Randstad N.V.,Marshall Wace LLP,NL0000379121,2026-03-20,current
1.52,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,NL0015002MS2,2026-03-20,current
0.8,Signify N.V.,Millennium Capital (DIFC) Limited,NL0011821392,2026-03-20,current
0.91,Signify N.V.,Qube Research & Technologies Ltd.,NL0011821392,2026-03-20,current
0.99,Theon International Plc,Qube Research & Technologies Ltd.,CY0200751713,2026-03-20,current
0.57,IMCD N.V.,Squarepoint Ops LLC,NL0010801007,2026-03-20,current
0.81,IMCD N.V.,"Two Sigma Investments, LP",NL0010801007,2026-03-20,current
1.26,InPost S.A.,"Two Sigma Investments, LP",LU2290522684,2026-03-20,current
0.51,ING Groep N.V.,Viking Global Investors LP,NL0011821202,2026-03-20,current
1.31,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2026-03-19,current
0.51,Alfen N.V.,"AQR Capital Management, LLC",NL0012817175,2026-03-19,current
0.8,ARCADIS N.V.,"AQR Capital Management, LLC",NL0006237562,2026-03-19,current
0.6,CVC Capital Partners plc,Marshall Wace LLP,JE00BRX98089,2026-03-19,current
0.73,Randstad N.V.,Marshall Wace LLP,NL0000379121,2026-03-19,current
1.43,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,NL0015002MS2,2026-03-19,current
0.61,TomTom N.V.,Winton Capital Management Limited,NL0013332471,2026-03-19,current
2.83,Alfen N.V.,"WorldQuant, LLC",NL0012817175,2026-03-19,current
0.6,IMCD N.V.,"WorldQuant, LLC",NL0010801007,2026-03-19,current
0.6,Adyen N.V.,"AQR Capital Management, LLC",NL0012969182,2026-03-18,current
1.21,Signify N.V.,Citadel Advisors Europe Limited,NL0011821392,2026-03-18,current
0.52,Akzo Nobel N.V.,"Empyrean Capital Overseas Master Fund, Ltd",NL0013267909,2026-03-18,current
0.87,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,CH1216478797,2026-03-18,current
0.57,Theon International Plc,Qube Research & Technologies Ltd.,CY0200751713,2026-03-18,current
1.11,InPost S.A.,"Two Sigma Investments, LP",LU2290522684,2026-03-18,current
1.97,Alfen N.V.,Voleon Capital Management LP,NL0012817175,2026-03-18,current
2.98,Alfen N.V.,"WorldQuant, LLC",NL0012817175,2026-03-18,current
0.59,Akzo Nobel N.V.,"AQR Capital Management, LLC",NL0013267909,2026-03-17,current
0.91,Akzo Nobel N.V.,Kintbury Capital LLP,NL0013267909,2026-03-17,current
0.7,Akzo Nobel N.V.,Millennium International Management LP,NL0013267909,2026-03-17,current
0.71,CVC Capital Partners plc,Qube Research & Technologies Ltd.,JE00BRX98089,2026-03-17,current
1.3,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,NL0015002MS2,2026-03-16,current
0.8,IMCD N.V.,"PDT Partners, LLC",NL0010801007,2026-03-16,current
0.63,IMCD N.V.,Squarepoint Ops LLC,NL0010801007,2026-03-16,current
3.08,Alfen N.V.,"WorldQuant, LLC",NL0012817175,2026-03-16,current
0.52,Adyen N.V.,"AQR Capital Management, LLC",NL0012969182,2026-03-13,current
