net_short_position,issuer_name,position_holder,isin,position_date,source
0.51,Galapagos NV,Millennium International Management LP,BE0003818359,2016-12-20,archive
0.8,Koninklijke Heijmans N.V.,GSA Capital Partners LLP,NL0009269109,2016-12-19,archive
0.52,Wereldhave N.V.,Millennium International Management LP,NL0000289213,2016-12-19,archive
0.0,Koninklijke Heijmans N.V.,Susquehanna International Securities Limited,NL0009269109,2016-12-19,archive
0.49,Fugro N.V.,BNP Paribas S.A.,NL0000352565,2016-12-16,archive
0.58,Koninklijke Vopak N.V.,Marshall Wace LLP,NL0009432491,2016-12-16,archive
0.49,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-12-16,archive
0.67,Koninklijke Heijmans N.V.,Susquehanna International Securities Limited,NL0009269109,2016-12-16,archive
0.86,Wereldhave N.V.,BlackRock Investment Management (UK) Limited,NL0000289213,2016-12-15,archive
1.8,PostNL N.V.,Marshall Wace LLP,NL0009739416,2016-12-15,archive
0.5,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-12-15,archive
0.71,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2016-12-15,archive
0.59,Koninklijke Heijmans N.V.,Susquehanna International Securities Limited,NL0009269109,2016-12-15,archive
1.05,ARCADIS N.V.,TT International,NL0006237562,2016-12-15,archive
1.11,Wereldhave N.V.,"WorldQuant, LLC",NL0000289213,2016-12-15,archive
0.35,Aperam S.A.,Adage Capital Management L.P.,LU0569974404,2016-12-14,archive
0.69,OCI N.V.,"AQR Capital Management, LLC",NL0010558797,2016-12-14,archive
0.98,ARCADIS N.V.,Marshall Wace LLP,NL0006237562,2016-12-14,archive
0.49,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-12-14,archive
0.44,Koninklijke Heijmans N.V.,Susquehanna International Securities Limited,NL0009269109,2016-12-14,archive
0.97,ARCADIS N.V.,TT International,NL0006237562,2016-12-14,archive
0.54,Aperam S.A.,Adage Capital Management L.P.,LU0569974404,2016-12-13,archive
0.54,SBM Offshore N.V.,"BlackRock Institutional Trust Company, National Association",NL0000360618,2016-12-13,archive
0.7,Wereldhave N.V.,"BlackRock Institutional Trust Company, National Association",NL0000289213,2016-12-13,archive
0.79,Wereldhave N.V.,BlackRock Investment Management (UK) Limited,NL0000289213,2016-12-13,archive
0.41,Fugro N.V.,Sculptor Capital Management Europe Limited,NL0000352565,2016-12-13,archive
1.08,Fugro N.V.,UBS Asset Management (UK) Ltd.,NL0000352565,2016-12-13,archive
1.05,Aperam S.A.,Adage Capital Management L.P.,LU0569974404,2016-12-12,archive
0.49,SBM Offshore N.V.,"BlackRock Institutional Trust Company, National Association",NL0000360618,2016-12-12,archive
1.72,PostNL N.V.,Marshall Wace LLP,NL0009739416,2016-12-12,archive
0.49,SBM Offshore N.V.,Marshall Wace LLP,NL0000360618,2016-12-12,archive
0.67,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2016-12-12,archive
0.54,Koninklijke Heijmans N.V.,Susquehanna International Securities Limited,NL0009269109,2016-12-12,archive
2.21,Signify N.V.,Tybourne Capital Management (HK) Limited,NL0011821392,2016-12-12,archive
1.2,Aperam S.A.,Adage Capital Management L.P.,LU0569974404,2016-12-09,archive
0.8,Wereldhave N.V.,BlackRock Investment Management (UK) Limited,NL0000289213,2016-12-09,archive
0.79,SBM Offshore N.V.,Capital Fund Management S.A.,NL0000360618,2016-12-09,archive
0.71,Koninklijke Heijmans N.V.,GSA Capital Partners LLP,NL0009269109,2016-12-09,archive
0.61,Koninklijke Vopak N.V.,Marshall Wace LLP,NL0009432491,2016-12-09,archive
1.63,PostNL N.V.,Marshall Wace LLP,NL0009739416,2016-12-09,archive
0.63,Fugro N.V.,Sculptor Capital Management Europe Limited,NL0000352565,2016-12-09,archive
0.49,TomTom N.V.,Systematica Investments Limited,NL0000387058,2016-12-09,archive
2.06,Signify N.V.,Tybourne Capital Management (HK) Limited,NL0011821392,2016-12-09,archive
1.05,ArcelorMittal S.A.,"AQR Capital Management, LLC",LU0323134006,2016-12-08,archive
0.55,Aperam S.A.,BNP Paribas S.A.,LU0569974404,2016-12-08,archive
1.46,PostNL N.V.,Marshall Wace LLP,NL0009739416,2016-12-08,archive
1.99,Signify N.V.,Tybourne Capital Management (HK) Limited,NL0011821392,2016-12-08,archive
1.39,Fugro N.V.,UBS Asset Management (UK) Ltd.,NL0000352565,2016-12-08,archive
1.37,Aperam S.A.,Adage Capital Management L.P.,LU0569974404,2016-12-07,archive
1.87,Aperam S.A.,"Angelo, Gordon & Co. L.P.",LU0569974404,2016-12-07,archive
0.69,AEGON Ltd.,"AQR Capital Management, LLC",NL0000303709,2016-12-07,archive
0.49,Brunel International N.V.,BlackRock Investment Management (UK) Limited,NL0010776944,2016-12-07,archive
0.59,Fugro N.V.,BNP Paribas S.A.,NL0000352565,2016-12-07,archive
1.21,PostNL N.V.,Marshall Wace LLP,NL0009739416,2016-12-07,archive
0.57,SBM Offshore N.V.,Marshall Wace LLP,NL0000360618,2016-12-07,archive
0.49,TomTom N.V.,"PDT Partners, LLC",NL0000387058,2016-12-07,archive
0.93,Fugro N.V.,Sculptor Capital Management Europe Limited,NL0000352565,2016-12-07,archive
1.77,Signify N.V.,Tybourne Capital Management (HK) Limited,NL0011821392,2016-12-07,archive
0.0,PostNL N.V.,White Square Partners Fund LP,NL0009739416,2016-12-07,archive
0.68,Fugro N.V.,"AQR Capital Management, LLC",NL0000352565,2016-12-06,archive
0.49,Koninklijke BAM Groep N.V.,Marshall Wace LLP,NL0000337319,2016-12-06,archive
0.5,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-12-06,archive
0.51,TomTom N.V.,"PDT Partners, LLC",NL0000387058,2016-12-06,archive
0.84,ARCADIS N.V.,TT International,NL0006237562,2016-12-06,archive
0.47,TomTom N.V.,AHL Partners LLP,NL0000387058,2016-12-05,archive
0.81,Aperam S.A.,BNP Paribas S.A.,LU0569974404,2016-12-05,archive
0.61,Akzo Nobel N.V.,Citadel Europe LLP,NL0000009132,2016-12-05,archive
0.5,Koninklijke BAM Groep N.V.,Marshall Wace LLP,NL0000337319,2016-12-05,archive
0.51,Koninklijke Vopak N.V.,Marshall Wace LLP,NL0009432491,2016-12-05,archive
0.74,PostNL N.V.,Marshall Wace LLP,NL0009739416,2016-12-05,archive
0.7,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2016-12-05,archive
0.49,TomTom N.V.,"PDT Partners, LLC",NL0000387058,2016-12-05,archive
1.69,Aperam S.A.,Adage Capital Management L.P.,LU0569974404,2016-12-02,archive
0.5,TomTom N.V.,AHL Partners LLP,NL0000387058,2016-12-02,archive
0.63,PostNL N.V.,Marshall Wace LLP,NL0009739416,2016-12-02,archive
0.68,SBM Offshore N.V.,Marshall Wace LLP,NL0000360618,2016-12-02,archive
0.49,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-12-02,archive
1.01,Fugro N.V.,Sculptor Capital Management Europe Limited,NL0000352565,2016-12-02,archive
1.76,Aperam S.A.,Adage Capital Management L.P.,LU0569974404,2016-12-01,archive
0.79,OCI N.V.,"AQR Capital Management, LLC",NL0010558797,2016-12-01,archive
0.57,Akzo Nobel N.V.,Citadel Europe LLP,NL0000009132,2016-12-01,archive
0.99,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0000387058,2016-12-01,archive
0.56,PostNL N.V.,Marshall Wace LLP,NL0009739416,2016-12-01,archive
0.69,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2016-12-01,archive
0.5,TomTom N.V.,"PDT Partners, LLC",NL0000387058,2016-12-01,archive
1.8,Aperam S.A.,Adage Capital Management L.P.,LU0569974404,2016-11-30,archive
0.72,SBM Offshore N.V.,Marshall Wace LLP,NL0000360618,2016-11-30,archive
0.49,ARCADIS N.V.,"WorldQuant, LLC",NL0006237562,2016-11-30,archive
1.02,Wereldhave N.V.,"WorldQuant, LLC",NL0000289213,2016-11-30,archive
1.28,ArcelorMittal S.A.,"AQR Capital Management, LLC",LU0323134006,2016-11-29,archive
0.76,Aperam S.A.,BNP Paribas S.A.,LU0569974404,2016-11-29,archive
0.52,SBM Offshore N.V.,"BlackRock Institutional Trust Company, National Association",NL0000360618,2016-11-28,archive
0.89,SBM Offshore N.V.,Capital Fund Management S.A.,NL0000360618,2016-11-28,archive
0.62,SBM Offshore N.V.,Marshall Wace LLP,NL0000360618,2016-11-28,archive
1.74,Aperam S.A.,"Angelo, Gordon & Co. L.P.",LU0569974404,2016-11-25,archive
0.64,Wereldhave N.V.,"BlackRock Institutional Trust Company, National Association",NL0000289213,2016-11-25,archive
0.8,Aperam S.A.,BNP Paribas S.A.,LU0569974404,2016-11-25,archive
0.49,Akzo Nobel N.V.,Citadel Europe LLP,NL0000009132,2016-11-25,archive
0.58,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-11-25,archive
0.78,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2016-11-25,archive
1.45,Aperam S.A.,"Angelo, Gordon & Co. L.P.",LU0569974404,2016-11-24,archive
0.59,Wereldhave N.V.,"BlackRock Institutional Trust Company, National Association",NL0000289213,2016-11-24,archive
0.62,Koninklijke Heijmans N.V.,GSA Capital Partners LLP,NL0009269109,2016-11-24,archive
0.94,ARCADIS N.V.,TT International,NL0006237562,2016-11-24,archive
0.91,Wereldhave N.V.,"WorldQuant, LLC",NL0000289213,2016-11-24,archive
1.96,Aperam S.A.,Adage Capital Management L.P.,LU0569974404,2016-11-23,archive
0.6,Wereldhave N.V.,"BlackRock Institutional Trust Company, National Association",NL0000289213,2016-11-23,archive
0.5,Akzo Nobel N.V.,Citadel Europe LLP,NL0000009132,2016-11-23,archive
1.0,ARCADIS N.V.,Marshall Wace LLP,NL0006237562,2016-11-23,archive
0.51,SBM Offshore N.V.,Marshall Wace LLP,NL0000360618,2016-11-22,archive
0.82,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2016-11-22,archive
2.16,Aperam S.A.,Adage Capital Management L.P.,LU0569974404,2016-11-21,archive
0.49,TomTom N.V.,AHL Partners LLP,NL0000387058,2016-11-21,archive
0.73,Aperam S.A.,BNP Paribas S.A.,LU0569974404,2016-11-21,archive
0.48,Akzo Nobel N.V.,Citadel Europe LLP,NL0000009132,2016-11-21,archive
2.6,Aperam S.A.,CQS (UK) LLP,LU0569974404,2016-11-21,archive
0.79,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2016-11-21,archive
0.49,TomTom N.V.,"PDT Partners, LLC",NL0000387058,2016-11-21,archive
0.5,ARCADIS N.V.,"WorldQuant, LLC",NL0006237562,2016-11-21,archive
2.28,Aperam S.A.,Adage Capital Management L.P.,LU0569974404,2016-11-18,archive
0.5,Koninklijke BAM Groep N.V.,"Algert Global, LLC",NL0000337319,2016-11-18,archive
0.49,Fugro N.V.,Arrowgrass Capital Partners LLP,NL0000352565,2016-11-18,archive
0.52,Akzo Nobel N.V.,Citadel Europe LLP,NL0000009132,2016-11-18,archive
0.97,Fugro N.V.,HBK Investments LP,NL0000352565,2016-11-18,archive
0.61,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-11-18,archive
0.8,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2016-11-18,archive
0.5,TomTom N.V.,AHL Partners LLP,NL0000387058,2016-11-17,archive
0.88,OCI N.V.,"AQR Capital Management, LLC",NL0010558797,2016-11-17,archive
0.7,Wereldhave N.V.,Capital Fund Management S.A.,NL0000289213,2016-11-17,archive
0.61,Akzo Nobel N.V.,Citadel Europe LLP,NL0000009132,2016-11-17,archive
1.56,Signify N.V.,Tybourne Capital Management (HK) Limited,NL0011821392,2016-11-17,archive
1.47,Fugro N.V.,UBS Asset Management (UK) Ltd.,NL0000352565,2016-11-17,archive
0.7,PostNL N.V.,White Square Partners Fund LP,NL0009739416,2016-11-17,archive
0.78,Fugro N.V.,"AQR Capital Management, LLC",NL0000352565,2016-11-16,archive
0.5,Wereldhave N.V.,"BlackRock Institutional Trust Company, National Association",NL0000289213,2016-11-16,archive
0.84,Signify N.V.,"Coatue Management, L.L.C.",NL0011821392,2016-11-16,archive
1.31,Fugro N.V.,UBS Asset Management (UK) Ltd.,NL0000352565,2016-11-16,archive
0.72,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2016-11-15,archive
0.51,Galapagos NV,Oxford Asset Management,BE0003818359,2016-11-15,archive
0.61,SBM Offshore N.V.,Oxford Asset Management,NL0000360618,2016-11-15,archive
0.63,PostNL N.V.,White Square Partners Fund LP,NL0009739416,2016-11-15,archive
0.95,ARCADIS N.V.,Marshall Wace LLP,NL0006237562,2016-11-14,archive
0.56,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-11-14,archive
0.86,ARCADIS N.V.,TT International,NL0006237562,2016-11-14,archive
2.35,Aperam S.A.,Adage Capital Management L.P.,LU0569974404,2016-11-11,archive
0.49,Koninklijke Vopak N.V.,"AQR Capital Management, LLC",NL0009432491,2016-11-11,archive
0.6,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-11-11,archive
0.92,ARCADIS N.V.,TT International,NL0006237562,2016-11-11,archive
1.4,Signify N.V.,Tybourne Capital Management (HK) Limited,NL0011821392,2016-11-11,archive
2.48,Aperam S.A.,Adage Capital Management L.P.,LU0569974404,2016-11-10,archive
0.48,TomTom N.V.,AHL Partners LLP,NL0000387058,2016-11-10,archive
0.45,Koninklijke BAM Groep N.V.,BlackRock Investment Management (UK) Limited,NL0000337319,2016-11-10,archive
0.79,Wereldhave N.V.,BlackRock Investment Management (UK) Limited,NL0000289213,2016-11-10,archive
0.83,ARCADIS N.V.,Marshall Wace LLP,NL0006237562,2016-11-10,archive
1.04,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-11-10,archive
0.61,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2016-11-10,archive
0.49,Koninklijke BAM Groep N.V.,Oxford Asset Management,NL0000337319,2016-11-10,archive
1.36,Signify N.V.,Tybourne Capital Management (HK) Limited,NL0011821392,2016-11-10,archive
0.56,PostNL N.V.,White Square Partners Fund LP,NL0009739416,2016-11-10,archive
0.61,Wereldhave N.V.,Capital Fund Management S.A.,NL0000289213,2016-11-09,archive
0.7,Wereldhave N.V.,Citadel Advisors LLC,NL0000289213,2016-11-09,archive
0.68,ARCADIS N.V.,"Lucerne Capital Management, L.P.",NL0006237562,2016-11-09,archive
1.12,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-11-09,archive
0.5,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2016-11-09,archive
0.48,Wereldhave N.V.,Millennium International Management LP,NL0000289213,2016-11-09,archive
0.52,TomTom N.V.,"PDT Partners, LLC",NL0000387058,2016-11-09,archive
0.21,ArcelorMittal S.A.,Adage Capital Management L.P.,LU0323134006,2016-11-08,archive
0.49,ASML Holding N.V.,"AQR Capital Management, LLC",NL0010273215,2016-11-08,archive
0.87,Fugro N.V.,"AQR Capital Management, LLC",NL0000352565,2016-11-08,archive
1.13,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,NL0000352565,2016-11-08,archive
0.72,ARCADIS N.V.,Marshall Wace LLP,NL0006237562,2016-11-08,archive
1.22,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-11-08,archive
0.95,Fugro N.V.,Sculptor Capital Management Europe Limited,NL0000352565,2016-11-08,archive
0.5,ASML Holding N.V.,"AQR Capital Management, LLC",NL0010273215,2016-11-07,archive
1.2,Signify N.V.,Tybourne Capital Management (HK) Limited,NL0011821392,2016-11-07,archive
0.44,PostNL N.V.,BlackRock Investment Management (UK) Limited,NL0009739416,2016-11-04,archive
0.88,Wereldhave N.V.,BlackRock Investment Management (UK) Limited,NL0000289213,2016-11-04,archive
0.63,Wereldhave N.V.,Citadel Advisors LLC,NL0000289213,2016-11-04,archive
0.5,Koninklijke Heijmans N.V.,GSA Capital Partners LLP,NL0009269109,2016-11-04,archive
0.59,SBM Offshore N.V.,Oxford Asset Management,NL0000360618,2016-11-04,archive
0.59,Koninklijke BAM Groep N.V.,BlackRock Investment Management (UK) Limited,NL0000337319,2016-11-03,archive
0.59,PostNL N.V.,BlackRock Investment Management (UK) Limited,NL0009739416,2016-11-03,archive
0.49,Koninklijke Heijmans N.V.,GSA Capital Partners LLP,NL0009269109,2016-11-03,archive
1.37,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-11-03,archive
0.45,Galapagos NV,Millennium International Management LP,BE0003818359,2016-11-03,archive
0.6,SBM Offshore N.V.,Oxford Asset Management,NL0000360618,2016-11-03,archive
0.61,TomTom N.V.,Oxford Asset Management,NL0000387058,2016-11-03,archive
0.8,Koninklijke KPN N.V.,"AQR Capital Management, LLC",NL0000009082,2016-11-02,archive
0.49,Wereldhave N.V.,"BlackRock Institutional Trust Company, National Association",NL0000289213,2016-11-02,archive
0.71,PostNL N.V.,BlackRock Investment Management (UK) Limited,NL0009739416,2016-11-02,archive
0.5,Wereldhave N.V.,Citadel Advisors LLC,NL0000289213,2016-11-02,archive
0.63,Wereldhave N.V.,Millennium International Management LP,NL0000289213,2016-11-02,archive
1.0,ARCADIS N.V.,TT International,NL0006237562,2016-11-02,archive
1.21,Fugro N.V.,UBS Asset Management (UK) Ltd.,NL0000352565,2016-11-02,archive
0.71,Fugro N.V.,BNP Paribas S.A.,NL0000352565,2016-11-01,archive
0.5,Wereldhave N.V.,Capital Fund Management S.A.,NL0000289213,2016-11-01,archive
0.59,Brunel International N.V.,JPMorgan Asset Management (UK) Ltd.,NL0010776944,2016-11-01,archive
0.61,ARCADIS N.V.,Marshall Wace LLP,NL0006237562,2016-11-01,archive
0.5,Galapagos NV,Millennium International Management LP,BE0003818359,2016-11-01,archive
1.32,Fugro N.V.,UBS Asset Management (UK) Ltd.,NL0000352565,2016-11-01,archive
0.99,Wereldhave N.V.,BlackRock Investment Management (UK) Limited,NL0000289213,2016-10-31,archive
1.4,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-10-31,archive
0.5,TomTom N.V.,Systematica Investments Limited,NL0000387058,2016-10-31,archive
0.81,Fugro N.V.,HBK Investments LP,NL0000352565,2016-10-28,archive
0.47,TomTom N.V.,"PDT Partners, LLC",NL0000387058,2016-10-28,archive
0.83,Wereldhave N.V.,"WorldQuant, LLC",NL0000289213,2016-10-28,archive
0.96,Fugro N.V.,"AQR Capital Management, LLC",NL0000352565,2016-10-27,archive
0.9,SBM Offshore N.V.,Capital Fund Management S.A.,NL0000360618,2016-10-27,archive
0.59,ARCADIS N.V.,Marshall Wace LLP,NL0006237562,2016-10-27,archive
0.93,ARCADIS N.V.,TT International,NL0006237562,2016-10-27,archive
0.49,SBM Offshore N.V.,"BlackRock Institutional Trust Company, National Association",NL0000360618,2016-10-26,archive
0.8,PostNL N.V.,BlackRock Investment Management (UK) Limited,NL0009739416,2016-10-26,archive
0.5,Flow Traders Ltd.,GSA Capital Partners LLP,NL0011279492,2016-10-26,archive
0.59,Wereldhave N.V.,Millennium International Management LP,NL0000289213,2016-10-26,archive
0.73,Wereldhave N.V.,"WorldQuant, LLC",NL0000289213,2016-10-26,archive
0.5,Wereldhave N.V.,"BlackRock Institutional Trust Company, National Association",NL0000289213,2016-10-25,archive
0.67,Fugro N.V.,BNP Paribas S.A.,NL0000352565,2016-10-25,archive
0.89,SBM Offshore N.V.,Capital Fund Management S.A.,NL0000360618,2016-10-25,archive
0.5,Koninklijke Heijmans N.V.,GSA Capital Partners LLP,NL0009269109,2016-10-25,archive
0.75,Fugro N.V.,HBK Investments LP,NL0000352565,2016-10-25,archive
1.32,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-10-25,archive
0.5,TomTom N.V.,Oxford Asset Management,NL0000387058,2016-10-25,archive
0.76,Fugro N.V.,Sculptor Capital Management Europe Limited,NL0000352565,2016-10-25,archive
0.66,Wereldhave N.V.,"WorldQuant, LLC",NL0000289213,2016-10-25,archive
2.58,SBM Offshore N.V.,"AQR Capital Management, LLC",NL0000360618,2016-10-24,archive
0.9,SBM Offshore N.V.,Capital Fund Management S.A.,NL0000360618,2016-10-24,archive
0.64,Fugro N.V.,HBK Investments LP,NL0000352565,2016-10-24,archive
0.89,SBM Offshore N.V.,Capital Fund Management S.A.,NL0000360618,2016-10-21,archive
0.59,SBM Offshore N.V.,Oxford Asset Management,NL0000360618,2016-10-21,archive
1.15,Signify N.V.,Tybourne Capital Management (HK) Limited,NL0011821392,2016-10-21,archive
0.5,Wereldhave N.V.,"WorldQuant, LLC",NL0000289213,2016-10-21,archive
0.56,TomTom N.V.,AHL Partners LLP,NL0000387058,2016-10-20,archive
0.1,OCI N.V.,"AQR Capital Management, LLC",NL0010558797,2016-10-20,archive
0.59,Fugro N.V.,Arrowgrass Capital Partners LLP,NL0000352565,2016-10-20,archive
0.71,PostNL N.V.,BlackRock Investment Management (UK) Limited,NL0009739416,2016-10-20,archive
2.34,Aperam S.A.,CQS (UK) LLP,LU0569974404,2016-10-20,archive
0.48,ARCADIS N.V.,Marshall Wace LLP,NL0006237562,2016-10-20,archive
1.2,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-10-20,archive
0.61,NSI N.V.,BlackRock Investment Management (UK) Limited,NL0000292324,2016-10-19,archive
0.53,Akzo Nobel N.V.,Citadel Europe LLP,NL0000009132,2016-10-19,archive
0.5,ARCADIS N.V.,Marshall Wace LLP,NL0006237562,2016-10-19,archive
0.49,Galapagos NV,Oxford Asset Management,BE0003818359,2016-10-19,archive
0.49,Fugro N.V.,"WorldQuant, LLC",NL0000352565,2016-10-19,archive
1.32,Aperam S.A.,"Angelo, Gordon & Co. L.P.",LU0569974404,2016-10-18,archive
0.51,Brunel International N.V.,BlackRock Investment Management (UK) Limited,NL0010776944,2016-10-18,archive
0.9,SBM Offshore N.V.,Capital Fund Management S.A.,NL0000360618,2016-10-18,archive
0.63,Akzo Nobel N.V.,Citadel Europe LLP,NL0000009132,2016-10-18,archive
2.0,Aperam S.A.,CQS (UK) LLP,LU0569974404,2016-10-18,archive
0.53,SBM Offshore N.V.,"BlackRock Institutional Trust Company, National Association",NL0000360618,2016-10-17,archive
0.68,Koninklijke BAM Groep N.V.,BlackRock Investment Management (UK) Limited,NL0000337319,2016-10-17,archive
1.14,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-10-17,archive
0.51,NSI N.V.,BlackRock Investment Management (UK) Limited,NL0000292324,2016-10-14,archive
1.02,Wereldhave N.V.,BlackRock Investment Management (UK) Limited,NL0000289213,2016-10-14,archive
0.49,Wereldhave N.V.,Citadel Advisors LLC,NL0000289213,2016-10-14,archive
0.66,Wereldhave N.V.,Millennium International Management LP,NL0000289213,2016-10-14,archive
0.6,TomTom N.V.,AHL Partners LLP,NL0000387058,2016-10-13,archive
1.07,Fugro N.V.,"AQR Capital Management, LLC",NL0000352565,2016-10-13,archive
0.99,Aperam S.A.,BNP Paribas S.A.,LU0569974404,2016-10-13,archive
1.06,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-10-13,archive
0.48,SBM Offshore N.V.,AHL Partners LLP,NL0000360618,2016-10-12,archive
0.49,SBM Offshore N.V.,"D.E. Shaw & Co., L.P.",NL0000360618,2016-10-12,archive
0.61,Brunel International N.V.,JPMorgan Asset Management (UK) Ltd.,NL0010776944,2016-10-12,archive
0.52,TomTom N.V.,"PDT Partners, LLC",NL0000387058,2016-10-12,archive
1.24,Aperam S.A.,"Angelo, Gordon & Co. L.P.",LU0569974404,2016-10-11,archive
1.87,Aperam S.A.,CQS (UK) LLP,LU0569974404,2016-10-11,archive
0.59,Brunel International N.V.,JPMorgan Asset Management (UK) Ltd.,NL0010776944,2016-10-11,archive
0.81,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,NL0000352565,2016-10-11,archive
0.42,Koninklijke BAM Groep N.V.,Linden Advisors LP,NL0000337319,2016-10-11,archive
0.41,Fugro N.V.,Marshall Wace LLP,NL0000352565,2016-10-11,archive
0.9,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-10-11,archive
0.45,Aalberts N.V.,BlackRock Investment Management (UK) Limited,NL0000852564,2016-10-10,archive
0.82,SBM Offshore N.V.,Capital Fund Management S.A.,NL0000360618,2016-10-10,archive
0.5,Akzo Nobel N.V.,Citadel Europe LLP,NL0000009132,2016-10-10,archive
1.47,Aperam S.A.,CQS (UK) LLP,LU0569974404,2016-10-10,archive
0.5,Fugro N.V.,Marshall Wace LLP,NL0000352565,2016-10-10,archive
1.0,OCI N.V.,"AQR Capital Management, LLC",NL0010558797,2016-10-07,archive
0.65,Fugro N.V.,Marshall Wace LLP,NL0000352565,2016-10-07,archive
0.83,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-10-07,archive
0.58,SBM Offshore N.V.,AHL Partners LLP,NL0000360618,2016-10-06,archive
0.7,AEGON Ltd.,"AQR Capital Management, LLC",NL0000303709,2016-10-06,archive
0.51,Wereldhave N.V.,Citadel Advisors LLC,NL0000289213,2016-10-06,archive
1.62,Aperam S.A.,"Angelo, Gordon & Co. L.P.",LU0569974404,2016-10-05,archive
0.74,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-10-05,archive
0.91,Wereldhave N.V.,BlackRock Investment Management (UK) Limited,NL0000289213,2016-10-04,archive
0.7,Wereldhave N.V.,Millennium International Management LP,NL0000289213,2016-10-04,archive
0.49,TomTom N.V.,"PDT Partners, LLC",NL0000387058,2016-10-04,archive
0.83,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,NL0000387058,2016-10-03,archive
0.59,Koninklijke BAM Groep N.V.,Oxford Asset Management,NL0000337319,2016-10-03,archive
0.7,Koninklijke BAM Groep N.V.,BlackRock Investment Management (UK) Limited,NL0000337319,2016-09-30,archive
0.46,Flow Traders Ltd.,GSA Capital Partners LLP,NL0011279492,2016-09-30,archive
0.47,SBM Offshore N.V.,Marshall Wace LLP,NL0000360618,2016-09-30,archive
0.59,Koninklijke Vopak N.V.,"AQR Capital Management, LLC",NL0009432491,2016-09-29,archive
0.58,SBM Offshore N.V.,"D.E. Shaw & Co., L.P.",NL0000360618,2016-09-29,archive
0.79,Fugro N.V.,Marshall Wace LLP,NL0000352565,2016-09-29,archive
0.54,SBM Offshore N.V.,Marshall Wace LLP,NL0000360618,2016-09-29,archive
0.61,SBM Offshore N.V.,AHL Partners LLP,NL0000360618,2016-09-28,archive
0.61,Koninklijke BAM Groep N.V.,BlackRock Investment Management (UK) Limited,NL0000337319,2016-09-28,archive
1.0,Aperam S.A.,BNP Paribas S.A.,LU0569974404,2016-09-28,archive
0.61,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-09-28,archive
1.19,Fugro N.V.,"AQR Capital Management, LLC",NL0000352565,2016-09-27,archive
0.5,TomTom N.V.,AHL Partners LLP,NL0000387058,2016-09-26,archive
0.9,OCI N.V.,"AQR Capital Management, LLC",NL0010558797,2016-09-26,archive
0.76,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-09-26,archive
0.5,Koninklijke BAM Groep N.V.,BlackRock Investment Management (UK) Limited,NL0000337319,2016-09-23,archive
0.84,Wereldhave N.V.,BlackRock Investment Management (UK) Limited,NL0000289213,2016-09-23,archive
0.87,Fugro N.V.,Marshall Wace LLP,NL0000352565,2016-09-23,archive
0.6,Wereldhave N.V.,Millennium International Management LP,NL0000289213,2016-09-23,archive
0.87,TomTom N.V.,Marshall Wace LLP,NL0000387058,2016-09-22,archive
0.53,ArcelorMittal S.A.,Adage Capital Management L.P.,LU0323134006,2016-09-21,archive
0.5,SBM Offshore N.V.,AHL Partners LLP,NL0000360618,2016-09-21,archive
0.5,Fugro N.V.,"WorldQuant, LLC",NL0000352565,2016-09-21,archive
0.48,Koninklijke BAM Groep N.V.,AHL Partners LLP,NL0000337319,2016-09-20,archive
