net_short_position,position_date,issuer_name,isin,position_holder,source
1.09,2026-05-05,TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,current
1.76,2026-05-05,Signify N.V.,NL0011821392,Marshall Wace LLP,current
0.65,2026-05-05,Basic-Fit N.V.,NL0011872650,Sculptor Capital Management Europe Limited,current
0.81,2026-05-04,IMCD N.V.,NL0010801007,Capital Fund Management S.A.,current
1.61,2026-05-04,Akzo Nobel N.V.,NL0013267909,Davidson Kempner Capital Management LP,current
0.57,2026-04-30,ARCADIS N.V.,NL0006237562,"D. E. Shaw & Co., L.P.",current
0.89,2026-04-30,PostNL N.V.,NL0009739416,Marshall Wace LLP,current
0.86,2026-04-30,The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,current
0.89,2026-04-30,Signify N.V.,NL0011821392,"PDT Partners, LLC",current
0.6,2026-04-30,The Magnum Ice Cream Company N.V.,NL0015002MS2,Qube Research & Technologies Ltd.,current
0.59,2026-04-30,Basic-Fit N.V.,NL0011872650,Sculptor Capital Management Europe Limited,current
0.56,2026-04-30,ARCADIS N.V.,NL0006237562,White Creek Capital LLP,current
