position_date,net_short_position,isin,issuer_name,position_holder,source
2026-04-10,0.8,NL0000395903,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",current
2026-04-10,1.38,NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
2026-04-10,0.9,NL0010801007,IMCD N.V.,"PDT Partners, LLC",current
2026-04-10,1.22,CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,current
2026-04-09,1.13,NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",current
2026-04-09,2.42,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-04-09,1.0,CH1216478797,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,current
2026-04-09,0.71,NL0012365084,NSI N.V.,Numeric Investors LLC,current
2026-04-09,0.89,NL0010801007,IMCD N.V.,"PDT Partners, LLC",current
2026-04-08,0.61,NL0000852564,Aalberts N.V.,"AQR Capital Management, LLC",current
2026-04-08,1.22,NL0011821392,Signify N.V.,"AQR Capital Management, LLC",current
2026-04-08,2.39,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-04-08,0.5,NL0015002MS2,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,current
2026-04-08,0.79,NL0010801007,IMCD N.V.,"Two Sigma Investments, LP",current
2026-04-07,0.66,NL0010801007,IMCD N.V.,"BlackRock Advisors, LLC",current
2026-04-07,1.0,NL0010801007,IMCD N.V.,"BlackRock Financial Management, Inc.",current
2026-04-07,0.76,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,current
2026-04-07,2.41,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-04-07,0.69,NL0006237562,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",current
2026-04-07,1.46,NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
2026-04-07,1.98,NL0012817175,Alfen N.V.,Voleon Capital Management LP,current
2026-04-07,2.77,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-04-02,1.0,NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",current
2026-04-02,0.61,JE00BRX98089,CVC Capital Partners plc,"AQR Capital Management, LLC",current
2026-04-02,0.99,NL0010801007,IMCD N.V.,"BlackRock Financial Management, Inc.",current
2026-04-02,0.5,NL0000817179,Sligro Food Group N.V.,Citadel Advisors LLC,current
2026-04-02,0.7,NL0006237562,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",current
2026-04-02,0.62,NL0011872650,Basic-Fit N.V.,Eleva Capital SAS,current
2026-04-02,0.78,NL0000379121,Randstad N.V.,Marshall Wace LLP,current
2026-04-01,0.61,LU1598757687,ArcelorMittal S.A.,"AQR Capital Management, LLC",current
2026-04-01,1.1,NL0011821392,Signify N.V.,"AQR Capital Management, LLC",current
2026-04-01,1.21,NL0010801007,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",current
2026-04-01,0.74,NL0011821392,Signify N.V.,Canada Pension Plan Investment Board,current
2026-04-01,2.36,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-04-01,0.69,NL0006237562,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",current
2026-04-01,0.5,NL0011872650,Basic-Fit N.V.,Eleva Capital SAS,current
2026-04-01,1.79,NL0011821392,Signify N.V.,Marshall Wace LLP,current
2026-04-01,2.86,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-03-31,0.62,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,current
2026-03-31,2.4,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-03-31,1.21,NL0011821392,Signify N.V.,Eleva Capital SAS,current
2026-03-31,0.9,JE00BRX98089,CVC Capital Partners plc,Qube Research & Technologies Ltd.,current
2026-03-30,0.9,NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",current
2026-03-30,1.05,NL0011821392,Signify N.V.,Eleva Capital SAS,current
2026-03-30,0.64,NL0015002MS2,The Magnum Ice Cream Company N.V.,GLG Partners LP,current
2026-03-30,0.91,CH1216478797,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,current
2026-03-30,1.87,NL0011821392,Signify N.V.,Marshall Wace LLP,current
2026-03-30,1.59,NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
2026-03-30,0.61,NL0012365084,NSI N.V.,Numeric Investors LLC,current
2026-03-30,0.99,NL0006237562,ARCADIS N.V.,Squarepoint Ops LLC,current
2026-03-30,0.7,CY0200751713,Theon International Plc,"Two Sigma Investments, LP",current
2026-03-27,0.9,NL0006237562,ARCADIS N.V.,"AQR Capital Management, LLC",current
2026-03-27,1.12,NL0010801007,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",current
2026-03-27,1.09,NL0010801007,IMCD N.V.,"BlackRock Financial Management, Inc.",current
2026-03-27,0.51,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,current
2026-03-27,0.7,NL0006237562,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",current
2026-03-27,0.59,NL0015002MS2,The Magnum Ice Cream Company N.V.,GLG Partners LP,current
2026-03-27,0.86,NL0000379121,Randstad N.V.,Marshall Wace LLP,current
2026-03-26,0.69,NL0006237562,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",current
2026-03-26,1.96,NL0011821392,Signify N.V.,Marshall Wace LLP,current
2026-03-26,1.14,CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,current
2026-03-26,1.5,LU2290522684,InPost S.A.,"Two Sigma Investments, LP",current
2026-03-26,0.5,NL0010801007,IMCD N.V.,Voleon Capital Management LP,current
2026-03-26,2.92,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-03-25,0.8,NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",current
2026-03-25,0.5,JE00BRX98089,CVC Capital Partners plc,"AQR Capital Management, LLC",current
2026-03-25,0.6,NL0015002MS2,The Magnum Ice Cream Company N.V.,GLG Partners LP,current
2026-03-25,0.82,CH1216478797,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,current
2026-03-24,0.56,NL0010801007,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,current
2026-03-24,1.14,NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,current
2026-03-24,0.91,NL0000379121,Randstad N.V.,Marshall Wace LLP,current
2026-03-24,2.0,NL0011821392,Signify N.V.,Marshall Wace LLP,current
2026-03-24,1.6,NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
2026-03-24,0.9,NL0010801007,IMCD N.V.,"PDT Partners, LLC",current
2026-03-24,0.81,JE00BRX98089,CVC Capital Partners plc,Qube Research & Technologies Ltd.,current
2026-03-24,1.44,LU2290522684,InPost S.A.,"Two Sigma Investments, LP",current
2026-03-24,0.6,CY0200751713,Theon International Plc,"Two Sigma Investments, LP",current
