position_date,isin,issuer_name,net_short_position,position_holder,source
2024-09-17,NL0010391025,Pharming Group N.V.,0.51,Lazard Asset Management LLC,current
2024-09-12,BE0003818359,Galapagos NV,1.27,"Arrowstreet Capital, Limited Partnership",current
2024-08-30,NL0013267909,Akzo Nobel N.V.,1.51,AKO Capital LLP,current
2024-08-13,BE0003818359,Galapagos NV,1.39,"Arrowstreet Capital, Limited Partnership",current
2024-08-09,NL0011872650,Basic-Fit N.V.,0.6,JPMorgan Asset Management (UK) Ltd.,current
2024-08-08,NL0013332471,TomTom N.V.,1.67,JPMorgan Asset Management (UK) Ltd.,current
2024-08-05,NL0013267909,Akzo Nobel N.V.,1.48,AKO Capital LLP,current
2024-07-24,NL0013267909,Akzo Nobel N.V.,1.53,AKO Capital LLP,current
2024-07-23,NL0013267909,Akzo Nobel N.V.,1.45,AKO Capital LLP,current
2024-06-25,BE0003818359,Galapagos NV,1.49,"Arrowstreet Capital, Limited Partnership",current
2024-06-24,NL0013267909,Akzo Nobel N.V.,1.31,AKO Capital LLP,current
2024-06-12,NL0013267909,Akzo Nobel N.V.,1.27,AKO Capital LLP,current
2024-06-12,NL0013332471,TomTom N.V.,1.58,JPMorgan Asset Management (UK) Ltd.,current
2024-06-06,NL0013267909,Akzo Nobel N.V.,1.1,AKO Capital LLP,current
2024-06-05,NL0013267909,Akzo Nobel N.V.,1.0,AKO Capital LLP,current
2024-04-24,NL0013267909,Akzo Nobel N.V.,0.92,AKO Capital LLP,current
2024-04-15,NL0013267909,Akzo Nobel N.V.,0.8,AKO Capital LLP,current
2024-04-10,NL0013267909,Akzo Nobel N.V.,0.72,AKO Capital LLP,current
2024-03-26,NL0013332471,TomTom N.V.,1.48,JPMorgan Asset Management (UK) Ltd.,current
2024-03-25,NL0013267909,Akzo Nobel N.V.,0.64,AKO Capital LLP,current
2024-03-22,NL0011872650,Basic-Fit N.V.,0.55,JPMorgan Asset Management (UK) Ltd.,current
2024-03-21,NL0013332471,TomTom N.V.,1.58,JPMorgan Asset Management (UK) Ltd.,current
