issuer_name,position_date,position_holder,net_short_position,isin,source
Signify N.V.,2026-05-22,Citadel Advisors LLC,1.6,NL0011821392,current
Pharming Group N.V.,2026-05-22,"D. E. Shaw & Co., L.P.",0.61,NL0010391025,current
DSM-Firmenich AG,2026-05-22,Marshall Wace LLP,0.78,CH1216478797,current
IMCD N.V.,2026-05-22,"PDT Partners, LLC",0.79,NL0010801007,current
Pharming Group N.V.,2026-05-22,Walleye Capital LLC,0.8,NL0010391025,current
Signify N.V.,2026-05-21,Canada Pension Plan Investment Board,1.0,NL0011821392,current
DSM-Firmenich AG,2026-05-21,Citadel Advisors LLC,0.74,CH1216478797,current
Pharming Group N.V.,2026-05-21,"D. E. Shaw & Co., L.P.",0.59,NL0010391025,current
DSM-Firmenich AG,2026-05-21,Ilex Capital Partners (UK) LLP,1.71,CH1216478797,current
DSM-Firmenich AG,2026-05-21,Marshall Wace LLP,0.6,CH1216478797,current
Signify N.V.,2026-05-21,Marshall Wace LLP,1.58,NL0011821392,current
Pharming Group N.V.,2026-05-21,"Two Sigma Investments, LP",0.99,NL0010391025,current
InPost S.A.,2026-05-20,"Two Sigma Investments, LP",1.29,LU2290522684,current
Pharming Group N.V.,2026-05-20,"Two Sigma Investments, LP",1.0,NL0010391025,current
Pharming Group N.V.,2026-05-19,"D. E. Shaw & Co., L.P.",0.6,NL0010391025,current
Basic-Fit N.V.,2026-05-19,Linden Advisors LP,0.9,NL0011872650,current
Signify N.V.,2026-05-19,"PDT Partners, LLC",1.0,NL0011821392,current
IMCD N.V.,2026-05-19,"Two Sigma Investments, LP",0.68,NL0010801007,current
ARCADIS N.V.,2026-05-18,"AQR Capital Management, LLC",0.99,NL0006237562,current
DSM-Firmenich AG,2026-05-18,Citadel Advisors LLC,0.62,CH1216478797,current
Signify N.V.,2026-05-18,Citadel Advisors LLC,1.59,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-05-18,Marshall Wace LLP,0.73,NL0015002MS2,current
IMCD N.V.,2026-05-15,"BlackRock Financial Management, Inc.",0.79,NL0010801007,current
Wereldhave N.V.,2026-05-15,Citadel Advisors LLC,0.82,NL0000289213,current
Wolters Kluwer N.V.,2026-05-15,"D. E. Shaw & Co., L.P.",0.68,NL0000395903,current
The Magnum Ice Cream Company N.V.,2026-05-15,Marshall Wace LLP,0.68,NL0015002MS2,current
The Magnum Ice Cream Company N.V.,2026-05-15,Qube Research & Technologies Ltd.,0.71,NL0015002MS2,current
IMCD N.V.,2026-05-14,Capital Fund Management S.A.,0.78,NL0010801007,current
Basic-Fit N.V.,2026-05-14,"D. E. Shaw & Co., L.P.",0.89,NL0011872650,current
IMCD N.V.,2026-05-14,"PDT Partners, LLC",0.8,NL0010801007,current
Basic-Fit N.V.,2026-05-14,Sculptor Capital Management Europe Limited,0.77,NL0011872650,current
IMCD N.V.,2026-05-13,Capital Fund Management S.A.,0.8,NL0010801007,current
Signify N.V.,2026-05-13,Citadel Advisors LLC,1.61,NL0011821392,current
Pharming Group N.V.,2026-05-13,"D. E. Shaw & Co., L.P.",0.53,NL0010391025,current
Pharming Group N.V.,2026-05-13,"Two Sigma Investments, LP",0.91,NL0010391025,current
Pharming Group N.V.,2026-05-13,Walleye Capital LLC,0.74,NL0010391025,current
IMCD N.V.,2026-05-12,"BlackRock Advisors, LLC",0.59,NL0010801007,current
Signify N.V.,2026-05-12,"BlackRock Financial Management, Inc.",0.71,NL0011821392,current
IMCD N.V.,2026-05-12,Capital Fund Management S.A.,0.79,NL0010801007,current
Pharming Group N.V.,2026-05-12,Lazard Asset Management LLC,0.82,NL0010391025,current
NSI N.V.,2026-05-12,Numeric Investors LLC,0.8,NL0012365084,current
InPost S.A.,2026-05-12,"Two Sigma Investments, LP",1.36,LU2290522684,current
IMCD N.V.,2026-05-11,Capital Fund Management S.A.,0.8,NL0010801007,current
TKH Group N.V.,2026-05-11,Capital Fund Management S.A.,0.52,NL0000852523,current
Signify N.V.,2026-05-11,Citadel Advisors Europe Limited,1.02,NL0011821392,current
DSM-Firmenich AG,2026-05-11,Citadel Advisors LLC,0.5,CH1216478797,current
Wereldhave N.V.,2026-05-11,Citadel Advisors LLC,0.7,NL0000289213,current
Pharming Group N.V.,2026-05-11,"Two Sigma Investments, LP",0.86,NL0010391025,current
