isin,net_short_position,position_date,issuer_name,position_holder,source
NL0011821392,0.8,2026-03-04,Signify N.V.,"PDT Partners, LLC",current
CY0200751713,0.59,2026-03-04,Theon International Plc,Qube Research & Technologies Ltd.,current
LU2290522684,0.9,2026-03-04,InPost S.A.,"Two Sigma Investments, LP",current
CH1216478797,1.03,2026-03-03,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,current
NL0010391025,0.77,2026-03-03,Pharming Group N.V.,Lazard Asset Management LLC,current
NL0009739416,0.69,2026-03-03,PostNL N.V.,Marshall Wace LLP,current
NL0011821392,1.92,2026-03-03,Signify N.V.,Marshall Wace LLP,current
NL0012365084,0.52,2026-03-03,NSI N.V.,Numeric Investors LLC,current
CY0200751713,0.6,2026-03-03,Theon International Plc,Qube Research & Technologies Ltd.,current
NL0012817175,2.01,2026-03-03,Alfen N.V.,Voleon Capital Management LP,current
NL0011821392,1.7,2026-03-02,Signify N.V.,Citadel Advisors LLC,current
NL0000395903,0.7,2026-03-02,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",current
CY0200751713,0.59,2026-03-02,Theon International Plc,"Two Sigma Investments, LP",current
NL0012817175,1.95,2026-03-02,Alfen N.V.,Voleon Capital Management LP,current
NL0010801007,0.69,2026-02-27,IMCD N.V.,"BlackRock Advisors, LLC",current
NL0010801007,1.18,2026-02-27,IMCD N.V.,"BlackRock Financial Management, Inc.",current
NL0011821392,1.88,2026-02-27,Signify N.V.,Marshall Wace LLP,current
LU2290522684,0.81,2026-02-27,InPost S.A.,"Two Sigma Investments, LP",current
NL0006237562,0.71,2026-02-26,ARCADIS N.V.,"AQR Capital Management, LLC",current
NL0011821392,1.0,2026-02-26,Signify N.V.,Citadel Advisors Europe Limited,current
NL0012817175,1.38,2026-02-26,Alfen N.V.,"D. E. Shaw & Co., L.P.",current
NL0011821392,1.9,2026-02-26,Signify N.V.,Marshall Wace LLP,current
NL0015002MS2,1.01,2026-02-26,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
