isin,position_holder,position_date,issuer_name,net_short_position,source
NL0015002MS2,Marshall Wace LLP,2026-04-22,The Magnum Ice Cream Company N.V.,1.09,current
NL0012969182,"AQR Capital Management, LLC",2026-04-21,Adyen N.V.,1.3,current
NL0011821392,"BlackRock Advisors, LLC",2026-04-21,Signify N.V.,0.5,current
NL0011821392,Canada Pension Plan Investment Board,2026-04-21,Signify N.V.,0.91,current
NL0011821392,Citadel Advisors LLC,2026-04-21,Signify N.V.,1.82,current
NL0000289213,Citadel Advisors LLC,2026-04-21,Wereldhave N.V.,0.7,current
NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-04-21,Fugro N.V.,1.56,current
NL0011821392,"PDT Partners, LLC",2026-04-21,Signify N.V.,0.88,current
NL0006237562,White Creek Capital LLP,2026-04-21,ARCADIS N.V.,0.61,current
NL0012969182,"AQR Capital Management, LLC",2026-04-20,Adyen N.V.,1.29,current
NL0011821392,Canada Pension Plan Investment Board,2026-04-20,Signify N.V.,0.87,current
NL0011821392,Citadel Advisors LLC,2026-04-20,Signify N.V.,2.0,current
NL0011872650,"D. E. Shaw & Co., L.P.",2026-04-20,Basic-Fit N.V.,1.06,current
NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-04-20,Fugro N.V.,1.45,current
NL0011872650,Linden Advisors LP,2026-04-20,Basic-Fit N.V.,0.7,current
NL0013267909,"O'Connor Alternative Investments, LLC",2026-04-20,Akzo Nobel N.V.,1.16,current
NL0006237562,White Creek Capital LLP,2026-04-20,ARCADIS N.V.,0.57,current
NL0010801007,"BlackRock Financial Management, Inc.",2026-04-17,IMCD N.V.,0.89,current
NL0010801007,Citadel Advisors LLC,2026-04-17,IMCD N.V.,0.53,current
NL0011821392,Citadel Advisors LLC,2026-04-17,Signify N.V.,2.22,current
NL0000817179,Citadel Advisors LLC,2026-04-17,Sligro Food Group N.V.,0.71,current
NL0011872650,"D. E. Shaw & Co., L.P.",2026-04-17,Basic-Fit N.V.,1.12,current
NL0013267909,Davidson Kempner Capital Management LP,2026-04-17,Akzo Nobel N.V.,1.41,current
NL0011872650,Fosse Capital Partners LLP,2026-04-17,Basic-Fit N.V.,1.02,current
NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-04-17,Fugro N.V.,1.06,current
NL0010801007,JPMorgan Asset Management (UK) Ltd.,2026-04-17,IMCD N.V.,0.91,current
NL0013332471,JPMorgan Asset Management (UK) Ltd.,2026-04-17,TomTom N.V.,1.22,current
NL0011872650,Linden Advisors LP,2026-04-17,Basic-Fit N.V.,0.59,current
NL0010801007,Marshall Wace LLP,2026-04-17,IMCD N.V.,0.65,current
NL0009739416,Marshall Wace LLP,2026-04-17,PostNL N.V.,0.81,current
NL0011821392,"PDT Partners, LLC",2026-04-17,Signify N.V.,0.9,current
NL0011872650,Sculptor Capital Management Europe Limited,2026-04-17,Basic-Fit N.V.,0.6,current
