position_holder,net_short_position,issuer_name,isin,position_date,source
Citadel Advisors LLC,0.74,DSM-Firmenich AG,CH1216478797,2026-05-21,current
Ilex Capital Partners (UK) LLP,1.71,DSM-Firmenich AG,CH1216478797,2026-05-21,current
Marshall Wace LLP,0.6,DSM-Firmenich AG,CH1216478797,2026-05-21,current
Marshall Wace LLP,1.58,Signify N.V.,NL0011821392,2026-05-21,current
"Two Sigma Investments, LP",0.99,Pharming Group N.V.,NL0010391025,2026-05-21,current
"Two Sigma Investments, LP",1.29,InPost S.A.,LU2290522684,2026-05-20,current
"Two Sigma Investments, LP",1.0,Pharming Group N.V.,NL0010391025,2026-05-20,current
Linden Advisors LP,0.9,Basic-Fit N.V.,NL0011872650,2026-05-19,current
"PDT Partners, LLC",1.0,Signify N.V.,NL0011821392,2026-05-19,current
"AQR Capital Management, LLC",0.99,ARCADIS N.V.,NL0006237562,2026-05-18,current
Citadel Advisors LLC,0.62,DSM-Firmenich AG,CH1216478797,2026-05-18,current
Citadel Advisors LLC,1.59,Signify N.V.,NL0011821392,2026-05-18,current
Marshall Wace LLP,0.73,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-05-18,current
"BlackRock Financial Management, Inc.",0.79,IMCD N.V.,NL0010801007,2026-05-15,current
Citadel Advisors LLC,0.82,Wereldhave N.V.,NL0000289213,2026-05-15,current
"D. E. Shaw & Co., L.P.",0.68,Wolters Kluwer N.V.,NL0000395903,2026-05-15,current
Marshall Wace LLP,0.68,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-05-15,current
Qube Research & Technologies Ltd.,0.71,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-05-15,current
Capital Fund Management S.A.,0.78,IMCD N.V.,NL0010801007,2026-05-14,current
"D. E. Shaw & Co., L.P.",0.89,Basic-Fit N.V.,NL0011872650,2026-05-14,current
"PDT Partners, LLC",0.8,IMCD N.V.,NL0010801007,2026-05-14,current
Sculptor Capital Management Europe Limited,0.77,Basic-Fit N.V.,NL0011872650,2026-05-14,current
Capital Fund Management S.A.,0.8,IMCD N.V.,NL0010801007,2026-05-13,current
Citadel Advisors LLC,1.61,Signify N.V.,NL0011821392,2026-05-13,current
"Two Sigma Investments, LP",0.91,Pharming Group N.V.,NL0010391025,2026-05-13,current
Walleye Capital LLC,0.74,Pharming Group N.V.,NL0010391025,2026-05-13,current
"BlackRock Advisors, LLC",0.59,IMCD N.V.,NL0010801007,2026-05-12,current
"BlackRock Financial Management, Inc.",0.71,Signify N.V.,NL0011821392,2026-05-12,current
Capital Fund Management S.A.,0.79,IMCD N.V.,NL0010801007,2026-05-12,current
Lazard Asset Management LLC,0.82,Pharming Group N.V.,NL0010391025,2026-05-12,current
Numeric Investors LLC,0.8,NSI N.V.,NL0012365084,2026-05-12,current
"Two Sigma Investments, LP",1.36,InPost S.A.,LU2290522684,2026-05-12,current
Capital Fund Management S.A.,0.8,IMCD N.V.,NL0010801007,2026-05-11,current
Citadel Advisors LLC,0.5,DSM-Firmenich AG,CH1216478797,2026-05-11,current
Citadel Advisors LLC,0.7,Wereldhave N.V.,NL0000289213,2026-05-11,current
"Two Sigma Investments, LP",0.86,Pharming Group N.V.,NL0010391025,2026-05-11,current
"Two Sigma Investments, LP",0.8,Theon International Plc,CY0200751713,2026-05-11,current
Walleye Capital LLC,0.63,Pharming Group N.V.,NL0010391025,2026-05-11,current
