position_holder,net_short_position,isin,issuer_name,position_date,source
"AQR Capital Management, LLC",0.52,NL0012969182,Adyen N.V.,2026-03-13,current
Citadel Advisors LLC,0.5,NL0000379121,Randstad N.V.,2026-03-13,current
Ilex Capital Partners (UK) LLP,0.98,CH1216478797,DSM-Firmenich AG,2026-03-13,current
Marshall Wace LLP,0.52,JE00BRX98089,CVC Capital Partners plc,2026-03-13,current
Marshall Wace LLP,0.61,NL0000379121,Randstad N.V.,2026-03-13,current
Millennium International Management LP,0.6,NL0013267909,Akzo Nobel N.V.,2026-03-13,current
"WorldQuant, LLC",3.14,NL0012817175,Alfen N.V.,2026-03-13,current
"WorldQuant, LLC",0.52,NL0010801007,IMCD N.V.,2026-03-13,current
Actus Ray Partners Limited,0.54,NL0015000GX8,Envipco Holding N.V.,2026-03-12,current
Albar Capital Partners LLP,0.64,NL0013267909,Akzo Nobel N.V.,2026-03-12,current
Canada Pension Plan Investment Board,0.65,NL0011821392,Signify N.V.,2026-03-12,current
JPMorgan Asset Management (UK) Ltd.,0.64,NL0010801007,IMCD N.V.,2026-03-12,current
Squarepoint Ops LLC,1.1,NL0006237562,ARCADIS N.V.,2026-03-12,current
Squarepoint Ops LLC,0.5,NL0010801007,IMCD N.V.,2026-03-12,current
Canada Pension Plan Investment Board,0.57,NL0011821392,Signify N.V.,2026-03-11,current
Capital Fund Management S.A.,0.6,NL0012969182,Adyen N.V.,2026-03-11,current
Citadel Advisors LLC,2.24,NL0011821392,Signify N.V.,2026-03-11,current
"D. E. Shaw & Co., L.P.",0.69,NL0012866412,BE Semiconductor Industries N.V.,2026-03-11,current
Marshall Wace LLP,1.91,NL0011821392,Signify N.V.,2026-03-11,current
Citadel Advisors LLC,2.17,NL0011821392,Signify N.V.,2026-03-10,current
"Connor, Clark & Lunn Investment Management Ltd.",0.59,LU2290522684,InPost S.A.,2026-03-10,current
"D. E. Shaw & Co., L.P.",0.7,NL0012866412,BE Semiconductor Industries N.V.,2026-03-10,current
Kintbury Capital LLP,0.86,NL0013267909,Akzo Nobel N.V.,2026-03-10,current
Lazard Asset Management LLC,0.96,NL0010391025,Pharming Group N.V.,2026-03-10,current
Marshall Wace LLP,0.72,NL0000009082,Koninklijke KPN N.V.,2026-03-10,current
Marshall Wace LLP,1.21,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-10,current
"Two Sigma Investments, LP",1.03,LU2290522684,InPost S.A.,2026-03-10,current
Winton Capital Management Limited,0.52,NL0013332471,TomTom N.V.,2026-03-10,current
Acadian Asset Management LLC.,0.72,NL0010801007,IMCD N.V.,2026-03-09,current
AKO Capital LLP,1.21,NL0013267909,Akzo Nobel N.V.,2026-03-09,current
Capital Fund Management S.A.,0.51,NL0012969182,Adyen N.V.,2026-03-09,current
Citadel Advisors Europe Limited,1.18,NL0011821392,Signify N.V.,2026-03-09,current
Citadel Advisors LLC,0.69,NL0009739416,PostNL N.V.,2026-03-09,current
Citadel Advisors LLC,2.06,NL0011821392,Signify N.V.,2026-03-09,current
"D. E. Shaw & Co., L.P.",1.29,NL0012817175,Alfen N.V.,2026-03-09,current
"D. E. Shaw & Co., L.P.",0.5,NL0010801007,IMCD N.V.,2026-03-09,current
Millennium International Management LP,0.51,NL0013267909,Akzo Nobel N.V.,2026-03-09,current
"Two Sigma Investments, LP",0.71,NL0010801007,IMCD N.V.,2026-03-09,current
Wellington Management International Ltd.,0.51,NL0011872650,Basic-Fit N.V.,2026-03-09,current
"AQR Capital Management, LLC",0.67,NL0013267909,Akzo Nobel N.V.,2026-03-06,current
"AQR Capital Management, LLC",0.6,NL0015000IY2,Universal Music Group N.V.,2026-03-06,current
"BlackRock Advisors, LLC",0.7,NL0010801007,IMCD N.V.,2026-03-06,current
Citadel Advisors LLC,1.88,NL0011821392,Signify N.V.,2026-03-06,current
JPMorgan Asset Management (UK) Ltd.,0.81,NL00150003E1,Fugro N.V.,2026-03-06,current
Squarepoint Ops LLC,1.09,NL0006237562,ARCADIS N.V.,2026-03-06,current
"BlackRock Financial Management, Inc.",1.1,NL0010801007,IMCD N.V.,2026-03-05,current
Citadel Advisors LLC,0.63,NL0000289213,Wereldhave N.V.,2026-03-05,current
Marshall Wace LLP,0.5,NL0000379121,Randstad N.V.,2026-03-05,current
Marshall Wace LLP,1.11,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-05,current
Qube Research & Technologies Ltd.,0.6,JE00BRX98089,CVC Capital Partners plc,2026-03-05,current
Qube Research & Technologies Ltd.,0.64,CY0200751713,Theon International Plc,2026-03-05,current
Acadian Asset Management LLC.,0.61,NL0010801007,IMCD N.V.,2026-03-04,current
"AQR Capital Management, LLC",0.52,NL0000852564,Aalberts N.V.,2026-03-04,current
"AQR Capital Management, LLC",1.03,NL0011821392,Signify N.V.,2026-03-04,current
"BlackRock Financial Management, Inc.",1.06,NL0010801007,IMCD N.V.,2026-03-04,current
Citadel Advisors LLC,0.7,NL0009739416,PostNL N.V.,2026-03-04,current
Marshall Wace LLP,0.64,NL0000009082,Koninklijke KPN N.V.,2026-03-04,current
Marshall Wace LLP,1.87,NL0011821392,Signify N.V.,2026-03-04,current
"PDT Partners, LLC",0.71,NL0010801007,IMCD N.V.,2026-03-04,current
"PDT Partners, LLC",0.8,NL0011821392,Signify N.V.,2026-03-04,current
Qube Research & Technologies Ltd.,0.59,CY0200751713,Theon International Plc,2026-03-04,current
"Two Sigma Investments, LP",0.9,LU2290522684,InPost S.A.,2026-03-04,current
Ilex Capital Partners (UK) LLP,1.03,CH1216478797,DSM-Firmenich AG,2026-03-03,current
Lazard Asset Management LLC,0.77,NL0010391025,Pharming Group N.V.,2026-03-03,current
Marshall Wace LLP,0.69,NL0009739416,PostNL N.V.,2026-03-03,current
Marshall Wace LLP,1.92,NL0011821392,Signify N.V.,2026-03-03,current
Numeric Investors LLC,0.52,NL0012365084,NSI N.V.,2026-03-03,current
