position_holder,position_date,issuer_name,net_short_position,isin,source
"PDT Partners, LLC",2018-06-14,Pharming Group N.V.,0.73,NL0010391025,archive
Scopia Capital Management LP,2018-06-14,BE Semiconductor Industries N.V.,3.35,NL0012866412,archive
"WorldQuant, LLC",2018-06-14,Koninklijke BAM Groep N.V.,0.81,NL0000337319,archive
"AQR Capital Management, LLC",2018-06-13,Lakefront Biotherapeutics NV,2.5,BE0003818359,archive
Citadel Europe LLP,2018-06-13,Fugro N.V.,0.8,NL0000352565,archive
Jupiter Investment Management Limited,2018-06-13,Fugro N.V.,1.0,NL0000352565,archive
Millennium International Management LP,2018-06-13,AMG Critical Materials N.V.,0.65,NL0000888691,archive
"PDT Partners, LLC",2018-06-13,Pharming Group N.V.,0.81,NL0010391025,archive
Scopia Capital Management LP,2018-06-13,BE Semiconductor Industries N.V.,3.1,NL0012866412,archive
"AQR Capital Management, LLC",2018-06-12,Koninklijke Vopak N.V.,2.19,NL0009432491,archive
"AQR Capital Management, LLC",2018-06-12,Lakefront Biotherapeutics NV,2.49,BE0003818359,archive
CQS (UK) LLP,2018-06-12,BE Semiconductor Industries N.V.,0.91,NL0012866412,archive
Jupiter Investment Management Limited,2018-06-12,PostNL N.V.,0.7,NL0009739416,archive
Marshall Wace LLP,2018-06-12,PostNL N.V.,0.61,NL0009739416,archive
Marshall Wace LLP,2018-06-12,TomTom N.V.,0.61,NL0000387058,archive
Millennium International Management LP,2018-06-12,AMG Critical Materials N.V.,0.74,NL0000888691,archive
RAM Active Investments SA,2018-06-12,Fugro N.V.,0.47,NL0000352565,archive
Scopia Capital Management LP,2018-06-12,BE Semiconductor Industries N.V.,2.95,NL0012866412,archive
Systematica Investments Limited,2018-06-12,PostNL N.V.,0.5,NL0009739416,archive
Viking Global Investors LP,2018-06-12,AEGON Ltd.,0.89,NL0000303709,archive
Capital Fund Management S.A.,2018-06-11,Fugro N.V.,1.81,NL0000352565,archive
Capital Fund Management S.A.,2018-06-11,OCI N.V.,0.7,NL0010558797,archive
Marshall Wace LLP,2018-06-11,ARCADIS N.V.,1.7,NL0006237562,archive
Millennium Capital Partners LLP,2018-06-11,AMG Critical Materials N.V.,0.49,NL0000888691,archive
Scopia Capital Management LP,2018-06-11,BE Semiconductor Industries N.V.,2.88,NL0012866412,archive
AHL Partners LLP,2018-06-08,Fugro N.V.,1.19,NL0000352565,archive
"AQR Capital Management, LLC",2018-06-08,Lakefront Biotherapeutics NV,2.5,BE0003818359,archive
"AQR Capital Management, LLC",2018-06-08,SBM Offshore N.V.,2.21,NL0000360618,archive
BlackRock Investment Management (UK) Limited,2018-06-08,Fugro N.V.,0.51,NL0000352565,archive
Jupiter Investment Management Limited,2018-06-08,PostNL N.V.,0.62,NL0009739416,archive
Linden Advisors LP,2018-06-08,Koninklijke BAM Groep N.V.,0.58,NL0000337319,archive
Marshall Wace LLP,2018-06-08,Koninklijke BAM Groep N.V.,1.46,NL0000337319,archive
Marshall Wace LLP,2018-06-08,PostNL N.V.,0.52,NL0009739416,archive
Millennium International Management LP,2018-06-08,AMG Critical Materials N.V.,0.89,NL0000888691,archive
"PDT Partners, LLC",2018-06-08,Pharming Group N.V.,0.99,NL0010391025,archive
Pictet Asset Management S.A.,2018-06-08,BE Semiconductor Industries N.V.,0.54,NL0012866412,archive
"WorldQuant, LLC",2018-06-08,Koninklijke BAM Groep N.V.,0.71,NL0000337319,archive
"AQR Capital Management, LLC",2018-06-07,Lakefront Biotherapeutics NV,2.49,BE0003818359,archive
Capital Fund Management S.A.,2018-06-07,Fugro N.V.,1.79,NL0000352565,archive
Capital Fund Management S.A.,2018-06-07,OCI N.V.,0.69,NL0010558797,archive
Citadel Advisors II LLC,2018-06-07,Koninklijke BAM Groep N.V.,0.86,NL0000337319,archive
Marshall Wace LLP,2018-06-07,Fugro N.V.,0.62,NL0000352565,archive
Marshall Wace LLP,2018-06-07,TomTom N.V.,0.53,NL0000387058,archive
Systematica Investments Limited,2018-06-07,Fugro N.V.,0.8,NL0000352565,archive
Viking Global Investors LP,2018-06-07,AEGON Ltd.,0.99,NL0000303709,archive
"WorldQuant, LLC",2018-06-07,Koninklijke BAM Groep N.V.,0.67,NL0000337319,archive
"Arrowstreet Capital, Limited Partnership",2018-06-06,TomTom N.V.,0.7,NL0000387058,archive
Capital Fund Management S.A.,2018-06-06,PostNL N.V.,0.8,NL0009739416,archive
Citadel Advisors II LLC,2018-06-06,Koninklijke BAM Groep N.V.,0.91,NL0000337319,archive
Lone Pine Capital LLC,2018-06-06,Signify N.V.,1.4,NL0011821392,archive
"PDT Partners, LLC",2018-06-06,Pharming Group N.V.,1.02,NL0010391025,archive
"WorldQuant, LLC",2018-06-06,Koninklijke BAM Groep N.V.,0.57,NL0000337319,archive
"WorldQuant, LLC",2018-06-06,PostNL N.V.,0.97,NL0009739416,archive
AHL Partners LLP,2018-06-05,Lakefront Biotherapeutics NV,0.59,BE0003818359,archive
"AQR Capital Management, LLC",2018-06-05,Koninklijke KPN N.V.,1.2,NL0000009082,archive
"Arrowstreet Capital, Limited Partnership",2018-06-05,TomTom N.V.,0.69,NL0000387058,archive
"BlueMountain Capital Management, LLC",2018-06-05,PostNL N.V.,0.49,NL0009739416,archive
Citadel Advisors II LLC,2018-06-05,Koninklijke BAM Groep N.V.,0.86,NL0000337319,archive
"D. E. Shaw & Co., L.P.",2018-06-05,Wereldhave N.V.,0.48,NL0000289213,archive
Lazard Asset Management LLC,2018-06-05,Fugro N.V.,0.59,NL0000352565,archive
Lone Pine Capital LLC,2018-06-05,Signify N.V.,1.03,NL0011821392,archive
Marshall Wace LLP,2018-06-05,Fugro N.V.,0.55,NL0000352565,archive
Odey Asset Management LLP,2018-06-05,Wereldhave N.V.,0.47,NL0000289213,archive
Omni Partners LLP,2018-06-05,Unibail-Rodamco-Westfield SE,0.52,FR0013326246,archive
"PDT Partners, LLC",2018-06-05,Pharming Group N.V.,0.99,NL0010391025,archive
"BlueMountain Capital Management, LLC",2018-06-04,PostNL N.V.,0.57,NL0009739416,archive
Citadel Advisors II LLC,2018-06-04,Wereldhave N.V.,0.58,NL0000289213,archive
Jupiter Investment Management Limited,2018-06-04,PostNL N.V.,0.53,NL0009739416,archive
Millennium International Management LP,2018-06-04,AMG Critical Materials N.V.,0.97,NL0000888691,archive
Millennium International Management LP,2018-06-04,Wereldhave N.V.,1.0,NL0000289213,archive
"WorldQuant, LLC",2018-06-04,Wereldhave N.V.,0.52,NL0000289213,archive
B&G Master Fund Plc,2018-06-01,AEGON Ltd.,0.78,NL0000303709,archive
"BlueMountain Capital Management, LLC",2018-06-01,PostNL N.V.,0.64,NL0009739416,archive
Citadel Advisors II LLC,2018-06-01,Wereldhave N.V.,0.61,NL0000289213,archive
Scopia Capital Management LP,2018-06-01,BE Semiconductor Industries N.V.,2.72,NL0012866412,archive
Scopia Capital Management LP,2018-06-01,Signify N.V.,2.16,NL0011821392,archive
"WorldQuant, LLC",2018-06-01,Lakefront Biotherapeutics NV,0.69,BE0003818359,archive
"WorldQuant, LLC",2018-06-01,Wereldhave N.V.,0.49,NL0000289213,archive
B&G Master Fund Plc,2018-05-31,AEGON Ltd.,0.8,NL0000303709,archive
"BlueMountain Capital Management, LLC",2018-05-31,PostNL N.V.,0.72,NL0009739416,archive
"D. E. Shaw & Co., L.P.",2018-05-31,Wereldhave N.V.,0.51,NL0000289213,archive
Marshall Wace LLP,2018-05-31,Wereldhave N.V.,2.67,NL0000289213,archive
Millennium International Management LP,2018-05-31,AMG Critical Materials N.V.,1.0,NL0000888691,archive
Millennium International Management LP,2018-05-31,Lakefront Biotherapeutics NV,0.46,BE0003818359,archive
"PDT Partners, LLC",2018-05-31,Pharming Group N.V.,1.06,NL0010391025,archive
"D. E. Shaw & Co., L.P.",2018-05-30,Wereldhave N.V.,0.49,NL0000289213,archive
"Davidson Kempner European Partners, LLP",2018-05-30,BE Semiconductor Industries N.V.,0.99,NL0012866412,archive
Millennium International Management LP,2018-05-30,Wereldhave N.V.,0.92,NL0000289213,archive
"WorldQuant, LLC",2018-05-30,Fugro N.V.,1.12,NL0000352565,archive
"WorldQuant, LLC",2018-05-30,Lakefront Biotherapeutics NV,0.72,BE0003818359,archive
AHL Partners LLP,2018-05-29,Lakefront Biotherapeutics NV,0.68,BE0003818359,archive
BlueCrest Capital Management Limited,2018-05-29,Fugro N.V.,0.59,NL0000352565,archive
"Clinton Group, Inc",2018-05-29,Wereldhave N.V.,0.72,NL0000289213,archive
"D. E. Shaw & Co., L.P.",2018-05-29,Wereldhave N.V.,0.51,NL0000289213,archive
"Goldman Sachs Group Inc., The",2018-05-29,RHI Magnesita N.V.,0.88,NL0012650360,archive
Marshall Wace LLP,2018-05-29,Koninklijke BAM Groep N.V.,1.59,NL0000337319,archive
Oxford Asset Management,2018-05-29,Koninklijke BAM Groep N.V.,0.51,NL0000337319,archive
Systematica Investments Limited,2018-05-29,Fugro N.V.,0.71,NL0000352565,archive
"WorldQuant, LLC",2018-05-29,Wereldhave N.V.,0.5,NL0000289213,archive
Capital Fund Management S.A.,2018-05-28,Flow Traders Ltd.,0.69,NL0011279492,archive
Capital Fund Management S.A.,2018-05-28,PostNL N.V.,0.7,NL0009739416,archive
Marshall Wace LLP,2018-05-28,ARCADIS N.V.,1.61,NL0006237562,archive
Marshall Wace LLP,2018-05-28,Wereldhave N.V.,2.75,NL0000289213,archive
"WorldQuant, LLC",2018-05-28,Fugro N.V.,1.04,NL0000352565,archive
"AQR Capital Management, LLC",2018-05-25,Koninklijke KPN N.V.,1.1,NL0000009082,archive
Marshall Wace LLP,2018-05-25,ARCADIS N.V.,1.59,NL0006237562,archive
Marshall Wace LLP,2018-05-25,Wereldhave N.V.,2.85,NL0000289213,archive
Oxford Asset Management,2018-05-25,Lakefront Biotherapeutics NV,0.49,BE0003818359,archive
RAM Active Investments SA,2018-05-25,Fugro N.V.,0.61,NL0000352565,archive
Systematica Investments Limited,2018-05-25,Fugro N.V.,0.69,NL0000352565,archive
"AQR Capital Management, LLC",2018-05-24,SBM Offshore N.V.,2.1,NL0000360618,archive
"Arrowstreet Capital, Limited Partnership",2018-05-24,TomTom N.V.,0.79,NL0000387058,archive
GSA Capital Partners LLP,2018-05-24,Wereldhave N.V.,0.69,NL0000289213,archive
HBK Investments LP,2018-05-24,Fugro N.V.,1.21,NL0000352565,archive
Kintbury Capital LLP,2018-05-24,Signify N.V.,0.39,NL0011821392,archive
Marshall Wace LLP,2018-05-24,Wereldhave N.V.,2.97,NL0000289213,archive
Millennium Capital Partners LLP,2018-05-24,AMG Critical Materials N.V.,0.5,NL0000888691,archive
Millennium International Management LP,2018-05-24,AMG Critical Materials N.V.,0.91,NL0000888691,archive
Millennium International Management LP,2018-05-24,Wereldhave N.V.,0.81,NL0000289213,archive
Oxford Asset Management,2018-05-24,Lakefront Biotherapeutics NV,0.5,BE0003818359,archive
"WorldQuant, LLC",2018-05-24,Fugro N.V.,0.9,NL0000352565,archive
"WorldQuant, LLC",2018-05-24,Koninklijke BAM Groep N.V.,0.49,NL0000337319,archive
"WorldQuant, LLC",2018-05-24,PostNL N.V.,1.03,NL0009739416,archive
BlueCrest Capital Management Limited,2018-05-23,Fugro N.V.,0.6,NL0000352565,archive
"BlueMountain Capital Management, LLC",2018-05-23,PostNL N.V.,0.8,NL0009739416,archive
Capital Fund Management S.A.,2018-05-23,Flow Traders Ltd.,0.7,NL0011279492,archive
"Davidson Kempner European Partners, LLP",2018-05-23,BE Semiconductor Industries N.V.,1.0,NL0012866412,archive
Marshall Wace LLP,2018-05-23,ARCADIS N.V.,1.61,NL0006237562,archive
Oxford Asset Management,2018-05-23,Lakefront Biotherapeutics NV,0.49,BE0003818359,archive
Oxford Asset Management,2018-05-23,Pharming Group N.V.,0.53,NL0010391025,archive
"WorldQuant, LLC",2018-05-23,Fugro N.V.,0.83,NL0000352565,archive
Citadel Advisors II LLC,2018-05-22,Koninklijke BAM Groep N.V.,0.78,NL0000337319,archive
Marshall Wace LLP,2018-05-22,OCI N.V.,0.6,NL0010558797,archive
Millennium International Management LP,2018-05-22,Lakefront Biotherapeutics NV,0.57,BE0003818359,archive
"PDT Partners, LLC",2018-05-22,Pharming Group N.V.,1.16,NL0010391025,archive
"WorldQuant, LLC",2018-05-22,PostNL N.V.,0.98,NL0009739416,archive
"AQR Capital Management, LLC",2018-05-21,SBM Offshore N.V.,2.09,NL0000360618,archive
Lansdowne Partners (UK) LLP,2018-05-21,ARCADIS N.V.,1.86,NL0006237562,archive
Marshall Wace LLP,2018-05-21,ARCADIS N.V.,1.58,NL0006237562,archive
Millennium International Management LP,2018-05-21,Lakefront Biotherapeutics NV,0.61,BE0003818359,archive
"PDT Partners, LLC",2018-05-21,Pharming Group N.V.,1.09,NL0010391025,archive
Tybourne Capital Management (HK) Limited,2018-05-21,Signify N.V.,1.66,NL0011821392,archive
"AQR Capital Management, LLC",2018-05-18,SBM Offshore N.V.,2.1,NL0000360618,archive
"Arrowstreet Capital, Limited Partnership",2018-05-18,OCI N.V.,0.47,NL0010558797,archive
Citadel Advisors II LLC,2018-05-18,Wereldhave N.V.,0.5,NL0000289213,archive
Marshall Wace LLP,2018-05-18,Wereldhave N.V.,3.0,NL0000289213,archive
"PDT Partners, LLC",2018-05-18,Pharming Group N.V.,1.13,NL0010391025,archive
Systematica Investments Limited,2018-05-18,Fugro N.V.,0.79,NL0000352565,archive
Tybourne Capital Management (HK) Limited,2018-05-18,Signify N.V.,1.74,NL0011821392,archive
"WorldQuant, LLC",2018-05-18,Koninklijke BAM Groep N.V.,0.59,NL0000337319,archive
AHL Partners LLP,2018-05-17,Lakefront Biotherapeutics NV,0.7,BE0003818359,archive
"AQR Capital Management, LLC",2018-05-17,Koninklijke Vopak N.V.,2.29,NL0009432491,archive
"Goldman Sachs Group Inc., The",2018-05-17,RHI Magnesita N.V.,0.9,NL0012650360,archive
Marshall Wace LLP,2018-05-17,Pharming Group N.V.,0.49,NL0010391025,archive
"PDT Partners, LLC",2018-05-17,BE Semiconductor Industries N.V.,0.48,NL0012866412,archive
"PDT Partners, LLC",2018-05-17,Pharming Group N.V.,1.27,NL0010391025,archive
Tybourne Capital Management (HK) Limited,2018-05-17,Signify N.V.,2.17,NL0011821392,archive
"AQR Capital Management, LLC",2018-05-16,Koninklijke KPN N.V.,1.01,NL0000009082,archive
"Arrowstreet Capital, Limited Partnership",2018-05-16,Aperam S.A.,0.49,LU0569974404,archive
GSA Capital Partners LLP,2018-05-16,Wereldhave N.V.,0.77,NL0000289213,archive
Lansdowne Partners (UK) LLP,2018-05-16,ARCADIS N.V.,1.7,NL0006237562,archive
Marshall Wace LLP,2018-05-16,Pharming Group N.V.,0.63,NL0010391025,archive
Marshall Wace LLP,2018-05-16,Wereldhave N.V.,2.92,NL0000289213,archive
Millennium International Management LP,2018-05-16,AMG Critical Materials N.V.,0.89,NL0000888691,archive
Odey Asset Management LLP,2018-05-16,Wereldhave N.V.,0.5,NL0000289213,archive
"PDT Partners, LLC",2018-05-16,Pharming Group N.V.,1.16,NL0010391025,archive
"Philadelphia Financial Management of San Francisco, LLC",2018-05-16,Flow Traders Ltd.,0.75,NL0011279492,archive
AHL Partners LLP,2018-05-15,Fugro N.V.,1.28,NL0000352565,archive
"AQR Capital Management, LLC",2018-05-15,Koninklijke KPN N.V.,0.99,NL0000009082,archive
"BlueMountain Capital Management, LLC",2018-05-15,PostNL N.V.,0.79,NL0009739416,archive
Capital Fund Management S.A.,2018-05-15,OCI N.V.,0.79,NL0010558797,archive
HBK Investments LP,2018-05-15,Fugro N.V.,1.18,NL0000352565,archive
Marshall Wace LLP,2018-05-15,Fugro N.V.,0.46,NL0000352565,archive
Marshall Wace LLP,2018-05-15,Wereldhave N.V.,2.75,NL0000289213,archive
Millennium International Management LP,2018-05-15,AMG Critical Materials N.V.,0.9,NL0000888691,archive
Arrowgrass Capital Partners LLP,2018-05-14,Fugro N.V.,0.58,NL0000352565,archive
HBK Investments LP,2018-05-14,Fugro N.V.,1.31,NL0000352565,archive
Marshall Wace LLP,2018-05-14,OCI N.V.,0.59,NL0010558797,archive
Marshall Wace LLP,2018-05-14,Pharming Group N.V.,0.84,NL0010391025,archive
Millennium International Management LP,2018-05-14,AMG Critical Materials N.V.,0.89,NL0000888691,archive
"PDT Partners, LLC",2018-05-14,Pharming Group N.V.,1.25,NL0010391025,archive
Systematica Investments Limited,2018-05-14,Koninklijke BAM Groep N.V.,0.48,NL0000337319,archive
AKO Capital LLP,2018-05-11,ARCADIS N.V.,1.31,NL0006237562,archive
"AQR Capital Management, LLC",2018-05-11,Koninklijke KPN N.V.,1.0,NL0000009082,archive
"Goldman Sachs Group Inc., The",2018-05-11,RHI Magnesita N.V.,0.87,NL0012650360,archive
Marshall Wace LLP,2018-05-11,Fugro N.V.,0.5,NL0000352565,archive
Marshall Wace LLP,2018-05-11,OCI N.V.,0.6,NL0010558797,archive
"AQR Capital Management, LLC",2018-05-10,OCI N.V.,1.19,NL0010558797,archive
Capital Fund Management S.A.,2018-05-10,Flow Traders Ltd.,0.6,NL0011279492,archive
HBK Investments LP,2018-05-10,Fugro N.V.,1.21,NL0000352565,archive
Lazard Asset Management LLC,2018-05-10,Fugro N.V.,0.6,NL0000352565,archive
Marshall Wace LLP,2018-05-10,ARCADIS N.V.,1.68,NL0006237562,archive
Marshall Wace LLP,2018-05-10,Koninklijke BAM Groep N.V.,1.6,NL0000337319,archive
Millennium International Management LP,2018-05-10,AMG Critical Materials N.V.,0.9,NL0000888691,archive
Millennium International Management LP,2018-05-10,Lakefront Biotherapeutics NV,0.59,BE0003818359,archive
Oxford Asset Management,2018-05-10,Fugro N.V.,1.31,NL0000352565,archive
"PDT Partners, LLC",2018-05-10,Pharming Group N.V.,1.36,NL0010391025,archive
"AQR Capital Management, LLC",2018-05-09,SBM Offshore N.V.,2.09,NL0000360618,archive
Canada Pension Plan Investment Board,2018-05-09,Fugro N.V.,0.79,NL0000352565,archive
Marshall Wace LLP,2018-05-09,Pharming Group N.V.,1.09,NL0010391025,archive
Marshall Wace LLP,2018-05-09,Wereldhave N.V.,2.61,NL0000289213,archive
Millennium International Management LP,2018-05-09,Lakefront Biotherapeutics NV,0.6,BE0003818359,archive
Viking Global Investors LP,2018-05-09,AEGON Ltd.,1.01,NL0000303709,archive
"WorldQuant, LLC",2018-05-09,Fugro N.V.,0.78,NL0000352565,archive
BlueCrest Capital Management Limited,2018-05-08,Fugro N.V.,0.54,NL0000352565,archive
"BlueMountain Capital Management, LLC",2018-05-08,PostNL N.V.,0.88,NL0009739416,archive
Kintbury Capital LLP,2018-05-08,Signify N.V.,0.57,NL0011821392,archive
Marshall Wace LLP,2018-05-08,Pharming Group N.V.,1.27,NL0010391025,archive
Myriad Opportunities Master Fund Limited,2018-05-08,Fugro N.V.,0.48,NL0000352565,archive
"PDT Partners, LLC",2018-05-08,BE Semiconductor Industries N.V.,0.57,NL0012866412,archive
Systematica Investments Limited,2018-05-08,Fugro N.V.,0.89,NL0000352565,archive
"WorldQuant, LLC",2018-05-08,PostNL N.V.,1.09,NL0009739416,archive
BlueCrest Capital Management Limited,2018-05-07,Fugro N.V.,0.61,NL0000352565,archive
Capital Fund Management S.A.,2018-05-07,PostNL N.V.,0.6,NL0009739416,archive
Marshall Wace LLP,2018-05-07,Pharming Group N.V.,1.39,NL0010391025,archive
Marshall Wace LLP,2018-05-07,Wereldhave N.V.,2.5,NL0000289213,archive
Viking Global Investors LP,2018-05-07,AEGON Ltd.,0.93,NL0000303709,archive
"WorldQuant, LLC",2018-05-07,Lakefront Biotherapeutics NV,0.6,BE0003818359,archive
CQS (UK) LLP,2018-05-05,BE Semiconductor Industries N.V.,1.01,NL0012866412,archive
"Davidson Kempner European Partners, LLP",2018-05-05,BE Semiconductor Industries N.V.,0.81,NL0012866412,archive
Scopia Capital Management LP,2018-05-05,BE Semiconductor Industries N.V.,2.82,NL0012866412,archive
"Arrowstreet Capital, Limited Partnership",2018-05-04,TomTom N.V.,0.8,NL0000387058,archive
BlackRock Investment Management (UK) Limited,2018-05-04,Brunel International N.V.,0.35,NL0010776944,archive
CQS (UK) LLP,2018-05-04,BE Semiconductor Industries N.V.,0.0,NL0000339760,archive
"Davidson Kempner European Partners, LLP",2018-05-04,BE Semiconductor Industries N.V.,0.0,NL0000339760,archive
"Goldman Sachs Group Inc., The",2018-05-04,RHI Magnesita N.V.,0.9,NL0012650360,archive
Marshall Wace LLP,2018-05-04,ARCADIS N.V.,1.73,NL0006237562,archive
Marshall Wace LLP,2018-05-04,Koninklijke Ahold Delhaize N.V.,0.8,NL0011794037,archive
Marshall Wace LLP,2018-05-04,Wereldhave N.V.,2.48,NL0000289213,archive
Oxford Asset Management,2018-05-04,Fugro N.V.,1.2,NL0000352565,archive
"PDT Partners, LLC",2018-05-04,BE Semiconductor Industries N.V.,0.64,NL0012866412,archive
Scopia Capital Management LP,2018-05-04,BE Semiconductor Industries N.V.,0.0,NL0000339760,archive
"WorldQuant, LLC",2018-05-04,Fugro N.V.,0.83,NL0000352565,archive
"WorldQuant, LLC",2018-05-04,Koninklijke BAM Groep N.V.,0.67,NL0000337319,archive
"WorldQuant, LLC",2018-05-04,Lakefront Biotherapeutics NV,0.59,BE0003818359,archive
"WorldQuant, LLC",2018-05-04,PostNL N.V.,1.19,NL0009739416,archive
"BlackRock Institutional Trust Company, National Association",2018-05-03,Fugro N.V.,0.37,NL0000352565,archive
BlackRock Investment Management (UK) Limited,2018-05-03,Signify N.V.,0.7,NL0011821392,archive
"BlueMountain Capital Management, LLC",2018-05-03,PostNL N.V.,0.9,NL0009739416,archive
Capital Fund Management S.A.,2018-05-03,Flow Traders Ltd.,0.5,NL0011279492,archive
GSA Capital Partners LLP,2018-05-03,Wereldhave N.V.,0.6,NL0000289213,archive
JPMorgan Asset Management (UK) Ltd.,2018-05-03,Koninklijke BAM Groep N.V.,0.77,NL0000337319,archive
Marshall Wace LLP,2018-05-03,OCI N.V.,0.59,NL0010558797,archive
Millennium International Management LP,2018-05-03,Lakefront Biotherapeutics NV,0.59,BE0003818359,archive
"PDT Partners, LLC",2018-05-03,BE Semiconductor Industries N.V.,0.0,NL0000339760,archive
Scopia Capital Management LP,2018-05-03,BE Semiconductor Industries N.V.,2.82,NL0000339760,archive
Sculptor Capital Management Europe Limited,2018-05-03,ARCADIS N.V.,0.92,NL0006237562,archive
"WorldQuant, LLC",2018-05-03,Koninklijke BAM Groep N.V.,0.77,NL0000337319,archive
"WorldQuant, LLC",2018-05-03,PostNL N.V.,1.25,NL0009739416,archive
AHL Partners LLP,2018-05-02,Lakefront Biotherapeutics NV,0.61,BE0003818359,archive
BlackRock Investment Management (UK) Limited,2018-05-02,Signify N.V.,0.67,NL0011821392,archive
BlueCrest Capital Management Limited,2018-05-02,Fugro N.V.,0.59,NL0000352565,archive
Citadel Advisors II LLC,2018-05-02,Koninklijke BAM Groep N.V.,0.88,NL0000337319,archive
Jupiter Investment Management Limited,2018-05-02,Fugro N.V.,0.92,NL0000352565,archive
Marshall Wace LLP,2018-05-02,Koninklijke BAM Groep N.V.,1.59,NL0000337319,archive
Marshall Wace LLP,2018-05-02,Pharming Group N.V.,1.45,NL0010391025,archive
Millennium International Management LP,2018-05-02,AMG Critical Materials N.V.,0.87,NL0000888691,archive
Scopia Capital Management LP,2018-05-02,BE Semiconductor Industries N.V.,2.75,NL0000339760,archive
Sculptor Capital Management Europe Limited,2018-05-02,ARCADIS N.V.,0.76,NL0006237562,archive
"WorldQuant, LLC",2018-05-02,Fugro N.V.,0.78,NL0000352565,archive
"AQR Capital Management, LLC",2018-04-30,Lakefront Biotherapeutics NV,2.59,BE0003818359,archive
Aravt Global,2018-04-30,Signify N.V.,0.62,NL0011821392,archive
Millennium International Management LP,2018-04-30,Lakefront Biotherapeutics NV,0.6,BE0003818359,archive
"PDT Partners, LLC",2018-04-30,BE Semiconductor Industries N.V.,0.64,NL0000339760,archive
"PDT Partners, LLC",2018-04-30,Pharming Group N.V.,1.45,NL0010391025,archive
Scopia Capital Management LP,2018-04-30,BE Semiconductor Industries N.V.,2.24,NL0000339760,archive
"WorldQuant, LLC",2018-04-30,Wereldhave N.V.,0.47,NL0000289213,archive
AHL Partners LLP,2018-04-27,Fugro N.V.,1.39,NL0000352565,archive
"AQR Capital Management, LLC",2018-04-27,SBM Offshore N.V.,2.17,NL0000360618,archive
"Arrowstreet Capital, Limited Partnership",2018-04-27,TomTom N.V.,0.7,NL0000387058,archive
BNP Paribas S.A.,2018-04-27,Koninklijke KPN N.V.,0.48,NL0000009082,archive
"Davidson Kempner European Partners, LLP",2018-04-27,BE Semiconductor Industries N.V.,0.81,NL0000339760,archive
HBK Investments LP,2018-04-27,Fugro N.V.,1.1,NL0000352565,archive
Marshall Wace LLP,2018-04-27,Koninklijke BAM Groep N.V.,1.68,NL0000337319,archive
Marshall Wace LLP,2018-04-27,Pharming Group N.V.,1.58,NL0010391025,archive
"PDT Partners, LLC",2018-04-27,Pharming Group N.V.,1.39,NL0010391025,archive
Systematica Investments Limited,2018-04-27,OCI N.V.,0.49,NL0010558797,archive
"WorldQuant, LLC",2018-04-27,Fugro N.V.,0.8,NL0000352565,archive
"WorldQuant, LLC",2018-04-27,Lakefront Biotherapeutics NV,0.66,BE0003818359,archive
"WorldQuant, LLC",2018-04-27,Wereldhave N.V.,0.62,NL0000289213,archive
B&G Master Fund Plc,2018-04-26,NN Group N.V.,0.7,NL0010773842,archive
"BlackRock Institutional Trust Company, National Association",2018-04-26,Wereldhave N.V.,0.49,NL0000289213,archive
BlackRock Investment Management (UK) Limited,2018-04-26,Signify N.V.,0.5,NL0011821392,archive
BNP Paribas S.A.,2018-04-26,BE Semiconductor Industries N.V.,0.35,NL0000339760,archive
"Davidson Kempner European Partners, LLP",2018-04-26,BE Semiconductor Industries N.V.,0.72,NL0000339760,archive
HBK Investments LP,2018-04-26,Fugro N.V.,1.09,NL0000352565,archive
Kintbury Capital LLP,2018-04-26,Signify N.V.,0.64,NL0011821392,archive
Marshall Wace LLP,2018-04-26,ARCADIS N.V.,1.8,NL0006237562,archive
Marshall Wace LLP,2018-04-26,Fugro N.V.,0.42,NL0000352565,archive
Marshall Wace LLP,2018-04-26,Wereldhave N.V.,2.3,NL0000289213,archive
Millennium Capital Partners LLP,2018-04-26,AMG Critical Materials N.V.,0.41,NL0000888691,archive
"PDT Partners, LLC",2018-04-26,BE Semiconductor Industries N.V.,0.52,NL0000339760,archive
TT International,2018-04-26,Signify N.V.,0.25,NL0011821392,archive
"WorldQuant, LLC",2018-04-26,PostNL N.V.,1.39,NL0009739416,archive
"WorldQuant, LLC",2018-04-26,Wereldhave N.V.,0.74,NL0000289213,archive
Abaco Asset Management LLP,2018-04-25,Flow Traders Ltd.,0.43,NL0011279492,archive
BNP Paribas S.A.,2018-04-25,Koninklijke KPN N.V.,0.5,NL0000009082,archive
GSA Capital Partners LLP,2018-04-25,Wereldhave N.V.,0.49,NL0000289213,archive
HBK Investments LP,2018-04-25,Fugro N.V.,1.22,NL0000352565,archive
JPMorgan Asset Management (UK) Ltd.,2018-04-25,Koninklijke BAM Groep N.V.,0.95,NL0000337319,archive
Scopia Capital Management LP,2018-04-25,Signify N.V.,2.21,NL0011821392,archive
"WorldQuant, LLC",2018-04-25,Lakefront Biotherapeutics NV,0.7,BE0003818359,archive
"WorldQuant, LLC",2018-04-25,Wereldhave N.V.,0.87,NL0000289213,archive
Abaco Asset Management LLP,2018-04-24,Flow Traders Ltd.,0.54,NL0011279492,archive
AHL Partners LLP,2018-04-24,Fugro N.V.,1.47,NL0000352565,archive
"AQR Capital Management, LLC",2018-04-24,Koninklijke Vopak N.V.,2.39,NL0009432491,archive
