position_holder,position_date,issuer_name,net_short_position,isin,source
Marshall Wace LLP,2026-05-26,Signify N.V.,1.6,NL0011821392,current
Qube Research & Technologies Ltd.,2026-05-26,The Magnum Ice Cream Company N.V.,0.8,NL0015002MS2,current
"PDT Partners, LLC",2026-05-25,IMCD N.V.,0.8,NL0010801007,current
Sculptor Capital Management Europe Limited,2026-05-25,Basic-Fit N.V.,0.8,NL0011872650,current
"Algert Global, LLC",2026-05-22,Fugro N.V.,0.53,NL00150003E1,current
Citadel Advisors LLC,2026-05-22,DSM-Firmenich AG,0.86,CH1216478797,current
Citadel Advisors LLC,2026-05-22,Signify N.V.,1.6,NL0011821392,current
Marshall Wace LLP,2026-05-22,DSM-Firmenich AG,0.78,CH1216478797,current
"PDT Partners, LLC",2026-05-22,IMCD N.V.,0.79,NL0010801007,current
Walleye Capital LLC,2026-05-22,Pharming Group N.V.,0.8,NL0010391025,current
Canada Pension Plan Investment Board,2026-05-21,Signify N.V.,1.0,NL0011821392,current
Citadel Advisors LLC,2026-05-21,DSM-Firmenich AG,0.74,CH1216478797,current
Ilex Capital Partners (UK) LLP,2026-05-21,DSM-Firmenich AG,1.71,CH1216478797,current
Marshall Wace LLP,2026-05-21,DSM-Firmenich AG,0.6,CH1216478797,current
Marshall Wace LLP,2026-05-21,Signify N.V.,1.58,NL0011821392,current
"Two Sigma Investments, LP",2026-05-21,Pharming Group N.V.,0.99,NL0010391025,current
"Two Sigma Investments, LP",2026-05-20,Pharming Group N.V.,1.0,NL0010391025,current
Linden Advisors LP,2026-05-19,Basic-Fit N.V.,0.9,NL0011872650,current
"PDT Partners, LLC",2026-05-19,Signify N.V.,1.0,NL0011821392,current
"AQR Capital Management, LLC",2026-05-18,ARCADIS N.V.,0.99,NL0006237562,current
Citadel Advisors LLC,2026-05-18,DSM-Firmenich AG,0.62,CH1216478797,current
Citadel Advisors LLC,2026-05-18,Signify N.V.,1.59,NL0011821392,current
Marshall Wace LLP,2026-05-18,The Magnum Ice Cream Company N.V.,0.73,NL0015002MS2,current
"BlackRock Financial Management, Inc.",2026-05-15,IMCD N.V.,0.79,NL0010801007,current
Citadel Advisors LLC,2026-05-15,Wereldhave N.V.,0.82,NL0000289213,current
Marshall Wace LLP,2026-05-15,The Magnum Ice Cream Company N.V.,0.68,NL0015002MS2,current
Qube Research & Technologies Ltd.,2026-05-15,The Magnum Ice Cream Company N.V.,0.71,NL0015002MS2,current
Capital Fund Management S.A.,2026-05-14,IMCD N.V.,0.78,NL0010801007,current
"D. E. Shaw & Co., L.P.",2026-05-14,Basic-Fit N.V.,0.89,NL0011872650,current
"PDT Partners, LLC",2026-05-14,IMCD N.V.,0.8,NL0010801007,current
Sculptor Capital Management Europe Limited,2026-05-14,Basic-Fit N.V.,0.77,NL0011872650,current
Capital Fund Management S.A.,2026-05-13,IMCD N.V.,0.8,NL0010801007,current
Citadel Advisors LLC,2026-05-13,Signify N.V.,1.61,NL0011821392,current
"Two Sigma Investments, LP",2026-05-13,Pharming Group N.V.,0.91,NL0010391025,current
Walleye Capital LLC,2026-05-13,Pharming Group N.V.,0.74,NL0010391025,current
"BlackRock Advisors, LLC",2026-05-12,IMCD N.V.,0.59,NL0010801007,current
"BlackRock Financial Management, Inc.",2026-05-12,Signify N.V.,0.71,NL0011821392,current
Capital Fund Management S.A.,2026-05-12,IMCD N.V.,0.79,NL0010801007,current
Lazard Asset Management LLC,2026-05-12,Pharming Group N.V.,0.82,NL0010391025,current
Numeric Investors LLC,2026-05-12,NSI N.V.,0.8,NL0012365084,current
Capital Fund Management S.A.,2026-05-11,IMCD N.V.,0.8,NL0010801007,current
