issuer_name,net_short_position,isin,position_holder,position_date,source
InPost S.A.,1.11,LU2290522684,"Two Sigma Investments, LP",2026-03-18,current
Alfen N.V.,1.97,NL0012817175,Voleon Capital Management LP,2026-03-18,current
Alfen N.V.,2.98,NL0012817175,"WorldQuant, LLC",2026-03-18,current
Akzo Nobel N.V.,0.59,NL0013267909,"AQR Capital Management, LLC",2026-03-17,current
Akzo Nobel N.V.,0.91,NL0013267909,Kintbury Capital LLP,2026-03-17,current
Akzo Nobel N.V.,0.7,NL0013267909,Millennium International Management LP,2026-03-17,current
CVC Capital Partners plc,0.71,JE00BRX98089,Qube Research & Technologies Ltd.,2026-03-17,current
The Magnum Ice Cream Company N.V.,1.3,NL0015002MS2,Marshall Wace LLP,2026-03-16,current
IMCD N.V.,0.8,NL0010801007,"PDT Partners, LLC",2026-03-16,current
IMCD N.V.,0.63,NL0010801007,Squarepoint Ops LLC,2026-03-16,current
Alfen N.V.,3.08,NL0012817175,"WorldQuant, LLC",2026-03-16,current
Adyen N.V.,0.52,NL0012969182,"AQR Capital Management, LLC",2026-03-13,current
DSM-Firmenich AG,0.98,CH1216478797,Ilex Capital Partners (UK) LLP,2026-03-13,current
CVC Capital Partners plc,0.52,JE00BRX98089,Marshall Wace LLP,2026-03-13,current
Randstad N.V.,0.61,NL0000379121,Marshall Wace LLP,2026-03-13,current
Akzo Nobel N.V.,0.6,NL0013267909,Millennium International Management LP,2026-03-13,current
Alfen N.V.,3.14,NL0012817175,"WorldQuant, LLC",2026-03-13,current
IMCD N.V.,0.52,NL0010801007,"WorldQuant, LLC",2026-03-13,current
Envipco Holding N.V.,0.54,NL0015000GX8,Actus Ray Partners Limited,2026-03-12,current
Akzo Nobel N.V.,0.64,NL0013267909,Albar Capital Partners LLP,2026-03-12,current
Signify N.V.,0.65,NL0011821392,Canada Pension Plan Investment Board,2026-03-12,current
IMCD N.V.,0.64,NL0010801007,JPMorgan Asset Management (UK) Ltd.,2026-03-12,current
ARCADIS N.V.,1.1,NL0006237562,Squarepoint Ops LLC,2026-03-12,current
IMCD N.V.,0.5,NL0010801007,Squarepoint Ops LLC,2026-03-12,current
Signify N.V.,0.57,NL0011821392,Canada Pension Plan Investment Board,2026-03-11,current
Adyen N.V.,0.6,NL0012969182,Capital Fund Management S.A.,2026-03-11,current
Signify N.V.,2.24,NL0011821392,Citadel Advisors LLC,2026-03-11,current
BE Semiconductor Industries N.V.,0.69,NL0012866412,"D. E. Shaw & Co., L.P.",2026-03-11,current
Signify N.V.,1.91,NL0011821392,Marshall Wace LLP,2026-03-11,current
Signify N.V.,2.17,NL0011821392,Citadel Advisors LLC,2026-03-10,current
BE Semiconductor Industries N.V.,0.7,NL0012866412,"D. E. Shaw & Co., L.P.",2026-03-10,current
Akzo Nobel N.V.,0.86,NL0013267909,Kintbury Capital LLP,2026-03-10,current
Pharming Group N.V.,0.96,NL0010391025,Lazard Asset Management LLC,2026-03-10,current
Koninklijke KPN N.V.,0.72,NL0000009082,Marshall Wace LLP,2026-03-10,current
The Magnum Ice Cream Company N.V.,1.21,NL0015002MS2,Marshall Wace LLP,2026-03-10,current
InPost S.A.,1.03,LU2290522684,"Two Sigma Investments, LP",2026-03-10,current
TomTom N.V.,0.52,NL0013332471,Winton Capital Management Limited,2026-03-10,current
IMCD N.V.,0.72,NL0010801007,Acadian Asset Management LLC.,2026-03-09,current
Akzo Nobel N.V.,1.21,NL0013267909,AKO Capital LLP,2026-03-09,current
Adyen N.V.,0.51,NL0012969182,Capital Fund Management S.A.,2026-03-09,current
Signify N.V.,1.18,NL0011821392,Citadel Advisors Europe Limited,2026-03-09,current
PostNL N.V.,0.69,NL0009739416,Citadel Advisors LLC,2026-03-09,current
Signify N.V.,2.06,NL0011821392,Citadel Advisors LLC,2026-03-09,current
Alfen N.V.,1.29,NL0012817175,"D. E. Shaw & Co., L.P.",2026-03-09,current
IMCD N.V.,0.5,NL0010801007,"D. E. Shaw & Co., L.P.",2026-03-09,current
Akzo Nobel N.V.,0.51,NL0013267909,Millennium International Management LP,2026-03-09,current
IMCD N.V.,0.71,NL0010801007,"Two Sigma Investments, LP",2026-03-09,current
Basic-Fit N.V.,0.51,NL0011872650,Wellington Management International Ltd.,2026-03-09,current
Akzo Nobel N.V.,0.67,NL0013267909,"AQR Capital Management, LLC",2026-03-06,current
Universal Music Group N.V.,0.6,NL0015000IY2,"AQR Capital Management, LLC",2026-03-06,current
IMCD N.V.,0.7,NL0010801007,"BlackRock Advisors, LLC",2026-03-06,current
Signify N.V.,1.88,NL0011821392,Citadel Advisors LLC,2026-03-06,current
Fugro N.V.,0.81,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-03-06,current
ARCADIS N.V.,1.09,NL0006237562,Squarepoint Ops LLC,2026-03-06,current
IMCD N.V.,1.1,NL0010801007,"BlackRock Financial Management, Inc.",2026-03-05,current
Wereldhave N.V.,0.63,NL0000289213,Citadel Advisors LLC,2026-03-05,current
Randstad N.V.,0.5,NL0000379121,Marshall Wace LLP,2026-03-05,current
The Magnum Ice Cream Company N.V.,1.11,NL0015002MS2,Marshall Wace LLP,2026-03-05,current
CVC Capital Partners plc,0.6,JE00BRX98089,Qube Research & Technologies Ltd.,2026-03-05,current
Theon International Plc,0.64,CY0200751713,Qube Research & Technologies Ltd.,2026-03-05,current
IMCD N.V.,0.61,NL0010801007,Acadian Asset Management LLC.,2026-03-04,current
Aalberts N.V.,0.52,NL0000852564,"AQR Capital Management, LLC",2026-03-04,current
Signify N.V.,1.03,NL0011821392,"AQR Capital Management, LLC",2026-03-04,current
