position_date,isin,issuer_name,position_holder,net_short_position,source
2026-06-24,NL0015002IE0,Avantium N.V.,Citadel Securities (Europe) Limited,0.51,current
2026-06-24,NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",1.17,current
2026-06-24,NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.6,current
2026-06-24,NL0011821392,Signify N.V.,Squarepoint Ops LLC,0.81,current
2026-06-23,NL0011872650,Basic-Fit N.V.,Eleva Capital SAS,0.93,current
2026-06-23,NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",1.04,current
2026-06-23,NL0011872650,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.77,current
2026-06-23,NL0011821392,Signify N.V.,Squarepoint Ops LLC,0.79,current
2026-06-22,NL0011821392,Signify N.V.,Citadel Advisors LLC,1.27,current
2026-06-22,NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,1.1,current
2026-06-22,NL0010801007,IMCD N.V.,"PDT Partners, LLC",0.8,current
2026-06-22,NL0009739416,PostNL N.V.,"PDT Partners, LLC",0.61,current
2026-06-22,NL0011821392,Signify N.V.,"PDT Partners, LLC",1.3,current
2026-06-22,NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",1.1,current
2026-06-22,NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.74,current
2026-06-19,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,1.0,current
2026-06-19,NL0010391025,Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,0.83,current
2026-06-19,NL0011821392,Signify N.V.,Citadel Advisors LLC,1.3,current
2026-06-19,CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,0.91,current
2026-06-19,NL0010391025,Pharming Group N.V.,Spark Investment Management LLC,0.52,current
2026-06-19,NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.68,current
2026-06-18,NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",0.85,current
2026-06-18,NL0010801007,IMCD N.V.,"PDT Partners, LLC",0.79,current
2026-06-18,NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.71,current
2026-06-17,NL0010801007,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",1.29,current
2026-06-17,NL0011821392,Signify N.V.,"BlackRock Financial Management, Inc.",0.79,current
2026-06-17,NL0015002MS2,The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,0.51,current
2026-06-17,NL0011821392,Signify N.V.,Citadel Advisors LLC,1.46,current
2026-06-17,NL0000817179,Sligro Food Group N.V.,Citadel Advisors LLC,0.89,current
2026-06-17,NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",0.75,current
2026-06-17,CH1216478797,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.91,current
2026-06-17,NL0011821392,Signify N.V.,Marshall Wace LLP,1.51,current
2026-06-16,NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.3,current
2026-06-16,NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",0.61,current
2026-06-16,NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.63,current
2026-06-15,NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",0.56,current
2026-06-15,NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.5,current
