net_short_position,position_holder,isin,position_date,issuer_name,source
0.74,"AQR Capital Management, LLC",NL0013267909,2026-02-13,Akzo Nobel N.V.,current
0.68,"Connor, Clark & Lunn Investment Management Ltd.",LU2290522684,2026-02-13,InPost S.A.,current
0.59,"D. E. Shaw & Co., L.P.",NL0000395903,2026-02-13,Wolters Kluwer N.V.,current
0.79,Marshall Wace LLP,NL0009739416,2026-02-13,PostNL N.V.,current
1.71,Marshall Wace LLP,NL0011821392,2026-02-13,Signify N.V.,current
0.68,Marshall Wace LLP,NL0015002MS2,2026-02-13,The Magnum Ice Cream Company N.V.,current
0.61,"Two Sigma Investments, LP",CY0200751713,2026-02-13,Theon International Plc,current
1.51,Voleon Capital Management LP,NL0012817175,2026-02-13,Alfen N.V.,current
3.01,"WorldQuant, LLC",NL0012817175,2026-02-13,Alfen N.V.,current
0.73,"BlackRock Advisors, LLC",NL0010801007,2026-02-12,IMCD N.V.,current
1.45,"BlackRock Financial Management, Inc.",NL0010801007,2026-02-12,IMCD N.V.,current
1.58,Citadel Advisors LLC,NL0011821392,2026-02-12,Signify N.V.,current
1.38,Ilex Capital Partners (UK) LLP,CH1216478797,2026-02-12,DSM-Firmenich AG,current
0.5,Marshall Wace LLP,NL0015002MS2,2026-02-12,The Magnum Ice Cream Company N.V.,current
0.78,"PDT Partners, LLC",NL0011821392,2026-02-12,Signify N.V.,current
0.6,"Two Sigma Investments, LP",LU2290522684,2026-02-12,InPost S.A.,current
0.94,UBS Asset Management (Americas) LLC,NL0013267909,2026-02-12,Akzo Nobel N.V.,current
1.43,Voleon Capital Management LP,NL0012817175,2026-02-12,Alfen N.V.,current
2.9,"WorldQuant, LLC",NL0012817175,2026-02-12,Alfen N.V.,current
0.5,Acadian Asset Management LLC.,NL0010801007,2026-02-11,IMCD N.V.,current
1.08,AKO Capital LLP,NL0013267909,2026-02-11,Akzo Nobel N.V.,current
0.9,"BlackRock Advisors, LLC",NL0010801007,2026-02-11,IMCD N.V.,current
1.57,"D. E. Shaw & Co., L.P.",NL0012817175,2026-02-11,Alfen N.V.,current
