isin,position_holder,issuer_name,net_short_position,position_date,source
NL0000352565,AKO Capital LLP,Fugro N.V.,1.81,2014-03-12,archive
NL0009269109,"BlackRock Institutional Trust Company, National Association",Koninklijke Heijmans N.V.,0.89,2014-03-12,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.71,2014-03-12,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.52,2014-03-12,archive
NL0000360618,Marshall Wace LLP,SBM Offshore N.V.,0.83,2014-03-12,archive
NL0000352565,AKO Capital LLP,Fugro N.V.,2.05,2014-03-11,archive
NL0009269109,BlackRock Investment Management (UK) Limited,Koninklijke Heijmans N.V.,0.67,2014-03-11,archive
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,3.03,2014-03-10,archive
NL0000352565,AKO Capital LLP,Fugro N.V.,2.14,2014-03-10,archive
NL0000352565,AKO Capital LLP,Fugro N.V.,2.35,2014-03-07,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.68,2014-03-07,archive
NL0000352565,Lansdowne Partners Limited,Fugro N.V.,0.64,2014-03-07,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,0.48,2014-03-07,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,0.4,2014-03-06,archive
NL0000360618,Marshall Wace LLP,SBM Offshore N.V.,0.72,2014-03-06,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,0.56,2014-03-05,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.76,2014-03-05,archive
NL0000352565,Lansdowne Partners Limited,Fugro N.V.,0.55,2014-03-05,archive
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,3.27,2014-03-04,archive
NL0000289213,"BlackRock Institutional Trust Company, National Association",Wereldhave N.V.,0.68,2014-03-04,archive
NL0000360618,Marshall Wace LLP,SBM Offshore N.V.,0.6,2014-03-04,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,0.57,2014-03-04,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,0.66,2014-03-03,archive
NL0000360618,Marshall Wace LLP,SBM Offshore N.V.,0.52,2014-03-03,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,0.88,2014-02-27,archive
NL0000387058,"Marble Arch Investments, LP",TomTom N.V.,0.43,2014-02-27,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,0.96,2014-02-26,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.49,2014-02-26,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,1.35,2014-02-25,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,0.64,2014-02-25,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,1.48,2014-02-21,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,1.56,2014-02-20,archive
NL0000337319,JPMorgan Asset Management (UK) Ltd.,Koninklijke BAM Groep N.V.,0.45,2014-02-20,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,1.69,2014-02-19,archive
NL0000387058,"Marble Arch Investments, LP",TomTom N.V.,0.6,2014-02-19,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,2.05,2014-02-18,archive
