isin,position_holder,issuer_name,position_date,net_short_position,source
NL0006237562,"AQR Capital Management, LLC",ARCADIS N.V.,2026-03-19,0.8,current
JE00BRX98089,Marshall Wace LLP,CVC Capital Partners plc,2026-03-19,0.6,current
NL0000379121,Marshall Wace LLP,Randstad N.V.,2026-03-19,0.73,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-03-19,1.43,current
NL0013332471,Winton Capital Management Limited,TomTom N.V.,2026-03-19,0.61,current
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2026-03-19,2.83,current
NL0010801007,"WorldQuant, LLC",IMCD N.V.,2026-03-19,0.6,current
NL0012969182,"AQR Capital Management, LLC",Adyen N.V.,2026-03-18,0.6,current
NL0011821392,Citadel Advisors Europe Limited,Signify N.V.,2026-03-18,1.21,current
NL0013267909,"Empyrean Capital Overseas Master Fund, Ltd",Akzo Nobel N.V.,2026-03-18,0.52,current
CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-03-18,0.87,current
CY0200751713,Qube Research & Technologies Ltd.,Theon International Plc,2026-03-18,0.57,current
LU2290522684,"Two Sigma Investments, LP",InPost S.A.,2026-03-18,1.11,current
NL0012817175,Voleon Capital Management LP,Alfen N.V.,2026-03-18,1.97,current
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2026-03-18,2.98,current
NL0013267909,"AQR Capital Management, LLC",Akzo Nobel N.V.,2026-03-17,0.59,current
NL0013267909,Kintbury Capital LLP,Akzo Nobel N.V.,2026-03-17,0.91,current
NL0013267909,Millennium International Management LP,Akzo Nobel N.V.,2026-03-17,0.7,current
JE00BRX98089,Qube Research & Technologies Ltd.,CVC Capital Partners plc,2026-03-17,0.71,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-03-16,1.3,current
NL0010801007,"PDT Partners, LLC",IMCD N.V.,2026-03-16,0.8,current
NL0010801007,Squarepoint Ops LLC,IMCD N.V.,2026-03-16,0.63,current
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2026-03-16,3.08,current
NL0012969182,"AQR Capital Management, LLC",Adyen N.V.,2026-03-13,0.52,current
CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-03-13,0.98,current
JE00BRX98089,Marshall Wace LLP,CVC Capital Partners plc,2026-03-13,0.52,current
NL0000379121,Marshall Wace LLP,Randstad N.V.,2026-03-13,0.61,current
NL0013267909,Millennium International Management LP,Akzo Nobel N.V.,2026-03-13,0.6,current
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2026-03-13,3.14,current
NL0010801007,"WorldQuant, LLC",IMCD N.V.,2026-03-13,0.52,current
NL0015000GX8,Actus Ray Partners Limited,Envipco Holding N.V.,2026-03-12,0.54,current
NL0013267909,Albar Capital Partners LLP,Akzo Nobel N.V.,2026-03-12,0.64,current
NL0011821392,Canada Pension Plan Investment Board,Signify N.V.,2026-03-12,0.65,current
NL0010801007,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,2026-03-12,0.64,current
NL0006237562,Squarepoint Ops LLC,ARCADIS N.V.,2026-03-12,1.1,current
NL0010801007,Squarepoint Ops LLC,IMCD N.V.,2026-03-12,0.5,current
NL0011821392,Canada Pension Plan Investment Board,Signify N.V.,2026-03-11,0.57,current
NL0012969182,Capital Fund Management S.A.,Adyen N.V.,2026-03-11,0.6,current
NL0011821392,Citadel Advisors LLC,Signify N.V.,2026-03-11,2.24,current
NL0012866412,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,2026-03-11,0.69,current
NL0011821392,Marshall Wace LLP,Signify N.V.,2026-03-11,1.91,current
NL0011821392,Citadel Advisors LLC,Signify N.V.,2026-03-10,2.17,current
NL0012866412,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,2026-03-10,0.7,current
NL0013267909,Kintbury Capital LLP,Akzo Nobel N.V.,2026-03-10,0.86,current
NL0010391025,Lazard Asset Management LLC,Pharming Group N.V.,2026-03-10,0.96,current
NL0000009082,Marshall Wace LLP,Koninklijke KPN N.V.,2026-03-10,0.72,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-03-10,1.21,current
LU2290522684,"Two Sigma Investments, LP",InPost S.A.,2026-03-10,1.03,current
NL0013332471,Winton Capital Management Limited,TomTom N.V.,2026-03-10,0.52,current
NL0010801007,Acadian Asset Management LLC.,IMCD N.V.,2026-03-09,0.72,current
NL0013267909,AKO Capital LLP,Akzo Nobel N.V.,2026-03-09,1.21,current
NL0012969182,Capital Fund Management S.A.,Adyen N.V.,2026-03-09,0.51,current
NL0011821392,Citadel Advisors Europe Limited,Signify N.V.,2026-03-09,1.18,current
NL0009739416,Citadel Advisors LLC,PostNL N.V.,2026-03-09,0.69,current
NL0011821392,Citadel Advisors LLC,Signify N.V.,2026-03-09,2.06,current
NL0012817175,"D. E. Shaw & Co., L.P.",Alfen N.V.,2026-03-09,1.29,current
NL0010801007,"D. E. Shaw & Co., L.P.",IMCD N.V.,2026-03-09,0.5,current
NL0013267909,Millennium International Management LP,Akzo Nobel N.V.,2026-03-09,0.51,current
NL0010801007,"Two Sigma Investments, LP",IMCD N.V.,2026-03-09,0.71,current
NL0011872650,Wellington Management International Ltd.,Basic-Fit N.V.,2026-03-09,0.51,current
NL0013267909,"AQR Capital Management, LLC",Akzo Nobel N.V.,2026-03-06,0.67,current
NL0015000IY2,"AQR Capital Management, LLC",Universal Music Group N.V.,2026-03-06,0.6,current
NL0010801007,"BlackRock Advisors, LLC",IMCD N.V.,2026-03-06,0.7,current
NL0011821392,Citadel Advisors LLC,Signify N.V.,2026-03-06,1.88,current
NL00150003E1,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2026-03-06,0.81,current
NL0006237562,Squarepoint Ops LLC,ARCADIS N.V.,2026-03-06,1.09,current
NL0010801007,"BlackRock Financial Management, Inc.",IMCD N.V.,2026-03-05,1.1,current
NL0000289213,Citadel Advisors LLC,Wereldhave N.V.,2026-03-05,0.63,current
NL0000379121,Marshall Wace LLP,Randstad N.V.,2026-03-05,0.5,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-03-05,1.11,current
JE00BRX98089,Qube Research & Technologies Ltd.,CVC Capital Partners plc,2026-03-05,0.6,current
CY0200751713,Qube Research & Technologies Ltd.,Theon International Plc,2026-03-05,0.64,current
NL0010801007,Acadian Asset Management LLC.,IMCD N.V.,2026-03-04,0.61,current
NL0000852564,"AQR Capital Management, LLC",Aalberts N.V.,2026-03-04,0.52,current
NL0011821392,"AQR Capital Management, LLC",Signify N.V.,2026-03-04,1.03,current
NL0010801007,"BlackRock Financial Management, Inc.",IMCD N.V.,2026-03-04,1.06,current
NL0009739416,Citadel Advisors LLC,PostNL N.V.,2026-03-04,0.7,current
NL0000009082,Marshall Wace LLP,Koninklijke KPN N.V.,2026-03-04,0.64,current
NL0011821392,Marshall Wace LLP,Signify N.V.,2026-03-04,1.87,current
NL0010801007,"PDT Partners, LLC",IMCD N.V.,2026-03-04,0.71,current
NL0011821392,"PDT Partners, LLC",Signify N.V.,2026-03-04,0.8,current
CY0200751713,Qube Research & Technologies Ltd.,Theon International Plc,2026-03-04,0.59,current
LU2290522684,"Two Sigma Investments, LP",InPost S.A.,2026-03-04,0.9,current
CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-03-03,1.03,current
