position_holder,isin,issuer_name,position_date,net_short_position,source
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,2026-04-02,1.0,current
"AQR Capital Management, LLC",JE00BRX98089,CVC Capital Partners plc,2026-04-02,0.61,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,2026-04-02,0.99,current
Citadel Advisors LLC,NL0000817179,Sligro Food Group N.V.,2026-04-02,0.5,current
"D. E. Shaw & Co., L.P.",NL0006237562,ARCADIS N.V.,2026-04-02,0.7,current
Eleva Capital SAS,NL0011872650,Basic-Fit N.V.,2026-04-02,0.62,current
Marshall Wace LLP,NL0000379121,Randstad N.V.,2026-04-02,0.78,current
"AQR Capital Management, LLC",LU1598757687,ArcelorMittal S.A.,2026-04-01,0.61,current
"AQR Capital Management, LLC",NL0011821392,Signify N.V.,2026-04-01,1.1,current
"Arrowstreet Capital, Limited Partnership",NL0010801007,IMCD N.V.,2026-04-01,1.21,current
Canada Pension Plan Investment Board,NL0011821392,Signify N.V.,2026-04-01,0.74,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-04-01,2.36,current
"D. E. Shaw & Co., L.P.",NL0006237562,ARCADIS N.V.,2026-04-01,0.69,current
Eleva Capital SAS,NL0011872650,Basic-Fit N.V.,2026-04-01,0.5,current
Marshall Wace LLP,NL0011821392,Signify N.V.,2026-04-01,1.79,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-04-01,2.86,current
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,2026-03-31,0.62,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-03-31,2.4,current
Eleva Capital SAS,NL0011821392,Signify N.V.,2026-03-31,1.21,current
Qube Research & Technologies Ltd.,JE00BRX98089,CVC Capital Partners plc,2026-03-31,0.9,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,2026-03-30,0.9,current
Eleva Capital SAS,NL0011821392,Signify N.V.,2026-03-30,1.05,current
GLG Partners LP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-30,0.64,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,2026-03-30,0.91,current
Marshall Wace LLP,NL0011821392,Signify N.V.,2026-03-30,1.87,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-30,1.59,current
Numeric Investors LLC,NL0012365084,NSI N.V.,2026-03-30,0.61,current
Squarepoint Ops LLC,NL0006237562,ARCADIS N.V.,2026-03-30,0.99,current
"Two Sigma Investments, LP",CY0200751713,Theon International Plc,2026-03-30,0.7,current
"AQR Capital Management, LLC",NL0006237562,ARCADIS N.V.,2026-03-27,0.9,current
"Arrowstreet Capital, Limited Partnership",NL0010801007,IMCD N.V.,2026-03-27,1.12,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,2026-03-27,1.09,current
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,2026-03-27,0.51,current
"D. E. Shaw & Co., L.P.",NL0006237562,ARCADIS N.V.,2026-03-27,0.7,current
"D. E. Shaw & Co., L.P.",NL0010391025,Pharming Group N.V.,2026-03-27,0.59,current
GLG Partners LP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-27,0.59,current
Marshall Wace LLP,NL0000379121,Randstad N.V.,2026-03-27,0.86,current
"D. E. Shaw & Co., L.P.",NL0006237562,ARCADIS N.V.,2026-03-26,0.69,current
Marshall Wace LLP,NL0011821392,Signify N.V.,2026-03-26,1.96,current
Qube Research & Technologies Ltd.,CY0200751713,Theon International Plc,2026-03-26,1.14,current
"Two Sigma Investments, LP",LU2290522684,InPost S.A.,2026-03-26,1.5,current
Voleon Capital Management LP,NL0010801007,IMCD N.V.,2026-03-26,0.5,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-03-26,2.92,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,2026-03-25,0.8,current
"AQR Capital Management, LLC",JE00BRX98089,CVC Capital Partners plc,2026-03-25,0.5,current
GLG Partners LP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-25,0.6,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,2026-03-25,0.82,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,IMCD N.V.,2026-03-24,0.56,current
Lazard Asset Management LLC,NL0010391025,Pharming Group N.V.,2026-03-24,1.14,current
Marshall Wace LLP,NL0000379121,Randstad N.V.,2026-03-24,0.91,current
Marshall Wace LLP,NL0011821392,Signify N.V.,2026-03-24,2.0,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-24,1.6,current
"PDT Partners, LLC",NL0010801007,IMCD N.V.,2026-03-24,0.9,current
Qube Research & Technologies Ltd.,JE00BRX98089,CVC Capital Partners plc,2026-03-24,0.81,current
"Two Sigma Investments, LP",LU2290522684,InPost S.A.,2026-03-24,1.44,current
"Two Sigma Investments, LP",CY0200751713,Theon International Plc,2026-03-24,0.6,current
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2026-03-24,2.0,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,2026-03-23,0.72,current
"Arrowstreet Capital, Limited Partnership",NL0010801007,IMCD N.V.,2026-03-23,1.01,current
"BlackRock Financial Management, Inc.",NL0011821392,Signify N.V.,2026-03-23,0.6,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-03-23,2.3,current
"D. E. Shaw & Co., L.P.",NL0009739416,PostNL N.V.,2026-03-23,0.69,current
GLG Partners LP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-23,0.51,current
Marshall Wace LLP,NL0009739416,PostNL N.V.,2026-03-23,0.7,current
Qube Research & Technologies Ltd.,CY0200751713,Theon International Plc,2026-03-23,1.01,current
Squarepoint Ops LLC,NL0006237562,ARCADIS N.V.,2026-03-23,1.05,current
"Two Sigma Investments, LP",LU2290522684,InPost S.A.,2026-03-23,1.36,current
"BlackRock Financial Management, Inc.",NL0011821392,Signify N.V.,2026-03-20,0.58,current
Capital Fund Management S.A.,NL0012969182,Adyen N.V.,2026-03-20,0.7,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,2026-03-20,0.75,current
Marshall Wace LLP,NL0000379121,Randstad N.V.,2026-03-20,0.83,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-20,1.52,current
Qube Research & Technologies Ltd.,CY0200751713,Theon International Plc,2026-03-20,0.99,current
"Two Sigma Investments, LP",NL0010801007,IMCD N.V.,2026-03-20,0.81,current
"Two Sigma Investments, LP",LU2290522684,InPost S.A.,2026-03-20,1.26,current
AKO Capital LLP,NL0013267909,Akzo Nobel N.V.,2026-03-19,1.31,current
"AQR Capital Management, LLC",NL0006237562,ARCADIS N.V.,2026-03-19,0.8,current
Marshall Wace LLP,JE00BRX98089,CVC Capital Partners plc,2026-03-19,0.6,current
Marshall Wace LLP,NL0000379121,Randstad N.V.,2026-03-19,0.73,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-19,1.43,current
Winton Capital Management Limited,NL0013332471,TomTom N.V.,2026-03-19,0.61,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-03-19,2.83,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,2026-03-18,0.6,current
"Empyrean Capital Overseas Master Fund, Ltd",NL0013267909,Akzo Nobel N.V.,2026-03-18,0.52,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,2026-03-18,0.87,current
Qube Research & Technologies Ltd.,CY0200751713,Theon International Plc,2026-03-18,0.57,current
"Two Sigma Investments, LP",LU2290522684,InPost S.A.,2026-03-18,1.11,current
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2026-03-18,1.97,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-03-18,2.98,current
Qube Research & Technologies Ltd.,JE00BRX98089,CVC Capital Partners plc,2026-03-17,0.71,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-16,1.3,current
"PDT Partners, LLC",NL0010801007,IMCD N.V.,2026-03-16,0.8,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-03-16,3.08,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,2026-03-13,0.52,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,2026-03-13,0.98,current
Marshall Wace LLP,JE00BRX98089,CVC Capital Partners plc,2026-03-13,0.52,current
Marshall Wace LLP,NL0000379121,Randstad N.V.,2026-03-13,0.61,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-03-13,3.14,current
Canada Pension Plan Investment Board,NL0011821392,Signify N.V.,2026-03-12,0.65,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,IMCD N.V.,2026-03-12,0.64,current
Squarepoint Ops LLC,NL0006237562,ARCADIS N.V.,2026-03-12,1.1,current
Canada Pension Plan Investment Board,NL0011821392,Signify N.V.,2026-03-11,0.57,current
Capital Fund Management S.A.,NL0012969182,Adyen N.V.,2026-03-11,0.6,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-03-11,2.24,current
Marshall Wace LLP,NL0011821392,Signify N.V.,2026-03-11,1.91,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-03-10,2.17,current
Lazard Asset Management LLC,NL0010391025,Pharming Group N.V.,2026-03-10,0.96,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-10,1.21,current
"Two Sigma Investments, LP",LU2290522684,InPost S.A.,2026-03-10,1.03,current
Winton Capital Management Limited,NL0013332471,TomTom N.V.,2026-03-10,0.52,current
Acadian Asset Management LLC.,NL0010801007,IMCD N.V.,2026-03-09,0.72,current
AKO Capital LLP,NL0013267909,Akzo Nobel N.V.,2026-03-09,1.21,current
Capital Fund Management S.A.,NL0012969182,Adyen N.V.,2026-03-09,0.51,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-03-09,2.06,current
"Two Sigma Investments, LP",NL0010801007,IMCD N.V.,2026-03-09,0.71,current
"BlackRock Advisors, LLC",NL0010801007,IMCD N.V.,2026-03-06,0.7,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-03-06,1.88,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,2026-03-06,0.81,current
Squarepoint Ops LLC,NL0006237562,ARCADIS N.V.,2026-03-06,1.09,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,2026-03-05,1.1,current
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,2026-03-05,0.63,current
Marshall Wace LLP,NL0000379121,Randstad N.V.,2026-03-05,0.5,current
