position_date,isin,position_holder,issuer_name,net_short_position,source
2026-06-17,NL0011821392,"BlackRock Financial Management, Inc.",Signify N.V.,0.79,current
2026-06-17,NL0015002MS2,Capital Fund Management S.A.,The Magnum Ice Cream Company N.V.,0.51,current
2026-06-17,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.46,current
2026-06-17,NL0000817179,Citadel Advisors LLC,Sligro Food Group N.V.,0.89,current
2026-06-17,NL0011821392,"Farallon Capital Management, L.L.C.",Signify N.V.,0.75,current
2026-06-17,CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,1.91,current
2026-06-17,NL0011821392,Marshall Wace LLP,Signify N.V.,1.51,current
2026-06-17,NL0015002MS2,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.88,current
2026-06-16,NL0012969182,Capital Fund Management S.A.,Adyen N.V.,0.62,current
2026-06-16,NL0013267909,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.3,current
2026-06-16,NL0011821392,"Farallon Capital Management, L.L.C.",Signify N.V.,0.61,current
2026-06-16,NL0009739416,Winton Capital Management Limited,PostNL N.V.,0.51,current
2026-06-16,NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.63,current
2026-06-15,NL0011821392,"Farallon Capital Management, L.L.C.",Signify N.V.,0.56,current
2026-06-15,NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.9,current
2026-06-15,NL0013267909,Millennium International Management LP,Akzo Nobel N.V.,0.5,current
2026-06-15,NL0013267909,"O'Connor Alternative Investments, LLC",Akzo Nobel N.V.,1.09,current
2026-06-15,NL0015002MS2,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.9,current
2026-06-12,NL0013267909,"BlackRock Advisors, LLC",Akzo Nobel N.V.,0.7,current
2026-06-12,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.56,current
2026-06-12,JE00BRX98089,Marshall Wace LLP,CVC Capital Partners plc,0.59,current
2026-06-12,CH1216478797,Marshall Wace LLP,DSM-Firmenich AG,0.88,current
2026-06-12,NL0011821392,Marshall Wace LLP,Signify N.V.,1.48,current
2026-06-11,NL0011872650,Linden Advisors LP,Basic-Fit N.V.,0.75,current
2026-06-11,NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.89,current
2026-06-11,NL0015073TS8,Qube Research & Technologies Ltd.,CSG N.V.,0.5,current
2026-06-11,NL0015002MS2,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.89,current
2026-06-11,NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.56,current
2026-06-10,NL0012969182,"AQR Capital Management, LLC",Adyen N.V.,0.99,current
