issuer_name,isin,position_holder,net_short_position,position_date,source
Signify N.V.,NL0011821392,Eleva Capital SAS,1.05,2026-03-30,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,GLG Partners LP,0.64,2026-03-30,current
DSM-Firmenich AG,CH1216478797,Ilex Capital Partners (UK) LLP,0.91,2026-03-30,current
Signify N.V.,NL0011821392,Marshall Wace LLP,1.87,2026-03-30,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,1.59,2026-03-30,current
NSI N.V.,NL0012365084,Numeric Investors LLC,0.61,2026-03-30,current
ARCADIS N.V.,NL0006237562,Squarepoint Ops LLC,0.99,2026-03-30,current
Theon International Plc,CY0200751713,"Two Sigma Investments, LP",0.7,2026-03-30,current
ING Groep N.V.,NL0011821202,Viking Global Investors LP,0.61,2026-03-30,current
ARCADIS N.V.,NL0006237562,"AQR Capital Management, LLC",0.9,2026-03-27,current
IMCD N.V.,NL0010801007,"Arrowstreet Capital, Limited Partnership",1.12,2026-03-27,current
IMCD N.V.,NL0010801007,"BlackRock Financial Management, Inc.",1.09,2026-03-27,current
IMCD N.V.,NL0010801007,Capital Fund Management S.A.,0.51,2026-03-27,current
ARCADIS N.V.,NL0006237562,"D. E. Shaw & Co., L.P.",0.7,2026-03-27,current
Pharming Group N.V.,NL0010391025,"D. E. Shaw & Co., L.P.",0.59,2026-03-27,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,GLG Partners LP,0.59,2026-03-27,current
Randstad N.V.,NL0000379121,Marshall Wace LLP,0.86,2026-03-27,current
Signify N.V.,NL0011821392,Qube Research & Technologies Ltd.,0.79,2026-03-27,current
ARCADIS N.V.,NL0006237562,"D. E. Shaw & Co., L.P.",0.69,2026-03-26,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Ilex Capital Partners (UK) LLP,0.64,2026-03-26,current
Signify N.V.,NL0011821392,Marshall Wace LLP,1.96,2026-03-26,current
Theon International Plc,CY0200751713,Qube Research & Technologies Ltd.,1.14,2026-03-26,current
InPost S.A.,LU2290522684,"Two Sigma Investments, LP",1.5,2026-03-26,current
IMCD N.V.,NL0010801007,Voleon Capital Management LP,0.5,2026-03-26,current
Alfen N.V.,NL0012817175,"WorldQuant, LLC",2.92,2026-03-26,current
IMCD N.V.,NL0010801007,"WorldQuant, LLC",0.71,2026-03-26,current
Adyen N.V.,NL0012969182,"AQR Capital Management, LLC",0.8,2026-03-25,current
CVC Capital Partners plc,JE00BRX98089,"AQR Capital Management, LLC",0.5,2026-03-25,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,GLG Partners LP,0.6,2026-03-25,current
DSM-Firmenich AG,CH1216478797,Ilex Capital Partners (UK) LLP,0.82,2026-03-25,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Ilex Capital Partners (UK) LLP,0.57,2026-03-25,current
Signify N.V.,NL0011821392,Millennium Capital (DIFC) Limited,0.81,2026-03-25,current
IMCD N.V.,NL0010801007,Squarepoint Ops LLC,0.6,2026-03-25,current
IMCD N.V.,NL0010801007,JPMorgan Asset Management (UK) Ltd.,0.56,2026-03-24,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,1.14,2026-03-24,current
Randstad N.V.,NL0000379121,Marshall Wace LLP,0.91,2026-03-24,current
Signify N.V.,NL0011821392,Marshall Wace LLP,2.0,2026-03-24,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,1.6,2026-03-24,current
Signify N.V.,NL0011821392,Millennium Capital (DIFC) Limited,0.79,2026-03-24,current
