position_holder,net_short_position,isin,position_date,issuer_name,source
"AQR Capital Management, LLC",0.6,NL0015000IY2,2026-03-06,Universal Music Group N.V.,current
"BlackRock Advisors, LLC",0.7,NL0010801007,2026-03-06,IMCD N.V.,current
Citadel Advisors LLC,1.88,NL0011821392,2026-03-06,Signify N.V.,current
JPMorgan Asset Management (UK) Ltd.,0.81,NL00150003E1,2026-03-06,Fugro N.V.,current
Squarepoint Ops LLC,1.09,NL0006237562,2026-03-06,ARCADIS N.V.,current
"BlackRock Financial Management, Inc.",1.1,NL0010801007,2026-03-05,IMCD N.V.,current
Citadel Advisors LLC,0.63,NL0000289213,2026-03-05,Wereldhave N.V.,current
Marshall Wace LLP,0.5,NL0000379121,2026-03-05,Randstad N.V.,current
Marshall Wace LLP,1.11,NL0015002MS2,2026-03-05,The Magnum Ice Cream Company N.V.,current
Qube Research & Technologies Ltd.,0.6,JE00BRX98089,2026-03-05,CVC Capital Partners plc,current
Qube Research & Technologies Ltd.,0.64,CY0200751713,2026-03-05,Theon International Plc,current
Acadian Asset Management LLC.,0.61,NL0010801007,2026-03-04,IMCD N.V.,current
"AQR Capital Management, LLC",0.52,NL0000852564,2026-03-04,Aalberts N.V.,current
"AQR Capital Management, LLC",1.03,NL0011821392,2026-03-04,Signify N.V.,current
"BlackRock Financial Management, Inc.",1.06,NL0010801007,2026-03-04,IMCD N.V.,current
Citadel Advisors LLC,0.7,NL0009739416,2026-03-04,PostNL N.V.,current
Marshall Wace LLP,0.64,NL0000009082,2026-03-04,Koninklijke KPN N.V.,current
Marshall Wace LLP,1.87,NL0011821392,2026-03-04,Signify N.V.,current
"PDT Partners, LLC",0.71,NL0010801007,2026-03-04,IMCD N.V.,current
"PDT Partners, LLC",0.8,NL0011821392,2026-03-04,Signify N.V.,current
Qube Research & Technologies Ltd.,0.59,CY0200751713,2026-03-04,Theon International Plc,current
"Two Sigma Investments, LP",0.9,LU2290522684,2026-03-04,InPost S.A.,current
Ilex Capital Partners (UK) LLP,1.03,CH1216478797,2026-03-03,DSM-Firmenich AG,current
Lazard Asset Management LLC,0.77,NL0010391025,2026-03-03,Pharming Group N.V.,current
Marshall Wace LLP,0.69,NL0009739416,2026-03-03,PostNL N.V.,current
Marshall Wace LLP,1.92,NL0011821392,2026-03-03,Signify N.V.,current
Numeric Investors LLC,0.52,NL0012365084,2026-03-03,NSI N.V.,current
Qube Research & Technologies Ltd.,0.6,CY0200751713,2026-03-03,Theon International Plc,current
Voleon Capital Management LP,2.01,NL0012817175,2026-03-03,Alfen N.V.,current
Citadel Advisors LLC,1.7,NL0011821392,2026-03-02,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.69,NL0012866412,2026-03-02,BE Semiconductor Industries N.V.,current
"D. E. Shaw & Co., L.P.",0.7,NL0000395903,2026-03-02,Wolters Kluwer N.V.,current
"Two Sigma Investments, LP",0.59,CY0200751713,2026-03-02,Theon International Plc,current
Voleon Capital Management LP,1.95,NL0012817175,2026-03-02,Alfen N.V.,current
"BlackRock Advisors, LLC",0.69,NL0010801007,2026-02-27,IMCD N.V.,current
"BlackRock Financial Management, Inc.",1.18,NL0010801007,2026-02-27,IMCD N.V.,current
Citadel Advisors LLC,0.5,NL0015002K83,2026-02-27,Havas N.V.,current
Marshall Wace LLP,0.51,NL0000009082,2026-02-27,Koninklijke KPN N.V.,current
Marshall Wace LLP,1.88,NL0011821392,2026-02-27,Signify N.V.,current
"Two Sigma Investments, LP",0.81,LU2290522684,2026-02-27,InPost S.A.,current
"AQR Capital Management, LLC",0.71,NL0006237562,2026-02-26,ARCADIS N.V.,current
Citadel Advisors Europe Limited,1.0,NL0011821392,2026-02-26,Signify N.V.,current
"D. E. Shaw & Co., L.P.",1.38,NL0012817175,2026-02-26,Alfen N.V.,current
Marshall Wace LLP,1.9,NL0011821392,2026-02-26,Signify N.V.,current
Marshall Wace LLP,1.01,NL0015002MS2,2026-02-26,The Magnum Ice Cream Company N.V.,current
"PDT Partners, LLC",0.66,NL00150003E1,2026-02-26,Fugro N.V.,current
"PDT Partners, LLC",0.78,NL0011821392,2026-02-26,Signify N.V.,current
AKO Capital LLP,1.14,NL0013267909,2026-02-25,Akzo Nobel N.V.,current
Ilex Capital Partners (UK) LLP,1.12,CH1216478797,2026-02-25,DSM-Firmenich AG,current
UBS Asset Management (Americas) LLC,1.24,NL0013267909,2026-02-25,Akzo Nobel N.V.,current
"BlackRock Financial Management, Inc.",1.29,NL0010801007,2026-02-24,IMCD N.V.,current
"D. E. Shaw & Co., L.P.",0.7,NL0006237562,2026-02-24,ARCADIS N.V.,current
Davidson Kempner Capital Management LP,1.31,NL0013267909,2026-02-24,Akzo Nobel N.V.,current
Marshall Wace LLP,0.61,NL0013267909,2026-02-24,Akzo Nobel N.V.,current
Citadel Advisors LLC,0.61,NL0009739416,2026-02-23,PostNL N.V.,current
Citadel Advisors LLC,1.63,NL0011821392,2026-02-23,Signify N.V.,current
Marshall Wace LLP,0.91,NL0015002MS2,2026-02-23,The Magnum Ice Cream Company N.V.,current
"PDT Partners, LLC",0.8,NL0011821392,2026-02-23,Signify N.V.,current
Citadel Advisors LLC,1.58,NL0011821392,2026-02-20,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.6,NL0000395903,2026-02-20,Wolters Kluwer N.V.,current
"Elliott Investment Management, L.P",0.7,GB00BP6MXD84,2026-02-20,Shell plc,current
Marshall Wace LLP,1.84,NL0011821392,2026-02-20,Signify N.V.,current
Squarepoint Ops LLC,1.17,NL0006237562,2026-02-20,ARCADIS N.V.,current
"D. E. Shaw & Co., L.P.",1.48,NL0012817175,2026-02-19,Alfen N.V.,current
