isin,net_short_position,position_date,position_holder,issuer_name,source
NL0011821392,0.58,2026-03-20,"BlackRock Financial Management, Inc.",Signify N.V.,current
NL0012969182,0.7,2026-03-20,Capital Fund Management S.A.,Adyen N.V.,current
NL0000379121,0.67,2026-03-20,Citadel Advisors LLC,Randstad N.V.,current
NL0012866412,0.59,2026-03-20,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,current
CH1216478797,0.75,2026-03-20,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
NL0013267909,0.87,2026-03-20,Kintbury Capital LLP,Akzo Nobel N.V.,current
NL0000379121,0.83,2026-03-20,Marshall Wace LLP,Randstad N.V.,current
NL0015002MS2,1.52,2026-03-20,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
NL0011821392,0.8,2026-03-20,Millennium Capital (DIFC) Limited,Signify N.V.,current
NL0011821392,0.91,2026-03-20,Qube Research & Technologies Ltd.,Signify N.V.,current
CY0200751713,0.99,2026-03-20,Qube Research & Technologies Ltd.,Theon International Plc,current
NL0010801007,0.57,2026-03-20,Squarepoint Ops LLC,IMCD N.V.,current
NL0010801007,0.81,2026-03-20,"Two Sigma Investments, LP",IMCD N.V.,current
LU2290522684,1.26,2026-03-20,"Two Sigma Investments, LP",InPost S.A.,current
NL0011821202,0.51,2026-03-20,Viking Global Investors LP,ING Groep N.V.,current
NL0013267909,1.31,2026-03-19,AKO Capital LLP,Akzo Nobel N.V.,current
NL0012817175,0.51,2026-03-19,"AQR Capital Management, LLC",Alfen N.V.,current
NL0006237562,0.8,2026-03-19,"AQR Capital Management, LLC",ARCADIS N.V.,current
NL0013267909,0.59,2026-03-19,Marshall Wace LLP,Akzo Nobel N.V.,current
JE00BRX98089,0.6,2026-03-19,Marshall Wace LLP,CVC Capital Partners plc,current
NL0000379121,0.73,2026-03-19,Marshall Wace LLP,Randstad N.V.,current
NL0015002MS2,1.43,2026-03-19,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
NL0015002MS2,0.52,2026-03-19,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,current
NL0015002IE0,1.29,2026-03-19,Voleon Capital Management LP,Avantium N.V.,current
NL0013332471,0.61,2026-03-19,Winton Capital Management Limited,TomTom N.V.,current
NL0012817175,2.83,2026-03-19,"WorldQuant, LLC",Alfen N.V.,current
NL0010801007,0.6,2026-03-19,"WorldQuant, LLC",IMCD N.V.,current
NL0012969182,0.6,2026-03-18,"AQR Capital Management, LLC",Adyen N.V.,current
NL0011821392,1.21,2026-03-18,Citadel Advisors Europe Limited,Signify N.V.,current
NL0013267909,0.52,2026-03-18,"Empyrean Capital Overseas Master Fund, Ltd",Akzo Nobel N.V.,current
CH1216478797,0.87,2026-03-18,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
CY0200751713,0.57,2026-03-18,Qube Research & Technologies Ltd.,Theon International Plc,current
LU2290522684,1.11,2026-03-18,"Two Sigma Investments, LP",InPost S.A.,current
NL0012817175,1.97,2026-03-18,Voleon Capital Management LP,Alfen N.V.,current
NL0015002IE0,1.43,2026-03-18,Voleon Capital Management LP,Avantium N.V.,current
NL0012817175,2.98,2026-03-18,"WorldQuant, LLC",Alfen N.V.,current
NL0013267909,0.59,2026-03-17,"AQR Capital Management, LLC",Akzo Nobel N.V.,current
NL0013267909,0.91,2026-03-17,Kintbury Capital LLP,Akzo Nobel N.V.,current
NL0013267909,0.7,2026-03-17,Millennium International Management LP,Akzo Nobel N.V.,current
JE00BRX98089,0.71,2026-03-17,Qube Research & Technologies Ltd.,CVC Capital Partners plc,current
NL0015002MS2,1.3,2026-03-16,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
NL0010801007,0.8,2026-03-16,"PDT Partners, LLC",IMCD N.V.,current
NL0010801007,0.63,2026-03-16,Squarepoint Ops LLC,IMCD N.V.,current
NL0012817175,3.08,2026-03-16,"WorldQuant, LLC",Alfen N.V.,current
NL0012969182,0.52,2026-03-13,"AQR Capital Management, LLC",Adyen N.V.,current
NL0000379121,0.5,2026-03-13,Citadel Advisors LLC,Randstad N.V.,current
CH1216478797,0.98,2026-03-13,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
JE00BRX98089,0.52,2026-03-13,Marshall Wace LLP,CVC Capital Partners plc,current
NL0000379121,0.61,2026-03-13,Marshall Wace LLP,Randstad N.V.,current
NL0013267909,0.6,2026-03-13,Millennium International Management LP,Akzo Nobel N.V.,current
NL0015002IE0,1.56,2026-03-13,Voleon Capital Management LP,Avantium N.V.,current
NL0012817175,3.14,2026-03-13,"WorldQuant, LLC",Alfen N.V.,current
NL0010801007,0.52,2026-03-13,"WorldQuant, LLC",IMCD N.V.,current
NL0015000GX8,0.54,2026-03-12,Actus Ray Partners Limited,Envipco Holding N.V.,current
NL0013267909,0.64,2026-03-12,Albar Capital Partners LLP,Akzo Nobel N.V.,current
NL0011821392,0.65,2026-03-12,Canada Pension Plan Investment Board,Signify N.V.,current
NL0010801007,0.64,2026-03-12,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,current
NL0006237562,1.1,2026-03-12,Squarepoint Ops LLC,ARCADIS N.V.,current
NL0010801007,0.5,2026-03-12,Squarepoint Ops LLC,IMCD N.V.,current
NL0011821392,0.57,2026-03-11,Canada Pension Plan Investment Board,Signify N.V.,current
NL0012969182,0.6,2026-03-11,Capital Fund Management S.A.,Adyen N.V.,current
NL0011821392,2.24,2026-03-11,Citadel Advisors LLC,Signify N.V.,current
NL0012866412,0.69,2026-03-11,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,current
NL0013267909,0.63,2026-03-11,Marshall Wace LLP,Akzo Nobel N.V.,current
NL0011821392,1.91,2026-03-11,Marshall Wace LLP,Signify N.V.,current
NL0011821392,2.17,2026-03-10,Citadel Advisors LLC,Signify N.V.,current
LU2290522684,0.59,2026-03-10,"Connor, Clark & Lunn Investment Management Ltd.",InPost S.A.,current
NL0012866412,0.7,2026-03-10,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,current
NL0013267909,0.86,2026-03-10,Kintbury Capital LLP,Akzo Nobel N.V.,current
NL0010391025,0.96,2026-03-10,Lazard Asset Management LLC,Pharming Group N.V.,current
NL0013267909,0.59,2026-03-10,Marshall Wace LLP,Akzo Nobel N.V.,current
NL0000009082,0.72,2026-03-10,Marshall Wace LLP,Koninklijke KPN N.V.,current
NL0015002MS2,1.21,2026-03-10,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
LU2290522684,1.03,2026-03-10,"Two Sigma Investments, LP",InPost S.A.,current
NL0013332471,0.52,2026-03-10,Winton Capital Management Limited,TomTom N.V.,current
NL0010801007,0.72,2026-03-09,Acadian Asset Management LLC.,IMCD N.V.,current
NL0013267909,1.21,2026-03-09,AKO Capital LLP,Akzo Nobel N.V.,current
NL0012969182,0.51,2026-03-09,Capital Fund Management S.A.,Adyen N.V.,current
NL0011821392,1.18,2026-03-09,Citadel Advisors Europe Limited,Signify N.V.,current
NL0009739416,0.69,2026-03-09,Citadel Advisors LLC,PostNL N.V.,current
