position_holder,position_date,isin,net_short_position,issuer_name,source
GLG Partners LP,2026-03-23,NL0015002MS2,0.51,The Magnum Ice Cream Company N.V.,current
Marshall Wace LLP,2026-03-23,NL0009739416,0.7,PostNL N.V.,current
Qube Research & Technologies Ltd.,2026-03-23,CY0200751713,1.01,Theon International Plc,current
Squarepoint Ops LLC,2026-03-23,NL0006237562,1.05,ARCADIS N.V.,current
"Two Sigma Investments, LP",2026-03-23,LU2290522684,1.36,InPost S.A.,current
"BlackRock Financial Management, Inc.",2026-03-20,NL0011821392,0.58,Signify N.V.,current
Capital Fund Management S.A.,2026-03-20,NL0012969182,0.7,Adyen N.V.,current
Ilex Capital Partners (UK) LLP,2026-03-20,CH1216478797,0.75,DSM-Firmenich AG,current
Marshall Wace LLP,2026-03-20,NL0000379121,0.83,Randstad N.V.,current
Marshall Wace LLP,2026-03-20,NL0015002MS2,1.52,The Magnum Ice Cream Company N.V.,current
Millennium Capital (DIFC) Limited,2026-03-20,NL0011821392,0.8,Signify N.V.,current
Qube Research & Technologies Ltd.,2026-03-20,CY0200751713,0.99,Theon International Plc,current
"Two Sigma Investments, LP",2026-03-20,NL0010801007,0.81,IMCD N.V.,current
"Two Sigma Investments, LP",2026-03-20,LU2290522684,1.26,InPost S.A.,current
AKO Capital LLP,2026-03-19,NL0013267909,1.31,Akzo Nobel N.V.,current
"AQR Capital Management, LLC",2026-03-19,NL0006237562,0.8,ARCADIS N.V.,current
Marshall Wace LLP,2026-03-19,JE00BRX98089,0.6,CVC Capital Partners plc,current
Marshall Wace LLP,2026-03-19,NL0000379121,0.73,Randstad N.V.,current
Marshall Wace LLP,2026-03-19,NL0015002MS2,1.43,The Magnum Ice Cream Company N.V.,current
Winton Capital Management Limited,2026-03-19,NL0013332471,0.61,TomTom N.V.,current
"WorldQuant, LLC",2026-03-19,NL0012817175,2.83,Alfen N.V.,current
"WorldQuant, LLC",2026-03-19,NL0010801007,0.6,IMCD N.V.,current
"AQR Capital Management, LLC",2026-03-18,NL0012969182,0.6,Adyen N.V.,current
Citadel Advisors Europe Limited,2026-03-18,NL0011821392,1.21,Signify N.V.,current
"Empyrean Capital Overseas Master Fund, Ltd",2026-03-18,NL0013267909,0.52,Akzo Nobel N.V.,current
Ilex Capital Partners (UK) LLP,2026-03-18,CH1216478797,0.87,DSM-Firmenich AG,current
Qube Research & Technologies Ltd.,2026-03-18,CY0200751713,0.57,Theon International Plc,current
"Two Sigma Investments, LP",2026-03-18,LU2290522684,1.11,InPost S.A.,current
Voleon Capital Management LP,2026-03-18,NL0012817175,1.97,Alfen N.V.,current
"WorldQuant, LLC",2026-03-18,NL0012817175,2.98,Alfen N.V.,current
Qube Research & Technologies Ltd.,2026-03-17,JE00BRX98089,0.71,CVC Capital Partners plc,current
Marshall Wace LLP,2026-03-16,NL0015002MS2,1.3,The Magnum Ice Cream Company N.V.,current
"PDT Partners, LLC",2026-03-16,NL0010801007,0.8,IMCD N.V.,current
"WorldQuant, LLC",2026-03-16,NL0012817175,3.08,Alfen N.V.,current
"AQR Capital Management, LLC",2026-03-13,NL0012969182,0.52,Adyen N.V.,current
Ilex Capital Partners (UK) LLP,2026-03-13,CH1216478797,0.98,DSM-Firmenich AG,current
Marshall Wace LLP,2026-03-13,JE00BRX98089,0.52,CVC Capital Partners plc,current
Marshall Wace LLP,2026-03-13,NL0000379121,0.61,Randstad N.V.,current
"WorldQuant, LLC",2026-03-13,NL0012817175,3.14,Alfen N.V.,current
"WorldQuant, LLC",2026-03-13,NL0010801007,0.52,IMCD N.V.,current
Actus Ray Partners Limited,2026-03-12,NL0015000GX8,0.54,Envipco Holding N.V.,current
Canada Pension Plan Investment Board,2026-03-12,NL0011821392,0.65,Signify N.V.,current
JPMorgan Asset Management (UK) Ltd.,2026-03-12,NL0010801007,0.64,IMCD N.V.,current
Squarepoint Ops LLC,2026-03-12,NL0006237562,1.1,ARCADIS N.V.,current
Canada Pension Plan Investment Board,2026-03-11,NL0011821392,0.57,Signify N.V.,current
Capital Fund Management S.A.,2026-03-11,NL0012969182,0.6,Adyen N.V.,current
Citadel Advisors LLC,2026-03-11,NL0011821392,2.24,Signify N.V.,current
Marshall Wace LLP,2026-03-11,NL0011821392,1.91,Signify N.V.,current
Citadel Advisors LLC,2026-03-10,NL0011821392,2.17,Signify N.V.,current
Lazard Asset Management LLC,2026-03-10,NL0010391025,0.96,Pharming Group N.V.,current
Marshall Wace LLP,2026-03-10,NL0015002MS2,1.21,The Magnum Ice Cream Company N.V.,current
"Two Sigma Investments, LP",2026-03-10,LU2290522684,1.03,InPost S.A.,current
Winton Capital Management Limited,2026-03-10,NL0013332471,0.52,TomTom N.V.,current
Acadian Asset Management LLC.,2026-03-09,NL0010801007,0.72,IMCD N.V.,current
AKO Capital LLP,2026-03-09,NL0013267909,1.21,Akzo Nobel N.V.,current
Capital Fund Management S.A.,2026-03-09,NL0012969182,0.51,Adyen N.V.,current
Citadel Advisors Europe Limited,2026-03-09,NL0011821392,1.18,Signify N.V.,current
Citadel Advisors LLC,2026-03-09,NL0009739416,0.69,PostNL N.V.,current
Citadel Advisors LLC,2026-03-09,NL0011821392,2.06,Signify N.V.,current
"D. E. Shaw & Co., L.P.",2026-03-09,NL0012817175,1.29,Alfen N.V.,current
"Two Sigma Investments, LP",2026-03-09,NL0010801007,0.71,IMCD N.V.,current
"AQR Capital Management, LLC",2026-03-06,NL0015000IY2,0.6,Universal Music Group N.V.,current
"BlackRock Advisors, LLC",2026-03-06,NL0010801007,0.7,IMCD N.V.,current
Citadel Advisors LLC,2026-03-06,NL0011821392,1.88,Signify N.V.,current
JPMorgan Asset Management (UK) Ltd.,2026-03-06,NL00150003E1,0.81,Fugro N.V.,current
Squarepoint Ops LLC,2026-03-06,NL0006237562,1.09,ARCADIS N.V.,current
"BlackRock Financial Management, Inc.",2026-03-05,NL0010801007,1.1,IMCD N.V.,current
Citadel Advisors LLC,2026-03-05,NL0000289213,0.63,Wereldhave N.V.,current
Marshall Wace LLP,2026-03-05,NL0000379121,0.5,Randstad N.V.,current
Marshall Wace LLP,2026-03-05,NL0015002MS2,1.11,The Magnum Ice Cream Company N.V.,current
Qube Research & Technologies Ltd.,2026-03-05,JE00BRX98089,0.6,CVC Capital Partners plc,current
Qube Research & Technologies Ltd.,2026-03-05,CY0200751713,0.64,Theon International Plc,current
Acadian Asset Management LLC.,2026-03-04,NL0010801007,0.61,IMCD N.V.,current
"AQR Capital Management, LLC",2026-03-04,NL0000852564,0.52,Aalberts N.V.,current
"AQR Capital Management, LLC",2026-03-04,NL0011821392,1.03,Signify N.V.,current
"BlackRock Financial Management, Inc.",2026-03-04,NL0010801007,1.06,IMCD N.V.,current
Citadel Advisors LLC,2026-03-04,NL0009739416,0.7,PostNL N.V.,current
Marshall Wace LLP,2026-03-04,NL0011821392,1.87,Signify N.V.,current
"PDT Partners, LLC",2026-03-04,NL0010801007,0.71,IMCD N.V.,current
"PDT Partners, LLC",2026-03-04,NL0011821392,0.8,Signify N.V.,current
Qube Research & Technologies Ltd.,2026-03-04,CY0200751713,0.59,Theon International Plc,current
"Two Sigma Investments, LP",2026-03-04,LU2290522684,0.9,InPost S.A.,current
Ilex Capital Partners (UK) LLP,2026-03-03,CH1216478797,1.03,DSM-Firmenich AG,current
