position_holder,isin,issuer_name,net_short_position,position_date,source
Canada Pension Plan Investment Board,NL0011821392,Signify N.V.,0.91,2026-04-21,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,1.82,2026-04-21,current
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,0.7,2026-04-21,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,1.56,2026-04-21,current
"PDT Partners, LLC",NL0011821392,Signify N.V.,0.88,2026-04-21,current
White Creek Capital LLP,NL0006237562,ARCADIS N.V.,0.61,2026-04-21,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,1.29,2026-04-20,current
Canada Pension Plan Investment Board,NL0011821392,Signify N.V.,0.87,2026-04-20,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2.0,2026-04-20,current
"D. E. Shaw & Co., L.P.",NL0011872650,Basic-Fit N.V.,1.06,2026-04-20,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,1.45,2026-04-20,current
Linden Advisors LP,NL0011872650,Basic-Fit N.V.,0.7,2026-04-20,current
"O'Connor Alternative Investments, LLC",NL0013267909,Akzo Nobel N.V.,1.16,2026-04-20,current
White Creek Capital LLP,NL0006237562,ARCADIS N.V.,0.57,2026-04-20,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,0.89,2026-04-17,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,0.53,2026-04-17,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2.22,2026-04-17,current
Citadel Advisors LLC,NL0000817179,Sligro Food Group N.V.,0.71,2026-04-17,current
"D. E. Shaw & Co., L.P.",NL0011872650,Basic-Fit N.V.,1.12,2026-04-17,current
Davidson Kempner Capital Management LP,NL0013267909,Akzo Nobel N.V.,1.41,2026-04-17,current
Fosse Capital Partners LLP,NL0011872650,Basic-Fit N.V.,1.02,2026-04-17,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,1.06,2026-04-17,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,IMCD N.V.,0.91,2026-04-17,current
JPMorgan Asset Management (UK) Ltd.,NL0013332471,TomTom N.V.,1.22,2026-04-17,current
Linden Advisors LP,NL0011872650,Basic-Fit N.V.,0.59,2026-04-17,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.65,2026-04-17,current
Marshall Wace LLP,NL0009739416,PostNL N.V.,0.81,2026-04-17,current
"PDT Partners, LLC",NL0011821392,Signify N.V.,0.9,2026-04-17,current
Sculptor Capital Management Europe Limited,NL0011872650,Basic-Fit N.V.,0.6,2026-04-17,current
"Two Sigma Investments, LP",LU2290522684,InPost S.A.,1.47,2026-04-17,current
Walleye Capital LLC,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.62,2026-04-17,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,1.3,2026-04-16,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2.32,2026-04-16,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,IMCD N.V.,0.85,2026-04-16,current
Lazard Asset Management LLC,NL0010391025,Pharming Group N.V.,1.18,2026-04-16,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.52,2026-04-16,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,1.23,2026-04-15,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,IMCD N.V.,0.76,2026-04-15,current
Lazard Asset Management LLC,NL0010391025,Pharming Group N.V.,1.2,2026-04-15,current
Marshall Wace LLP,NL0011821392,Signify N.V.,1.82,2026-04-15,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,1.15,2026-04-15,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,0.97,2026-04-14,current
Fosse Capital Partners LLP,NL0011872650,Basic-Fit N.V.,1.23,2026-04-14,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,IMCD N.V.,0.66,2026-04-14,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,1.22,2026-04-14,current
"PDT Partners, LLC",NL0009739416,PostNL N.V.,0.5,2026-04-14,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,1.21,2026-04-13,current
"AQR Capital Management, LLC",NL0006237562,ARCADIS N.V.,1.01,2026-04-13,current
"AQR Capital Management, LLC",JE00BRX98089,CVC Capital Partners plc,0.71,2026-04-13,current
Citadel Advisors LLC,NL0000817179,Sligro Food Group N.V.,0.61,2026-04-13,current
"PDT Partners, LLC",NL0010801007,IMCD N.V.,0.89,2026-04-13,current
Walleye Capital LLC,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.5,2026-04-13,current
"D. E. Shaw & Co., L.P.",NL0000395903,Wolters Kluwer N.V.,0.8,2026-04-10,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,1.38,2026-04-10,current
"PDT Partners, LLC",NL0010801007,IMCD N.V.,0.9,2026-04-10,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,1.13,2026-04-09,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2.42,2026-04-09,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,1.0,2026-04-09,current
Numeric Investors LLC,NL0012365084,NSI N.V.,0.71,2026-04-09,current
"PDT Partners, LLC",NL0010801007,IMCD N.V.,0.89,2026-04-09,current
"AQR Capital Management, LLC",NL0000852564,Aalberts N.V.,0.61,2026-04-08,current
"AQR Capital Management, LLC",NL0011821392,Signify N.V.,1.22,2026-04-08,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2.39,2026-04-08,current
