position_holder,issuer_name,net_short_position,isin,position_date,source
"Arrowstreet Capital, Limited Partnership",Galapagos NV,0.84,BE0003818359,2023-04-20,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,0.71,BE0003818359,2023-04-05,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,0.61,BE0003818359,2023-03-29,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,0.52,BE0003818359,2023-03-24,current
Fosse Capital Partners LLP,Basic-Fit N.V.,1.43,NL0011872650,2022-12-01,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.58,NL0013332471,2022-11-15,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.74,NL0013332471,2022-11-14,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.88,NL0013332471,2022-10-14,current
Fosse Capital Partners LLP,Basic-Fit N.V.,1.17,NL0011872650,2022-10-07,current
Fosse Capital Partners LLP,Basic-Fit N.V.,1.05,NL0011872650,2022-10-04,current
Fosse Capital Partners LLP,Basic-Fit N.V.,0.56,NL0011872650,2022-10-03,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.7,NL0013332471,2022-09-12,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.6,NL0013332471,2022-09-07,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.53,NL0013332471,2022-09-05,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.48,NL0013332471,2022-09-02,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.3,NL0013332471,2022-06-08,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.22,NL0013332471,2022-06-03,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.17,NL0013332471,2022-05-11,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.28,NL0013332471,2022-03-01,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.38,NL0013332471,2022-02-04,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.2,NL0013332471,2021-08-26,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.11,NL0013332471,2021-08-20,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.06,NL0013332471,2021-08-18,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,0.8,NL0013332471,2021-08-17,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,0.7,NL0013332471,2021-08-13,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,0.67,NL0013332471,2021-08-12,current
Millennium International Management LP,Koninklijke Boskalis Westminster N.V.,0.5,NL0000852580,2018-03-09,current
Marshall Wace LLP,Koninklijke Heijmans N.V.,0.48,NL0009269109,2026-04-01,archive
Premier Miton Group plc,Signify N.V.,0.45,NL0011821392,2026-04-01,archive
White Creek Capital LLP,ARCADIS N.V.,0.49,NL0006237562,2026-04-01,archive
"BlackRock Institutional Trust Company, National Association",IMCD N.V.,0.49,NL0010801007,2026-03-31,archive
"Cubist Systematic Strategies, LLC",Alfen N.V.,0.49,NL0012817175,2026-03-31,archive
Millennium International Management LP,Signify N.V.,0.48,NL0011821392,2026-03-31,archive
"Arrowstreet Capital, Limited Partnership",Akzo Nobel N.V.,0.49,NL0013267909,2026-03-30,archive
Citadel Securities (Europe) Limited,Alfen N.V.,0.48,NL0012817175,2026-03-27,archive
Citadel Advisors LLC,IMCD N.V.,0.47,NL0010801007,2026-03-24,archive
