position_holder,issuer_name,net_short_position,isin,position_date,source
"Hound Partners, LLC",AMG Critical Materials N.V.,1.34,NL0000888691,2019-03-14,archive
Systematica Investments Limited,Fugro N.V.,1.1,NL0000352565,2019-03-14,archive
"WorldQuant, LLC",Fugro N.V.,0.79,NL0000352565,2019-03-14,archive
AHL Partners LLP,Fugro N.V.,2.2,NL0000352565,2019-03-13,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2.07,NL0000360618,2019-03-13,archive
Gladstone Capital Management LLP,Koninklijke BAM Groep N.V.,1.31,NL0000337319,2019-03-13,archive
Jupiter Investment Management Limited,AMG Critical Materials N.V.,0.54,NL0000888691,2019-03-13,archive
Marshall Wace LLP,Fugro N.V.,1.32,NL0000352565,2019-03-13,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.61,NL0012866412,2019-03-13,archive
HBK Investments LP,Fugro N.V.,1.59,NL0000352565,2019-03-12,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,1.2,NL0000888691,2019-03-12,archive
Marshall Wace LLP,Fugro N.V.,1.25,NL0000352565,2019-03-12,archive
Marshall Wace LLP,Wereldhave N.V.,1.82,NL0000289213,2019-03-12,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.56,NL0012866412,2019-03-12,archive
HBK Investments LP,Fugro N.V.,1.62,NL0000352565,2019-03-11,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,1.12,NL0000888691,2019-03-11,archive
Millennium International Management LP,AMG Critical Materials N.V.,1.09,NL0000888691,2019-03-11,archive
Toscafund Asset Management LLP,Wereldhave N.V.,0.71,NL0000289213,2019-03-11,archive
AHL Partners LLP,Fugro N.V.,2.14,NL0000352565,2019-03-08,archive
"BlackRock Institutional Trust Company, National Association",PostNL N.V.,0.48,NL0009739416,2019-03-08,archive
Capital Fund Management S.A.,PostNL N.V.,1.21,NL0009739416,2019-03-08,archive
HBK Investments LP,Fugro N.V.,1.72,NL0000352565,2019-03-08,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,0.94,NL0000888691,2019-03-08,archive
Marshall Wace LLP,Fugro N.V.,1.13,NL0000352565,2019-03-08,archive
Marshall Wace LLP,PostNL N.V.,2.31,NL0009739416,2019-03-08,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,0.57,NL0000337319,2019-03-08,archive
AHL Partners LLP,Fugro N.V.,2.04,NL0000352565,2019-03-07,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2.18,NL0000360618,2019-03-07,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,0.71,NL0000888691,2019-03-07,archive
Marshall Wace LLP,Fugro N.V.,1.03,NL0000352565,2019-03-07,archive
Millennium Capital Partners LLP,AMG Critical Materials N.V.,0.64,NL0000888691,2019-03-07,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,0.67,NL0011279492,2019-03-07,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,0.75,NL0000337319,2019-03-07,archive
Voleon Capital Management LP,Fugro N.V.,0.8,NL0000352565,2019-03-07,archive
AHL Partners LLP,PostNL N.V.,1.31,NL0009739416,2019-03-06,archive
"BlackRock Institutional Trust Company, National Association",PostNL N.V.,0.54,NL0009739416,2019-03-06,archive
HBK Investments LP,Fugro N.V.,1.6,NL0000352565,2019-03-06,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,0.54,NL0000888691,2019-03-06,archive
Jupiter Investment Management Limited,PostNL N.V.,0.44,NL0009739416,2019-03-06,archive
Marshall Wace LLP,PostNL N.V.,2.22,NL0009739416,2019-03-06,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.93,NL0000289213,2019-03-05,archive
"Eminence Capital, LP",AMG Critical Materials N.V.,2.78,NL0000888691,2019-03-05,archive
Numeric Investors LLC,Fugro N.V.,0.42,NL0000352565,2019-03-05,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,0.54,NL0011279492,2019-03-05,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,0.98,NL0000337319,2019-03-05,archive
Systematica Investments Limited,Fugro N.V.,1.06,NL0000352565,2019-03-05,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.49,NL0012866412,2019-03-05,archive
"AQR Capital Management, LLC",Koninklijke Vopak N.V.,1.19,NL0009432491,2019-03-04,archive
AXA Investment Managers Chorus Limited,PostNL N.V.,0.49,NL0009739416,2019-03-04,archive
"BlackRock Institutional Trust Company, National Association",PostNL N.V.,0.61,NL0009739416,2019-03-04,archive
"Eminence Capital, LP",AMG Critical Materials N.V.,2.54,NL0000888691,2019-03-04,archive
"Great Point Partners, LLC",Pharming Group N.V.,1.31,NL0010391025,2019-03-04,archive
HBK Investments LP,Fugro N.V.,1.58,NL0000352565,2019-03-04,archive
Jupiter Investment Management Limited,PostNL N.V.,0.58,NL0009739416,2019-03-04,archive
Millennium International Management LP,AMG Critical Materials N.V.,1.17,NL0000888691,2019-03-04,archive
Numeric Investors LLC,Fugro N.V.,0.51,NL0000352565,2019-03-04,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,1.08,NL0000337319,2019-03-04,archive
"AQR Capital Management, LLC",OCI N.V.,0.79,NL0010558797,2019-03-01,archive
Gladstone Capital Management LLP,Koninklijke BAM Groep N.V.,1.4,NL0000337319,2019-03-01,archive
"Great Point Partners, LLC",Pharming Group N.V.,1.02,NL0010391025,2019-03-01,archive
Jupiter Investment Management Limited,PostNL N.V.,0.65,NL0009739416,2019-03-01,archive
Marshall Wace LLP,PostNL N.V.,2.11,NL0009739416,2019-03-01,archive
Marshall Wace LLP,Signify N.V.,1.19,NL0011821392,2019-03-01,archive
Marshall Wace LLP,Wereldhave N.V.,1.7,NL0000289213,2019-03-01,archive
"WorldQuant, LLC",Fugro N.V.,0.84,NL0000352565,2019-03-01,archive
AHL Partners LLP,PostNL N.V.,1.29,NL0009739416,2019-02-28,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2.29,NL0000360618,2019-02-28,archive
"BlackRock Institutional Trust Company, National Association",PostNL N.V.,0.76,NL0009739416,2019-02-28,archive
"Great Point Partners, LLC",Pharming Group N.V.,0.98,NL0010391025,2019-02-28,archive
HBK Investments LP,Fugro N.V.,1.61,NL0000352565,2019-02-28,archive
Marshall Wace LLP,Fugro N.V.,0.99,NL0000352565,2019-02-28,archive
Millennium Capital Partners LLP,AMG Critical Materials N.V.,0.73,NL0000888691,2019-02-28,archive
Millennium International Management LP,AMG Critical Materials N.V.,1.27,NL0000888691,2019-02-28,archive
"WorldQuant, LLC",Fugro N.V.,0.76,NL0000352565,2019-02-28,archive
AHL Partners LLP,PostNL N.V.,1.31,NL0009739416,2019-02-27,archive
Canada Pension Plan Investment Board,Pharming Group N.V.,0.38,NL0010391025,2019-02-27,archive
HBK Investments LP,Fugro N.V.,1.57,NL0000352565,2019-02-27,archive
Marshall Wace LLP,Signify N.V.,1.21,NL0011821392,2019-02-27,archive
"WorldQuant, LLC",Fugro N.V.,0.67,NL0000352565,2019-02-27,archive
"BlackRock Institutional Trust Company, National Association",PostNL N.V.,0.86,NL0009739416,2019-02-26,archive
Canada Pension Plan Investment Board,Pharming Group N.V.,0.55,NL0010391025,2019-02-26,archive
HBK Investments LP,Fugro N.V.,1.6,NL0000352565,2019-02-26,archive
Voleon Capital Management LP,Fugro N.V.,0.79,NL0000352565,2019-02-26,archive
Voleon Capital Management LP,Koninklijke Heijmans N.V.,0.81,NL0009269109,2019-02-26,archive
AHL Partners LLP,AMG Critical Materials N.V.,1.59,NL0000888691,2019-02-25,archive
AHL Partners LLP,PostNL N.V.,1.2,NL0009739416,2019-02-25,archive
"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,0.8,NL0012866412,2019-02-25,archive
HBK Investments LP,Fugro N.V.,1.76,NL0000352565,2019-02-25,archive
Marshall Wace LLP,Fugro N.V.,1.05,NL0000352565,2019-02-25,archive
Marshall Wace LLP,PostNL N.V.,2.23,NL0009739416,2019-02-25,archive
Numeric Investors LLC,Fugro N.V.,0.69,NL0000352565,2019-02-25,archive
Systematica Investments Limited,Fugro N.V.,1.17,NL0000352565,2019-02-25,archive
"WorldQuant, LLC",ASM International N.V.,0.44,NL0000334118,2019-02-25,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.45,NL0000337319,2019-02-25,archive
"AQR Capital Management, LLC",Galapagos NV,1.7,BE0003818359,2019-02-22,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2.37,NL0000360618,2019-02-22,archive
Canada Pension Plan Investment Board,Pharming Group N.V.,0.69,NL0010391025,2019-02-22,archive
Citadel Advisors LLC,Fugro N.V.,1.01,NL0000352565,2019-02-22,archive
Citadel Europe LLP,Fugro N.V.,2.84,NL0000352565,2019-02-22,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.89,NL0000289213,2019-02-22,archive
Engadine Partners LLP,ARCADIS N.V.,1.03,NL0006237562,2019-02-22,archive
GAM Investment Management (Switzerland) Ltd. ? Lugano Branch,Wereldhave N.V.,0.53,NL0000289213,2019-02-22,archive
JPMorgan Asset Management (UK) Ltd.,Koninklijke BAM Groep N.V.,0.46,NL0000337319,2019-02-22,archive
Millennium International Management LP,AMG Critical Materials N.V.,1.3,NL0000888691,2019-02-22,archive
Millennium International Management LP,Wereldhave N.V.,0.99,NL0000289213,2019-02-22,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.51,NL0012866412,2019-02-22,archive
"WorldQuant, LLC",Fugro N.V.,0.53,NL0000352565,2019-02-22,archive
AHL Partners LLP,AMG Critical Materials N.V.,1.67,NL0000888691,2019-02-21,archive
"AQR Capital Management, LLC",Galapagos NV,1.69,BE0003818359,2019-02-21,archive
"AQR Capital Management, LLC",OCI N.V.,0.8,NL0010558797,2019-02-21,archive
AXA Investment Managers Chorus Limited,PostNL N.V.,0.58,NL0009739416,2019-02-21,archive
Canada Pension Plan Investment Board,Pharming Group N.V.,0.77,NL0010391025,2019-02-21,archive
Capital Fund Management S.A.,PostNL N.V.,1.11,NL0009739416,2019-02-21,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.9,NL0000289213,2019-02-21,archive
Gladstone Capital Management LLP,Koninklijke BAM Groep N.V.,1.3,NL0000337319,2019-02-21,archive
"Great Point Partners, LLC",Pharming Group N.V.,0.8,NL0010391025,2019-02-21,archive
Jupiter Investment Management Limited,BE Semiconductor Industries N.V.,1.68,NL0012866412,2019-02-21,archive
Marshall Wace LLP,Signify N.V.,1.19,NL0011821392,2019-02-21,archive
Millennium Capital Partners LLP,AMG Critical Materials N.V.,0.8,NL0000888691,2019-02-21,archive
Voleon Capital Management LP,Fugro N.V.,0.82,NL0000352565,2019-02-21,archive
"WorldQuant, LLC",ASM International N.V.,0.52,NL0000334118,2019-02-21,archive
"AQR Capital Management, LLC",Galapagos NV,1.7,BE0003818359,2019-02-20,archive
BlackRock Investment Management (UK) Limited,ARCADIS N.V.,0.47,NL0006237562,2019-02-20,archive
Canada Pension Plan Investment Board,Pharming Group N.V.,0.91,NL0010391025,2019-02-20,archive
Citadel Europe LLP,Fugro N.V.,2.7,NL0000352565,2019-02-20,archive
Gladstone Capital Management LLP,Koninklijke BAM Groep N.V.,1.48,NL0000337319,2019-02-20,archive
HBK Investments LP,Fugro N.V.,1.56,NL0000352565,2019-02-20,archive
JPMorgan Asset Management (UK) Ltd.,Koninklijke BAM Groep N.V.,0.57,NL0000337319,2019-02-20,archive
Linden Advisors LP,Koninklijke BAM Groep N.V.,0.35,NL0000337319,2019-02-20,archive
Marshall Wace LLP,Fugro N.V.,0.98,NL0000352565,2019-02-20,archive
Millennium International Management LP,AMG Critical Materials N.V.,1.1,NL0000888691,2019-02-20,archive
Numeric Investors LLC,Fugro N.V.,0.78,NL0000352565,2019-02-20,archive
Polar Capital LLP,ARCADIS N.V.,0.81,NL0006237562,2019-02-20,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,1.11,NL0000337319,2019-02-20,archive
Systematica Investments Limited,Fugro N.V.,1.2,NL0000352565,2019-02-20,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.44,NL0012866412,2019-02-20,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.53,NL0000337319,2019-02-20,archive
BlackRock Investment Management (UK) Limited,ARCADIS N.V.,0.59,NL0006237562,2019-02-19,archive
Jupiter Investment Management Limited,BE Semiconductor Industries N.V.,1.77,NL0012866412,2019-02-19,archive
Marshall Wace LLP,PostNL N.V.,2.11,NL0009739416,2019-02-19,archive
"PDT Partners, LLC",AMG Critical Materials N.V.,0.51,NL0000888691,2019-02-19,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,1.21,NL0000337319,2019-02-19,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.56,NL0012866412,2019-02-19,archive
"WorldQuant, LLC",PostNL N.V.,0.45,NL0009739416,2019-02-19,archive
BlackRock Investment Management (UK) Limited,ARCADIS N.V.,0.6,NL0006237562,2019-02-18,archive
Millennium International Management LP,Wereldhave N.V.,1.09,NL0000289213,2019-02-18,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,1.41,NL0000337319,2019-02-18,archive
BlackRock Investment Management (UK) Limited,ARCADIS N.V.,0.73,NL0006237562,2019-02-15,archive
Citadel Advisors LLC,Fugro N.V.,0.9,NL0000352565,2019-02-15,archive
Citadel Europe LLP,Fugro N.V.,2.61,NL0000352565,2019-02-15,archive
Marshall Wace LLP,Fugro N.V.,1.09,NL0000352565,2019-02-15,archive
Marshall Wace LLP,Wereldhave N.V.,1.6,NL0000289213,2019-02-15,archive
Numeric Investors LLC,Fugro N.V.,0.81,NL0000352565,2019-02-15,archive
Sculptor Capital Management Europe Limited,Fugro N.V.,1.57,NL0000352565,2019-02-15,archive
"WorldQuant, LLC",PostNL N.V.,0.55,NL0009739416,2019-02-15,archive
AKO Capital LLP,ARCADIS N.V.,0.3,NL0006237562,2019-02-14,archive
BlackRock Investment Management (UK) Limited,ARCADIS N.V.,0.89,NL0006237562,2019-02-14,archive
Boldhaven Management LLP,Koninklijke BAM Groep N.V.,0.49,NL0000337319,2019-02-14,archive
"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,0.77,NL0012866412,2019-02-14,archive
Engadine Partners LLP,ARCADIS N.V.,0.91,NL0006237562,2019-02-14,archive
Marshall Wace LLP,Signify N.V.,1.28,NL0011821392,2019-02-14,archive
Pelham Capital Ltd.,ARCADIS N.V.,1.56,NL0006237562,2019-02-14,archive
Polar Capital LLP,ARCADIS N.V.,0.7,NL0006237562,2019-02-14,archive
"Arrowstreet Capital, Limited Partnership",Aperam S.A.,0.46,LU0569974404,2019-02-13,archive
"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,0.8,NL0012866412,2019-02-13,archive
HBK Investments LP,Fugro N.V.,1.67,NL0000352565,2019-02-13,archive
Jupiter Investment Management Limited,Fugro N.V.,0.47,NL0000352565,2019-02-13,archive
Marshall Wace LLP,Flow Traders Ltd.,0.73,NL0011279492,2019-02-13,archive
Marshall Wace LLP,Signify N.V.,1.3,NL0011821392,2019-02-13,archive
Systematica Investments Limited,Fugro N.V.,1.1,NL0000352565,2019-02-13,archive
Citadel Europe LLP,Fugro N.V.,2.56,NL0000352565,2019-02-12,archive
"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,0.79,NL0012866412,2019-02-12,archive
Marshall Wace LLP,Fugro N.V.,1.15,NL0000352565,2019-02-12,archive
Millennium Capital Partners LLP,AMG Critical Materials N.V.,0.72,NL0000888691,2019-02-12,archive
Millennium International Management LP,AMG Critical Materials N.V.,1.01,NL0000888691,2019-02-12,archive
"WorldQuant, LLC",PostNL N.V.,0.68,NL0009739416,2019-02-12,archive
AKO Capital LLP,ARCADIS N.V.,0.85,NL0006237562,2019-02-11,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.8,NL0000289213,2019-02-11,archive
Lansdowne Partners (UK) LLP,Signify N.V.,0.54,NL0011821392,2019-02-11,archive
Marshall Wace Asia Limited,ARCADIS N.V.,1.3,NL0006237562,2019-02-11,archive
Marshall Wace LLP,Flow Traders Ltd.,0.63,NL0011279492,2019-02-11,archive
Marshall Wace LLP,Wereldhave N.V.,1.53,NL0000289213,2019-02-11,archive
Millennium International Management LP,Wereldhave N.V.,1.12,NL0000289213,2019-02-11,archive
ShadowFall Fund Limited,ARCADIS N.V.,0.5,NL0006237562,2019-02-11,archive
Wellington Management Company LLP,Wereldhave N.V.,0.76,NL0000289213,2019-02-11,archive
Jupiter Investment Management Limited,BE Semiconductor Industries N.V.,1.88,NL0012866412,2019-02-09,archive
Jupiter Investment Management Limited,Fugro N.V.,0.57,NL0000352565,2019-02-09,archive
"Arrowstreet Capital, Limited Partnership",Aperam S.A.,0.57,LU0569974404,2019-02-08,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.92,NL0000289213,2019-02-08,archive
Marshall Wace LLP,Flow Traders Ltd.,0.54,NL0011279492,2019-02-08,archive
Marshall Wace LLP,Fugro N.V.,1.25,NL0000352565,2019-02-08,archive
Systematica Investments Limited,Fugro N.V.,1.01,NL0000352565,2019-02-08,archive
TT International,ARCADIS N.V.,0.49,NL0006237562,2019-02-08,archive
Wellington Management Company LLP,Wereldhave N.V.,0.67,NL0000289213,2019-02-08,archive
Capital Fund Management S.A.,Fugro N.V.,1.29,NL0000352565,2019-02-07,archive
Citadel Europe LLP,Fugro N.V.,2.64,NL0000352565,2019-02-07,archive
HBK Investments LP,Fugro N.V.,1.74,NL0000352565,2019-02-07,archive
Millennium International Management LP,AMG Critical Materials N.V.,0.94,NL0000888691,2019-02-07,archive
TT International,ARCADIS N.V.,0.5,NL0006237562,2019-02-07,archive
"WorldQuant, LLC",PostNL N.V.,0.79,NL0009739416,2019-02-07,archive
"Connor, Clark & Lunn Investment Management Ltd.",Pharming Group N.V.,0.61,NL0010391025,2019-02-06,archive
Jupiter Investment Management Limited,Fugro N.V.,0.66,NL0000352565,2019-02-06,archive
Millennium Capital Partners LLP,AMG Critical Materials N.V.,0.64,NL0000888691,2019-02-06,archive
Numeric Investors LLC,Fugro N.V.,0.7,NL0000352565,2019-02-06,archive
Abaco Asset Management LLP,Flow Traders Ltd.,0.49,NL0011279492,2019-02-05,archive
AHL Partners LLP,PostNL N.V.,1.03,NL0009739416,2019-02-05,archive
"AQR Capital Management, LLC",Koninklijke Vopak N.V.,1.28,NL0009432491,2019-02-05,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2.4,NL0000360618,2019-02-05,archive
"Arrowstreet Capital, Limited Partnership",Aperam S.A.,0.69,LU0569974404,2019-02-05,archive
Jupiter Investment Management Limited,BE Semiconductor Industries N.V.,1.97,NL0012866412,2019-02-05,archive
Marshall Wace LLP,Fugro N.V.,1.39,NL0000352565,2019-02-05,archive
Millennium International Management LP,AMG Critical Materials N.V.,0.89,NL0000888691,2019-02-05,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.6,NL0012866412,2019-02-05,archive
AHL Partners LLP,AMG Critical Materials N.V.,1.79,NL0000888691,2019-02-04,archive
"AQR Capital Management, LLC",Koninklijke Vopak N.V.,1.3,NL0009432491,2019-02-04,archive
Balyasny Asset Management LP,Wereldhave N.V.,0.44,NL0000289213,2019-02-04,archive
"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,0.89,NL0012866412,2019-02-04,archive
GAM Investment Management (Switzerland) Ltd. ? Lugano Branch,Wereldhave N.V.,0.61,NL0000289213,2019-02-04,archive
Marshall Wace LLP,Signify N.V.,1.25,NL0011821392,2019-02-04,archive
Systematica Investments Limited,Fugro N.V.,0.9,NL0000352565,2019-02-04,archive
Voleon Capital Management LP,Fugro N.V.,0.71,NL0000352565,2019-02-04,archive
Citadel Europe LLP,Fugro N.V.,2.51,NL0000352565,2019-02-01,archive
GAM Investment Management (Switzerland) Ltd. ? Lugano Branch,Wereldhave N.V.,0.57,NL0000289213,2019-02-01,archive
Marshall Wace Asia Limited,ARCADIS N.V.,1.28,NL0006237562,2019-02-01,archive
Marshall Wace LLP,Fugro N.V.,1.48,NL0000352565,2019-02-01,archive
Marshall Wace LLP,PostNL N.V.,2.08,NL0009739416,2019-02-01,archive
Marshall Wace LLP,Wereldhave N.V.,1.61,NL0000289213,2019-02-01,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,1.51,NL0000337319,2019-02-01,archive
"WorldQuant, LLC",Wereldhave N.V.,0.48,NL0000289213,2019-02-01,archive
AHL Partners LLP,AMG Critical Materials N.V.,1.88,NL0000888691,2019-01-31,archive
"AQR Capital Management, LLC",Koninklijke Vopak N.V.,1.29,NL0009432491,2019-01-31,archive
Balyasny Asset Management LP,Wereldhave N.V.,0.56,NL0000289213,2019-01-31,archive
Citadel Advisors LLC,Fugro N.V.,0.8,NL0000352565,2019-01-31,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.64,NL0000289213,2019-01-31,archive
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,1.81,NL0000352565,2019-01-31,archive
Jupiter Investment Management Limited,BE Semiconductor Industries N.V.,2.05,NL0012866412,2019-01-31,archive
Jupiter Investment Management Limited,Fugro N.V.,0.78,NL0000352565,2019-01-31,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,1.45,NL0000337319,2019-01-31,archive
AHL Partners LLP,PostNL N.V.,0.91,NL0009739416,2019-01-30,archive
Balyasny Asset Management LP,Wereldhave N.V.,0.71,NL0000289213,2019-01-30,archive
Capital Fund Management S.A.,PostNL N.V.,1.0,NL0009739416,2019-01-30,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.55,NL0000289213,2019-01-30,archive
HBK Investments LP,Fugro N.V.,1.68,NL0000352565,2019-01-30,archive
Jupiter Investment Management Limited,BE Semiconductor Industries N.V.,1.92,NL0012866412,2019-01-30,archive
Marshall Wace LLP,PostNL N.V.,2.1,NL0009739416,2019-01-30,archive
"Arrowstreet Capital, Limited Partnership",Aperam S.A.,0.78,LU0569974404,2019-01-29,archive
"BlueMountain Capital Management, LLC",AMG Critical Materials N.V.,0.49,NL0000888691,2019-01-29,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.6,NL0000289213,2019-01-29,archive
Jupiter Investment Management Limited,Fugro N.V.,0.86,NL0000352565,2019-01-29,archive
Lansdowne Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,0.78,NL0011794037,2019-01-29,archive
Voleon Capital Management LP,Koninklijke Heijmans N.V.,0.7,NL0009269109,2019-01-29,archive
"WorldQuant, LLC",PostNL N.V.,0.82,NL0009739416,2019-01-29,archive
"WorldQuant, LLC",Wereldhave N.V.,0.56,NL0000289213,2019-01-29,archive
"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,0.99,NL0012866412,2019-01-28,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.58,NL0000289213,2019-01-28,archive
"Lakewood Capital Management, LP",Flow Traders Ltd.,0.9,NL0011279492,2019-01-28,archive
Lansdowne Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,0.8,NL0011794037,2019-01-28,archive
Marshall Wace LLP,Fugro N.V.,1.59,NL0000352565,2019-01-28,archive
Millennium Capital Partners LLP,AMG Critical Materials N.V.,0.51,NL0000888691,2019-01-28,archive
"PDT Partners, LLC",PostNL N.V.,0.5,NL0009739416,2019-01-28,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,3.57,NL0012866412,2019-01-28,archive
Systematica Investments Limited,Fugro N.V.,0.81,NL0000352565,2019-01-28,archive
Capital Fund Management S.A.,Fugro N.V.,1.38,NL0000352565,2019-01-25,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.67,NL0000289213,2019-01-25,archive
Engadine Partners LLP,Signify N.V.,0.64,NL0011821392,2019-01-25,archive
Jupiter Investment Management Limited,BE Semiconductor Industries N.V.,1.88,NL0012866412,2019-01-25,archive
Marshall Wace LLP,Signify N.V.,1.39,NL0011821392,2019-01-25,archive
Millennium International Management LP,AMG Critical Materials N.V.,0.93,NL0000888691,2019-01-25,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,3.46,NL0012866412,2019-01-25,archive
TT International,ARCADIS N.V.,0.64,NL0006237562,2019-01-25,archive
TT International,Pharming Group N.V.,0.48,NL0010391025,2019-01-25,archive
AHL Partners LLP,PostNL N.V.,0.8,NL0009739416,2019-01-24,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2.31,NL0000360618,2019-01-24,archive
"Connor, Clark & Lunn Investment Management Ltd.",Pharming Group N.V.,0.51,NL0010391025,2019-01-24,archive
HBK Investments LP,Fugro N.V.,1.79,NL0000352565,2019-01-24,archive
Jupiter Investment Management Limited,Fugro N.V.,0.99,NL0000352565,2019-01-24,archive
Marshall Wace LLP,PostNL N.V.,2.09,NL0009739416,2019-01-24,archive
TT International,Pharming Group N.V.,0.69,NL0010391025,2019-01-24,archive
Voleon Capital Management LP,Fugro N.V.,0.68,NL0000352565,2019-01-24,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.59,NL0012866412,2019-01-24,archive
HBK Investments LP,Fugro N.V.,1.8,NL0000352565,2019-01-23,archive
Marshall Wace LLP,Fugro N.V.,1.67,NL0000352565,2019-01-23,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.6,NL0012866412,2019-01-23,archive
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,1.79,NL0000352565,2019-01-22,archive
Jupiter Investment Management Limited,Fugro N.V.,1.09,NL0000352565,2019-01-22,archive
Jupiter Investment Management Limited,PostNL N.V.,0.79,NL0009739416,2019-01-22,archive
TT International,ARCADIS N.V.,0.7,NL0006237562,2019-01-22,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.59,NL0012866412,2019-01-22,archive
Marshall Wace LLP,Wereldhave N.V.,1.59,NL0000289213,2019-01-21,archive
Millennium International Management LP,AMG Critical Materials N.V.,0.82,NL0000888691,2019-01-21,archive
Systematica Investments Limited,Fugro N.V.,0.71,NL0000352565,2019-01-21,archive
Capital Fund Management S.A.,PostNL N.V.,0.9,NL0009739416,2019-01-18,archive
Jupiter Investment Management Limited,Fugro N.V.,1.15,NL0000352565,2019-01-18,archive
Marshall Wace LLP,PostNL N.V.,2.17,NL0009739416,2019-01-18,archive
Millennium International Management LP,Wereldhave N.V.,1.09,NL0000289213,2019-01-18,archive
Numeric Investors LLC,Fugro N.V.,0.6,NL0000352565,2019-01-18,archive
TT International,IMCD N.V.,0.48,NL0010801007,2019-01-18,archive
Jupiter Investment Management Limited,Fugro N.V.,1.23,NL0000352565,2019-01-17,archive
"Lakewood Capital Management, LP",Flow Traders Ltd.,0.8,NL0011279492,2019-01-17,archive
Marshall Wace LLP,PostNL N.V.,2.28,NL0009739416,2019-01-17,archive
"AQR Capital Management, LLC",OCI N.V.,0.79,NL0010558797,2019-01-16,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2.28,NL0000360618,2019-01-16,archive
"Lakewood Capital Management, LP",Flow Traders Ltd.,0.74,NL0011279492,2019-01-16,archive
Marshall Wace LLP,Fugro N.V.,1.79,NL0000352565,2019-01-16,archive
Millennium International Management LP,Wereldhave N.V.,1.1,NL0000289213,2019-01-16,archive
Systematica Investments Limited,Fugro N.V.,0.62,NL0000352565,2019-01-16,archive
Jupiter Investment Management Limited,BE Semiconductor Industries N.V.,1.99,NL0012866412,2019-01-15,archive
"Lakewood Capital Management, LP",Flow Traders Ltd.,0.68,NL0011279492,2019-01-15,archive
