issuer_name,isin,position_date,position_holder,net_short_position,source
Galapagos NV,BE0003818359,2019-09-27,Marshall Wace LLP,0.7,archive
Randstad N.V.,NL0000379121,2019-09-27,Marshall Wace LLP,0.5,archive
Wereldhave N.V.,NL0000289213,2019-09-27,Millennium International Management LP,0.57,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-27,Scopia Capital Management LP,3.39,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-27,"WorldQuant, LLC",1.26,archive
Fugro N.V.,NL0000352565,2019-09-27,"WorldQuant, LLC",0.7,archive
Koninklijke KPN N.V.,NL0000009082,2019-09-26,"AQR Capital Management, LLC",0.89,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-26,"Arrowstreet Capital, Limited Partnership",1.64,archive
Signify N.V.,NL0011821392,2019-09-26,ENA Investment Capital LLP,0.58,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-26,Marshall Wace LLP,0.89,archive
Aperam S.A.,LU0569974404,2019-09-26,Marshall Wace LLP,0.81,archive
Fugro N.V.,NL0000352565,2019-09-26,Marshall Wace LLP,2.72,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-26,Marshall Wace LLP,2.24,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-26,"PDT Partners, LLC",0.78,archive
Signify N.V.,NL0011821392,2019-09-25,BlackRock Investment Management (UK) Limited,1.83,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-25,Citadel Advisors II LLC,0.45,archive
Signify N.V.,NL0011821392,2019-09-25,ENA Investment Capital LLP,0.64,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-25,Jupiter Investment Management Limited,0.79,archive
ARCADIS N.V.,NL0006237562,2019-09-25,Lansdowne Partners (UK) LLP,2.62,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-25,Marshall Wace LLP,0.92,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-25,Marshall Wace LLP,0.79,archive
Fugro N.V.,NL0000352565,2019-09-25,Marshall Wace LLP,2.67,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-25,Marshall Wace LLP,2.19,archive
TomTom N.V.,NL0013332471,2019-09-25,Marshall Wace LLP,0.63,archive
Wereldhave N.V.,NL0000289213,2019-09-25,Marshall Wace LLP,0.99,archive
PostNL N.V.,NL0009739416,2019-09-25,"PDT Partners, LLC",0.7,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-25,Scopia Capital Management LP,3.46,archive
PostNL N.V.,NL0009739416,2019-09-25,Voleon Capital Management LP,0.61,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-25,"WorldQuant, LLC",1.11,archive
Adyen N.V.,NL0012969182,2019-09-24,"AQR Capital Management, LLC",0.52,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-24,"Arrowstreet Capital, Limited Partnership",1.54,archive
PostNL N.V.,NL0009739416,2019-09-24,Capital Fund Management S.A.,0.79,archive
Eurocommercial Properties N.V.,NL0000288876,2019-09-24,Clearance Capital Limited,0.5,archive
Fugro N.V.,NL0000352565,2019-09-24,HBK Investments LP,1.52,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-24,Marshall Wace LLP,0.89,archive
Aperam S.A.,LU0569974404,2019-09-24,Marshall Wace LLP,0.74,archive
Galapagos NV,BE0003818359,2019-09-24,Marshall Wace LLP,0.6,archive
PostNL N.V.,NL0009739416,2019-09-24,Marshall Wace LLP,2.19,archive
TomTom N.V.,NL0013332471,2019-09-24,Marshall Wace LLP,0.59,archive
Fugro N.V.,NL0000352565,2019-09-24,"WorldQuant, LLC",0.68,archive
Fugro N.V.,NL0000352565,2019-09-23,HBK Investments LP,1.46,archive
Fugro N.V.,NL0000352565,2019-09-23,Marshall Wace LLP,2.51,archive
Signify N.V.,NL0011821392,2019-09-23,Millennium International Management LP,0.36,archive
Fugro N.V.,NL0000352565,2019-09-23,Sculptor Capital Management Europe Limited,2.01,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-23,"WorldQuant, LLC",1.04,archive
Galapagos NV,BE0003818359,2019-09-20,"AQR Capital Management, LLC",1.89,archive
Koninklijke Vopak N.V.,NL0009432491,2019-09-20,"AQR Capital Management, LLC",1.69,archive
Fugro N.V.,NL0000352565,2019-09-20,"BlackRock Institutional Trust Company, National Association",0.54,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-20,Citadel Europe LLP,0.7,archive
ARCADIS N.V.,NL0006237562,2019-09-20,Marshall Wace LLP,2.39,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-20,Marshall Wace LLP,0.88,archive
Fugro N.V.,NL0000352565,2019-09-20,Marshall Wace LLP,2.42,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-20,Marshall Wace LLP,2.01,archive
Signify N.V.,NL0011821392,2019-09-20,Marshall Wace LLP,0.24,archive
Signify N.V.,NL0011821392,2019-09-20,Millennium Capital Partners LLP,0.39,archive
Signify N.V.,NL0011821392,2019-09-20,Millennium International Management LP,0.5,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2019-09-20,Millennium International Management LP,0.0,archive
Pharming Group N.V.,NL0010391025,2019-09-20,"PDT Partners, LLC",0.5,archive
Signify N.V.,NL0011821392,2019-09-20,Tybourne Capital Management (HK) Limited,1.65,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-20,"WorldQuant, LLC",0.96,archive
Koninklijke Vopak N.V.,NL0009432491,2019-09-19,"AQR Capital Management, LLC",1.7,archive
SBM Offshore N.V.,NL0000360618,2019-09-19,"AQR Capital Management, LLC",2.33,archive
ARCADIS N.V.,NL0006237562,2019-09-19,Bodenholm Capital AB,0.05,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-19,Jupiter Investment Management Limited,0.89,archive
ARCADIS N.V.,NL0006237562,2019-09-19,Marshall Wace LLP,2.4,archive
Signify N.V.,NL0011821392,2019-09-19,Millennium Capital Partners LLP,0.71,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-19,"WorldQuant, LLC",1.0,archive
Koninklijke Heijmans N.V.,NL0009269109,2019-09-19,"WorldQuant, LLC",0.49,archive
Galapagos NV,BE0003818359,2019-09-18,"AQR Capital Management, LLC",1.9,archive
Koninklijke Vopak N.V.,NL0009432491,2019-09-18,"AQR Capital Management, LLC",1.69,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-18,"Arrowstreet Capital, Limited Partnership",1.48,archive
ARCADIS N.V.,NL0006237562,2019-09-18,Bodenholm Capital AB,0.58,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-18,Citadel Advisors II LLC,0.58,archive
Fugro N.V.,NL0000352565,2019-09-18,HBK Investments LP,1.31,archive
Aperam S.A.,LU0569974404,2019-09-18,Marshall Wace LLP,0.6,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-18,Marshall Wace LLP,0.96,archive
Signify N.V.,NL0011821392,2019-09-18,Marshall Wace LLP,0.58,archive
Wereldhave N.V.,NL0000289213,2019-09-18,Millennium International Management LP,0.69,archive
Fugro N.V.,NL0000352565,2019-09-18,Systematica Investments Limited,0.79,archive
PostNL N.V.,NL0009739416,2019-09-18,Voleon Capital Management LP,0.5,archive
ARCADIS N.V.,NL0006237562,2019-09-17,Bodenholm Capital AB,0.79,archive
Fugro N.V.,NL0000352565,2019-09-17,Citadel Europe LLP,0.69,archive
Fugro N.V.,NL0000352565,2019-09-17,"Connor, Clark & Lunn Investment Management Ltd.",0.69,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-17,Marshall Wace LLP,0.99,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-17,Marshall Wace LLP,1.02,archive
Fugro N.V.,NL0000352565,2019-09-17,Marshall Wace LLP,2.37,archive
Fugro N.V.,NL0000352565,2019-09-17,Sculptor Capital Management Europe Limited,1.9,archive
Koninklijke KPN N.V.,NL0000009082,2019-09-16,"AQR Capital Management, LLC",0.98,archive
SBM Offshore N.V.,NL0000360618,2019-09-16,"AQR Capital Management, LLC",2.21,archive
PostNL N.V.,NL0009739416,2019-09-16,Capital Fund Management S.A.,0.89,archive
ARCADIS N.V.,NL0006237562,2019-09-16,Marshall Wace LLP,2.59,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-16,Marshall Wace LLP,1.11,archive
Fugro N.V.,NL0000352565,2019-09-16,Marshall Wace LLP,2.45,archive
Fugro N.V.,NL0000352565,2019-09-16,Sculptor Capital Management Europe Limited,1.89,archive
Koninklijke Heijmans N.V.,NL0009269109,2019-09-16,"WorldQuant, LLC",0.57,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-13,AHL Partners LLP,0.45,archive
Koninklijke Vopak N.V.,NL0009432491,2019-09-13,"AQR Capital Management, LLC",1.7,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-13,"Connor, Clark & Lunn Investment Management Ltd.",1.48,archive
PostNL N.V.,NL0009739416,2019-09-13,"Connor, Clark & Lunn Investment Management Ltd.",0.49,archive
Fugro N.V.,NL0000352565,2019-09-13,HBK Investments LP,1.25,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-13,Marshall Wace LLP,1.09,archive
TomTom N.V.,NL0013332471,2019-09-13,Marshall Wace LLP,0.69,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-13,"Public Equity Partners Management, L.P.",2.88,archive
PostNL N.V.,NL0009739416,2019-09-13,Systematica Investments Limited,0.49,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-13,Voleon Capital Management LP,0.5,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-12,AHL Partners LLP,0.51,archive
Galapagos NV,BE0003818359,2019-09-12,"AQR Capital Management, LLC",1.84,archive
Koninklijke KPN N.V.,NL0000009082,2019-09-12,"AQR Capital Management, LLC",1.0,archive
SBM Offshore N.V.,NL0000360618,2019-09-12,"AQR Capital Management, LLC",2.19,archive
Fugro N.V.,NL0000352565,2019-09-12,"Connor, Clark & Lunn Investment Management Ltd.",0.76,archive
Kendrion N.V.,NL0000852531,2019-09-12,JPMorgan Asset Management (UK) Ltd.,0.6,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-12,Jupiter Investment Management Limited,0.98,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-12,Marshall Wace LLP,1.29,archive
Fugro N.V.,NL0000352565,2019-09-12,Marshall Wace LLP,2.59,archive
PostNL N.V.,NL0009739416,2019-09-12,Marshall Wace LLP,2.27,archive
TomTom N.V.,NL0013332471,2019-09-12,Marshall Wace LLP,0.7,archive
Wereldhave N.V.,NL0000289213,2019-09-12,Millennium International Management LP,0.75,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-12,"PDT Partners, LLC",0.8,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-12,"Public Equity Partners Management, L.P.",2.74,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-12,"Tenor Capital Management Company, L.P.",0.5,archive
Fugro N.V.,NL0000352565,2019-09-12,"WorldQuant, LLC",0.79,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-12,"WorldQuant, LLC",0.44,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-11,AHL Partners LLP,0.64,archive
PostNL N.V.,NL0009739416,2019-09-11,AHL Partners LLP,0.78,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-11,"Arrowstreet Capital, Limited Partnership",1.56,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-11,Boldhaven Management LLP,0.52,archive
PostNL N.V.,NL0009739416,2019-09-11,Capital Fund Management S.A.,0.97,archive
Eurocommercial Properties N.V.,NL0000288876,2019-09-11,Clearance Capital Limited,0.66,archive
PostNL N.V.,NL0009739416,2019-09-11,"Connor, Clark & Lunn Investment Management Ltd.",0.55,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-11,"Davidson Kempner European Partners, LLP",1.33,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-11,Marshall Wace LLP,1.15,archive
Aperam S.A.,LU0569974404,2019-09-11,Marshall Wace LLP,0.59,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-11,Marshall Wace LLP,1.38,archive
Fugro N.V.,NL0000352565,2019-09-11,Marshall Wace LLP,2.68,archive
PostNL N.V.,NL0009739416,2019-09-11,Marshall Wace LLP,2.31,archive
Signify N.V.,NL0011821392,2019-09-11,Marshall Wace LLP,0.68,archive
Wereldhave N.V.,NL0000289213,2019-09-11,Marshall Wace LLP,1.08,archive
Signify N.V.,NL0011821392,2019-09-11,Millennium Capital Partners LLP,0.65,archive
Wereldhave N.V.,NL0000289213,2019-09-11,Millennium International Management LP,0.81,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-11,"Public Equity Partners Management, L.P.",2.54,archive
Fugro N.V.,NL0000352565,2019-09-11,Sculptor Capital Management Europe Limited,1.96,archive
Wereldhave N.V.,NL0000289213,2019-09-11,Wellington Management Company LLP,0.63,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-10,AHL Partners LLP,0.78,archive
Fugro N.V.,NL0000352565,2019-09-10,"BlackRock Institutional Trust Company, National Association",0.49,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-10,Citadel Advisors II LLC,0.49,archive
Galapagos NV,BE0003818359,2019-09-10,"D. E. Shaw & Co., L.P.",0.98,archive
Wereldhave N.V.,NL0000289213,2019-09-10,"D. E. Shaw & Co., L.P.",0.56,archive
Kendrion N.V.,NL0000852531,2019-09-10,JPMorgan Asset Management (UK) Ltd.,0.57,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-10,Marshall Wace LLP,1.46,archive
Fugro N.V.,NL0000352565,2019-09-10,Marshall Wace LLP,2.76,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-10,Marshall Wace LLP,1.8,archive
PostNL N.V.,NL0009739416,2019-09-10,Marshall Wace LLP,2.41,archive
Wereldhave N.V.,NL0000289213,2019-09-10,Marshall Wace LLP,1.18,archive
Signify N.V.,NL0011821392,2019-09-10,Millennium International Management LP,1.08,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2019-09-10,Millennium International Management LP,0.82,archive
Wereldhave N.V.,NL0000289213,2019-09-10,Millennium International Management LP,0.98,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-10,"WorldQuant, LLC",0.97,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-10,"WorldQuant, LLC",0.58,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-09,AHL Partners LLP,0.94,archive
PostNL N.V.,NL0009739416,2019-09-09,AHL Partners LLP,0.86,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-09,AKO Capital LLP,1.49,archive
Galapagos NV,BE0003818359,2019-09-09,Citadel Advisors LLC,0.8,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-09,"D. E. Shaw & Co., L.P.",0.48,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-09,Marshall Wace LLP,1.02,archive
Aperam S.A.,LU0569974404,2019-09-09,Marshall Wace LLP,0.61,archive
Flow Traders Ltd.,NL0011279492,2019-09-09,Marshall Wace LLP,0.47,archive
PostNL N.V.,NL0009739416,2019-09-09,Marshall Wace LLP,2.58,archive
Signify N.V.,NL0011821392,2019-09-09,Millennium Capital Partners LLP,0.72,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2019-09-09,Millennium International Management LP,0.72,archive
Koninklijke Heijmans N.V.,NL0009269109,2019-09-09,"WorldQuant, LLC",0.62,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-06,AHL Partners LLP,1.03,archive
Galapagos NV,BE0003818359,2019-09-06,"AQR Capital Management, LLC",1.7,archive
Fugro N.V.,NL0000352565,2019-09-06,B&G Master Fund Plc,0.88,archive
Fugro N.V.,NL0000352565,2019-09-06,"BlackRock Institutional Trust Company, National Association",0.54,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-06,Lancaster Investment Management LLP,1.25,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-06,Marshall Wace LLP,1.58,archive
Fugro N.V.,NL0000352565,2019-09-06,Marshall Wace LLP,2.87,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-06,Marshall Wace LLP,1.72,archive
PostNL N.V.,NL0009739416,2019-09-06,Marshall Wace LLP,2.67,archive
TomTom N.V.,NL0013332471,2019-09-06,Marshall Wace LLP,0.65,archive
Wereldhave N.V.,NL0000289213,2019-09-06,Marshall Wace LLP,1.25,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2019-09-06,Millennium International Management LP,0.62,archive
Wereldhave N.V.,NL0000289213,2019-09-06,Millennium International Management LP,1.08,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-06,Voleon Capital Management LP,0.49,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-06,"WorldQuant, LLC",0.67,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-05,AHL Partners LLP,1.2,archive
PostNL N.V.,NL0009739416,2019-09-05,Capital Fund Management S.A.,1.08,archive
PostNL N.V.,NL0009739416,2019-09-05,"Connor, Clark & Lunn Investment Management Ltd.",0.69,archive
Fugro N.V.,NL0000352565,2019-09-05,HBK Investments LP,1.33,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-05,Jupiter Investment Management Limited,1.09,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-05,Lancaster Investment Management LLP,1.09,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-05,Marshall Wace LLP,0.94,archive
Flow Traders Ltd.,NL0011279492,2019-09-05,Marshall Wace LLP,0.55,archive
Fugro N.V.,NL0000352565,2019-09-05,Marshall Wace LLP,2.96,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-05,Marshall Wace LLP,1.59,archive
PostNL N.V.,NL0009739416,2019-09-05,Marshall Wace LLP,2.79,archive
Wereldhave N.V.,NL0000289213,2019-09-05,Marshall Wace LLP,1.32,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2019-09-05,Millennium International Management LP,0.53,archive
Wereldhave N.V.,NL0000289213,2019-09-05,Millennium International Management LP,1.13,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-05,"WorldQuant, LLC",1.04,archive
Koninklijke Heijmans N.V.,NL0009269109,2019-09-05,"WorldQuant, LLC",0.54,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-04,AHL Partners LLP,1.4,archive
PostNL N.V.,NL0009739416,2019-09-04,AHL Partners LLP,0.97,archive
Fugro N.V.,NL0000352565,2019-09-04,"BlackRock Institutional Trust Company, National Association",0.64,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-04,Citadel Advisors II LLC,0.59,archive
Galapagos NV,BE0003818359,2019-09-04,"D. E. Shaw & Co., L.P.",1.0,archive
Fugro N.V.,NL0000352565,2019-09-04,HBK Investments LP,1.4,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-09-04,Marshall Wace LLP,1.66,archive
Fugro N.V.,NL0000352565,2019-09-04,Sculptor Capital Management Europe Limited,2.09,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-03,AHL Partners LLP,1.58,archive
SBM Offshore N.V.,NL0000360618,2019-09-03,"AQR Capital Management, LLC",2.2,archive
Galapagos NV,BE0003818359,2019-09-03,Citadel Advisors LLC,0.71,archive
Fugro N.V.,NL0000352565,2019-09-03,HBK Investments LP,1.51,archive
Fugro N.V.,NL0000352565,2019-09-03,Marshall Wace LLP,3.08,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-03,Marshall Wace LLP,1.41,archive
TomTom N.V.,NL0013332471,2019-09-03,Marshall Wace LLP,0.5,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2019-09-03,Numeric Investors LLC,0.49,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-03,"WorldQuant, LLC",1.19,archive
Flow Traders Ltd.,NL0011279492,2019-09-03,"WorldQuant, LLC",0.46,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-02,AHL Partners LLP,1.69,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-09-02,Citadel Advisors II LLC,0.61,archive
AMG Critical Materials N.V.,NL0000888691,2019-09-02,Marshall Wace LLP,0.81,archive
Aperam S.A.,LU0569974404,2019-09-02,Marshall Wace LLP,0.51,archive
Signify N.V.,NL0011821392,2019-09-02,Millennium International Management LP,1.11,archive
Wereldhave N.V.,NL0000289213,2019-09-02,Otus Capital Management Ltd.,0.49,archive
PostNL N.V.,NL0009739416,2019-08-30,AHL Partners LLP,1.08,archive
PostNL N.V.,NL0009739416,2019-08-30,Capital Fund Management S.A.,1.18,archive
AMG Critical Materials N.V.,NL0000888691,2019-08-30,Marshall Wace LLP,0.77,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-08-30,Marshall Wace LLP,1.32,archive
PostNL N.V.,NL0009739416,2019-08-30,Marshall Wace LLP,2.99,archive
Signify N.V.,NL0011821392,2019-08-30,Millennium International Management LP,1.09,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-08-29,Citadel Advisors II LLC,0.5,archive
Fugro N.V.,NL0000352565,2019-08-29,Marshall Wace LLP,3.19,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-08-29,Marshall Wace LLP,1.22,archive
Signify N.V.,NL0011821392,2019-08-29,Millennium International Management LP,1.1,archive
Fugro N.V.,NL0000352565,2019-08-29,"WorldQuant, LLC",0.88,archive
PostNL N.V.,NL0009739416,2019-08-28,AHL Partners LLP,1.15,archive
Galapagos NV,BE0003818359,2019-08-28,"AQR Capital Management, LLC",1.66,archive
OCI N.V.,NL0010558797,2019-08-28,"AQR Capital Management, LLC",1.4,archive
Galapagos NV,BE0003818359,2019-08-28,Citadel Advisors LLC,0.67,archive
AMG Critical Materials N.V.,NL0000888691,2019-08-28,"D. E. Shaw & Co., L.P.",0.58,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-08-28,Marshall Wace LLP,1.76,archive
Wereldhave N.V.,NL0000289213,2019-08-28,Toscafund Asset Management LLP,0.91,archive
AMG Critical Materials N.V.,NL0000888691,2019-08-28,"WorldQuant, LLC",1.27,archive
AMG Critical Materials N.V.,NL0000888691,2019-08-27,"Arrowstreet Capital, Limited Partnership",1.6,archive
Wereldhave N.V.,NL0000289213,2019-08-27,"D. E. Shaw & Co., L.P.",0.67,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-08-27,Jupiter Investment Management Limited,1.18,archive
Fugro N.V.,NL0000352565,2019-08-27,Marshall Wace LLP,3.29,archive
Wereldhave N.V.,NL0000289213,2019-08-27,Marshall Wace LLP,1.47,archive
PostNL N.V.,NL0009739416,2019-08-27,Numeric Investors LLC,0.48,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-08-27,"WorldQuant, LLC",0.7,archive
SBM Offshore N.V.,NL0000360618,2019-08-26,"AQR Capital Management, LLC",2.11,archive
PostNL N.V.,NL0009739416,2019-08-26,"Connor, Clark & Lunn Investment Management Ltd.",0.79,archive
Galapagos NV,BE0003818359,2019-08-26,"D. E. Shaw & Co., L.P.",0.95,archive
Wereldhave N.V.,NL0000289213,2019-08-26,Millennium International Management LP,1.08,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-08-26,"WorldQuant, LLC",0.59,archive
Fugro N.V.,NL0000352565,2019-08-23,"BlackRock Institutional Trust Company, National Association",0.75,archive
Galapagos NV,BE0003818359,2019-08-23,Citadel Advisors LLC,0.72,archive
AMG Critical Materials N.V.,NL0000888691,2019-08-23,"Connor, Clark & Lunn Investment Management Ltd.",1.54,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-08-23,"Lucerne Capital Management, L.P.",0.64,archive
Flow Traders Ltd.,NL0011279492,2019-08-23,Marshall Wace LLP,0.69,archive
Fugro N.V.,NL0000352565,2019-08-23,Marshall Wace LLP,3.35,archive
Fugro N.V.,NL0000352565,2019-08-23,Systematica Investments Limited,0.8,archive
AMG Critical Materials N.V.,NL0000888691,2019-08-23,Voleon Capital Management LP,0.5,archive
AMG Critical Materials N.V.,NL0000888691,2019-08-23,"WorldQuant, LLC",1.18,archive
PostNL N.V.,NL0009739416,2019-08-22,AHL Partners LLP,1.29,archive
SBM Offshore N.V.,NL0000360618,2019-08-22,"AQR Capital Management, LLC",2.04,archive
Fugro N.V.,NL0000352565,2019-08-22,JPMorgan Asset Management (UK) Ltd.,1.75,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-08-22,Marshall Wace LLP,1.15,archive
Signify N.V.,NL0011821392,2019-08-22,Millennium Capital Partners LLP,0.6,archive
Koninklijke Heijmans N.V.,NL0009269109,2019-08-22,Susquehanna International Holdings LLC,0.29,archive
AMG Critical Materials N.V.,NL0000888691,2019-08-22,"WorldQuant, LLC",1.08,archive
AMG Critical Materials N.V.,NL0000888691,2019-08-21,"Arrowstreet Capital, Limited Partnership",1.5,archive
Fugro N.V.,NL0000352565,2019-08-21,Marshall Wace LLP,3.47,archive
Pharming Group N.V.,NL0010391025,2019-08-21,"PDT Partners, LLC",0.45,archive
Koninklijke Heijmans N.V.,NL0009269109,2019-08-21,Susquehanna International Holdings LLC,0.54,archive
Pharming Group N.V.,NL0010391025,2019-08-21,TT International,0.48,archive
Flow Traders Ltd.,NL0011279492,2019-08-21,"WorldQuant, LLC",0.58,archive
PostNL N.V.,NL0009739416,2019-08-20,AHL Partners LLP,1.37,archive
Fugro N.V.,NL0000352565,2019-08-20,Capital Fund Management S.A.,0.99,archive
PostNL N.V.,NL0009739416,2019-08-20,Capital Fund Management S.A.,1.29,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-08-20,Marshall Wace LLP,1.21,archive
TomTom N.V.,NL0013332471,2019-08-20,Marshall Wace LLP,0.48,archive
Signify N.V.,NL0011821392,2019-08-20,Millennium International Management LP,1.0,archive
PostNL N.V.,NL0009739416,2019-08-20,Numeric Investors LLC,0.58,archive
Koninklijke Heijmans N.V.,NL0009269109,2019-08-20,Susquehanna International Holdings LLC,0.47,archive
AMG Critical Materials N.V.,NL0000888691,2019-08-20,"WorldQuant, LLC",0.97,archive
SBM Offshore N.V.,NL0000360618,2019-08-19,"AQR Capital Management, LLC",1.93,archive
Fugro N.V.,NL0000352565,2019-08-19,"BlackRock Institutional Trust Company, National Association",0.85,archive
Galapagos NV,BE0003818359,2019-08-19,Citadel Advisors LLC,0.6,archive
PostNL N.V.,NL0009739416,2019-08-19,"Connor, Clark & Lunn Investment Management Ltd.",0.89,archive
Wereldhave N.V.,NL0000289213,2019-08-19,"Connor, Clark & Lunn Investment Management Ltd.",1.3,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-08-19,Dalton Strategic Partnership LLP,0.46,archive
Fugro N.V.,NL0000352565,2019-08-19,HBK Investments LP,1.46,archive
BE Semiconductor Industries N.V.,NL0012866412,2019-08-19,Jupiter Investment Management Limited,1.28,archive
Flow Traders Ltd.,NL0011279492,2019-08-19,Marshall Wace LLP,0.79,archive
Koninklijke BAM Groep N.V.,NL0000337319,2019-08-19,Marshall Wace LLP,1.16,archive
Wereldhave N.V.,NL0000289213,2019-08-19,Marshall Wace LLP,1.52,archive
PostNL N.V.,NL0009739416,2019-08-19,Numeric Investors LLC,0.6,archive
Pharming Group N.V.,NL0010391025,2019-08-19,"PDT Partners, LLC",0.59,archive
PostNL N.V.,NL0009739416,2019-08-19,"PDT Partners, LLC",0.68,archive
Koninklijke Heijmans N.V.,NL0009269109,2019-08-19,Susquehanna International Holdings LLC,0.59,archive
AMG Critical Materials N.V.,NL0000888691,2019-08-19,"WorldQuant, LLC",1.01,archive
PostNL N.V.,NL0009739416,2019-08-16,AHL Partners LLP,1.48,archive
Galapagos NV,BE0003818359,2019-08-16,"D. E. Shaw & Co., L.P.",1.01,archive
