issuer_name,isin,position_date,position_holder,net_short_position,source
TomTom N.V.,NL0000387058,2013-06-12,"Marble Arch Investments, LP",1.81,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-06-11,BlackRock Advisors (UK) Limited,0.89,archive
PostNL N.V.,NL0009739416,2013-06-10,Oxford Asset Management,1.58,archive
TomTom N.V.,NL0000387058,2013-06-07,AKO Capital LLP,4.2,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-06-07,"BlackRock Institutional Trust Company, National Association",0.78,archive
Eurocommercial Properties N.V.,NL0000288876,2013-06-07,Wellington Management Company LLP,0.81,archive
TomTom N.V.,NL0000387058,2013-06-05,AKO Capital LLP,4.1,archive
PostNL N.V.,NL0009739416,2013-06-05,"BlackRock Institutional Trust Company, National Association",0.37,archive
Wolters Kluwer N.V.,NL0000395903,2013-06-05,Odey Asset Management LLP,0.6,archive
TomTom N.V.,NL0000387058,2013-06-04,AKO Capital LLP,4.04,archive
Aperam S.A.,LU0569974404,2013-06-04,"Bocage Capital, LLC",0.57,archive
PostNL N.V.,NL0009739416,2013-06-04,Marshall Wace LLP,0.28,archive
PostNL N.V.,NL0009739416,2013-06-04,Oxford Asset Management,1.67,archive
Fugro N.V.,NL0000352565,2013-06-03,AKO Capital LLP,1.5,archive
PostNL N.V.,NL0009739416,2013-06-03,"AQR Capital Management, LLC",0.73,archive
PostNL N.V.,NL0009739416,2013-05-31,"AQR Capital Management, LLC",0.69,archive
Wereldhave N.V.,NL0000289213,2013-05-31,"BlackRock Institutional Trust Company, National Association",0.61,archive
SBM Offshore N.V.,NL0000360618,2013-05-30,"AQR Capital Management, LLC",0.78,archive
AMG Critical Materials N.V.,NL0000888691,2013-05-30,Numeric Investors LLC,0.33,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-05-28,BlackRock Investment Management (UK) Limited,0.79,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-05-24,"BlackRock Institutional Trust Company, National Association",0.8,archive
AMG Critical Materials N.V.,NL0000888691,2013-05-24,Oxford Asset Management,0.49,archive
PostNL N.V.,NL0009739416,2013-05-23,"BlackRock Institutional Trust Company, National Association",0.59,archive
AMG Critical Materials N.V.,NL0000888691,2013-05-23,Numeric Investors LLC,0.58,archive
Koninklijke Vopak N.V.,NL0009432491,2013-05-23,Scopia Capital Management LP,0.51,archive
PostNL N.V.,NL0009739416,2013-05-22,Archipel Asset Management AB,0.58,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-05-20,"BlackRock Institutional Trust Company, National Association",0.75,archive
AMG Critical Materials N.V.,NL0000888691,2013-05-20,Numeric Investors LLC,0.69,archive
SBM Offshore N.V.,NL0000360618,2013-05-17,"AQR Capital Management, LLC",0.82,archive
PostNL N.V.,NL0009739416,2013-05-17,"BlackRock Institutional Trust Company, National Association",0.62,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-17,Magnetar Financial LLC,0.0,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-17,Marshall Wace LLP,0.0,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-17,Susquehanna International Holdings LLC,0.43,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-17,TFG Asset Management UK LLP,0.0,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-17,Tyrus Capital S.A.M.,0.0,archive
Fugro N.V.,NL0000352565,2013-05-16,"AQR Capital Management, LLC",1.12,archive
PostNL N.V.,NL0009739416,2013-05-16,"AQR Capital Management, LLC",0.71,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-05-16,"BlackRock Institutional Trust Company, National Association",0.61,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-16,Marshall Wace LLP,1.61,archive
TomTom N.V.,NL0000387058,2013-05-15,AKO Capital LLP,3.91,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-05-15,"BlackRock Institutional Trust Company, National Association",0.55,archive
Wereldhave N.V.,NL0000289213,2013-05-15,"BlackRock Institutional Trust Company, National Association",0.58,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-15,Magnetar Financial LLC,0.97,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-15,Marshall Wace LLP,1.45,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-15,Tyrus Capital S.A.M.,0.89,archive
TomTom N.V.,NL0000387058,2013-05-14,AKO Capital LLP,3.83,archive
PostNL N.V.,NL0009739416,2013-05-14,"BlackRock Institutional Trust Company, National Association",0.78,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-14,Davidson Kempner Capital Management LP,0.0,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-14,Magnetar Financial LLC,1.0,archive
AMG Critical Materials N.V.,NL0000888691,2013-05-14,Numeric Investors LLC,0.78,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-14,Tyrus Capital S.A.M.,0.73,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-05-13,"BlackRock Institutional Trust Company, National Association",1.49,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-13,Davidson Kempner Capital Management LP,0.66,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-13,Magnetar Financial LLC,0.93,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-13,Marshall Wace LLP,1.31,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-13,TFG Asset Management UK LLP,0.91,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-13,Tyrus Capital S.A.M.,0.6,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-10,Davidson Kempner Capital Management LP,0.59,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-10,Marshall Wace LLP,1.19,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-10,TFG Asset Management UK LLP,0.77,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-10,Tyrus Capital S.A.M.,0.53,archive
Wereldhave N.V.,NL0000289213,2013-05-09,"BlackRock Institutional Trust Company, National Association",0.6,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-05-09,BlackRock Investment Management (UK) Limited,0.81,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-09,Marshall Wace LLP,0.98,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-09,Susquehanna International Holdings LLC,1.21,archive
