issuer_name,net_short_position,isin,position_date,position_holder,source
DSM-Firmenich AG,0.75,CH1216478797,2026-03-20,Ilex Capital Partners (UK) LLP,current
Randstad N.V.,0.83,NL0000379121,2026-03-20,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,1.52,NL0015002MS2,2026-03-20,Marshall Wace LLP,current
IMCD N.V.,0.81,NL0010801007,2026-03-20,"Two Sigma Investments, LP",current
InPost S.A.,1.26,LU2290522684,2026-03-20,"Two Sigma Investments, LP",current
Akzo Nobel N.V.,1.31,NL0013267909,2026-03-19,AKO Capital LLP,current
ARCADIS N.V.,0.8,NL0006237562,2026-03-19,"AQR Capital Management, LLC",current
CVC Capital Partners plc,0.6,JE00BRX98089,2026-03-19,Marshall Wace LLP,current
Randstad N.V.,0.73,NL0000379121,2026-03-19,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,1.43,NL0015002MS2,2026-03-19,Marshall Wace LLP,current
TomTom N.V.,0.61,NL0013332471,2026-03-19,Winton Capital Management Limited,current
Alfen N.V.,2.83,NL0012817175,2026-03-19,"WorldQuant, LLC",current
Adyen N.V.,0.6,NL0012969182,2026-03-18,"AQR Capital Management, LLC",current
Akzo Nobel N.V.,0.52,NL0013267909,2026-03-18,"Empyrean Capital Overseas Master Fund, Ltd",current
DSM-Firmenich AG,0.87,CH1216478797,2026-03-18,Ilex Capital Partners (UK) LLP,current
InPost S.A.,1.11,LU2290522684,2026-03-18,"Two Sigma Investments, LP",current
Alfen N.V.,2.98,NL0012817175,2026-03-18,"WorldQuant, LLC",current
The Magnum Ice Cream Company N.V.,1.3,NL0015002MS2,2026-03-16,Marshall Wace LLP,current
IMCD N.V.,0.8,NL0010801007,2026-03-16,"PDT Partners, LLC",current
Alfen N.V.,3.08,NL0012817175,2026-03-16,"WorldQuant, LLC",current
Adyen N.V.,0.52,NL0012969182,2026-03-13,"AQR Capital Management, LLC",current
