issuer_name,position_date,net_short_position,isin,position_holder,source
Basic-Fit N.V.,2026-04-30,0.59,NL0011872650,Sculptor Capital Management Europe Limited,current
ARCADIS N.V.,2026-04-30,0.56,NL0006237562,White Creek Capital LLP,current
Signify N.V.,2026-04-29,1.29,NL0011821392,Citadel Advisors LLC,current
Sligro Food Group N.V.,2026-04-29,0.9,NL0000817179,Citadel Advisors LLC,current
Wolters Kluwer N.V.,2026-04-29,0.79,NL0000395903,"D. E. Shaw & Co., L.P.",current
CVC Capital Partners plc,2026-04-29,0.71,JE00BRX98089,Marshall Wace LLP,current
IMCD N.V.,2026-04-29,0.74,NL0010801007,Marshall Wace LLP,current
PostNL N.V.,2026-04-29,0.9,NL0009739416,Marshall Wace LLP,current
Signify N.V.,2026-04-29,0.9,NL0011821392,"PDT Partners, LLC",current
The Magnum Ice Cream Company N.V.,2026-04-29,0.7,NL0015002MS2,Walleye Capital LLC,current
Signify N.V.,2026-04-28,1.32,NL0011821392,Citadel Advisors LLC,current
TomTom N.V.,2026-04-28,1.17,NL0013332471,JPMorgan Asset Management (UK) Ltd.,current
Signify N.V.,2026-04-28,1.8,NL0011821392,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-04-28,0.98,NL0015002MS2,Marshall Wace LLP,current
Adyen N.V.,2026-04-27,1.27,NL0012969182,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-27,1.43,NL0011821392,Citadel Advisors LLC,current
DSM-Firmenich AG,2026-04-27,1.3,CH1216478797,Ilex Capital Partners (UK) LLP,current
Fugro N.V.,2026-04-27,2.15,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,current
Fugro N.V.,2026-04-24,2.06,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,current
Basic-Fit N.V.,2026-04-24,0.82,NL0011872650,Linden Advisors LP,current
IMCD N.V.,2026-04-24,0.61,NL0010801007,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-04-24,1.04,NL0015002MS2,Marshall Wace LLP,current
Signify N.V.,2026-04-23,1.68,NL0011821392,Citadel Advisors LLC,current
Sligro Food Group N.V.,2026-04-23,0.8,NL0000817179,Citadel Advisors LLC,current
Basic-Fit N.V.,2026-04-23,0.84,NL0011872650,Eleva Capital SAS,current
The Magnum Ice Cream Company N.V.,2026-04-23,1.11,NL0015002MS2,Marshall Wace LLP,current
Pharming Group N.V.,2026-04-22,0.77,NL0010391025,Capstone Volatility Master (Cayman) Limited,current
Signify N.V.,2026-04-22,1.71,NL0011821392,Citadel Advisors LLC,current
Wereldhave N.V.,2026-04-22,0.68,NL0000289213,Citadel Advisors LLC,current
Akzo Nobel N.V.,2026-04-22,1.55,NL0013267909,Davidson Kempner Capital Management LP,current
Fugro N.V.,2026-04-22,1.73,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,current
IMCD N.V.,2026-04-22,0.56,NL0010801007,Marshall Wace LLP,current
Signify N.V.,2026-04-22,1.76,NL0011821392,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-04-22,1.09,NL0015002MS2,Marshall Wace LLP,current
Adyen N.V.,2026-04-21,1.3,NL0012969182,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-21,0.91,NL0011821392,Canada Pension Plan Investment Board,current
Signify N.V.,2026-04-21,1.82,NL0011821392,Citadel Advisors LLC,current
Wereldhave N.V.,2026-04-21,0.7,NL0000289213,Citadel Advisors LLC,current
Fugro N.V.,2026-04-21,1.56,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,current
Signify N.V.,2026-04-21,0.88,NL0011821392,"PDT Partners, LLC",current
ARCADIS N.V.,2026-04-21,0.61,NL0006237562,White Creek Capital LLP,current
Adyen N.V.,2026-04-20,1.29,NL0012969182,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-20,0.87,NL0011821392,Canada Pension Plan Investment Board,current
Signify N.V.,2026-04-20,2.0,NL0011821392,Citadel Advisors LLC,current
Basic-Fit N.V.,2026-04-20,1.06,NL0011872650,"D. E. Shaw & Co., L.P.",current
Fugro N.V.,2026-04-20,1.45,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,current
Basic-Fit N.V.,2026-04-20,0.7,NL0011872650,Linden Advisors LP,current
Akzo Nobel N.V.,2026-04-20,1.16,NL0013267909,"O'Connor Alternative Investments, LLC",current
ARCADIS N.V.,2026-04-20,0.57,NL0006237562,White Creek Capital LLP,current
IMCD N.V.,2026-04-17,0.89,NL0010801007,"BlackRock Financial Management, Inc.",current
Signify N.V.,2026-04-17,2.22,NL0011821392,Citadel Advisors LLC,current
Sligro Food Group N.V.,2026-04-17,0.71,NL0000817179,Citadel Advisors LLC,current
Basic-Fit N.V.,2026-04-17,1.12,NL0011872650,"D. E. Shaw & Co., L.P.",current
Akzo Nobel N.V.,2026-04-17,1.41,NL0013267909,Davidson Kempner Capital Management LP,current
Basic-Fit N.V.,2026-04-17,1.02,NL0011872650,Fosse Capital Partners LLP,current
Fugro N.V.,2026-04-17,1.06,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,current
IMCD N.V.,2026-04-17,0.91,NL0010801007,JPMorgan Asset Management (UK) Ltd.,current
TomTom N.V.,2026-04-17,1.22,NL0013332471,JPMorgan Asset Management (UK) Ltd.,current
Basic-Fit N.V.,2026-04-17,0.59,NL0011872650,Linden Advisors LP,current
IMCD N.V.,2026-04-17,0.65,NL0010801007,Marshall Wace LLP,current
PostNL N.V.,2026-04-17,0.81,NL0009739416,Marshall Wace LLP,current
Signify N.V.,2026-04-17,0.9,NL0011821392,"PDT Partners, LLC",current
Basic-Fit N.V.,2026-04-17,0.6,NL0011872650,Sculptor Capital Management Europe Limited,current
InPost S.A.,2026-04-17,1.47,LU2290522684,"Two Sigma Investments, LP",current
The Magnum Ice Cream Company N.V.,2026-04-17,0.62,NL0015002MS2,Walleye Capital LLC,current
Adyen N.V.,2026-04-16,1.3,NL0012969182,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-16,2.32,NL0011821392,Citadel Advisors LLC,current
IMCD N.V.,2026-04-16,0.85,NL0010801007,JPMorgan Asset Management (UK) Ltd.,current
Pharming Group N.V.,2026-04-16,1.18,NL0010391025,Lazard Asset Management LLC,current
IMCD N.V.,2026-04-16,0.52,NL0010801007,Marshall Wace LLP,current
DSM-Firmenich AG,2026-04-15,1.23,CH1216478797,Ilex Capital Partners (UK) LLP,current
IMCD N.V.,2026-04-15,0.76,NL0010801007,JPMorgan Asset Management (UK) Ltd.,current
Pharming Group N.V.,2026-04-15,1.2,NL0010391025,Lazard Asset Management LLC,current
Signify N.V.,2026-04-15,1.82,NL0011821392,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-04-15,1.15,NL0015002MS2,Marshall Wace LLP,current
IMCD N.V.,2026-04-14,0.97,NL0010801007,"BlackRock Financial Management, Inc.",current
Basic-Fit N.V.,2026-04-14,1.23,NL0011872650,Fosse Capital Partners LLP,current
IMCD N.V.,2026-04-14,0.66,NL0010801007,JPMorgan Asset Management (UK) Ltd.,current
The Magnum Ice Cream Company N.V.,2026-04-14,1.22,NL0015002MS2,Marshall Wace LLP,current
PostNL N.V.,2026-04-14,0.5,NL0009739416,"PDT Partners, LLC",current
Adyen N.V.,2026-04-13,1.21,NL0012969182,"AQR Capital Management, LLC",current
ARCADIS N.V.,2026-04-13,1.01,NL0006237562,"AQR Capital Management, LLC",current
CVC Capital Partners plc,2026-04-13,0.71,JE00BRX98089,"AQR Capital Management, LLC",current
Sligro Food Group N.V.,2026-04-13,0.61,NL0000817179,Citadel Advisors LLC,current
IMCD N.V.,2026-04-13,0.89,NL0010801007,"PDT Partners, LLC",current
The Magnum Ice Cream Company N.V.,2026-04-13,0.5,NL0015002MS2,Walleye Capital LLC,current
Wolters Kluwer N.V.,2026-04-10,0.8,NL0000395903,"D. E. Shaw & Co., L.P.",current
The Magnum Ice Cream Company N.V.,2026-04-10,1.38,NL0015002MS2,Marshall Wace LLP,current
IMCD N.V.,2026-04-10,0.9,NL0010801007,"PDT Partners, LLC",current
Adyen N.V.,2026-04-09,1.13,NL0012969182,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-09,2.42,NL0011821392,Citadel Advisors LLC,current
DSM-Firmenich AG,2026-04-09,1.0,CH1216478797,Ilex Capital Partners (UK) LLP,current
