net_short_position,isin,position_holder,position_date,issuer_name,source
0.85,NL0011821392,"Farallon Capital Management, L.L.C.",2026-06-18,Signify N.V.,current
0.8,NL0009739416,Marshall Wace LLP,2026-06-18,PostNL N.V.,current
0.62,NL0012817175,Millennium International Management LP,2026-06-18,Alfen N.V.,current
0.79,NL0010801007,"PDT Partners, LLC",2026-06-18,IMCD N.V.,current
0.54,NL0011872650,SQUARE CIRCLE IA LP,2026-06-18,Basic-Fit N.V.,current
0.71,NL0012817175,"WorldQuant, LLC",2026-06-18,Alfen N.V.,current
0.89,NL0012969182,"AQR Capital Management, LLC",2026-06-17,Adyen N.V.,current
1.29,NL0010801007,"Arrowstreet Capital, Limited Partnership",2026-06-17,IMCD N.V.,current
0.79,NL0011821392,"BlackRock Financial Management, Inc.",2026-06-17,Signify N.V.,current
0.51,NL0015002MS2,Capital Fund Management S.A.,2026-06-17,The Magnum Ice Cream Company N.V.,current
1.46,NL0011821392,Citadel Advisors LLC,2026-06-17,Signify N.V.,current
0.89,NL0000817179,Citadel Advisors LLC,2026-06-17,Sligro Food Group N.V.,current
0.75,NL0011821392,"Farallon Capital Management, L.L.C.",2026-06-17,Signify N.V.,current
1.91,CH1216478797,Ilex Capital Partners (UK) LLP,2026-06-17,DSM-Firmenich AG,current
1.51,NL0011821392,Marshall Wace LLP,2026-06-17,Signify N.V.,current
0.88,NL0015002MS2,Qube Research & Technologies Ltd.,2026-06-17,The Magnum Ice Cream Company N.V.,current
0.62,NL0012969182,Capital Fund Management S.A.,2026-06-16,Adyen N.V.,current
1.3,NL0013267909,Davidson Kempner Capital Management LP,2026-06-16,Akzo Nobel N.V.,current
0.61,NL0011821392,"Farallon Capital Management, L.L.C.",2026-06-16,Signify N.V.,current
0.51,NL0009739416,Winton Capital Management Limited,2026-06-16,PostNL N.V.,current
0.63,NL0012817175,"WorldQuant, LLC",2026-06-16,Alfen N.V.,current
0.56,NL0011821392,"Farallon Capital Management, L.L.C.",2026-06-15,Signify N.V.,current
0.9,NL0015002MS2,Marshall Wace LLP,2026-06-15,The Magnum Ice Cream Company N.V.,current
0.5,NL0013267909,Millennium International Management LP,2026-06-15,Akzo Nobel N.V.,current
1.09,NL0013267909,"O'Connor Alternative Investments, LLC",2026-06-15,Akzo Nobel N.V.,current
0.9,NL0015002MS2,Qube Research & Technologies Ltd.,2026-06-15,The Magnum Ice Cream Company N.V.,current
0.7,NL0013267909,"BlackRock Advisors, LLC",2026-06-12,Akzo Nobel N.V.,current
1.56,NL0011821392,Citadel Advisors LLC,2026-06-12,Signify N.V.,current
0.59,JE00BRX98089,Marshall Wace LLP,2026-06-12,CVC Capital Partners plc,current
0.88,CH1216478797,Marshall Wace LLP,2026-06-12,DSM-Firmenich AG,current
1.48,NL0011821392,Marshall Wace LLP,2026-06-12,Signify N.V.,current
0.75,NL0011872650,Linden Advisors LP,2026-06-11,Basic-Fit N.V.,current
0.89,NL0015002MS2,Marshall Wace LLP,2026-06-11,The Magnum Ice Cream Company N.V.,current
0.5,NL0015073TS8,Qube Research & Technologies Ltd.,2026-06-11,CSG N.V.,current
0.89,NL0015002MS2,Qube Research & Technologies Ltd.,2026-06-11,The Magnum Ice Cream Company N.V.,current
0.56,NL0012817175,"WorldQuant, LLC",2026-06-11,Alfen N.V.,current
0.99,NL0012969182,"AQR Capital Management, LLC",2026-06-10,Adyen N.V.,current
0.89,NL0006237562,"AQR Capital Management, LLC",2026-06-10,ARCADIS N.V.,current
1.6,NL0011821392,Citadel Advisors LLC,2026-06-10,Signify N.V.,current
0.83,NL0011872650,Sculptor Capital Management Europe Limited,2026-06-10,Basic-Fit N.V.,current
1.1,NL0010391025,Walleye Capital LLC,2026-06-10,Pharming Group N.V.,current
0.9,NL0010801007,Capital Fund Management S.A.,2026-06-09,IMCD N.V.,current
1.59,NL0011821392,Citadel Advisors LLC,2026-06-09,Signify N.V.,current
1.0,NL0000289213,Citadel Advisors LLC,2026-06-09,Wereldhave N.V.,current
1.12,NL0013267909,LMR Partners LLP,2026-06-09,Akzo Nobel N.V.,current
0.9,NL0015002MS2,Marshall Wace LLP,2026-06-09,The Magnum Ice Cream Company N.V.,current
0.5,NL0012817175,Millennium International Management LP,2026-06-09,Alfen N.V.,current
0.77,CY0200751713,"Two Sigma Investments, LP",2026-06-09,Theon International Plc,current
1.01,CH1216478797,Citadel Advisors LLC,2026-06-08,DSM-Firmenich AG,current
1.08,NL0013267909,LMR Partners LLP,2026-06-08,Akzo Nobel N.V.,current
1.2,NL0011821392,"PDT Partners, LLC",2026-06-08,Signify N.V.,current
1.09,LU2290522684,"Two Sigma Investments, LP",2026-06-08,InPost S.A.,current
0.51,NL0011821392,"BlackRock Institutional Trust Company, National Association",2026-06-05,Signify N.V.,current
1.24,NL0013267909,Davidson Kempner Capital Management LP,2026-06-05,Akzo Nobel N.V.,current
1.59,NL0011821392,Marshall Wace LLP,2026-06-05,Signify N.V.,current
0.92,NL0015002MS2,Qube Research & Technologies Ltd.,2026-06-05,The Magnum Ice Cream Company N.V.,current
1.07,NL0012969182,"AQR Capital Management, LLC",2026-06-04,Adyen N.V.,current
0.65,NL0013267909,"BlackRock Advisors, LLC",2026-06-04,Akzo Nobel N.V.,current
1.17,NL0013267909,Davidson Kempner Capital Management LP,2026-06-04,Akzo Nobel N.V.,current
0.91,NL0013267909,LMR Partners LLP,2026-06-04,Akzo Nobel N.V.,current
0.62,NL0011821392,Squarepoint Ops LLC,2026-06-04,Signify N.V.,current
0.69,JE00BRX98089,"AQR Capital Management, LLC",2026-06-03,CVC Capital Partners plc,current
0.52,NL0012969182,Capital Fund Management S.A.,2026-06-03,Adyen N.V.,current
