position_holder,isin,net_short_position,issuer_name,position_date,source
"PDT Partners, LLC",NL0010801007,0.89,IMCD N.V.,2026-04-09,current
"AQR Capital Management, LLC",NL0000852564,0.61,Aalberts N.V.,2026-04-08,current
"AQR Capital Management, LLC",NL0011821392,1.22,Signify N.V.,2026-04-08,current
Citadel Advisors LLC,NL0011821392,2.39,Signify N.V.,2026-04-08,current
Qube Research & Technologies Ltd.,NL0015002MS2,0.5,The Magnum Ice Cream Company N.V.,2026-04-08,current
"Two Sigma Investments, LP",NL0010801007,0.79,IMCD N.V.,2026-04-08,current
"BlackRock Advisors, LLC",NL0010801007,0.66,IMCD N.V.,2026-04-07,current
"BlackRock Financial Management, Inc.",NL0010801007,1.0,IMCD N.V.,2026-04-07,current
Capital Fund Management S.A.,NL0010801007,0.76,IMCD N.V.,2026-04-07,current
Citadel Advisors LLC,NL0011821392,2.41,Signify N.V.,2026-04-07,current
"D. E. Shaw & Co., L.P.",NL0006237562,0.69,ARCADIS N.V.,2026-04-07,current
Marshall Wace LLP,NL0015002MS2,1.46,The Magnum Ice Cream Company N.V.,2026-04-07,current
Voleon Capital Management LP,NL0012817175,1.98,Alfen N.V.,2026-04-07,current
"WorldQuant, LLC",NL0012817175,2.77,Alfen N.V.,2026-04-07,current
"AQR Capital Management, LLC",NL0012969182,1.0,Adyen N.V.,2026-04-02,current
"AQR Capital Management, LLC",JE00BRX98089,0.61,CVC Capital Partners plc,2026-04-02,current
"BlackRock Financial Management, Inc.",NL0010801007,0.99,IMCD N.V.,2026-04-02,current
Citadel Advisors LLC,NL0000817179,0.5,Sligro Food Group N.V.,2026-04-02,current
"D. E. Shaw & Co., L.P.",NL0006237562,0.7,ARCADIS N.V.,2026-04-02,current
Eleva Capital SAS,NL0011872650,0.62,Basic-Fit N.V.,2026-04-02,current
Marshall Wace LLP,NL0000379121,0.78,Randstad N.V.,2026-04-02,current
"AQR Capital Management, LLC",LU1598757687,0.61,ArcelorMittal S.A.,2026-04-01,current
"AQR Capital Management, LLC",NL0011821392,1.1,Signify N.V.,2026-04-01,current
"Arrowstreet Capital, Limited Partnership",NL0010801007,1.21,IMCD N.V.,2026-04-01,current
Canada Pension Plan Investment Board,NL0011821392,0.74,Signify N.V.,2026-04-01,current
Citadel Advisors LLC,NL0011821392,2.36,Signify N.V.,2026-04-01,current
"D. E. Shaw & Co., L.P.",NL0006237562,0.69,ARCADIS N.V.,2026-04-01,current
Eleva Capital SAS,NL0011872650,0.5,Basic-Fit N.V.,2026-04-01,current
Marshall Wace LLP,NL0011821392,1.79,Signify N.V.,2026-04-01,current
"WorldQuant, LLC",NL0012817175,2.86,Alfen N.V.,2026-04-01,current
Capital Fund Management S.A.,NL0010801007,0.62,IMCD N.V.,2026-03-31,current
Citadel Advisors LLC,NL0011821392,2.4,Signify N.V.,2026-03-31,current
Eleva Capital SAS,NL0011821392,1.21,Signify N.V.,2026-03-31,current
Qube Research & Technologies Ltd.,JE00BRX98089,0.9,CVC Capital Partners plc,2026-03-31,current
"AQR Capital Management, LLC",NL0012969182,0.9,Adyen N.V.,2026-03-30,current
Eleva Capital SAS,NL0011821392,1.05,Signify N.V.,2026-03-30,current
GLG Partners LP,NL0015002MS2,0.64,The Magnum Ice Cream Company N.V.,2026-03-30,current
Ilex Capital Partners (UK) LLP,CH1216478797,0.91,DSM-Firmenich AG,2026-03-30,current
Marshall Wace LLP,NL0011821392,1.87,Signify N.V.,2026-03-30,current
Marshall Wace LLP,NL0015002MS2,1.59,The Magnum Ice Cream Company N.V.,2026-03-30,current
Numeric Investors LLC,NL0012365084,0.61,NSI N.V.,2026-03-30,current
Squarepoint Ops LLC,NL0006237562,0.99,ARCADIS N.V.,2026-03-30,current
"Two Sigma Investments, LP",CY0200751713,0.7,Theon International Plc,2026-03-30,current
"AQR Capital Management, LLC",NL0006237562,0.9,ARCADIS N.V.,2026-03-27,current
"Arrowstreet Capital, Limited Partnership",NL0010801007,1.12,IMCD N.V.,2026-03-27,current
"BlackRock Financial Management, Inc.",NL0010801007,1.09,IMCD N.V.,2026-03-27,current
Capital Fund Management S.A.,NL0010801007,0.51,IMCD N.V.,2026-03-27,current
"D. E. Shaw & Co., L.P.",NL0006237562,0.7,ARCADIS N.V.,2026-03-27,current
"D. E. Shaw & Co., L.P.",NL0010391025,0.59,Pharming Group N.V.,2026-03-27,current
GLG Partners LP,NL0015002MS2,0.59,The Magnum Ice Cream Company N.V.,2026-03-27,current
Marshall Wace LLP,NL0000379121,0.86,Randstad N.V.,2026-03-27,current
"D. E. Shaw & Co., L.P.",NL0006237562,0.69,ARCADIS N.V.,2026-03-26,current
Marshall Wace LLP,NL0011821392,1.96,Signify N.V.,2026-03-26,current
Qube Research & Technologies Ltd.,CY0200751713,1.14,Theon International Plc,2026-03-26,current
"Two Sigma Investments, LP",LU2290522684,1.5,InPost S.A.,2026-03-26,current
Voleon Capital Management LP,NL0010801007,0.5,IMCD N.V.,2026-03-26,current
"WorldQuant, LLC",NL0012817175,2.92,Alfen N.V.,2026-03-26,current
"WorldQuant, LLC",NL0010801007,0.71,IMCD N.V.,2026-03-26,current
"AQR Capital Management, LLC",NL0012969182,0.8,Adyen N.V.,2026-03-25,current
"AQR Capital Management, LLC",JE00BRX98089,0.5,CVC Capital Partners plc,2026-03-25,current
GLG Partners LP,NL0015002MS2,0.6,The Magnum Ice Cream Company N.V.,2026-03-25,current
Ilex Capital Partners (UK) LLP,CH1216478797,0.82,DSM-Firmenich AG,2026-03-25,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,0.56,IMCD N.V.,2026-03-24,current
Lazard Asset Management LLC,NL0010391025,1.14,Pharming Group N.V.,2026-03-24,current
Marshall Wace LLP,NL0000379121,0.91,Randstad N.V.,2026-03-24,current
Marshall Wace LLP,NL0011821392,2.0,Signify N.V.,2026-03-24,current
Marshall Wace LLP,NL0015002MS2,1.6,The Magnum Ice Cream Company N.V.,2026-03-24,current
"PDT Partners, LLC",NL0010801007,0.9,IMCD N.V.,2026-03-24,current
Qube Research & Technologies Ltd.,JE00BRX98089,0.81,CVC Capital Partners plc,2026-03-24,current
"Two Sigma Investments, LP",LU2290522684,1.44,InPost S.A.,2026-03-24,current
"Two Sigma Investments, LP",CY0200751713,0.6,Theon International Plc,2026-03-24,current
Voleon Capital Management LP,NL0012817175,2.0,Alfen N.V.,2026-03-24,current
"AQR Capital Management, LLC",NL0012969182,0.72,Adyen N.V.,2026-03-23,current
"Arrowstreet Capital, Limited Partnership",NL0010801007,1.01,IMCD N.V.,2026-03-23,current
"BlackRock Financial Management, Inc.",NL0011821392,0.6,Signify N.V.,2026-03-23,current
Citadel Advisors LLC,NL0011821392,2.3,Signify N.V.,2026-03-23,current
"D. E. Shaw & Co., L.P.",NL0009739416,0.69,PostNL N.V.,2026-03-23,current
GLG Partners LP,NL0015002MS2,0.51,The Magnum Ice Cream Company N.V.,2026-03-23,current
