isin,position_date,position_holder,net_short_position,issuer_name,source
NL0015000IY2,2026-03-06,"AQR Capital Management, LLC",0.6,Universal Music Group N.V.,current
NL0010801007,2026-03-06,"BlackRock Advisors, LLC",0.7,IMCD N.V.,current
NL0011821392,2026-03-06,Citadel Advisors LLC,1.88,Signify N.V.,current
NL00150003E1,2026-03-06,JPMorgan Asset Management (UK) Ltd.,0.81,Fugro N.V.,current
NL0006237562,2026-03-06,Squarepoint Ops LLC,1.09,ARCADIS N.V.,current
NL0010801007,2026-03-05,"BlackRock Financial Management, Inc.",1.1,IMCD N.V.,current
NL0000289213,2026-03-05,Citadel Advisors LLC,0.63,Wereldhave N.V.,current
NL0000379121,2026-03-05,Marshall Wace LLP,0.5,Randstad N.V.,current
NL0015002MS2,2026-03-05,Marshall Wace LLP,1.11,The Magnum Ice Cream Company N.V.,current
JE00BRX98089,2026-03-05,Qube Research & Technologies Ltd.,0.6,CVC Capital Partners plc,current
CY0200751713,2026-03-05,Qube Research & Technologies Ltd.,0.64,Theon International Plc,current
NL0010801007,2026-03-04,Acadian Asset Management LLC.,0.61,IMCD N.V.,current
NL0000852564,2026-03-04,"AQR Capital Management, LLC",0.52,Aalberts N.V.,current
NL0011821392,2026-03-04,"AQR Capital Management, LLC",1.03,Signify N.V.,current
NL0010801007,2026-03-04,"BlackRock Financial Management, Inc.",1.06,IMCD N.V.,current
NL0009739416,2026-03-04,Citadel Advisors LLC,0.7,PostNL N.V.,current
NL0000009082,2026-03-04,Marshall Wace LLP,0.64,Koninklijke KPN N.V.,current
NL0011821392,2026-03-04,Marshall Wace LLP,1.87,Signify N.V.,current
NL0010801007,2026-03-04,"PDT Partners, LLC",0.71,IMCD N.V.,current
NL0011821392,2026-03-04,"PDT Partners, LLC",0.8,Signify N.V.,current
CY0200751713,2026-03-04,Qube Research & Technologies Ltd.,0.59,Theon International Plc,current
LU2290522684,2026-03-04,"Two Sigma Investments, LP",0.9,InPost S.A.,current
CH1216478797,2026-03-03,Ilex Capital Partners (UK) LLP,1.03,DSM-Firmenich AG,current
NL0010391025,2026-03-03,Lazard Asset Management LLC,0.77,Pharming Group N.V.,current
NL0009739416,2026-03-03,Marshall Wace LLP,0.69,PostNL N.V.,current
NL0011821392,2026-03-03,Marshall Wace LLP,1.92,Signify N.V.,current
NL0012365084,2026-03-03,Numeric Investors LLC,0.52,NSI N.V.,current
CY0200751713,2026-03-03,Qube Research & Technologies Ltd.,0.6,Theon International Plc,current
NL0012817175,2026-03-03,Voleon Capital Management LP,2.01,Alfen N.V.,current
NL0011821392,2026-03-02,Citadel Advisors LLC,1.7,Signify N.V.,current
NL0000395903,2026-03-02,"D. E. Shaw & Co., L.P.",0.7,Wolters Kluwer N.V.,current
CY0200751713,2026-03-02,"Two Sigma Investments, LP",0.59,Theon International Plc,current
NL0012817175,2026-03-02,Voleon Capital Management LP,1.95,Alfen N.V.,current
NL0010801007,2026-02-27,"BlackRock Advisors, LLC",0.69,IMCD N.V.,current
NL0010801007,2026-02-27,"BlackRock Financial Management, Inc.",1.18,IMCD N.V.,current
NL0000009082,2026-02-27,Marshall Wace LLP,0.51,Koninklijke KPN N.V.,current
NL0011821392,2026-02-27,Marshall Wace LLP,1.88,Signify N.V.,current
LU2290522684,2026-02-27,"Two Sigma Investments, LP",0.81,InPost S.A.,current
NL0006237562,2026-02-26,"AQR Capital Management, LLC",0.71,ARCADIS N.V.,current
NL0011821392,2026-02-26,Citadel Advisors Europe Limited,1.0,Signify N.V.,current
NL0012817175,2026-02-26,"D. E. Shaw & Co., L.P.",1.38,Alfen N.V.,current
NL0011821392,2026-02-26,Marshall Wace LLP,1.9,Signify N.V.,current
NL0015002MS2,2026-02-26,Marshall Wace LLP,1.01,The Magnum Ice Cream Company N.V.,current
NL0011821392,2026-02-26,"PDT Partners, LLC",0.78,Signify N.V.,current
NL0013267909,2026-02-25,AKO Capital LLP,1.14,Akzo Nobel N.V.,current
CH1216478797,2026-02-25,Ilex Capital Partners (UK) LLP,1.12,DSM-Firmenich AG,current
NL0010801007,2026-02-24,"BlackRock Financial Management, Inc.",1.29,IMCD N.V.,current
NL0006237562,2026-02-24,"D. E. Shaw & Co., L.P.",0.7,ARCADIS N.V.,current
NL0013267909,2026-02-24,Davidson Kempner Capital Management LP,1.31,Akzo Nobel N.V.,current
NL0009739416,2026-02-23,Citadel Advisors LLC,0.61,PostNL N.V.,current
NL0011821392,2026-02-23,Citadel Advisors LLC,1.63,Signify N.V.,current
