isin,position_date,issuer_name,position_holder,net_short_position,source
NL0010391025,2026-05-08,Pharming Group N.V.,"Two Sigma Investments, LP",0.75,current
NL0010391025,2026-05-08,Pharming Group N.V.,Walleye Capital LLC,0.53,current
NL0000379121,2026-05-07,Randstad N.V.,Citadel Advisors Europe Limited,0.5,current
NL0011821392,2026-05-07,Signify N.V.,Citadel Advisors Europe Limited,0.97,current
NL0009739416,2026-05-07,PostNL N.V.,"D. E. Shaw & Co., L.P.",0.69,current
NL0010391025,2026-05-07,Pharming Group N.V.,Lazard Asset Management LLC,0.76,current
NL0010801007,2026-05-07,IMCD N.V.,Marshall Wace LLP,0.79,current
NL0011821392,2026-05-07,Signify N.V.,Marshall Wace LLP,1.69,current
NL0010801007,2026-05-06,IMCD N.V.,Capital Fund Management S.A.,0.79,current
NL0010801007,2026-05-06,IMCD N.V.,Citadel Advisors LLC,0.82,current
NL0011821392,2026-05-06,Signify N.V.,Citadel Advisors LLC,1.41,current
CH1216478797,2026-05-06,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.4,current
JE00BRX98089,2026-05-06,CVC Capital Partners plc,Marshall Wace LLP,0.69,current
NL0010801007,2026-05-06,IMCD N.V.,Marshall Wace LLP,0.83,current
NL0010801007,2026-05-06,IMCD N.V.,"PDT Partners, LLC",0.77,current
NL0011821392,2026-05-06,Signify N.V.,"PDT Partners, LLC",0.9,current
NL0011821392,2026-05-05,Signify N.V.,Citadel Advisors Europe Limited,0.8,current
NL0010801007,2026-05-05,IMCD N.V.,Citadel Advisors LLC,0.9,current
NL0011821392,2026-05-05,Signify N.V.,Citadel Advisors LLC,1.36,current
NL0011872650,2026-05-05,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",0.98,current
NL0009739416,2026-05-05,PostNL N.V.,"D. E. Shaw & Co., L.P.",0.7,current
NL0013332471,2026-05-05,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.09,current
NL0011821392,2026-05-05,Signify N.V.,Marshall Wace LLP,1.76,current
NL0011872650,2026-05-05,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.65,current
NL0010801007,2026-05-04,IMCD N.V.,Capital Fund Management S.A.,0.81,current
NL0011821392,2026-05-04,Signify N.V.,Citadel Advisors Europe Limited,0.7,current
NL0009739416,2026-05-04,PostNL N.V.,"D. E. Shaw & Co., L.P.",0.69,current
NL0013267909,2026-05-04,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.61,current
NL0015002MS2,2026-05-04,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,0.67,current
NL0011821392,2026-04-30,Signify N.V.,Citadel Advisors Europe Limited,0.55,current
NL0006237562,2026-04-30,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",0.57,current
NL0009739416,2026-04-30,PostNL N.V.,"D. E. Shaw & Co., L.P.",0.7,current
NL0010391025,2026-04-30,Pharming Group N.V.,Jupiter Asset Management Ltd.,0.5,current
NL0009739416,2026-04-30,PostNL N.V.,Marshall Wace LLP,0.89,current
NL0015002MS2,2026-04-30,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,0.86,current
NL0011821392,2026-04-30,Signify N.V.,"PDT Partners, LLC",0.89,current
NL0015002MS2,2026-04-30,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.6,current
NL0011872650,2026-04-30,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.59,current
NL0012817175,2026-04-30,Alfen N.V.,Squarepoint Ops LLC,0.73,current
NL0006237562,2026-04-30,ARCADIS N.V.,White Creek Capital LLP,0.56,current
NL0010801007,2026-04-29,IMCD N.V.,Citadel Advisors LLC,0.83,current
NL0011821392,2026-04-29,Signify N.V.,Citadel Advisors LLC,1.29,current
NL0000817179,2026-04-29,Sligro Food Group N.V.,Citadel Advisors LLC,0.9,current
NL0000395903,2026-04-29,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",0.79,current
JE00BRX98089,2026-04-29,CVC Capital Partners plc,Marshall Wace LLP,0.71,current
NL0010801007,2026-04-29,IMCD N.V.,Marshall Wace LLP,0.74,current
NL0009739416,2026-04-29,PostNL N.V.,Marshall Wace LLP,0.9,current
NL0011821392,2026-04-29,Signify N.V.,"PDT Partners, LLC",0.9,current
NL0015002MS2,2026-04-29,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,0.7,current
NL0010801007,2026-04-28,IMCD N.V.,Citadel Advisors LLC,0.75,current
NL0011821392,2026-04-28,Signify N.V.,Citadel Advisors LLC,1.32,current
NL0013332471,2026-04-28,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.17,current
NL0011821392,2026-04-28,Signify N.V.,Marshall Wace LLP,1.8,current
NL0015002MS2,2026-04-28,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,0.98,current
NL0012817175,2026-04-28,Alfen N.V.,Squarepoint Ops LLC,0.62,current
NL0012969182,2026-04-27,Adyen N.V.,"AQR Capital Management, LLC",1.27,current
NL0011821392,2026-04-27,Signify N.V.,Citadel Advisors LLC,1.43,current
CH1216478797,2026-04-27,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.3,current
NL00150003E1,2026-04-27,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2.15,current
NL00150003E1,2026-04-24,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2.06,current
NL0011872650,2026-04-24,Basic-Fit N.V.,Linden Advisors LP,0.82,current
NL0010801007,2026-04-24,IMCD N.V.,Marshall Wace LLP,0.61,current
NL0015002MS2,2026-04-24,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.04,current
NL0011821392,2026-04-23,Signify N.V.,Citadel Advisors LLC,1.68,current
NL0000817179,2026-04-23,Sligro Food Group N.V.,Citadel Advisors LLC,0.8,current
NL0011872650,2026-04-23,Basic-Fit N.V.,Eleva Capital SAS,0.84,current
NL0015002MS2,2026-04-23,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.11,current
NL0012817175,2026-04-23,Alfen N.V.,Squarepoint Ops LLC,0.5,current
NL0010391025,2026-04-22,Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,0.77,current
NL0010801007,2026-04-22,IMCD N.V.,Citadel Advisors LLC,0.62,current
NL0011821392,2026-04-22,Signify N.V.,Citadel Advisors LLC,1.71,current
NL0000289213,2026-04-22,Wereldhave N.V.,Citadel Advisors LLC,0.68,current
NL0013267909,2026-04-22,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.55,current
NL00150003E1,2026-04-22,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,1.73,current
NL0010801007,2026-04-22,IMCD N.V.,Marshall Wace LLP,0.56,current
NL0011821392,2026-04-22,Signify N.V.,Marshall Wace LLP,1.76,current
NL0015002MS2,2026-04-22,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.09,current
NL0012969182,2026-04-21,Adyen N.V.,"AQR Capital Management, LLC",1.3,current
