isin,position_holder,position_date,net_short_position,issuer_name,source
NL0012969182,"AQR Capital Management, LLC",2026-05-28,1.18,Adyen N.V.,current
NL0013267909,Davidson Kempner Capital Management LP,2026-05-28,0.66,Akzo Nobel N.V.,current
NL0011872650,Linden Advisors LP,2026-05-28,0.87,Basic-Fit N.V.,current
LU2290522684,"Two Sigma Investments, LP",2026-05-28,1.18,InPost S.A.,current
NL0010391025,Walleye Capital LLC,2026-05-28,0.92,Pharming Group N.V.,current
NL0013267909,"AQR Capital Management, LLC",2026-05-27,0.6,Akzo Nobel N.V.,current
NL0000289213,Citadel Advisors LLC,2026-05-27,0.91,Wereldhave N.V.,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-27,0.58,Pharming Group N.V.,current
NL0013267909,Davidson Kempner Capital Management LP,2026-05-27,1.01,Akzo Nobel N.V.,current
NL0012365084,Numeric Investors LLC,2026-05-27,0.79,NSI N.V.,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-05-27,0.78,The Magnum Ice Cream Company N.V.,current
NL0011821392,"AQR Capital Management, LLC",2026-05-26,1.18,Signify N.V.,current
NL0010801007,"Arrowstreet Capital, Limited Partnership",2026-05-26,1.3,IMCD N.V.,current
NL0010801007,Capital Fund Management S.A.,2026-05-26,0.8,IMCD N.V.,current
CH1216478797,Citadel Advisors LLC,2026-05-26,0.91,DSM-Firmenich AG,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-26,0.61,Pharming Group N.V.,current
NL0009739416,Marshall Wace LLP,2026-05-26,0.75,PostNL N.V.,current
NL0011821392,Marshall Wace LLP,2026-05-26,1.6,Signify N.V.,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-05-26,0.8,The Magnum Ice Cream Company N.V.,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-25,0.58,Pharming Group N.V.,current
NL0010801007,"PDT Partners, LLC",2026-05-25,0.8,IMCD N.V.,current
NL0011872650,Sculptor Capital Management Europe Limited,2026-05-25,0.8,Basic-Fit N.V.,current
NL00150003E1,"Algert Global, LLC",2026-05-22,0.53,Fugro N.V.,current
NL0011821392,Citadel Advisors Europe Limited,2026-05-22,0.98,Signify N.V.,current
CH1216478797,Citadel Advisors LLC,2026-05-22,0.86,DSM-Firmenich AG,current
NL0011821392,Citadel Advisors LLC,2026-05-22,1.6,Signify N.V.,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-22,0.61,Pharming Group N.V.,current
CH1216478797,Marshall Wace LLP,2026-05-22,0.78,DSM-Firmenich AG,current
NL0010801007,"PDT Partners, LLC",2026-05-22,0.79,IMCD N.V.,current
NL0010391025,Walleye Capital LLC,2026-05-22,0.8,Pharming Group N.V.,current
NL0011821392,Canada Pension Plan Investment Board,2026-05-21,1.0,Signify N.V.,current
CH1216478797,Citadel Advisors LLC,2026-05-21,0.74,DSM-Firmenich AG,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-21,0.59,Pharming Group N.V.,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-05-21,1.71,DSM-Firmenich AG,current
CH1216478797,Marshall Wace LLP,2026-05-21,0.6,DSM-Firmenich AG,current
NL0011821392,Marshall Wace LLP,2026-05-21,1.58,Signify N.V.,current
NL0010391025,"Two Sigma Investments, LP",2026-05-21,0.99,Pharming Group N.V.,current
LU2290522684,"Two Sigma Investments, LP",2026-05-20,1.29,InPost S.A.,current
NL0010391025,"Two Sigma Investments, LP",2026-05-20,1.0,Pharming Group N.V.,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-19,0.6,Pharming Group N.V.,current
NL0011872650,Linden Advisors LP,2026-05-19,0.9,Basic-Fit N.V.,current
NL0011821392,"PDT Partners, LLC",2026-05-19,1.0,Signify N.V.,current
NL0010801007,"Two Sigma Investments, LP",2026-05-19,0.68,IMCD N.V.,current
NL0006237562,"AQR Capital Management, LLC",2026-05-18,0.99,ARCADIS N.V.,current
CH1216478797,Citadel Advisors LLC,2026-05-18,0.62,DSM-Firmenich AG,current
NL0011821392,Citadel Advisors LLC,2026-05-18,1.59,Signify N.V.,current
NL0015002MS2,Marshall Wace LLP,2026-05-18,0.73,The Magnum Ice Cream Company N.V.,current
NL0010801007,"BlackRock Financial Management, Inc.",2026-05-15,0.79,IMCD N.V.,current
NL0000289213,Citadel Advisors LLC,2026-05-15,0.82,Wereldhave N.V.,current
NL0000395903,"D. E. Shaw & Co., L.P.",2026-05-15,0.68,Wolters Kluwer N.V.,current
NL0015002MS2,Marshall Wace LLP,2026-05-15,0.68,The Magnum Ice Cream Company N.V.,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-05-15,0.71,The Magnum Ice Cream Company N.V.,current
NL0010801007,Capital Fund Management S.A.,2026-05-14,0.78,IMCD N.V.,current
NL0011872650,"D. E. Shaw & Co., L.P.",2026-05-14,0.89,Basic-Fit N.V.,current
