net_short_position,isin,position_date,position_holder,issuer_name,source
0.6,NL0015002MS2,2026-03-25,GLG Partners LP,The Magnum Ice Cream Company N.V.,current
0.82,CH1216478797,2026-03-25,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
0.56,NL0010801007,2026-03-24,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,current
1.14,NL0010391025,2026-03-24,Lazard Asset Management LLC,Pharming Group N.V.,current
0.91,NL0000379121,2026-03-24,Marshall Wace LLP,Randstad N.V.,current
2.0,NL0011821392,2026-03-24,Marshall Wace LLP,Signify N.V.,current
1.6,NL0015002MS2,2026-03-24,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
0.9,NL0010801007,2026-03-24,"PDT Partners, LLC",IMCD N.V.,current
0.81,JE00BRX98089,2026-03-24,Qube Research & Technologies Ltd.,CVC Capital Partners plc,current
1.44,LU2290522684,2026-03-24,"Two Sigma Investments, LP",InPost S.A.,current
0.6,CY0200751713,2026-03-24,"Two Sigma Investments, LP",Theon International Plc,current
2.0,NL0012817175,2026-03-24,Voleon Capital Management LP,Alfen N.V.,current
0.72,NL0012969182,2026-03-23,"AQR Capital Management, LLC",Adyen N.V.,current
1.01,NL0010801007,2026-03-23,"Arrowstreet Capital, Limited Partnership",IMCD N.V.,current
0.6,NL0011821392,2026-03-23,"BlackRock Financial Management, Inc.",Signify N.V.,current
2.3,NL0011821392,2026-03-23,Citadel Advisors LLC,Signify N.V.,current
0.69,NL0009739416,2026-03-23,"D. E. Shaw & Co., L.P.",PostNL N.V.,current
0.51,NL0015002MS2,2026-03-23,GLG Partners LP,The Magnum Ice Cream Company N.V.,current
0.7,NL0009739416,2026-03-23,Marshall Wace LLP,PostNL N.V.,current
1.01,CY0200751713,2026-03-23,Qube Research & Technologies Ltd.,Theon International Plc,current
1.05,NL0006237562,2026-03-23,Squarepoint Ops LLC,ARCADIS N.V.,current
1.36,LU2290522684,2026-03-23,"Two Sigma Investments, LP",InPost S.A.,current
0.58,NL0011821392,2026-03-20,"BlackRock Financial Management, Inc.",Signify N.V.,current
0.7,NL0012969182,2026-03-20,Capital Fund Management S.A.,Adyen N.V.,current
0.75,CH1216478797,2026-03-20,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
0.83,NL0000379121,2026-03-20,Marshall Wace LLP,Randstad N.V.,current
1.52,NL0015002MS2,2026-03-20,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
0.99,CY0200751713,2026-03-20,Qube Research & Technologies Ltd.,Theon International Plc,current
0.81,NL0010801007,2026-03-20,"Two Sigma Investments, LP",IMCD N.V.,current
1.26,LU2290522684,2026-03-20,"Two Sigma Investments, LP",InPost S.A.,current
1.31,NL0013267909,2026-03-19,AKO Capital LLP,Akzo Nobel N.V.,current
0.8,NL0006237562,2026-03-19,"AQR Capital Management, LLC",ARCADIS N.V.,current
0.6,JE00BRX98089,2026-03-19,Marshall Wace LLP,CVC Capital Partners plc,current
0.73,NL0000379121,2026-03-19,Marshall Wace LLP,Randstad N.V.,current
1.43,NL0015002MS2,2026-03-19,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
0.61,NL0013332471,2026-03-19,Winton Capital Management Limited,TomTom N.V.,current
2.83,NL0012817175,2026-03-19,"WorldQuant, LLC",Alfen N.V.,current
0.6,NL0012969182,2026-03-18,"AQR Capital Management, LLC",Adyen N.V.,current
0.52,NL0013267909,2026-03-18,"Empyrean Capital Overseas Master Fund, Ltd",Akzo Nobel N.V.,current
0.87,CH1216478797,2026-03-18,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
0.57,CY0200751713,2026-03-18,Qube Research & Technologies Ltd.,Theon International Plc,current
1.11,LU2290522684,2026-03-18,"Two Sigma Investments, LP",InPost S.A.,current
1.97,NL0012817175,2026-03-18,Voleon Capital Management LP,Alfen N.V.,current
2.98,NL0012817175,2026-03-18,"WorldQuant, LLC",Alfen N.V.,current
0.71,JE00BRX98089,2026-03-17,Qube Research & Technologies Ltd.,CVC Capital Partners plc,current
1.3,NL0015002MS2,2026-03-16,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
0.8,NL0010801007,2026-03-16,"PDT Partners, LLC",IMCD N.V.,current
3.08,NL0012817175,2026-03-16,"WorldQuant, LLC",Alfen N.V.,current
0.52,NL0012969182,2026-03-13,"AQR Capital Management, LLC",Adyen N.V.,current
0.98,CH1216478797,2026-03-13,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
0.52,JE00BRX98089,2026-03-13,Marshall Wace LLP,CVC Capital Partners plc,current
0.61,NL0000379121,2026-03-13,Marshall Wace LLP,Randstad N.V.,current
3.14,NL0012817175,2026-03-13,"WorldQuant, LLC",Alfen N.V.,current
0.65,NL0011821392,2026-03-12,Canada Pension Plan Investment Board,Signify N.V.,current
0.64,NL0010801007,2026-03-12,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,current
1.1,NL0006237562,2026-03-12,Squarepoint Ops LLC,ARCADIS N.V.,current
0.57,NL0011821392,2026-03-11,Canada Pension Plan Investment Board,Signify N.V.,current
0.6,NL0012969182,2026-03-11,Capital Fund Management S.A.,Adyen N.V.,current
2.24,NL0011821392,2026-03-11,Citadel Advisors LLC,Signify N.V.,current
1.91,NL0011821392,2026-03-11,Marshall Wace LLP,Signify N.V.,current
2.17,NL0011821392,2026-03-10,Citadel Advisors LLC,Signify N.V.,current
0.96,NL0010391025,2026-03-10,Lazard Asset Management LLC,Pharming Group N.V.,current
1.21,NL0015002MS2,2026-03-10,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
1.03,LU2290522684,2026-03-10,"Two Sigma Investments, LP",InPost S.A.,current
