position_holder,net_short_position,position_date,issuer_name,isin,source
"AQR Capital Management, LLC",0.48,2020-07-02,Koninklijke Vopak N.V.,NL0009432491,archive
"Athanor Capital, LP",1.0,2020-07-02,Wereldhave N.V.,NL0000289213,archive
Citadel Advisors LLC,1.12,2020-07-02,Koninklijke BAM Groep N.V.,NL0000337319,archive
Citadel Europe LLP,1.72,2020-07-02,BE Semiconductor Industries N.V.,NL0012866412,archive
GSA Capital Partners LLP,0.52,2020-07-02,Koninklijke BAM Groep N.V.,NL0000337319,archive
HBK Investments LP,0.78,2020-07-02,Koninklijke BAM Groep N.V.,NL0000337319,archive
Marshall Wace LLP,1.56,2020-07-02,Flow Traders Ltd.,NL0011279492,archive
Marshall Wace LLP,3.48,2020-07-02,Fugro N.V.,NL0000352565,archive
Marshall Wace LLP,0.75,2020-07-02,Koninklijke BAM Groep N.V.,NL0000337319,archive
Susquehanna International Securities Limited,0.48,2020-07-02,AMG Critical Materials N.V.,NL0000888691,archive
Systematica Investments Limited,1.2,2020-07-02,AMG Critical Materials N.V.,NL0000888691,archive
"WorldQuant, LLC",0.93,2020-07-02,Koninklijke BAM Groep N.V.,NL0000337319,archive
Marshall Wace LLP,1.62,2020-07-01,Flow Traders Ltd.,NL0011279492,archive
Marshall Wace LLP,3.54,2020-07-01,Fugro N.V.,NL0000352565,archive
Marshall Wace LLP,1.11,2020-07-01,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Millennium Capital Partners LLP,0.48,2020-07-01,Signify N.V.,NL0011821392,archive
Susquehanna International Securities Limited,0.5,2020-07-01,AMG Critical Materials N.V.,NL0000888691,archive
HBK Investments LP,0.55,2020-06-30,Fugro N.V.,NL0000352565,archive
HBK Investments LP,0.58,2020-06-30,Koninklijke BAM Groep N.V.,NL0000337319,archive
Marshall Wace LLP,1.59,2020-06-30,Flow Traders Ltd.,NL0011279492,archive
Marshall Wace LLP,0.51,2020-06-30,Koninklijke BAM Groep N.V.,NL0000337319,archive
Marshall Wace LLP,1.4,2020-06-30,SBM Offshore N.V.,NL0000360618,archive
Marshall Wace LLP,1.01,2020-06-30,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Millennium Capital Partners LLP,0.51,2020-06-30,Signify N.V.,NL0011821392,archive
Scopia Capital Management LP,1.19,2020-06-30,BE Semiconductor Industries N.V.,NL0012866412,archive
"WorldQuant, LLC",0.82,2020-06-30,Koninklijke BAM Groep N.V.,NL0000337319,archive
HBK Investments LP,0.61,2020-06-29,Koninklijke BAM Groep N.V.,NL0000337319,archive
Marshall Wace LLP,0.9,2020-06-29,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"Maverick Capital, Ltd.",0.91,2020-06-29,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Susquehanna International Securities Limited,0.45,2020-06-29,AMG Critical Materials N.V.,NL0000888691,archive
Wellington Management Company LLP,0.59,2020-06-29,Wereldhave N.V.,NL0000289213,archive
"Athanor Capital, LP",0.93,2020-06-26,Wereldhave N.V.,NL0000289213,archive
Citadel Advisors LLC,0.59,2020-06-26,Pharming Group N.V.,NL0010391025,archive
HBK Investments LP,0.62,2020-06-26,Fugro N.V.,NL0000352565,archive
Marshall Wace LLP,1.61,2020-06-26,Flow Traders Ltd.,NL0011279492,archive
Marshall Wace LLP,0.47,2020-06-26,Koninklijke BAM Groep N.V.,NL0000337319,archive
"Maverick Capital, Ltd.",0.86,2020-06-26,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Susquehanna International Securities Limited,0.52,2020-06-26,AMG Critical Materials N.V.,NL0000888691,archive
The Mangrove Partners Master Fund Limited,0.95,2020-06-26,Fugro N.V.,NL0000352565,archive
Citadel Advisors LLC,0.89,2020-06-25,Koninklijke BAM Groep N.V.,NL0000337319,archive
D1 Capital Partners LP,3.72,2020-06-25,Unibail-Rodamco-Westfield SE,FR0013326246,archive
HBK Investments LP,0.59,2020-06-25,Fugro N.V.,NL0000352565,archive
JPMorgan Asset Management (UK) Ltd.,1.5,2020-06-25,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,1.59,2020-06-25,Flow Traders Ltd.,NL0011279492,archive
"Maverick Capital, Ltd.",0.71,2020-06-25,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Susquehanna International Securities Limited,0.49,2020-06-25,AMG Critical Materials N.V.,NL0000888691,archive
"Woodson Capital Master Fund, LP",0.82,2020-06-25,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"WorldQuant, LLC",0.78,2020-06-25,Koninklijke BAM Groep N.V.,NL0000337319,archive
"AQR Capital Management, LLC",2.28,2020-06-24,SBM Offshore N.V.,NL0000360618,archive
Citadel Advisors LLC,0.5,2020-06-24,Lakefront Biotherapeutics NV,BE0003818359,archive
Eleva Capital SAS,0.81,2020-06-24,Wereldhave N.V.,NL0000289213,archive
HBK Investments LP,0.6,2020-06-24,Fugro N.V.,NL0000352565,archive
Lone Pine Capital LLC,1.21,2020-06-24,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Marshall Wace LLP,0.81,2020-06-24,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Sculptor Capital Management Europe Limited,1.7,2020-06-24,Fugro N.V.,NL0000352565,archive
Susquehanna International Securities Limited,0.5,2020-06-24,AMG Critical Materials N.V.,NL0000888691,archive
Systematica Investments Limited,1.11,2020-06-24,AMG Critical Materials N.V.,NL0000888691,archive
Voleon Capital Management LP,0.47,2020-06-24,Flow Traders Ltd.,NL0011279492,archive
AKO Capital LLP,1.41,2020-06-23,ARCADIS N.V.,NL0006237562,archive
D1 Capital Partners LP,3.63,2020-06-23,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Marshall Wace LLP,1.67,2020-06-23,Flow Traders Ltd.,NL0011279492,archive
"Samlyn Capital, LLC",0.71,2020-06-23,AEGON Ltd.,NL0000303709,archive
Citadel Advisors LLC,0.59,2020-06-22,Aperam S.A.,LU0569974404,archive
HBK Investments LP,0.73,2020-06-22,Koninklijke BAM Groep N.V.,NL0000337319,archive
Marshall Wace LLP,1.7,2020-06-22,Flow Traders Ltd.,NL0011279492,archive
Marshall Wace LLP,3.61,2020-06-22,Fugro N.V.,NL0000352565,archive
"Maverick Capital, Ltd.",0.63,2020-06-22,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Susquehanna International Securities Limited,0.47,2020-06-22,AMG Critical Materials N.V.,NL0000888691,archive
AKO Capital LLP,1.3,2020-06-19,ARCADIS N.V.,NL0006237562,archive
"AQR Capital Management, LLC",0.59,2020-06-19,Koninklijke Vopak N.V.,NL0009432491,archive
"Athanor Capital, LP",0.81,2020-06-19,Wereldhave N.V.,NL0000289213,archive
Citadel Advisors LLC,0.9,2020-06-19,Koninklijke BAM Groep N.V.,NL0000337319,archive
Clearance Capital Limited,0.21,2020-06-19,Wereldhave N.V.,NL0000289213,archive
HBK Investments LP,0.69,2020-06-19,Koninklijke BAM Groep N.V.,NL0000337319,archive
Lone Pine Capital LLC,1.09,2020-06-19,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Marshall Wace LLP,3.58,2020-06-19,Fugro N.V.,NL0000352565,archive
Millennium International Management LP,0.22,2020-06-19,BE Semiconductor Industries N.V.,NL0012866412,archive
Susquehanna International Securities Limited,0.51,2020-06-19,AMG Critical Materials N.V.,NL0000888691,archive
The Mangrove Partners Master Fund Limited,0.81,2020-06-19,Fugro N.V.,NL0000352565,archive
AKO Capital LLP,0.48,2020-06-18,Akzo Nobel N.V.,NL0013267909,archive
AKO Capital LLP,1.12,2020-06-18,ARCADIS N.V.,NL0006237562,archive
HBK Investments LP,0.71,2020-06-18,Koninklijke BAM Groep N.V.,NL0000337319,archive
JPMorgan Asset Management (UK) Ltd.,1.49,2020-06-18,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,3.48,2020-06-18,Fugro N.V.,NL0000352565,archive
Marshall Wace LLP,1.39,2020-06-18,SBM Offshore N.V.,NL0000360618,archive
Millennium International Management LP,1.28,2020-06-18,BE Semiconductor Industries N.V.,NL0012866412,archive
Sculptor Capital Management Europe Limited,1.6,2020-06-18,Fugro N.V.,NL0000352565,archive
The Mangrove Partners Master Fund Limited,0.7,2020-06-18,Fugro N.V.,NL0000352565,archive
Viking Global Investors LP,1.1,2020-06-18,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Voleon Capital Management LP,0.59,2020-06-18,Flow Traders Ltd.,NL0011279492,archive
"Woodson Capital Master Fund, LP",0.72,2020-06-18,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"AQR Capital Management, LLC",0.47,2020-06-17,ArcelorMittal S.A.,LU1598757687,archive
B&G Master Fund Plc,1.84,2020-06-17,ArcelorMittal S.A.,LU1598757687,archive
HBK Investments LP,0.69,2020-06-17,Koninklijke BAM Groep N.V.,NL0000337319,archive
Marshall Wace LLP,3.35,2020-06-17,Fugro N.V.,NL0000352565,archive
Millennium International Management LP,1.03,2020-06-17,BE Semiconductor Industries N.V.,NL0012866412,archive
The Mangrove Partners Master Fund Limited,0.66,2020-06-17,Fugro N.V.,NL0000352565,archive
"WorldQuant, LLC",0.89,2020-06-17,Koninklijke BAM Groep N.V.,NL0000337319,archive
Citadel Advisors LLC,0.89,2020-06-16,Koninklijke BAM Groep N.V.,NL0000337319,archive
Citadel Advisors LLC,0.6,2020-06-16,Pharming Group N.V.,NL0010391025,archive
D1 Capital Partners LP,3.55,2020-06-16,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"Lucerne Capital Management, L.P.",0.31,2020-06-16,Wereldhave N.V.,NL0000289213,archive
Marshall Wace LLP,3.16,2020-06-16,Fugro N.V.,NL0000352565,archive
Millennium International Management LP,0.73,2020-06-16,BE Semiconductor Industries N.V.,NL0012866412,archive
"WorldQuant, LLC",0.94,2020-06-16,Koninklijke BAM Groep N.V.,NL0000337319,archive
"AQR Capital Management, LLC",1.78,2020-06-15,OCI N.V.,NL0010558797,archive
"AQR Capital Management, LLC",2.39,2020-06-15,SBM Offshore N.V.,NL0000360618,archive
Citadel Advisors LLC,0.61,2020-06-15,Aperam S.A.,LU0569974404,archive
HBK Investments LP,0.71,2020-06-15,Fugro N.V.,NL0000352565,archive
Jupiter Investment Management Limited,0.49,2020-06-15,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,1.69,2020-06-15,Flow Traders Ltd.,NL0011279492,archive
Marshall Wace LLP,0.7,2020-06-15,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"Samlyn Capital, LLC",0.62,2020-06-15,AEGON Ltd.,NL0000303709,archive
Citadel Europe LLP,0.7,2020-06-12,Aperam S.A.,LU0569974404,archive
HBK Investments LP,0.69,2020-06-12,Fugro N.V.,NL0000352565,archive
Lone Pine Capital LLC,0.98,2020-06-12,Unibail-Rodamco-Westfield SE,FR0013326246,archive
B&G Master Fund Plc,0.96,2020-06-11,Fugro N.V.,NL0000352565,archive
HBK Investments LP,0.7,2020-06-11,Fugro N.V.,NL0000352565,archive
Linden Advisors LP,1.18,2020-06-11,Pharming Group N.V.,NL0010391025,archive
Marshall Wace LLP,0.82,2020-06-11,Lakefront Biotherapeutics NV,BE0003818359,archive
Marshall Wace LLP,1.41,2020-06-11,SBM Offshore N.V.,NL0000360618,archive
Marshall Wace LLP,0.67,2020-06-11,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"Maverick Capital, Ltd.",0.5,2020-06-11,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Sculptor Capital Management Europe Limited,1.71,2020-06-11,Fugro N.V.,NL0000352565,archive
Toscafund Asset Management LLP,1.4,2020-06-11,Wereldhave N.V.,NL0000289213,archive
Voleon Capital Management LP,0.61,2020-06-11,Flow Traders Ltd.,NL0011279492,archive
Canada Pension Plan Investment Board,0.69,2020-06-10,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Advisors LLC,0.47,2020-06-10,AMG Critical Materials N.V.,NL0000888691,archive
HBK Investments LP,0.6,2020-06-10,Fugro N.V.,NL0000352565,archive
HBK Investments LP,0.7,2020-06-10,Koninklijke BAM Groep N.V.,NL0000337319,archive
Lansdowne Partners (UK) LLP,1.88,2020-06-10,ARCADIS N.V.,NL0006237562,archive
Marshall Wace LLP,1.7,2020-06-10,Flow Traders Ltd.,NL0011279492,archive
Sculptor Capital Management Europe Limited,1.67,2020-06-10,Fugro N.V.,NL0000352565,archive
"Woodson Capital Master Fund, LP",0.61,2020-06-10,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"WorldQuant, LLC",1.04,2020-06-10,Koninklijke BAM Groep N.V.,NL0000337319,archive
"AQR Capital Management, LLC",0.69,2020-06-09,Koninklijke Vopak N.V.,NL0009432491,archive
"AQR Capital Management, LLC",2.49,2020-06-09,SBM Offshore N.V.,NL0000360618,archive
B&G Master Fund Plc,0.82,2020-06-09,Fugro N.V.,NL0000352565,archive
Citadel Advisors LLC,0.53,2020-06-09,Pharming Group N.V.,NL0010391025,archive
"Connor, Clark & Lunn Investment Management Ltd.",1.18,2020-06-09,Wereldhave N.V.,NL0000289213,archive
D1 Capital Partners LP,3.42,2020-06-09,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Eleva Capital SAS,0.72,2020-06-09,Wereldhave N.V.,NL0000289213,archive
JPMorgan Asset Management (UK) Ltd.,1.5,2020-06-09,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,0.5,2020-06-09,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Toscafund Asset Management LLP,1.21,2020-06-09,Wereldhave N.V.,NL0000289213,archive
Viking Global Investors LP,0.95,2020-06-09,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"WorldQuant, LLC",1.1,2020-06-09,Koninklijke BAM Groep N.V.,NL0000337319,archive
"AQR Capital Management, LLC",0.7,2020-06-08,Koninklijke Vopak N.V.,NL0009432491,archive
B&G Master Fund Plc,1.64,2020-06-08,ArcelorMittal S.A.,LU1598757687,archive
B&G Master Fund Plc,0.73,2020-06-08,Fugro N.V.,NL0000352565,archive
"Bloom Tree Partners, LLC",0.0,2020-06-08,Wereldhave N.V.,NL0000289213,archive
Canada Pension Plan Investment Board,0.79,2020-06-08,AMG Critical Materials N.V.,NL0000888691,archive
"D. E. Shaw & Co., L.P.",0.51,2020-06-08,ArcelorMittal S.A.,LU1598757687,archive
D1 Capital Partners LP,3.35,2020-06-08,Unibail-Rodamco-Westfield SE,FR0013326246,archive
GSA Capital Partners LLP,0.18,2020-06-08,Fugro N.V.,NL0000352565,archive
HBK Investments LP,0.44,2020-06-08,Fugro N.V.,NL0000352565,archive
Lone Pine Capital LLC,0.81,2020-06-08,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"Lucerne Capital Management, L.P.",0.62,2020-06-08,Wereldhave N.V.,NL0000289213,archive
Marshall Wace LLP,2.99,2020-06-08,Fugro N.V.,NL0000352565,archive
Marshall Wace LLP,1.38,2020-06-08,SBM Offshore N.V.,NL0000360618,archive
Marshall Wace LLP,0.45,2020-06-08,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"Samlyn Capital, LLC",0.55,2020-06-08,AEGON Ltd.,NL0000303709,archive
Sculptor Capital Management Europe Limited,1.53,2020-06-08,Fugro N.V.,NL0000352565,archive
Toscafund Asset Management LLP,1.14,2020-06-08,Wereldhave N.V.,NL0000289213,archive
Viking Global Investors LP,0.76,2020-06-08,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Whitebox Advisors LLC,1.11,2020-06-08,Fugro N.V.,NL0000352565,archive
"Woodson Capital Master Fund, LP",0.55,2020-06-08,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"WorldQuant, LLC",0.48,2020-06-08,Alfen N.V.,NL0012817175,archive
AKO Capital LLP,1.04,2020-06-05,ARCADIS N.V.,NL0006237562,archive
Citadel Advisors LLC,0.59,2020-06-05,Aperam S.A.,LU0569974404,archive
Citadel Advisors LLC,0.98,2020-06-05,Koninklijke BAM Groep N.V.,NL0000337319,archive
D1 Capital Partners LP,3.28,2020-06-05,Unibail-Rodamco-Westfield SE,FR0013326246,archive
GSA Capital Partners LLP,0.56,2020-06-05,Fugro N.V.,NL0000352565,archive
HBK Investments LP,0.54,2020-06-05,Fugro N.V.,NL0000352565,archive
HBK Investments LP,0.64,2020-06-05,Koninklijke BAM Groep N.V.,NL0000337319,archive
Marshall Wace LLP,0.52,2020-06-05,Koninklijke BAM Groep N.V.,NL0000337319,archive
Marshall Wace LLP,0.58,2020-06-05,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Oceanwood Capital Management LLP,0.42,2020-06-05,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Scopia Capital Management LP,1.29,2020-06-05,BE Semiconductor Industries N.V.,NL0012866412,archive
Sculptor Capital Management Europe Limited,1.83,2020-06-05,Fugro N.V.,NL0000352565,archive
Tiger Global Management LLC,0.67,2020-06-05,Unibail-Rodamco-Westfield SE,FR0013326246,archive
TT International Asset Management Limited,0.33,2020-06-05,AMG Critical Materials N.V.,NL0000888691,archive
"Woodson Capital Master Fund, LP",0.62,2020-06-05,Unibail-Rodamco-Westfield SE,FR0013326246,archive
AKO Capital LLP,0.5,2020-06-04,Akzo Nobel N.V.,NL0013267909,archive
AKO Capital LLP,0.9,2020-06-04,ARCADIS N.V.,NL0006237562,archive
Canada Pension Plan Investment Board,0.88,2020-06-04,AMG Critical Materials N.V.,NL0000888691,archive
Oceanwood Capital Management LLP,0.64,2020-06-04,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Scopia Capital Management LP,1.13,2020-06-04,BE Semiconductor Industries N.V.,NL0012866412,archive
Systematica Investments Limited,0.91,2020-06-04,Fugro N.V.,NL0000352565,archive
Voleon Capital Management LP,0.59,2020-06-04,Flow Traders Ltd.,NL0011279492,archive
"WorldQuant, LLC",0.48,2020-06-04,Eurocommercial Properties N.V.,NL0000288876,archive
"WorldQuant, LLC",1.26,2020-06-04,Koninklijke BAM Groep N.V.,NL0000337319,archive
Canada Pension Plan Investment Board,1.08,2020-06-03,AMG Critical Materials N.V.,NL0000888691,archive
Carmignac Gestion SA,0.26,2020-06-03,Wereldhave N.V.,NL0000289213,archive
Citadel Advisors LLC,0.5,2020-06-03,AMG Critical Materials N.V.,NL0000888691,archive
Oceanwood Capital Management LLP,0.51,2020-06-03,Unibail-Rodamco-Westfield SE,FR0013326246,archive
TFG Asset Management UK LLP,0.51,2020-06-03,Fugro N.V.,NL0000352565,archive
"Woodson Capital Master Fund, LP",0.75,2020-06-03,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"WorldQuant, LLC",0.58,2020-06-03,Alfen N.V.,NL0012817175,archive
AKO Capital LLP,0.87,2020-06-02,ARCADIS N.V.,NL0006237562,archive
D1 Capital Partners LP,3.15,2020-06-02,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Eleva Capital SAS,0.66,2020-06-02,Wereldhave N.V.,NL0000289213,archive
Lone Pine Capital LLC,0.99,2020-06-02,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Marshall Wace LLP,0.72,2020-06-02,Lakefront Biotherapeutics NV,BE0003818359,archive
Marshall Wace LLP,0.67,2020-06-02,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Oceanwood Capital Management LLP,0.41,2020-06-02,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"PDT Partners, LLC",0.49,2020-06-02,PostNL N.V.,NL0009739416,archive
Citadel Europe LLP,0.64,2020-06-01,Aperam S.A.,LU0569974404,archive
D1 Capital Partners LP,2.76,2020-06-01,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Eleva Capital SAS,0.58,2020-06-01,Wereldhave N.V.,NL0000289213,archive
HBK Investments LP,0.65,2020-06-01,Fugro N.V.,NL0000352565,archive
HBK Investments LP,0.76,2020-06-01,Koninklijke BAM Groep N.V.,NL0000337319,archive
Oceanwood Capital Management LLP,0.7,2020-06-01,Unibail-Rodamco-Westfield SE,FR0013326246,archive
TT International Asset Management Limited,0.58,2020-06-01,AMG Critical Materials N.V.,NL0000888691,archive
"WorldQuant, LLC",1.38,2020-06-01,Koninklijke BAM Groep N.V.,NL0000337319,archive
HBK Investments LP,0.8,2020-05-29,Koninklijke BAM Groep N.V.,NL0000337319,archive
Jupiter Investment Management Limited,0.59,2020-05-29,AMG Critical Materials N.V.,NL0000888691,archive
Lone Pine Capital LLC,0.79,2020-05-29,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Marshall Wace LLP,3.49,2020-05-29,Fugro N.V.,NL0000352565,archive
Millennium International Management LP,0.11,2020-05-29,Kendrion N.V.,NL0000852531,archive
Oceanwood Capital Management LLP,0.55,2020-05-29,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Sculptor Capital Management Europe Limited,1.96,2020-05-29,Fugro N.V.,NL0000352565,archive
Systematica Investments Limited,1.0,2020-05-29,AMG Critical Materials N.V.,NL0000888691,archive
CQS (UK) LLP,0.7,2020-05-28,BE Semiconductor Industries N.V.,NL0012866412,archive
D1 Capital Partners LP,2.48,2020-05-28,Unibail-Rodamco-Westfield SE,FR0013326246,archive
HBK Investments LP,0.79,2020-05-28,Koninklijke BAM Groep N.V.,NL0000337319,archive
JPMorgan Asset Management (UK) Ltd.,0.43,2020-05-28,Basic-Fit N.V.,NL0011872650,archive
Millennium International Management LP,0.56,2020-05-28,Kendrion N.V.,NL0000852531,archive
Oceanwood Capital Management LLP,0.67,2020-05-28,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Scopia Capital Management LP,1.08,2020-05-28,BE Semiconductor Industries N.V.,NL0012866412,archive
Sculptor Capital Management Europe Limited,2.17,2020-05-28,Fugro N.V.,NL0000352565,archive
"WorldQuant, LLC",0.69,2020-05-28,Alfen N.V.,NL0012817175,archive
"WorldQuant, LLC",0.5,2020-05-28,Eurocommercial Properties N.V.,NL0000288876,archive
"WorldQuant, LLC",1.47,2020-05-28,Koninklijke BAM Groep N.V.,NL0000337319,archive
Capital Fund Management S.A.,0.48,2020-05-27,Flow Traders Ltd.,NL0011279492,archive
Citadel Advisors LLC,1.08,2020-05-27,Koninklijke BAM Groep N.V.,NL0000337319,archive
D1 Capital Partners LP,2.33,2020-05-27,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Marshall Wace LLP,3.69,2020-05-27,Fugro N.V.,NL0000352565,archive
Marshall Wace LLP,0.78,2020-05-27,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Oceanwood Capital Management LLP,0.82,2020-05-27,Unibail-Rodamco-Westfield SE,FR0013326246,archive
SFM UK Management LLP,0.27,2020-05-27,TKH Group N.V.,NL0000852523,archive
Voleon Capital Management LP,0.47,2020-05-27,PostNL N.V.,NL0009739416,archive
"WorldQuant, LLC",0.73,2020-05-27,Alfen N.V.,NL0012817175,archive
"WorldQuant, LLC",0.49,2020-05-27,Eurocommercial Properties N.V.,NL0000288876,archive
"WorldQuant, LLC",1.58,2020-05-27,Koninklijke BAM Groep N.V.,NL0000337319,archive
"AQR Capital Management, LLC",1.89,2020-05-26,OCI N.V.,NL0010558797,archive
"AQR Capital Management, LLC",2.54,2020-05-26,SBM Offshore N.V.,NL0000360618,archive
B&G Master Fund Plc,1.5,2020-05-26,ArcelorMittal S.A.,LU1598757687,archive
Citadel Advisors LLC,0.45,2020-05-26,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Advisors LLC,0.68,2020-05-26,Aperam S.A.,LU0569974404,archive
Citadel Europe LLP,0.55,2020-05-26,ArcelorMittal S.A.,LU1598757687,archive
D1 Capital Partners LP,2.16,2020-05-26,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Marshall Wace LLP,1.69,2020-05-26,Flow Traders Ltd.,NL0011279492,archive
Marshall Wace LLP,1.49,2020-05-26,SBM Offshore N.V.,NL0000360618,archive
Oceanwood Capital Management LLP,0.79,2020-05-26,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Parian GP LLC,0.42,2020-05-26,Wereldhave N.V.,NL0000289213,archive
Sculptor Capital Management Europe Limited,2.36,2020-05-26,Fugro N.V.,NL0000352565,archive
SFM UK Management LLP,0.54,2020-05-26,TKH Group N.V.,NL0000852523,archive
Voleon Capital Management LP,0.67,2020-05-26,Flow Traders Ltd.,NL0011279492,archive
"WorldQuant, LLC",1.68,2020-05-26,Koninklijke BAM Groep N.V.,NL0000337319,archive
"AQR Capital Management, LLC",0.68,2020-05-25,Koninklijke Vopak N.V.,NL0009432491,archive
Citadel Europe LLP,0.5,2020-05-25,Aperam S.A.,LU0569974404,archive
D1 Capital Partners LP,1.83,2020-05-25,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Marshall Wace LLP,3.94,2020-05-25,Fugro N.V.,NL0000352565,archive
Marshall Wace LLP,0.83,2020-05-25,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Oceanwood Capital Management LLP,0.66,2020-05-25,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"WorldQuant, LLC",1.76,2020-05-25,Koninklijke BAM Groep N.V.,NL0000337319,archive
Citadel Advisors LLC,0.58,2020-05-22,AMG Critical Materials N.V.,NL0000888691,archive
Clearance Capital Limited,0.56,2020-05-22,Wereldhave N.V.,NL0000289213,archive
D1 Capital Partners LP,1.63,2020-05-22,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Lone Pine Capital LLC,0.61,2020-05-22,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Marshall Wace LLP,3.88,2020-05-22,Fugro N.V.,NL0000352565,archive
SFM UK Management LLP,0.63,2020-05-22,TKH Group N.V.,NL0000852523,archive
Voleon Capital Management LP,0.56,2020-05-22,PostNL N.V.,NL0009739416,archive
Citadel Advisors LLC,0.71,2020-05-21,Aperam S.A.,LU0569974404,archive
D1 Capital Partners LP,1.26,2020-05-21,Unibail-Rodamco-Westfield SE,FR0013326246,archive
Jupiter Investment Management Limited,0.68,2020-05-21,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,0.69,2020-05-21,Lakefront Biotherapeutics NV,BE0003818359,archive
SFM UK Management LLP,0.77,2020-05-21,TKH Group N.V.,NL0000852523,archive
Voleon Capital Management LP,0.77,2020-05-21,Flow Traders Ltd.,NL0011279492,archive
"WorldQuant, LLC",0.52,2020-05-21,Eurocommercial Properties N.V.,NL0000288876,archive
"WorldQuant, LLC",1.86,2020-05-21,Koninklijke BAM Groep N.V.,NL0000337319,archive
"AQR Capital Management, LLC",0.59,2020-05-20,ArcelorMittal S.A.,LU1598757687,archive
BlueCrest Capital Management Limited,1.12,2020-05-20,Koninklijke BAM Groep N.V.,NL0000337319,archive
Citadel Advisors LLC,0.68,2020-05-20,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Advisors LLC,1.18,2020-05-20,Koninklijke BAM Groep N.V.,NL0000337319,archive
D1 Capital Partners LP,0.88,2020-05-20,Unibail-Rodamco-Westfield SE,FR0013326246,archive
"Davidson Kempner European Partners, LLP",0.81,2020-05-20,BE Semiconductor Industries N.V.,NL0012866412,archive
Marshall Wace LLP,3.72,2020-05-20,Fugro N.V.,NL0000352565,archive
SFM UK Management LLP,0.85,2020-05-20,TKH Group N.V.,NL0000852523,archive
Voleon Capital Management LP,0.67,2020-05-20,PostNL N.V.,NL0009739416,archive
"Woodson Capital Master Fund, LP",4.31,2020-05-20,Wereldhave N.V.,NL0000289213,archive
B&G Master Fund Plc,1.44,2020-05-19,ArcelorMittal S.A.,LU1598757687,archive
Citadel Advisors LLC,0.66,2020-05-19,Aperam S.A.,LU0569974404,archive
Citadel Europe LLP,0.49,2020-05-19,ArcelorMittal S.A.,LU1598757687,archive
D1 Capital Partners LP,0.78,2020-05-19,Unibail-Rodamco-Westfield SE,FR0013326246,archive
GLG Partners LP,0.51,2020-05-19,BE Semiconductor Industries N.V.,NL0012866412,archive
