position_holder,net_short_position,position_date,issuer_name,isin,source
Qube Research & Technologies Ltd.,1.61,2024-08-02,AMG Critical Materials N.V.,NL0000888691,archive
SIH Partners LLLP,0.41,2024-08-02,Flow Traders Ltd.,BMG3602E1084,archive
AKO Capital LLP,1.0,2024-08-01,Randstad N.V.,NL0000379121,archive
AKO Capital LLP,1.2,2024-08-01,Signify N.V.,NL0011821392,archive
BlackRock Investment Management (UK) Limited,1.79,2024-08-01,Basic-Fit N.V.,NL0011872650,archive
Citadel Advisors LLC,1.62,2024-08-01,Alfen N.V.,NL0012817175,archive
Citadel Advisors LLC,0.5,2024-08-01,TomTom N.V.,NL0013332471,archive
Marshall Wace LLP,0.67,2024-08-01,Koninklijke Philips N.V.,NL0000009538,archive
"PDT Partners, LLC",1.0,2024-08-01,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,1.63,2024-08-01,Flow Traders Ltd.,BMG3602E1084,archive
"Arrowstreet Capital, Limited Partnership",1.73,2024-07-31,Alfen N.V.,NL0012817175,archive
Capital Fund Management S.A.,0.68,2024-07-31,AMG Critical Materials N.V.,NL0000888691,archive
"Connor, Clark & Lunn Investment Management Ltd.",1.0,2024-07-31,Alfen N.V.,NL0012817175,archive
"D. E. Shaw & Co., L.P.",0.89,2024-07-31,AMG Critical Materials N.V.,NL0000888691,archive
GSA Capital Partners LLP,0.6,2024-07-31,PostNL N.V.,NL0009739416,archive
Marshall Wace LLP,0.61,2024-07-31,Koninklijke KPN N.V.,NL0000009082,archive
Marshall Wace LLP,0.87,2024-07-31,PostNL N.V.,NL0009739416,archive
Marshall Wace LLP,0.88,2024-07-31,TomTom N.V.,NL0013332471,archive
Millennium Capital Partners LLP,1.6,2024-07-31,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,2.27,2024-07-31,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,1.71,2024-07-31,Pharming Group N.V.,NL0010391025,archive
Millennium International Management LP,0.61,2024-07-31,TomTom N.V.,NL0013332471,archive
Qube Research & Technologies Ltd.,1.56,2024-07-31,Flow Traders Ltd.,BMG3602E1084,archive
SIH Partners LLLP,0.38,2024-07-31,AMG Critical Materials N.V.,NL0000888691,archive
"Arrowstreet Capital, Limited Partnership",0.59,2024-07-30,OCI N.V.,NL0010558797,archive
Balyasny Asset Management (UK) LLP,0.79,2024-07-30,SBM Offshore N.V.,NL0000360618,archive
GSA Capital Partners LLP,0.59,2024-07-30,PostNL N.V.,NL0009739416,archive
Highbridge Capital Management LLC,1.2,2024-07-30,Pharming Group N.V.,NL0010391025,archive
Marshall Wace LLP,1.2,2024-07-30,ArcelorMittal S.A.,LU1598757687,archive
Qube Research & Technologies Ltd.,2.09,2024-07-30,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,0.92,2024-07-30,Basic-Fit N.V.,NL0011872650,archive
Qube Research & Technologies Ltd.,1.46,2024-07-30,Flow Traders Ltd.,BMG3602E1084,archive
Citadel Securities (Europe) Limited,0.71,2024-07-29,Alfen N.V.,NL0012817175,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.99,2024-07-29,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,2.31,2024-07-29,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,1.36,2024-07-29,Flow Traders Ltd.,BMG3602E1084,archive
SIH Partners LLLP,0.51,2024-07-29,Flow Traders Ltd.,BMG3602E1084,archive
Millennium Capital Partners LLP,1.52,2024-07-26,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,2.21,2024-07-26,Alfen N.V.,NL0012817175,archive
"PDT Partners, LLC",0.59,2024-07-26,Flow Traders Ltd.,BMG3602E1084,archive
Qube Research & Technologies Ltd.,2.17,2024-07-26,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,1.22,2024-07-26,Flow Traders Ltd.,BMG3602E1084,archive
Voleon Capital Management LP,0.46,2024-07-26,Basic-Fit N.V.,NL0011872650,archive
BlackRock Investment Management (UK) Limited,1.87,2024-07-25,Basic-Fit N.V.,NL0011872650,archive
Citadel Securities (Europe) Limited,0.52,2024-07-25,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.51,2024-07-25,Ebusco Holding N.V.,NL0015000CZ2,archive
"Connor, Clark & Lunn Investment Management Ltd.",1.0,2024-07-25,Alfen N.V.,NL0012817175,archive
Marshall Wace LLP,2.09,2024-07-25,AMG Critical Materials N.V.,NL0000888691,archive
AKO Capital LLP,1.53,2024-07-24,Akzo Nobel N.V.,NL0013267909,archive
"AQR Capital Management, LLC",0.5,2024-07-24,IMCD N.V.,NL0010801007,archive
"Arrowstreet Capital, Limited Partnership",1.64,2024-07-24,Alfen N.V.,NL0012817175,archive
"Arrowstreet Capital, Limited Partnership",0.6,2024-07-24,OCI N.V.,NL0010558797,archive
"BlackRock Advisors, LLC",1.01,2024-07-24,Alfen N.V.,NL0012817175,archive
Citadel Advisors LLC,1.52,2024-07-24,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.69,2024-07-24,Alfen N.V.,NL0012817175,archive
Marshall Wace LLP,2.16,2024-07-24,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,0.53,2024-07-24,Koninklijke KPN N.V.,NL0000009082,archive
Marshall Wace LLP,0.99,2024-07-24,TomTom N.V.,NL0013332471,archive
Millennium Capital Partners LLP,1.44,2024-07-24,Alfen N.V.,NL0012817175,archive
Voleon Capital Management LP,1.11,2024-07-24,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
AKO Capital LLP,1.45,2024-07-23,Akzo Nobel N.V.,NL0013267909,archive
"Arrowstreet Capital, Limited Partnership",1.55,2024-07-23,Alfen N.V.,NL0012817175,archive
