net_short_position,issuer_name,position_holder,position_date,isin,source
1.0,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2026-04-09,CH1216478797,current
0.71,NSI N.V.,Numeric Investors LLC,2026-04-09,NL0012365084,current
0.89,IMCD N.V.,"PDT Partners, LLC",2026-04-09,NL0010801007,current
0.61,Aalberts N.V.,"AQR Capital Management, LLC",2026-04-08,NL0000852564,current
1.22,Signify N.V.,"AQR Capital Management, LLC",2026-04-08,NL0011821392,current
2.39,Signify N.V.,Citadel Advisors LLC,2026-04-08,NL0011821392,current
0.5,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,2026-04-08,NL0015002MS2,current
0.79,IMCD N.V.,"Two Sigma Investments, LP",2026-04-08,NL0010801007,current
0.66,IMCD N.V.,"BlackRock Advisors, LLC",2026-04-07,NL0010801007,current
1.0,IMCD N.V.,"BlackRock Financial Management, Inc.",2026-04-07,NL0010801007,current
0.76,IMCD N.V.,Capital Fund Management S.A.,2026-04-07,NL0010801007,current
2.41,Signify N.V.,Citadel Advisors LLC,2026-04-07,NL0011821392,current
0.69,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",2026-04-07,NL0006237562,current
1.46,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-04-07,NL0015002MS2,current
1.98,Alfen N.V.,Voleon Capital Management LP,2026-04-07,NL0012817175,current
2.77,Alfen N.V.,"WorldQuant, LLC",2026-04-07,NL0012817175,current
1.0,Adyen N.V.,"AQR Capital Management, LLC",2026-04-02,NL0012969182,current
0.61,CVC Capital Partners plc,"AQR Capital Management, LLC",2026-04-02,JE00BRX98089,current
0.99,IMCD N.V.,"BlackRock Financial Management, Inc.",2026-04-02,NL0010801007,current
0.5,Sligro Food Group N.V.,Citadel Advisors LLC,2026-04-02,NL0000817179,current
0.7,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",2026-04-02,NL0006237562,current
0.62,Basic-Fit N.V.,Eleva Capital SAS,2026-04-02,NL0011872650,current
0.78,Randstad N.V.,Marshall Wace LLP,2026-04-02,NL0000379121,current
0.61,ArcelorMittal S.A.,"AQR Capital Management, LLC",2026-04-01,LU1598757687,current
1.1,Signify N.V.,"AQR Capital Management, LLC",2026-04-01,NL0011821392,current
1.21,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",2026-04-01,NL0010801007,current
0.74,Signify N.V.,Canada Pension Plan Investment Board,2026-04-01,NL0011821392,current
2.36,Signify N.V.,Citadel Advisors LLC,2026-04-01,NL0011821392,current
0.69,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",2026-04-01,NL0006237562,current
0.5,Basic-Fit N.V.,Eleva Capital SAS,2026-04-01,NL0011872650,current
1.79,Signify N.V.,Marshall Wace LLP,2026-04-01,NL0011821392,current
2.86,Alfen N.V.,"WorldQuant, LLC",2026-04-01,NL0012817175,current
0.62,IMCD N.V.,Capital Fund Management S.A.,2026-03-31,NL0010801007,current
