issuer_name,isin,net_short_position,position_holder,position_date,source
Signify N.V.,NL0011821392,1.79,Marshall Wace LLP,2026-04-01,current
IMCD N.V.,NL0010801007,0.62,Capital Fund Management S.A.,2026-03-31,current
Signify N.V.,NL0011821392,2.4,Citadel Advisors LLC,2026-03-31,current
Signify N.V.,NL0011821392,1.21,Eleva Capital SAS,2026-03-31,current
Adyen N.V.,NL0012969182,0.9,"AQR Capital Management, LLC",2026-03-30,current
Signify N.V.,NL0011821392,1.05,Eleva Capital SAS,2026-03-30,current
DSM-Firmenich AG,CH1216478797,0.91,Ilex Capital Partners (UK) LLP,2026-03-30,current
Signify N.V.,NL0011821392,1.87,Marshall Wace LLP,2026-03-30,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,1.59,Marshall Wace LLP,2026-03-30,current
NSI N.V.,NL0012365084,0.61,Numeric Investors LLC,2026-03-30,current
Theon International Plc,CY0200751713,0.7,"Two Sigma Investments, LP",2026-03-30,current
ARCADIS N.V.,NL0006237562,0.9,"AQR Capital Management, LLC",2026-03-27,current
IMCD N.V.,NL0010801007,1.12,"Arrowstreet Capital, Limited Partnership",2026-03-27,current
IMCD N.V.,NL0010801007,1.09,"BlackRock Financial Management, Inc.",2026-03-27,current
IMCD N.V.,NL0010801007,0.51,Capital Fund Management S.A.,2026-03-27,current
ARCADIS N.V.,NL0006237562,0.7,"D. E. Shaw & Co., L.P.",2026-03-27,current
ARCADIS N.V.,NL0006237562,0.69,"D. E. Shaw & Co., L.P.",2026-03-26,current
Signify N.V.,NL0011821392,1.96,Marshall Wace LLP,2026-03-26,current
InPost S.A.,LU2290522684,1.5,"Two Sigma Investments, LP",2026-03-26,current
IMCD N.V.,NL0010801007,0.5,Voleon Capital Management LP,2026-03-26,current
Adyen N.V.,NL0012969182,0.8,"AQR Capital Management, LLC",2026-03-25,current
CVC Capital Partners plc,JE00BRX98089,0.5,"AQR Capital Management, LLC",2026-03-25,current
DSM-Firmenich AG,CH1216478797,0.82,Ilex Capital Partners (UK) LLP,2026-03-25,current
IMCD N.V.,NL0010801007,0.56,JPMorgan Asset Management (UK) Ltd.,2026-03-24,current
Pharming Group N.V.,NL0010391025,1.14,Lazard Asset Management LLC,2026-03-24,current
Signify N.V.,NL0011821392,2.0,Marshall Wace LLP,2026-03-24,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,1.6,Marshall Wace LLP,2026-03-24,current
IMCD N.V.,NL0010801007,0.9,"PDT Partners, LLC",2026-03-24,current
InPost S.A.,LU2290522684,1.44,"Two Sigma Investments, LP",2026-03-24,current
Theon International Plc,CY0200751713,0.6,"Two Sigma Investments, LP",2026-03-24,current
Adyen N.V.,NL0012969182,0.72,"AQR Capital Management, LLC",2026-03-23,current
IMCD N.V.,NL0010801007,1.01,"Arrowstreet Capital, Limited Partnership",2026-03-23,current
Signify N.V.,NL0011821392,0.6,"BlackRock Financial Management, Inc.",2026-03-23,current
Signify N.V.,NL0011821392,2.3,Citadel Advisors LLC,2026-03-23,current
PostNL N.V.,NL0009739416,0.69,"D. E. Shaw & Co., L.P.",2026-03-23,current
PostNL N.V.,NL0009739416,0.7,Marshall Wace LLP,2026-03-23,current
InPost S.A.,LU2290522684,1.36,"Two Sigma Investments, LP",2026-03-23,current
Signify N.V.,NL0011821392,0.58,"BlackRock Financial Management, Inc.",2026-03-20,current
DSM-Firmenich AG,CH1216478797,0.75,Ilex Capital Partners (UK) LLP,2026-03-20,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,1.52,Marshall Wace LLP,2026-03-20,current
IMCD N.V.,NL0010801007,0.81,"Two Sigma Investments, LP",2026-03-20,current
