issuer_name,position_holder,net_short_position,isin,position_date,source
ARCADIS N.V.,"AQR Capital Management, LLC",0.8,NL0006237562,2026-03-19,current
CVC Capital Partners plc,Marshall Wace LLP,0.6,JE00BRX98089,2026-03-19,current
Randstad N.V.,Marshall Wace LLP,0.73,NL0000379121,2026-03-19,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.43,NL0015002MS2,2026-03-19,current
TomTom N.V.,Winton Capital Management Limited,0.61,NL0013332471,2026-03-19,current
Alfen N.V.,"WorldQuant, LLC",2.83,NL0012817175,2026-03-19,current
IMCD N.V.,"WorldQuant, LLC",0.6,NL0010801007,2026-03-19,current
Adyen N.V.,"AQR Capital Management, LLC",0.6,NL0012969182,2026-03-18,current
Akzo Nobel N.V.,"Empyrean Capital Overseas Master Fund, Ltd",0.52,NL0013267909,2026-03-18,current
DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,0.87,CH1216478797,2026-03-18,current
Theon International Plc,Qube Research & Technologies Ltd.,0.57,CY0200751713,2026-03-18,current
InPost S.A.,"Two Sigma Investments, LP",1.11,LU2290522684,2026-03-18,current
Alfen N.V.,Voleon Capital Management LP,1.97,NL0012817175,2026-03-18,current
Alfen N.V.,"WorldQuant, LLC",2.98,NL0012817175,2026-03-18,current
CVC Capital Partners plc,Qube Research & Technologies Ltd.,0.71,JE00BRX98089,2026-03-17,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.3,NL0015002MS2,2026-03-16,current
IMCD N.V.,"PDT Partners, LLC",0.8,NL0010801007,2026-03-16,current
Alfen N.V.,"WorldQuant, LLC",3.08,NL0012817175,2026-03-16,current
Adyen N.V.,"AQR Capital Management, LLC",0.52,NL0012969182,2026-03-13,current
DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,0.98,CH1216478797,2026-03-13,current
CVC Capital Partners plc,Marshall Wace LLP,0.52,JE00BRX98089,2026-03-13,current
Randstad N.V.,Marshall Wace LLP,0.61,NL0000379121,2026-03-13,current
Alfen N.V.,"WorldQuant, LLC",3.14,NL0012817175,2026-03-13,current
IMCD N.V.,"WorldQuant, LLC",0.52,NL0010801007,2026-03-13,current
Envipco Holding N.V.,Actus Ray Partners Limited,0.54,NL0015000GX8,2026-03-12,current
Signify N.V.,Canada Pension Plan Investment Board,0.65,NL0011821392,2026-03-12,current
IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,0.64,NL0010801007,2026-03-12,current
ARCADIS N.V.,Squarepoint Ops LLC,1.1,NL0006237562,2026-03-12,current
Signify N.V.,Canada Pension Plan Investment Board,0.57,NL0011821392,2026-03-11,current
Adyen N.V.,Capital Fund Management S.A.,0.6,NL0012969182,2026-03-11,current
Signify N.V.,Citadel Advisors LLC,2.24,NL0011821392,2026-03-11,current
Signify N.V.,Marshall Wace LLP,1.91,NL0011821392,2026-03-11,current
Signify N.V.,Citadel Advisors LLC,2.17,NL0011821392,2026-03-10,current
Pharming Group N.V.,Lazard Asset Management LLC,0.96,NL0010391025,2026-03-10,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.21,NL0015002MS2,2026-03-10,current
InPost S.A.,"Two Sigma Investments, LP",1.03,LU2290522684,2026-03-10,current
TomTom N.V.,Winton Capital Management Limited,0.52,NL0013332471,2026-03-10,current
IMCD N.V.,Acadian Asset Management LLC.,0.72,NL0010801007,2026-03-09,current
Akzo Nobel N.V.,AKO Capital LLP,1.21,NL0013267909,2026-03-09,current
Adyen N.V.,Capital Fund Management S.A.,0.51,NL0012969182,2026-03-09,current
Signify N.V.,Citadel Advisors LLC,2.06,NL0011821392,2026-03-09,current
Alfen N.V.,"D. E. Shaw & Co., L.P.",1.29,NL0012817175,2026-03-09,current
IMCD N.V.,"Two Sigma Investments, LP",0.71,NL0010801007,2026-03-09,current
Universal Music Group N.V.,"AQR Capital Management, LLC",0.6,NL0015000IY2,2026-03-06,current
IMCD N.V.,"BlackRock Advisors, LLC",0.7,NL0010801007,2026-03-06,current
Signify N.V.,Citadel Advisors LLC,1.88,NL0011821392,2026-03-06,current
Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,0.81,NL00150003E1,2026-03-06,current
ARCADIS N.V.,Squarepoint Ops LLC,1.09,NL0006237562,2026-03-06,current
IMCD N.V.,"BlackRock Financial Management, Inc.",1.1,NL0010801007,2026-03-05,current
Wereldhave N.V.,Citadel Advisors LLC,0.63,NL0000289213,2026-03-05,current
Randstad N.V.,Marshall Wace LLP,0.5,NL0000379121,2026-03-05,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.11,NL0015002MS2,2026-03-05,current
CVC Capital Partners plc,Qube Research & Technologies Ltd.,0.6,JE00BRX98089,2026-03-05,current
Theon International Plc,Qube Research & Technologies Ltd.,0.64,CY0200751713,2026-03-05,current
IMCD N.V.,Acadian Asset Management LLC.,0.61,NL0010801007,2026-03-04,current
Aalberts N.V.,"AQR Capital Management, LLC",0.52,NL0000852564,2026-03-04,current
Signify N.V.,"AQR Capital Management, LLC",1.03,NL0011821392,2026-03-04,current
IMCD N.V.,"BlackRock Financial Management, Inc.",1.06,NL0010801007,2026-03-04,current
Signify N.V.,Marshall Wace LLP,1.87,NL0011821392,2026-03-04,current
IMCD N.V.,"PDT Partners, LLC",0.71,NL0010801007,2026-03-04,current
Signify N.V.,"PDT Partners, LLC",0.8,NL0011821392,2026-03-04,current
Theon International Plc,Qube Research & Technologies Ltd.,0.59,CY0200751713,2026-03-04,current
InPost S.A.,"Two Sigma Investments, LP",0.9,LU2290522684,2026-03-04,current
DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.03,CH1216478797,2026-03-03,current
Pharming Group N.V.,Lazard Asset Management LLC,0.77,NL0010391025,2026-03-03,current
PostNL N.V.,Marshall Wace LLP,0.69,NL0009739416,2026-03-03,current
