issuer_name,net_short_position,position_date,isin,position_holder,source
Basic-Fit N.V.,0.61,2021-07-30,NL0011872650,Citadel Europe LLP,archive
Pharming Group N.V.,0.95,2021-07-30,NL0010391025,"Great Point Partners, LLC",archive
ARCADIS N.V.,0.5,2021-07-30,NL0006237562,Marshall Wace LLP,archive
Aperam S.A.,0.58,2021-07-30,LU0569974404,Millennium Capital Partners LLP,archive
STMicroelectronics N.V.,0.46,2021-07-30,NL0000226223,Sculptor Capital Management Europe Limited,archive
Basic-Fit N.V.,0.58,2021-07-29,NL0011872650,Citadel Europe LLP,archive
Basic-Fit N.V.,0.52,2021-07-29,NL0011872650,"D. E. Shaw & Co. (London), LLP",archive
AMG Critical Materials N.V.,0.54,2021-07-29,NL0000888691,"PDT Partners, LLC",archive
Galapagos NV,0.45,2021-07-28,BE0003818359,Qube Research & Technologies Ltd.,archive
Alfen N.V.,1.11,2021-07-27,NL0012817175,"Arrowstreet Capital, Limited Partnership",archive
Galapagos NV,0.53,2021-07-27,BE0003818359,Qube Research & Technologies Ltd.,archive
STMicroelectronics N.V.,0.57,2021-07-27,NL0000226223,Sculptor Capital Management Europe Limited,archive
AMG Critical Materials N.V.,0.47,2021-07-26,NL0000888691,Citadel Advisors LLC,archive
Alfen N.V.,0.72,2021-07-26,NL0012817175,Marshall Wace LLP,archive
ARCADIS N.V.,0.69,2021-07-26,NL0006237562,Pelham Capital Ltd.,archive
Galapagos NV,0.44,2021-07-26,BE0003818359,Qube Research & Technologies Ltd.,archive
Basic-Fit N.V.,0.52,2021-07-23,NL0011872650,BNP Paribas S.A.,archive
Aperam S.A.,0.68,2021-07-23,LU0569974404,Millennium Capital Partners LLP,archive
Galapagos NV,0.51,2021-07-22,BE0003818359,AHL Partners LLP,archive
Eurocommercial Properties N.V.,2.04,2021-07-21,NL0000288876,Adelphi Capital LLP,archive
Eurocommercial Properties N.V.,1.93,2021-07-20,NL0000288876,Adelphi Capital LLP,archive
ABN AMRO Bank NV,0.92,2021-07-20,NL0011540547,Marshall Wace LLP,archive
Eurocommercial Properties N.V.,1.84,2021-07-19,NL0000288876,Adelphi Capital LLP,archive
STMicroelectronics N.V.,0.69,2021-07-19,NL0000226223,BNP Paribas S.A.,archive
Aperam S.A.,0.7,2021-07-19,LU0569974404,Millennium Capital Partners LLP,archive
Alfen N.V.,0.69,2021-07-16,NL0012817175,Marshall Wace LLP,archive
Signify N.V.,0.42,2021-07-16,NL0011821392,Millennium International Management LP,archive
Galapagos NV,0.55,2021-07-16,BE0003818359,Qube Research & Technologies Ltd.,archive
Wereldhave N.V.,0.77,2021-07-16,NL0000289213,Toscafund Asset Management LLP,archive
Basic-Fit N.V.,0.49,2021-07-15,NL0011872650,BNP Paribas S.A.,archive
Wereldhave N.V.,0.65,2021-07-15,NL0000289213,Toscafund Asset Management LLP,archive
ABN AMRO Bank NV,0.89,2021-07-14,NL0011540547,Marshall Wace LLP,archive
Basic-Fit N.V.,0.52,2021-07-13,NL0011872650,Highbridge Capital Management LLC,archive
AMG Critical Materials N.V.,0.59,2021-07-09,NL0000888691,Citadel Advisors LLC,archive
Alfen N.V.,0.79,2021-07-09,NL0012817175,Marshall Wace LLP,archive
Pharming Group N.V.,1.07,2021-07-08,NL0010391025,"Great Point Partners, LLC",archive
STMicroelectronics N.V.,0.78,2021-07-07,NL0000226223,BNP Paribas S.A.,archive
Pharming Group N.V.,1.73,2021-07-07,NL0010391025,"Great Point Partners, LLC",archive
ABN AMRO Bank NV,0.9,2021-07-07,NL0011540547,Marshall Wace LLP,archive
Pharming Group N.V.,0.47,2021-07-07,NL0010391025,"WorldQuant, LLC",archive
Aperam S.A.,0.6,2021-07-06,LU0569974404,Millennium Capital Partners LLP,archive
Koninklijke Ahold Delhaize N.V.,0.49,2021-07-05,NL0011794037,Marshall Wace LLP,archive
STMicroelectronics N.V.,0.68,2021-07-05,NL0000226223,Sculptor Capital Management Europe Limited,archive
Pharming Group N.V.,0.5,2021-07-05,NL0010391025,"WorldQuant, LLC",archive
AMG Critical Materials N.V.,0.69,2021-07-02,NL0000888691,Citadel Advisors LLC,archive
Pharming Group N.V.,0.49,2021-07-02,NL0010391025,"PDT Partners, LLC",archive
Alfen N.V.,0.8,2021-07-01,NL0012817175,Marshall Wace LLP,archive
STMicroelectronics N.V.,0.61,2021-06-30,NL0000226223,BNP Paribas S.A.,archive
Basic-Fit N.V.,0.49,2021-06-30,NL0011872650,Highbridge Capital Management LLC,archive
Pharming Group N.V.,0.5,2021-06-30,NL0010391025,"PDT Partners, LLC",archive
IMCD N.V.,0.49,2021-06-29,NL0010801007,"AQR Capital Management, LLC",archive
Basic-Fit N.V.,0.57,2021-06-29,NL0011872650,BNP Paribas S.A.,archive
STMicroelectronics N.V.,0.59,2021-06-29,NL0000226223,BNP Paribas S.A.,archive
Pharming Group N.V.,0.49,2021-06-29,NL0010391025,"PDT Partners, LLC",archive
AMG Critical Materials N.V.,0.9,2021-06-29,NL0000888691,Systematica Investments Limited,archive
Pharming Group N.V.,0.49,2021-06-28,NL0010391025,"WorldQuant, LLC",archive
Basic-Fit N.V.,0.6,2021-06-25,NL0011872650,BNP Paribas S.A.,archive
ABN AMRO Bank NV,0.89,2021-06-25,NL0011540547,Marshall Wace LLP,archive
AMG Critical Materials N.V.,0.89,2021-06-25,NL0000888691,Systematica Investments Limited,archive
AMG Critical Materials N.V.,0.7,2021-06-24,NL0000888691,Citadel Advisors LLC,archive
ArcelorMittal S.A.,1.95,2021-06-23,LU1598757687,B&G Master Fund Plc,archive
ABN AMRO Bank NV,0.92,2021-06-23,NL0011540547,Marshall Wace LLP,archive
Alfen N.V.,1.02,2021-06-22,NL0012817175,"Arrowstreet Capital, Limited Partnership",archive
Basic-Fit N.V.,0.59,2021-06-22,NL0011872650,BNP Paribas S.A.,archive
Alfen N.V.,0.7,2021-06-22,NL0012817175,Marshall Wace LLP,archive
Pharming Group N.V.,0.54,2021-06-22,NL0010391025,"WorldQuant, LLC",archive
ABN AMRO Bank NV,0.86,2021-06-21,NL0011540547,Marshall Wace LLP,archive
AMG Critical Materials N.V.,0.9,2021-06-21,NL0000888691,Systematica Investments Limited,archive
Alfen N.V.,0.69,2021-06-18,NL0012817175,Marshall Wace LLP,archive
Signify N.V.,0.58,2021-06-18,NL0011821392,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,0.28,2021-06-17,NL0012866412,Citadel Europe LLP,archive
SBM Offshore N.V.,0.8,2021-06-17,NL0000360618,Marshall Wace Asia Limited,archive
ABN AMRO Bank NV,0.91,2021-06-17,NL0011540547,Marshall Wace LLP,archive
SBM Offshore N.V.,0.9,2021-06-17,NL0000360618,Marshall Wace LLP,archive
Galapagos NV,0.0,2021-06-16,BE0003818359,Avidity Partners Management LP,archive
Basic-Fit N.V.,0.61,2021-06-16,NL0011872650,BNP Paribas S.A.,archive
Alfen N.V.,0.72,2021-06-16,NL0012817175,Marshall Wace LLP,archive
Signify N.V.,0.49,2021-06-16,NL0011821392,Millennium Capital Partners LLP,archive
AMG Critical Materials N.V.,0.61,2021-06-15,NL0000888691,Citadel Advisors LLC,archive
Basic-Fit N.V.,0.52,2021-06-14,NL0011872650,Highbridge Capital Management LLC,archive
Signify N.V.,0.61,2021-06-14,NL0011821392,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,1.85,2021-06-11,NL0012866412,Citadel Europe LLP,archive
ABN AMRO Bank NV,0.81,2021-06-11,NL0011540547,Marshall Wace LLP,archive
Signify N.V.,0.5,2021-06-11,NL0011821392,Millennium Capital Partners LLP,archive
BE Semiconductor Industries N.V.,1.95,2021-06-10,NL0012866412,Citadel Europe LLP,archive
ARCADIS N.V.,0.49,2021-06-09,NL0006237562,Marshall Wace LLP,archive
Alfen N.V.,0.6,2021-06-08,NL0012817175,Marshall Wace LLP,archive
Alfen N.V.,0.91,2021-06-07,NL0012817175,"Arrowstreet Capital, Limited Partnership",archive
ABN AMRO Bank NV,0.72,2021-06-04,NL0011540547,Marshall Wace LLP,archive
Alfen N.V.,0.51,2021-06-03,NL0012817175,Marshall Wace LLP,archive
Signify N.V.,0.69,2021-06-03,NL0011821392,Millennium Capital Partners LLP,archive
Pharming Group N.V.,0.98,2021-06-01,NL0010391025,Linden Advisors LP,archive
SBM Offshore N.V.,0.89,2021-05-31,NL0000360618,Marshall Wace LLP,archive
Galapagos NV,0.52,2021-05-28,BE0003818359,Avidity Partners Management LP,archive
AMG Critical Materials N.V.,0.5,2021-05-28,NL0000888691,Citadel Advisors LLC,archive
ABN AMRO Bank NV,0.61,2021-05-28,NL0011540547,Marshall Wace LLP,archive
ABN AMRO Bank NV,0.55,2021-05-27,NL0011540547,Marshall Wace LLP,archive
ARCADIS N.V.,0.58,2021-05-27,NL0006237562,Marshall Wace LLP,archive
SBM Offshore N.V.,0.91,2021-05-27,NL0000360618,Marshall Wace LLP,archive
Galapagos NV,0.0,2021-05-27,BE0003818359,Millennium International Management LP,archive
Galapagos NV,0.98,2021-05-26,BE0003818359,Millennium International Management LP,archive
Eurocommercial Properties N.V.,1.69,2021-05-25,NL0000288876,Adelphi Capital LLP,archive
Wereldhave N.V.,2.86,2021-05-25,NL0000289213,Adelphi Capital LLP,archive
Galapagos NV,0.67,2021-05-25,BE0003818359,Avidity Partners Management LP,archive
Signify N.V.,0.48,2021-05-25,NL0011821392,Citadel Europe LLP,archive
AMG Critical Materials N.V.,0.89,2021-05-25,NL0000888691,"Connor, Clark & Lunn Investment Management Ltd.",archive
Galapagos NV,0.83,2021-05-25,BE0003818359,Millennium International Management LP,archive
ARCADIS N.V.,0.6,2021-05-24,NL0006237562,Marshall Wace LLP,archive
Galapagos NV,0.68,2021-05-24,BE0003818359,Millennium International Management LP,archive
AMG Critical Materials N.V.,0.44,2021-05-21,NL0000888691,Citadel Advisors LLC,archive
ARCADIS N.V.,0.59,2021-05-21,NL0006237562,Marshall Wace LLP,archive
Galapagos NV,0.53,2021-05-21,BE0003818359,Millennium International Management LP,archive
IMCD N.V.,0.51,2021-05-20,NL0010801007,"AQR Capital Management, LLC",archive
AMG Critical Materials N.V.,0.8,2021-05-20,NL0000888691,Systematica Investments Limited,archive
Galapagos NV,0.7,2021-05-19,BE0003818359,Avidity Partners Management LP,archive
ArcelorMittal S.A.,2.0,2021-05-19,LU1598757687,B&G Master Fund Plc,archive
Aperam S.A.,0.59,2021-05-19,LU0569974404,Citadel Europe LLP,archive
ABN AMRO Bank NV,0.46,2021-05-19,NL0011540547,Marshall Wace LLP,archive
Pharming Group N.V.,0.59,2021-05-19,NL0010391025,"PDT Partners, LLC",archive
Koninklijke Ahold Delhaize N.V.,0.52,2021-05-18,NL0011794037,Marshall Wace LLP,archive
Fugro N.V.,0.48,2021-05-18,NL00150004A7,"WorldQuant, LLC",archive
ArcelorMittal S.A.,1.99,2021-05-17,LU1598757687,B&G Master Fund Plc,archive
Aperam S.A.,0.61,2021-05-17,LU0569974404,Citadel Europe LLP,archive
Signify N.V.,0.47,2021-05-17,NL0011821392,"Farallon Capital Management, L.L.C.",archive
Signify N.V.,0.58,2021-05-17,NL0011821392,Millennium International Management LP,archive
Galapagos NV,0.5,2021-05-14,BE0003818359,"AQR Capital Management, LLC",archive
Signify N.V.,0.6,2021-05-14,NL0011821392,Millennium International Management LP,archive
Euronext N.V.,0.0,2021-05-13,NL0006294274,B&G Master Fund Plc,archive
AMG Critical Materials N.V.,0.55,2021-05-13,NL0000888691,Citadel Advisors LLC,archive
SBM Offshore N.V.,0.8,2021-05-13,NL0000360618,Marshall Wace LLP,archive
Signify N.V.,0.72,2021-05-13,NL0011821392,Millennium Capital Partners LLP,archive
Pharming Group N.V.,0.66,2021-05-13,NL0010391025,"PDT Partners, LLC",archive
ArcelorMittal S.A.,2.0,2021-05-12,LU1598757687,B&G Master Fund Plc,archive
BE Semiconductor Industries N.V.,2.31,2021-05-12,NL0012866412,Citadel Europe LLP,archive
ABN AMRO Bank NV,0.58,2021-05-12,NL0011540547,Marshall Wace LLP,archive
Signify N.V.,0.59,2021-05-12,NL0011821392,Millennium International Management LP,archive
Signify N.V.,0.68,2021-05-11,NL0011821392,Millennium Capital Partners LLP,archive
Pharming Group N.V.,0.49,2021-05-11,NL0010391025,"PDT Partners, LLC",archive
SBM Offshore N.V.,0.49,2021-05-10,NL0000360618,"AQR Capital Management, LLC",archive
Aperam S.A.,0.5,2021-05-10,LU0569974404,Citadel Europe LLP,archive
Fugro N.V.,0.58,2021-05-10,NL00150004A7,"WorldQuant, LLC",archive
Aperam S.A.,0.48,2021-05-07,LU0569974404,Citadel Europe LLP,archive
Euronext N.V.,0.7,2021-05-06,NL0006294274,B&G Master Fund Plc,archive
Koninklijke KPN N.V.,0.46,2021-05-06,NL0000009082,"D. E. Shaw & Co. (London), LLP",archive
ABN AMRO Bank NV,0.68,2021-05-06,NL0011540547,Marshall Wace LLP,archive
Euronext N.V.,0.64,2021-05-05,NL0006294274,B&G Master Fund Plc,archive
BE Semiconductor Industries N.V.,2.24,2021-05-05,NL0012866412,Citadel Europe LLP,archive
BE Semiconductor Industries N.V.,0.48,2021-05-05,NL0012866412,Mirabella Financial Services LLP,archive
Euronext N.V.,0.26,2021-05-04,NL0006294274,"Samlyn Capital, LLC",archive
SBM Offshore N.V.,0.7,2021-05-03,NL0000360618,Marshall Wace Asia Limited,archive
SBM Offshore N.V.,0.79,2021-05-03,NL0000360618,Marshall Wace LLP,archive
Euronext N.V.,0.55,2021-05-03,NL0006294274,"Samlyn Capital, LLC",archive
Signify N.V.,0.5,2021-04-30,NL0011821392,Citadel Europe LLP,archive
Signify N.V.,0.7,2021-04-30,NL0011821392,Millennium Capital Partners LLP,archive
Signify N.V.,0.69,2021-04-30,NL0011821392,Millennium International Management LP,archive
Euronext N.V.,0.82,2021-04-30,NL0006294274,"Samlyn Capital, LLC",archive
Basic-Fit N.V.,0.45,2021-04-29,NL0011872650,Marshall Wace LLP,archive
Signify N.V.,0.66,2021-04-29,NL0011821392,Millennium Capital Partners LLP,archive
