issuer_name,position_date,isin,position_holder,net_short_position,source
Fugro N.V.,2014-07-01,NL0000352565,AKO Capital LLP,1.45,archive
Aperam S.A.,2014-07-01,LU0569974404,CQS (UK) LLP,1.77,archive
Fugro N.V.,2014-07-01,NL0000352565,Lansdowne Partners (UK) LLP,0.76,archive
Fugro N.V.,2014-07-01,NL0000352565,Lansdowne Partners Limited,0.0,archive
ArcelorMittal S.A.,2014-07-01,LU0323134006,Odey Asset Management LLP,0.52,archive
Fugro N.V.,2014-06-27,NL0000352565,BlackRock Investment Management (UK) Limited,0.8,archive
Koninklijke Heijmans N.V.,2014-06-27,NL0009269109,BlackRock Investment Management (UK) Limited,0.48,archive
SBM Offshore N.V.,2014-06-24,NL0000360618,"AQR Capital Management, LLC",1.0,archive
Koninklijke Heijmans N.V.,2014-06-20,NL0009269109,"BlackRock Institutional Trust Company, National Association",0.68,archive
Aperam S.A.,2014-06-18,LU0569974404,CQS (UK) LLP,1.52,archive
Aperam S.A.,2014-06-17,LU0569974404,CQS (UK) LLP,1.42,archive
Fugro N.V.,2014-06-17,NL0000352565,Marshall Wace LLP,0.39,archive
SBM Offshore N.V.,2014-06-16,NL0000360618,"AQR Capital Management, LLC",0.9,archive
Aperam S.A.,2014-06-13,LU0569974404,CQS (UK) LLP,1.27,archive
Fugro N.V.,2014-06-12,NL0000352565,BlackRock Investment Management (UK) Limited,0.7,archive
Fugro N.V.,2014-06-11,NL0000352565,Citadel Europe LLP,0.79,archive
Fugro N.V.,2014-06-10,NL0000352565,BlackRock Investment Management (UK) Limited,0.69,archive
Aperam S.A.,2014-06-10,LU0569974404,CQS (UK) LLP,1.3,archive
Fugro N.V.,2014-06-10,NL0000352565,Marshall Wace LLP,0.58,archive
TomTom N.V.,2014-06-10,NL0000387058,TT International,0.48,archive
SBM Offshore N.V.,2014-06-09,NL0000360618,"AQR Capital Management, LLC",0.81,archive
Aperam S.A.,2014-06-09,LU0569974404,BNP Paribas S.A.,0.35,archive
Aperam S.A.,2014-06-09,LU0569974404,CQS (UK) LLP,1.2,archive
